stat, rank, value, (percentage) 
minecraft.picked_up.poisonous_potato: #11, 29(2%)
minecraft.picked_up.sandstone_stairs: #11, 79(3%)
minecraft.dropped.birch_planks: #11, 45(2%)
minecraft.mined.potatoes: #11, 442(2%)
minecraft.picked_up.rail: #11, 1076(2%)
minecraft.mined.oak_sapling: #11, 17(1%)
minecraft.picked_up.potion: #11, 40(2%)
minecraft.picked_up.stone_sword: #11, 17(1%)
minecraft.picked_up.orange_tulip: #11, 32(2%)
minecraft.picked_up.wither_skeleton_skull: #11, 9(2%)
minecraft.used.stone_axe: #11, 136(1%)
minecraft.crafted.stone_shovel: #11, 6(1%)
minecraft.killed.snow_golem: #11, 3(2%)
minecraft.picked_up.white_terracotta: #11, 1167(1%)
minecraft.dropped.stone_bricks: #11, 275(1%)
minecraft.mined.white_terracotta: #11, 1104(1%)
minecraft.mined.jungle_planks: #11, 18(1%)
minecraft.mined.cyan_shulker_box: #11, 33(1%)
minecraft.dropped.spruce_trapdoor: #11, 8(1%)
minecraft.used.cyan_shulker_box: #11, 33(1%)
minecraft.picked_up.cyan_shulker_box: #11, 33(1%)
minecraft.picked_up.nether_star: #11, 6(1%)
minecraft.picked_up.light_gray_wool: #11, 79(1%)
minecraft.picked_up.purple_shulker_box: #11, 25(1%)
minecraft.mined.white_tulip: #11, 10(1%)
minecraft.picked_up.cyan_wool: #11, 89(1%)
minecraft.dropped.salmon: #11, 24(1%)
minecraft.dropped.filled_map: #11, 2(1%)
minecraft.dropped.jungle_planks: #11, 10(1%)
minecraft.killed.blaze: #11, 115(0%)
minecraft.crafted.oak_wood: #11, 30(1%)
minecraft.mined.cake: #11, 1(0%)
minecraft.picked_up.oak_wood: #11, 4(0%)
minecraft.dropped.white_tulip: #11, 1(0%)
minecraft.crafted.apple: #11, 6(0%)
minecraft.dropped.golden_sword: #11, 2(0%)
minecraft.picked_up.jungle_stairs: #11, 2(0%)
minecraft.picked_up.orange_stained_glass: #11, 3(0%)
minecraft.crafted.blue_terracotta: #11, 16(0%)
minecraft.used.blue_ice: #11, 9(0%)
minecraft.picked_up.dead_brain_coral_block: #11, 1(0%)
minecraft.crafted.lime_terracotta: #11, 8(0%)
minecraft.picked_up.golden_leggings: #12, 13(4%)
minecraft.custom.time_since_death: #12, 3511051(1%)
minecraft.broken.iron_sword: #12, 1(5%)
minecraft.mined.iron_bars: #12, 230(2%)
minecraft.used.enchanting_table: #12, 3(3%)
minecraft.crafted.redstone_block: #12, 955(2%)
minecraft.killed.skeleton: #12, 1553(2%)
minecraft.crafted.diamond: #12, 1026(2%)
minecraft.mined.enchanting_table: #12, 2(3%)
minecraft.picked_up.enchanting_table: #12, 2(3%)
minecraft.used.glass: #12, 1624(2%)
minecraft.dropped.name_tag: #12, 4(2%)
