stat, rank, value, (percentage) 
minecraft.picked_up.cyan_concrete_powder: #2, 317(31%)
minecraft.mined.wither_skeleton_skull: #1, 10(34%)
minecraft.crafted.redstone: #2, 33294(15%)
minecraft.dropped.magma_cream: #1, 17(27%)
minecraft.used.stone_pressure_plate: #2, 641(18%)
minecraft.picked_up.bookshelf: #2, 257(16%)
minecraft.crafted.coal: #2, 12347(14%)
minecraft.dropped.campfire: #1, 23(34%)
minecraft.used.sandstone_stairs: #2, 1639(18%)
minecraft.dropped.filled_map: #2, 62(21%)
minecraft.used.sponge: #2, 2654(21%)
minecraft.mined.barrel: #2, 206(16%)
minecraft.dropped.smooth_stone: #2, 549(21%)
minecraft.dropped.oak_trapdoor: #2, 77(21%)
minecraft.picked_up.iron_door: #2, 132(16%)
minecraft.dropped.flint_and_steel: #1, 18(18%)
minecraft.crafted.melon: #2, 39295(30%)
minecraft.picked_up.light_gray_stained_glass: #2, 1474(21%)
minecraft.crafted.chest: #2, 6231(12%)
minecraft.crafted.smooth_stone_slab: #2, 49811(16%)
minecraft.dropped.stone_pressure_plate: #2, 245(21%)
minecraft.dropped.emerald_block: #1, 135(46%)
minecraft.crafted.red_shulker_box: #2, 52(16%)
minecraft.mined.light_gray_glazed_terracotta: #1, 95(29%)
minecraft.used.yellow_carpet: #2, 751(18%)
minecraft.crafted.bone_block: #2, 12691(17%)
minecraft.mined.lime_stained_glass: #2, 406(20%)
minecraft.mined.wet_sponge: #2, 2655(20%)
minecraft.used.blast_furnace: #2, 115(20%)
minecraft.mined.farmland: #2, 678(15%)
minecraft.crafted.cyan_terracotta: #2, 33056(19%)
minecraft.crafted.oak_trapdoor: #2, 1366(14%)
minecraft.mined.sticky_piston: #2, 834(15%)
minecraft.picked_up.cut_sandstone: #2, 521(18%)
minecraft.mined.coal_block: #2, 379(15%)
minecraft.mined.acacia_wall_sign: #1, 4(44%)
minecraft.dropped.cyan_banner: #1, 4(44%)
minecraft.dropped.lectern: #1, 5(56%)
minecraft.picked_up.orange_bed: #2, 27(36%)
minecraft.crafted.bone_meal: #2, 139855(11%)
minecraft.dropped.red_tulip: #2, 137(29%)
minecraft.mined.lime_stained_glass_pane: #2, 132(20%)
minecraft.mined.cut_sandstone: #2, 497(18%)
minecraft.dropped.activator_rail: #1, 7(54%)
minecraft.crafted.ender_pearl: #1, 22(54%)
minecraft.broken.iron_leggings: #1, 3(43%)
minecraft.dropped.smooth_sandstone_slab: #1, 10(71%)
minecraft.crafted.diamond_shovel: #2, 44(14%)
minecraft.picked_up.iron_sword: #1, 21(9%)
minecraft.mined.red_mushroom: #2, 146(19%)
minecraft.used.writable_book: #2, 456(12%)
minecraft.mined.green_concrete_powder: #2, 462(24%)
minecraft.mined.light_blue_stained_glass_pane: #2, 136(22%)
minecraft.crafted.yellow_carpet: #2, 1036(21%)
minecraft.mined.light_weighted_pressure_plate: #1, 14(41%)
minecraft.used.map: #1, 60(34%)
minecraft.crafted.bread: #2, 986(14%)
minecraft.crafted.hopper: #2, 3139(13%)
minecraft.dropped.diamond_axe: #2, 24(15%)
minecraft.dropped.water_bucket: #2, 36(18%)
minecraft.mined.blast_furnace: #2, 72(23%)
minecraft.killed.stray: #1, 8(50%)
minecraft.picked_up.white_concrete_powder: #2, 28251(14%)
minecraft.dropped.enchanted_book: #2, 102(16%)
minecraft.used.kelp: #3, 5646(17%)
minecraft.picked_up.snow_block: #2, 1690(17%)
minecraft.picked_up.tropical_fish: #2, 71(13%)
minecraft.crafted.coal_block: #2, 3632(13%)
minecraft.picked_up.powered_rail: #2, 2951(15%)
minecraft.used.birch_sign: #2, 292(13%)
minecraft.crafted.dark_oak_pressure_plate: #2, 80(23%)
minecraft.mined.yellow_concrete: #2, 2786(18%)
minecraft.custom.interact_with_lectern: #2, 378(14%)
minecraft.picked_up.redstone_lamp: #2, 469(16%)
minecraft.mined.blue_stained_glass: #2, 538(20%)
minecraft.crafted.gray_shulker_box: #3, 59(23%)
minecraft.dropped.stone_bricks: #3, 4396(19%)
minecraft.picked_up.end_rod: #2, 1941(13%)
minecraft.custom.inspect_dispenser: #2, 2465(12%)
minecraft.dropped.sponge: #1, 106(32%)
minecraft.used.white_stained_glass: #2, 16420(13%)
minecraft.mined.observer: #3, 1578(18%)
minecraft.used.birch_door: #2, 33(17%)
minecraft.picked_up.red_shulker_box: #2, 1169(13%)
minecraft.picked_up.dispenser: #2, 376(13%)
minecraft.picked_up.soul_sand: #2, 5264(13%)
minecraft.crafted.lime_concrete_powder: #2, 1992(17%)
minecraft.dropped.rotten_flesh: #3, 7710(13%)
minecraft.crafted.birch_sign: #2, 360(16%)
minecraft.picked_up.golden_apple: #2, 98(16%)
