stat, rank, value, (percentage) 
minecraft.picked_up.redstone_ore: #5, 1035(2%)
minecraft.used.light_blue_bed: #5, 16(4%)
minecraft.crafted.dark_prismarine: #5, 945(3%)
minecraft.crafted.green_terracotta: #5, 1792(4%)
minecraft.picked_up.rail: #6, 3928(6%)
minecraft.used.chorus_flower: #5, 79(4%)
minecraft.crafted.brown_dye: #5, 183(3%)
minecraft.crafted.light_gray_bed: #5, 2(5%)
minecraft.picked_up.stripped_oak_log: #6, 298(6%)
minecraft.mined.light_blue_bed: #5, 13(3%)
minecraft.dropped.light_blue_shulker_box: #5, 2(4%)
minecraft.picked_up.light_blue_bed: #5, 13(3%)
minecraft.used.writable_book: #6, 202(5%)
minecraft.used.light_blue_banner: #5, 18(5%)
minecraft.dropped.cooked_mutton: #5, 8(6%)
minecraft.picked_up.oak_stairs: #6, 327(6%)
minecraft.dropped.yellow_terracotta: #5, 120(3%)
minecraft.crafted.cracked_stone_bricks: #5, 532(2%)
minecraft.mined.stone_brick_stairs: #6, 1052(6%)
minecraft.used.peony: #5, 18(2%)
minecraft.crafted.spruce_button: #6, 103(7%)
minecraft.mined.stripped_oak_log: #6, 278(6%)
minecraft.crafted.white_concrete_powder: #6, 25728(6%)
minecraft.crafted.ender_eye: #6, 42(6%)
minecraft.dropped.acacia_wood: #5, 3(4%)
minecraft.used.cyan_carpet: #6, 87(8%)
minecraft.used.blue_ice: #5, 316(2%)
minecraft.dropped.orange_shulker_box: #5, 3(4%)
minecraft.used.magenta_terracotta: #5, 107(3%)
minecraft.picked_up.melon_slice: #5, 905(2%)
minecraft.killed.cat: #5, 1(5%)
minecraft.used.gray_carpet: #6, 1573(6%)
minecraft.mined.white_concrete: #6, 20056(5%)
minecraft.used.iron_bars: #6, 1617(5%)
minecraft.dropped.flower_pot: #5, 5(2%)
minecraft.dropped.potion: #6, 44(6%)
minecraft.used.melon_seeds: #5, 44(2%)
minecraft.used.ladder: #6, 878(6%)
minecraft.crafted.light_blue_banner: #5, 15(3%)
minecraft.mined.magenta_terracotta: #5, 28(3%)
minecraft.mined.light_gray_shulker_box: #6, 262(6%)
minecraft.dropped.acacia_slab: #5, 1(4%)
minecraft.dropped.gray_shulker_box: #5, 2(3%)
minecraft.crafted.dark_prismarine_slab: #5, 312(1%)
minecraft.picked_up.light_gray_shulker_box: #6, 265(6%)
minecraft.used.light_gray_shulker_box: #6, 253(5%)
minecraft.crafted.dark_prismarine_stairs: #5, 76(2%)
minecraft.used.grass: #6, 136(9%)
minecraft.mined.player_wall_head: #6, 85(5%)
minecraft.dropped.spectral_arrow: #5, 6(1%)
minecraft.crafted.acacia_planks: #6, 3480(5%)
minecraft.mined.cyan_stained_glass: #5, 55(1%)
minecraft.used.cyan_wool: #6, 116(8%)
minecraft.picked_up.spruce_door: #6, 49(5%)
minecraft.mined.dead_brain_coral_block: #5, 6(1%)
minecraft.picked_up.pink_stained_glass: #5, 30(1%)
minecraft.picked_up.stone_shovel: #6, 6(7%)
minecraft.crafted.glass_pane: #6, 736(5%)
minecraft.used.white_concrete: #6, 16447(4%)
minecraft.dropped.clay_ball: #5, 30(0%)
minecraft.picked_up.purple_concrete_powder: #5, 9(0%)
minecraft.mined.dead_brain_coral_fan: #5, 1(0%)
minecraft.custom.raid_win: #5, 4(0%)
minecraft.dropped.red_bed: #6, 1(14%)
minecraft.custom.horse_one_cm: #6, 1412969(4%)
minecraft.dropped.sticky_piston: #6, 42(9%)
minecraft.crafted.stone_hoe: #6, 6(5%)
minecraft.mined.brewing_stand: #6, 22(5%)
minecraft.picked_up.iron_hoe: #6, 2(7%)
minecraft.mined.spruce_button: #6, 15(6%)
minecraft.used.grass_block: #6, 11243(3%)
minecraft.used.bookshelf: #6, 343(4%)
minecraft.crafted.brown_wool: #6, 62(9%)
minecraft.mined.cyan_shulker_box: #6, 125(5%)
minecraft.picked_up.cracked_stone_bricks: #6, 643(4%)
minecraft.picked_up.cyan_shulker_box: #6, 125(5%)
minecraft.used.cyan_shulker_box: #6, 124(5%)
minecraft.mined.snow: #7, 16988(8%)
minecraft.used.light_blue_stained_glass_pane: #6, 215(6%)
minecraft.picked_up.orange_shulker_box: #6, 302(5%)
minecraft.crafted.iron_chestplate: #7, 22(7%)
minecraft.mined.red_mushroom: #6, 38(5%)
minecraft.crafted.gray_carpet: #6, 957(5%)
