stat, rank, value, (percentage) 
minecraft.used.birch_leaves: #9, 81(1%)
minecraft.picked_up.melon_seeds: #9, 9(1%)
minecraft.dropped.sunflower: #9, 4(1%)
minecraft.dropped.glowstone: #9, 18(1%)
minecraft.dropped.oak_fence_gate: #9, 1(2%)
minecraft.dropped.seagrass: #9, 6(1%)
minecraft.dropped.repeater: #9, 9(1%)
minecraft.crafted.andesite_wall: #9, 42(1%)
minecraft.dropped.coarse_dirt: #9, 14(1%)
minecraft.mined.birch_fence: #9, 7(1%)
minecraft.used.crossbow: #9, 17(1%)
minecraft.picked_up.birch_fence: #9, 7(1%)
minecraft.picked_up.white_dye: #9, 51(1%)
minecraft.dropped.spruce_fence_gate: #9, 2(1%)
minecraft.picked_up.prismarine: #9, 104(0%)
minecraft.killed_by.ravager: #9, 1(1%)
minecraft.dropped.andesite_slab: #9, 1(0%)
minecraft.used.turtle_egg: #9, 2(0%)
minecraft.dropped.lime_dye: #9, 1(0%)
minecraft.dropped.blaze_rod: #9, 2(0%)
minecraft.mined.brain_coral_fan: #9, 1(0%)
minecraft.dropped.sweet_berries: #9, 8(0%)
minecraft.used.oak_stairs: #10, 406(4%)
minecraft.dropped.green_concrete_powder: #9, 1(0%)
minecraft.mined.spruce_trapdoor: #10, 312(4%)
minecraft.used.spruce_trapdoor: #10, 957(4%)
minecraft.crafted.iron_hoe: #10, 4(5%)
minecraft.used.oak_trapdoor: #10, 353(3%)
minecraft.crafted.oak_trapdoor: #10, 312(3%)
minecraft.crafted.oak_slab: #10, 816(3%)
minecraft.dropped.grass: #10, 6(5%)
minecraft.mined.oxeye_daisy: #10, 36(3%)
minecraft.crafted.glass_pane: #10, 512(3%)
minecraft.crafted.spruce_trapdoor: #10, 748(3%)
minecraft.picked_up.quartz_block: #10, 636(3%)
minecraft.used.spruce_door: #10, 46(3%)
minecraft.picked_up.dark_oak_sign: #10, 15(4%)
minecraft.used.oak_planks: #10, 680(3%)
minecraft.picked_up.iron_shovel: #10, 9(3%)
minecraft.killed.silverfish: #10, 36(4%)
minecraft.mined.oak_trapdoor: #10, 76(2%)
minecraft.mined.oak_slab: #10, 165(2%)
minecraft.picked_up.painting: #10, 78(3%)
minecraft.picked_up.oak_button: #10, 17(3%)
minecraft.mined.dark_oak_wall_sign: #10, 5(4%)
minecraft.used.loom: #10, 7(3%)
minecraft.used.dark_oak_stairs: #10, 453(2%)
minecraft.mined.infested_stone: #10, 31(2%)
minecraft.crafted.dark_oak_stairs: #10, 456(2%)
minecraft.picked_up.cobblestone_slab: #10, 212(2%)
minecraft.killed.horse: #10, 3(2%)
minecraft.crafted.birch_fence: #10, 42(2%)
minecraft.picked_up.jungle_boat: #10, 5(2%)
minecraft.dropped.dark_oak_stairs: #10, 24(3%)
minecraft.killed_by.vindicator: #10, 1(3%)
minecraft.used.tube_coral_fan: #10, 17(2%)
minecraft.mined.spruce_pressure_plate: #10, 3(2%)
minecraft.used.stripped_dark_oak_log: #10, 55(2%)
minecraft.mined.sea_pickle: #10, 35(1%)
minecraft.mined.light_blue_wool: #10, 20(2%)
minecraft.picked_up.hay_block: #10, 15(1%)
minecraft.mined.sandstone_slab: #10, 117(1%)
minecraft.used.apple: #10, 15(1%)
minecraft.used.birch_fence: #10, 26(1%)
minecraft.crafted.birch_slab: #10, 426(1%)
minecraft.used.brown_carpet: #10, 58(1%)
minecraft.used.blast_furnace: #10, 6(1%)
minecraft.used.birch_slab: #10, 361(1%)
minecraft.mined.andesite_wall: #10, 5(1%)
minecraft.dropped.quartz_pillar: #10, 6(2%)
minecraft.used.acacia_leaves: #10, 47(1%)
minecraft.picked_up.blue_ice: #10, 124(1%)
minecraft.picked_up.trapped_chest: #10, 1(1%)
minecraft.mined.trapped_chest: #10, 1(1%)
minecraft.used.smooth_quartz_slab: #10, 107(1%)
minecraft.picked_up.smoker: #10, 2(1%)
minecraft.mined.andesite_stairs: #10, 1(1%)
minecraft.used.oak_wood: #10, 32(1%)
minecraft.dropped.light_gray_concrete: #10, 5(0%)
minecraft.dropped.flower_pot: #10, 1(0%)
minecraft.mined.birch_stairs: #10, 17(0%)
minecraft.dropped.quartz_stairs: #10, 2(0%)
minecraft.picked_up.tube_coral: #10, 2(0%)
minecraft.picked_up.andesite_stairs: #10, 1(0%)
minecraft.used.trapped_chest: #10, 1(0%)
minecraft.dropped.blaze_powder: #10, 1(0%)
