stat, rank, value, (percentage) 
minecraft.crafted.torch: #22, 1964(1%)
minecraft.picked_up.lapis_lazuli: #22, 1120(1%)
minecraft.used.torch: #22, 2209(1%)
minecraft.mined.diorite: #22, 2051(1%)
minecraft.picked_up.leather_leggings: #22, 3(1%)
minecraft.crafted.iron_leggings: #22, 2(1%)
minecraft.picked_up.diorite: #22, 1750(1%)
minecraft.picked_up.golden_helmet: #22, 2(1%)
minecraft.picked_up.dirt: #22, 4051(0%)
minecraft.mined.granite: #22, 1072(0%)
minecraft.mined.stone: #22, 17948(0%)
minecraft.mined.grass_block: #22, 2041(0%)
minecraft.mined.andesite: #22, 1067(0%)
minecraft.custom.swim_one_cm: #22, 683462(0%)
minecraft.picked_up.bow: #22, 14(0%)
minecraft.crafted.coal_block: #22, 92(0%)
minecraft.picked_up.lever: #22, 16(0%)
minecraft.picked_up.granite: #22, 684(0%)
minecraft.mined.dirt: #22, 2102(0%)
minecraft.used.chest: #22, 81(0%)
minecraft.used.dirt: #22, 1444(0%)
minecraft.used.lever: #22, 16(0%)
minecraft.crafted.glass: #22, 320(0%)
minecraft.picked_up.andesite: #22, 700(0%)
minecraft.used.granite: #22, 29(0%)
minecraft.crafted.chest: #22, 83(0%)
minecraft.mined.birch_log: #22, 103(0%)
minecraft.mined.iron_bars: #22, 18(0%)
minecraft.picked_up.poisonous_potato: #22, 2(0%)
minecraft.crafted.coal: #22, 126(0%)
minecraft.mined.stone_brick_stairs: #22, 26(0%)
minecraft.picked_up.stone: #22, 3195(0%)
minecraft.picked_up.iron_bars: #22, 19(0%)
minecraft.dropped.dirt: #22, 115(0%)
minecraft.picked_up.name_tag: #22, 1(0%)
minecraft.picked_up.stone_brick_stairs: #22, 25(0%)
minecraft.crafted.stone_bricks: #22, 436(0%)
minecraft.picked_up.birch_sapling: #22, 14(0%)
minecraft.picked_up.string: #22, 34(0%)
minecraft.picked_up.dark_oak_log: #22, 97(0%)
minecraft.used.spruce_door: #22, 1(0%)
minecraft.custom.aviate_one_cm: #22, 2906666(0%)
minecraft.crafted.quartz_stairs: #22, 8(0%)
minecraft.mined.cracked_stone_bricks: #22, 1(0%)
minecraft.picked_up.red_mushroom: #22, 1(0%)
minecraft.used.hopper: #22, 9(0%)
minecraft.used.stone_brick_slab: #22, 24(0%)
minecraft.dropped.bow: #22, 1(0%)
minecraft.picked_up.sea_lantern: #22, 9(0%)
minecraft.used.quartz_stairs: #22, 7(0%)
minecraft.crafted.dark_oak_trapdoor: #22, 2(0%)
minecraft.crafted.diamond_block: #22, 2(0%)
minecraft.mined.black_stained_glass: #22, 1(0%)
minecraft.used.diamond_ore: #22, 1(0%)
minecraft.picked_up.diamond_ore: #22, 1(0%)
minecraft.picked_up.cracked_stone_bricks: #22, 1(0%)
minecraft.crafted.polished_andesite: #22, 4(0%)
minecraft.used.polished_andesite: #22, 4(0%)
minecraft.picked_up.netherrack: #22, 15(0%)
minecraft.mined.netherrack: #22, 15(0%)
minecraft.used.iron_axe: #23, 252(1%)
minecraft.custom.sprint_one_cm: #23, 9528672(0%)
minecraft.custom.walk_one_cm: #23, 9879274(0%)
minecraft.crafted.iron_helmet: #23, 2(0%)
minecraft.used.water_bucket: #23, 311(0%)
minecraft.picked_up.golden_boots: #23, 2(0%)
minecraft.custom.open_chest: #23, 2126(0%)
minecraft.used.bucket: #23, 316(0%)
