stat, rank, value, (percentage) 
minecraft.custom.interact_with_furnace: #24, 272(0%)
minecraft.custom.sleep_in_bed: #24, 76(0%)
minecraft.custom.open_chest: #24, 1242(0%)
minecraft.custom.sprint_one_cm: #24, 3982032(0%)
minecraft.used.oak_sapling: #24, 55(0%)
minecraft.mined.dandelion: #24, 8(0%)
minecraft.custom.jump: #24, 11019(0%)
minecraft.used.white_bed: #24, 4(0%)
minecraft.used.chest: #24, 48(0%)
minecraft.mined.oak_leaves: #24, 194(0%)
minecraft.killed.creeper: #24, 11(0%)
minecraft.crafted.glass: #24, 192(0%)
minecraft.used.dirt: #24, 799(0%)
minecraft.crafted.spruce_slab: #24, 78(0%)
minecraft.custom.fall_one_cm: #24, 208913(0%)
minecraft.mined.torch: #24, 53(0%)
minecraft.crafted.torch: #24, 240(0%)
minecraft.picked_up.dirt: #24, 923(0%)
minecraft.dropped.cobblestone: #24, 322(0%)
minecraft.crafted.spruce_stairs: #24, 24(0%)
minecraft.mined.grass_block: #24, 519(0%)
minecraft.killed.spider: #24, 3(0%)
minecraft.picked_up.dandelion: #24, 8(0%)
minecraft.picked_up.bow: #24, 3(0%)
minecraft.crafted.bucket: #24, 2(0%)
minecraft.picked_up.spruce_boat: #24, 1(0%)
minecraft.picked_up.flint: #24, 15(0%)
minecraft.picked_up.oak_planks: #24, 15(0%)
minecraft.picked_up.redstone: #24, 280(0%)
minecraft.used.spruce_boat: #24, 1(0%)
minecraft.dropped.diorite: #24, 46(0%)
minecraft.mined.redstone_ore: #24, 61(0%)
minecraft.picked_up.cobblestone_wall: #24, 3(0%)
minecraft.crafted.chest: #24, 22(0%)
minecraft.picked_up.torch: #24, 69(0%)
minecraft.picked_up.gunpowder: #24, 11(0%)
minecraft.mined.dirt: #24, 354(0%)
minecraft.crafted.iron_ingot: #24, 157(0%)
minecraft.mined.vine: #24, 8(0%)
minecraft.dropped.granite: #24, 27(0%)
minecraft.picked_up.arrow: #24, 20(0%)
minecraft.used.diorite: #24, 7(0%)
minecraft.crafted.stone: #24, 60(0%)
minecraft.crafted.redstone_block: #24, 14(0%)
minecraft.mined.gravel: #24, 141(0%)
minecraft.mined.oak_planks: #24, 3(0%)
minecraft.picked_up.gravel: #24, 122(0%)
minecraft.picked_up.spider_eye: #24, 2(0%)
minecraft.picked_up.oak_fence: #24, 1(0%)
minecraft.mined.spruce_planks: #24, 4(0%)
minecraft.used.player_head: #24, 1(0%)
minecraft.picked_up.spruce_planks: #24, 4(0%)
minecraft.picked_up.baked_potato: #24, 1(0%)
minecraft.custom.open_enderchest: #24, 6(0%)
minecraft.used.written_book: #24, 3(0%)
minecraft.used.sand: #24, 22(0%)
minecraft.crafted.iron_block: #24, 4(0%)
minecraft.crafted.iron_leggings: #25, 1(0%)
minecraft.custom.walk_one_cm: #25, 4803166(0%)
minecraft.mined.coal_ore: #25, 414(0%)
minecraft.custom.interact_with_crafting_table: #25, 128(0%)
minecraft.mined.iron_ore: #25, 201(0%)
minecraft.picked_up.iron_ore: #25, 202(0%)
minecraft.picked_up.coal: #25, 544(0%)
minecraft.killed.zombie: #25, 18(0%)
minecraft.picked_up.white_bed: #25, 3(0%)
minecraft.used.torch: #25, 309(0%)
minecraft.crafted.anvil: #25, 1(0%)
minecraft.custom.damage_dealt: #25, 12399(0%)
minecraft.mined.crafting_table: #25, 6(0%)
minecraft.crafted.crafting_table: #25, 2(0%)
minecraft.used.furnace: #25, 6(0%)
minecraft.used.crafting_table: #25, 6(0%)
minecraft.used.bucket: #25, 51(0%)
minecraft.mined.furnace: #25, 3(0%)
minecraft.picked_up.cobblestone: #25, 1212(0%)
minecraft.picked_up.furnace: #25, 3(0%)
minecraft.picked_up.stick: #25, 29(0%)
minecraft.used.water_bucket: #25, 43(0%)
minecraft.crafted.shears: #25, 2(0%)
minecraft.used.anvil: #25, 1(0%)
minecraft.picked_up.written_book: #25, 1(0%)
minecraft.picked_up.diamond: #25, 23(0%)
minecraft.crafted.furnace: #25, 4(0%)
minecraft.used.cobblestone: #25, 120(0%)
minecraft.mined.spruce_log: #25, 77(0%)
minecraft.mined.gold_ore: #25, 11(0%)
minecraft.picked_up.gold_ore: #25, 11(0%)
minecraft.picked_up.spruce_log: #25, 77(0%)
minecraft.custom.climb_one_cm: #25, 22815(0%)
minecraft.mined.diorite: #25, 107(0%)
minecraft.picked_up.diorite: #25, 98(0%)
minecraft.mined.stone: #25, 1430(0%)
minecraft.mined.sand: #25, 396(0%)
minecraft.picked_up.andesite: #25, 82(0%)
minecraft.mined.spruce_stairs: #25, 2(0%)
minecraft.picked_up.sand: #25, 395(0%)
minecraft.mined.andesite: #25, 67(0%)
