stat, rank, value, (percentage) 
minecraft.mined.dropper: #5, 219(8%)
minecraft.dropped.coal: #5, 648(6%)
minecraft.picked_up.dead_tube_coral_fan: #4, 31(6%)
minecraft.picked_up.slime_block: #5, 879(7%)
minecraft.picked_up.melon: #4, 281(4%)
minecraft.crafted.oak_sign: #5, 686(6%)
minecraft.picked_up.chicken: #5, 307(6%)
minecraft.dropped.dark_oak_sapling: #4, 8(4%)
minecraft.dropped.elytra: #5, 13(7%)
minecraft.mined.yellow_concrete: #5, 1344(9%)
minecraft.dropped.acacia_wood: #4, 4(5%)
minecraft.picked_up.quartz: #5, 24546(6%)
minecraft.used.purpur_slab: #4, 12(4%)
minecraft.used.emerald_block: #5, 301(8%)
minecraft.dropped.chicken: #5, 106(7%)
minecraft.dropped.composter: #4, 1(6%)
minecraft.dropped.blue_stained_glass: #4, 25(6%)
minecraft.used.diamond_hoe: #5, 2602(14%)
minecraft.dropped.dropper: #4, 22(4%)
minecraft.dropped.chorus_fruit: #4, 51(3%)
minecraft.dropped.purpur_slab: #5, 34(10%)
minecraft.used.packed_ice: #5, 6338(6%)
minecraft.dropped.sea_lantern: #4, 402(2%)
minecraft.crafted.packed_ice: #4, 378(2%)
minecraft.dropped.lime_wool: #5, 65(13%)
minecraft.dropped.activator_rail: #4, 1(8%)
minecraft.picked_up.lily_pad: #5, 114(7%)
minecraft.crafted.glass_pane: #5, 916(6%)
minecraft.dropped.orange_terracotta: #4, 78(2%)
minecraft.dropped.podzol: #5, 57(13%)
minecraft.picked_up.pink_concrete: #5, 163(9%)
minecraft.picked_up.dropper: #5, 249(7%)
minecraft.dropped.water_bucket: #5, 15(7%)
minecraft.mined.jungle_button: #4, 4(3%)
minecraft.mined.gray_terracotta: #4, 110(2%)
minecraft.mined.brain_coral_fan: #4, 15(2%)
minecraft.mined.acacia_wood: #5, 123(10%)
minecraft.picked_up.jungle_button: #4, 4(2%)
minecraft.crafted.sandstone_stairs: #5, 752(7%)
minecraft.used.brown_stained_glass_pane: #4, 4(3%)
minecraft.dropped.spider_eye: #5, 293(5%)
minecraft.dropped.chorus_flower: #4, 2(3%)
minecraft.crafted.light_blue_stained_glass_pane: #5, 352(8%)
minecraft.dropped.light_blue_stained_glass_pane: #4, 1(2%)
minecraft.crafted.ender_pearl: #4, 1(2%)
minecraft.picked_up.hopper: #6, 1229(9%)
minecraft.dropped.potato: #5, 978(5%)
minecraft.mined.horn_coral_fan: #4, 8(1%)
minecraft.used.melon: #4, 23(1%)
minecraft.mined.glass: #6, 2546(9%)
minecraft.mined.pink_concrete_powder: #4, 1(1%)
minecraft.picked_up.brown_stained_glass_pane: #4, 1(1%)
minecraft.picked_up.stone_shovel: #5, 6(7%)
minecraft.killed.guardian: #5, 11202(5%)
minecraft.crafted.fire_charge: #4, 108(1%)
minecraft.dropped.oak_door: #5, 8(8%)
