stat, rank, value, (percentage) 
minecraft.custom.walk_on_water_one_cm: #3, 20927987(11%)
minecraft.crafted.orange_carpet: #1, 291(30%)
minecraft.crafted.powered_rail: #1, 4318(16%)
minecraft.custom.sneak_time: #3, 8088150(10%)
minecraft.dropped.iron_chestplate: #2, 34(24%)
minecraft.used.acacia_trapdoor: #2, 2176(27%)
minecraft.picked_up.light_gray_wool: #2, 1519(20%)
minecraft.picked_up.black_wool: #2, 1221(22%)
minecraft.crafted.cyan_wool: #1, 70(40%)
minecraft.picked_up.birch_trapdoor: #1, 181(18%)
minecraft.picked_up.cocoa_beans: #2, 8011(19%)
minecraft.custom.open_enderchest: #2, 13491(13%)
minecraft.killed.wandering_trader: #1, 23(21%)
minecraft.crafted.cauldron: #2, 283(22%)
minecraft.picked_up.golden_chestplate: #1, 46(13%)
minecraft.mined.lapis_block: #2, 178(30%)
minecraft.crafted.magenta_dye: #2, 1985(21%)
minecraft.picked_up.blue_banner: #1, 75(35%)
minecraft.used.sunflower: #1, 24(29%)
minecraft.dropped.lead: #1, 39(20%)
minecraft.picked_up.grass_block: #2, 90158(16%)
minecraft.used.white_banner: #2, 256(19%)
minecraft.picked_up.black_banner: #1, 47(24%)
minecraft.picked_up.acacia_door: #1, 77(38%)
minecraft.mined.damaged_anvil: #1, 41(17%)
minecraft.picked_up.nether_star: #2, 107(23%)
minecraft.dropped.grass: #1, 25(19%)
minecraft.mined.brick_stairs: #2, 358(34%)
minecraft.picked_up.bamboo: #2, 19335(22%)
minecraft.killed.wither: #2, 98(24%)
minecraft.picked_up.spider_eye: #2, 2022(16%)
minecraft.dropped.red_mushroom_block: #1, 886(50%)
minecraft.dropped.red_stained_glass_pane: #1, 48(50%)
minecraft.custom.climb_one_cm: #2, 10000793(12%)
minecraft.crafted.cyan_carpet: #1, 186(20%)
minecraft.crafted.oak_sign: #2, 1869(16%)
minecraft.crafted.brown_wool: #1, 206(30%)
minecraft.crafted.smooth_red_sandstone: #1, 1035(99%)
minecraft.crafted.blast_furnace: #2, 256(28%)
minecraft.picked_up.stick: #2, 7000(13%)
minecraft.picked_up.chainmail_leggings: #2, 30(19%)
minecraft.picked_up.nether_brick_slab: #2, 1010(25%)
minecraft.picked_up.damaged_anvil: #1, 41(16%)
minecraft.crafted.glass_pane: #2, 2768(17%)
minecraft.dropped.spruce_wood: #1, 11(58%)
minecraft.picked_up.green_bed: #1, 73(41%)
minecraft.used.stone_brick_stairs: #2, 10307(17%)
minecraft.dropped.brown_mushroom: #2, 227(19%)
minecraft.mined.soul_sand: #2, 7519(17%)
minecraft.crafted.purple_dye: #2, 1850(21%)
minecraft.picked_up.lime_banner: #1, 18(28%)
minecraft.dropped.ladder: #1, 221(17%)
minecraft.used.white_wool: #2, 1175(17%)
minecraft.picked_up.chainmail_boots: #1, 20(14%)
minecraft.used.chipped_anvil: #2, 76(22%)
minecraft.crafted.acacia_pressure_plate: #1, 28(68%)
minecraft.dropped.dark_prismarine: #1, 117(34%)
minecraft.dropped.leather_leggings: #2, 54(18%)
minecraft.picked_up.lime_bed: #1, 17(27%)
minecraft.picked_up.end_stone: #2, 4959(19%)
minecraft.crafted.diorite_wall: #1, 132(45%)
minecraft.crafted.jungle_fence_gate: #1, 83(45%)
minecraft.crafted.campfire: #2, 392(22%)
minecraft.crafted.ladder: #1, 1599(12%)
minecraft.crafted.lapis_lazuli: #2, 6734(16%)
minecraft.used.acacia_leaves: #1, 870(20%)
minecraft.used.cocoa_beans: #2, 3433(19%)
minecraft.mined.yellow_wall_banner: #1, 15(29%)
minecraft.used.observer: #2, 3512(17%)
minecraft.crafted.armor_stand: #2, 564(17%)
minecraft.mined.composter: #1, 62(15%)
minecraft.used.nether_brick_fence: #1, 211(24%)
minecraft.mined.chipped_anvil: #2, 79(21%)
minecraft.used.brown_carpet: #2, 1203(24%)
minecraft.picked_up.brick_stairs: #2, 358(30%)
minecraft.used.conduit: #2, 29(26%)
minecraft.mined.pink_concrete: #1, 317(20%)
minecraft.used.acacia_pressure_plate: #1, 51(65%)
minecraft.used.cut_sandstone_slab: #1, 311(43%)
minecraft.killed.snow_golem: #2, 41(28%)
minecraft.picked_up.white_wool: #2, 1826(13%)
minecraft.used.detector_rail: #2, 137(19%)
minecraft.custom.interact_with_crafting_table: #2, 9760(10%)
minecraft.dropped.mushroom_stem: #1, 257(42%)
minecraft.mined.black_wall_banner: #1, 30(28%)
minecraft.crafted.birch_pressure_plate: #2, 108(22%)
minecraft.picked_up.jungle_sign: #1, 44(31%)
minecraft.used.black_wool: #2, 2064(22%)
minecraft.crafted.composter: #2, 255(19%)
minecraft.mined.lime_bed: #1, 14(25%)
minecraft.dropped.jungle_sign: #1, 40(62%)
minecraft.crafted.iron_bars: #2, 4992(15%)
minecraft.mined.birch_trapdoor: #2, 144(19%)
minecraft.dropped.chainmail_leggings: #2, 28(22%)
minecraft.used.lava_bucket: #2, 382(15%)
minecraft.dropped.composter: #1, 7(41%)
minecraft.used.jungle_trapdoor: #2, 1710(35%)
minecraft.crafted.sandstone_slab: #2, 34850(19%)
minecraft.picked_up.chipped_anvil: #2, 79(20%)
minecraft.used.iron_bars: #2, 4535(14%)
minecraft.picked_up.potion: #2, 364(15%)
minecraft.crafted.end_stone_brick_stairs: #1, 240(81%)
minecraft.dropped.spider_eye: #2, 881(16%)
minecraft.crafted.wooden_shovel: #2, 127(20%)
minecraft.dropped.cobblestone_slab: #2, 522(20%)
minecraft.picked_up.enchanted_book: #2, 159(15%)
minecraft.picked_up.jungle_stairs: #2, 269(24%)
minecraft.used.black_carpet: #2, 1296(17%)
minecraft.used.polished_granite: #2, 3842(20%)
minecraft.picked_up.prismarine_bricks: #2, 7513(20%)
minecraft.picked_up.acacia_pressure_plate: #1, 35(59%)
minecraft.crafted.green_banner: #1, 32(47%)
minecraft.used.light_blue_wool: #2, 783(20%)
minecraft.dropped.green_banner: #1, 3(33%)
minecraft.mined.red_nether_brick_slab: #1, 96(39%)
minecraft.dropped.glowstone_dust: #2, 183(22%)
minecraft.used.birch_log: #2, 2609(15%)
minecraft.used.andesite: #2, 6734(13%)
minecraft.dropped.chainmail_chestplate: #1, 12(21%)
minecraft.picked_up.red_nether_brick_wall: #1, 27(77%)
minecraft.picked_up.andesite_slab: #2, 235(28%)
minecraft.crafted.chainmail_boots: #1, 36(46%)
minecraft.mined.red_nether_brick_wall: #1, 30(77%)
minecraft.picked_up.red_nether_brick_slab: #1, 111(38%)
minecraft.crafted.iron_chestplate: #2, 40(12%)
minecraft.used.brown_glazed_terracotta: #1, 202(58%)
minecraft.used.soul_sand: #2, 3091(14%)
minecraft.used.wither_skeleton_skull: #2, 271(21%)
minecraft.mined.jungle_wood: #1, 24(38%)
minecraft.picked_up.golden_leggings: #1, 36(10%)
minecraft.mined.lime_wall_banner: #1, 10(45%)
minecraft.dropped.blue_banner: #1, 10(45%)
minecraft.used.loom: #2, 43(16%)
minecraft.crafted.firework_star: #2, 3552(27%)
minecraft.mined.birch_pressure_plate: #2, 31(20%)
minecraft.used.white_tulip: #1, 38(20%)
minecraft.dropped.stone_brick_slab: #2, 641(18%)
minecraft.mined.end_stone: #2, 4078(17%)
minecraft.picked_up.lead: #2, 331(15%)
minecraft.picked_up.bow: #2, 586(12%)
minecraft.picked_up.heart_of_the_sea: #1, 5(28%)
minecraft.mined.andesite_slab: #2, 227(29%)
minecraft.used.jungle_log: #2, 1298(13%)
minecraft.used.orange_banner: #1, 23(28%)
minecraft.mined.end_stone_brick_stairs: #1, 129(74%)
minecraft.dropped.nether_star: #1, 11(28%)
minecraft.killed.parrot: #1, 5(31%)
minecraft.used.nether_bricks: #2, 5131(19%)
minecraft.picked_up.ice: #3, 21139(18%)
minecraft.mined.cauldron: #2, 93(19%)
minecraft.picked_up.black_shulker_box: #2, 599(18%)
minecraft.mined.jungle_wall_sign: #1, 15(36%)
minecraft.dropped.acacia_pressure_plate: #1, 8(53%)
minecraft.crafted.knowledge_book: #1, 4(27%)
minecraft.used.black_shulker_box: #2, 586(18%)
minecraft.used.magenta_shulker_box: #2, 465(15%)
minecraft.picked_up.conduit: #2, 24(26%)
minecraft.mined.black_shulker_box: #2, 574(18%)
minecraft.mined.clay: #3, 4041(18%)
minecraft.mined.birch_slab: #3, 886(21%)
minecraft.crafted.grindstone: #2, 260(20%)
minecraft.mined.hopper: #2, 1551(13%)
minecraft.used.brown_concrete: #2, 494(23%)
minecraft.picked_up.polished_granite: #3, 1606(21%)
minecraft.used.cooked_cod: #2, 3821(15%)
minecraft.used.birch_slab: #3, 8672(20%)
minecraft.used.damaged_anvil: #2, 36(17%)
minecraft.used.smoker: #2, 82(18%)
minecraft.picked_up.dark_prismarine: #2, 1055(18%)
minecraft.mined.conduit: #2, 23(27%)
minecraft.used.bone_meal: #2, 14827(10%)
