stat, rank, value, (percentage) 
minecraft.picked_up.lime_stained_glass: #8, 52(1%)
minecraft.crafted.orange_stained_glass: #8, 136(2%)
minecraft.picked_up.cyan_dye: #8, 34(2%)
minecraft.picked_up.dead_tube_coral_block: #8, 16(2%)
minecraft.crafted.wooden_shovel: #8, 7(1%)
minecraft.used.red_tulip: #8, 3(2%)
minecraft.used.smooth_stone: #8, 437(1%)
minecraft.dropped.anvil: #8, 1(2%)
minecraft.crafted.filled_map: #8, 27(1%)
minecraft.crafted.orange_glazed_terracotta: #8, 12(1%)
minecraft.crafted.acacia_wood: #8, 45(1%)
minecraft.dropped.pink_tulip: #8, 2(1%)
minecraft.picked_up.iron_boots: #9, 12(4%)
minecraft.crafted.cookie: #8, 66(1%)
minecraft.picked_up.fire_coral_block: #8, 44(1%)
minecraft.mined.bubble_coral_block: #8, 26(1%)
minecraft.crafted.yellow_wool: #8, 32(0%)
minecraft.mined.jukebox: #8, 1(1%)
minecraft.used.fern: #8, 10(0%)
minecraft.mined.fire_coral_block: #8, 19(0%)
minecraft.picked_up.lime_dye: #8, 10(0%)
minecraft.dropped.brick: #8, 3(0%)
minecraft.picked_up.fire_coral: #8, 1(0%)
minecraft.mined.brain_coral: #8, 1(0%)
minecraft.mined.quartz_slab: #9, 670(5%)
minecraft.mined.spruce_slab: #9, 673(4%)
minecraft.crafted.diamond_sword: #9, 6(3%)
minecraft.picked_up.baked_potato: #9, 307(3%)
minecraft.crafted.lapis_lazuli: #9, 1341(3%)
minecraft.custom.talked_to_villager: #9, 1599(3%)
minecraft.dropped.potion: #9, 25(3%)
minecraft.mined.purple_stained_glass: #9, 25(5%)
minecraft.mined.potatoes: #9, 575(3%)
minecraft.picked_up.white_tulip: #9, 54(4%)
minecraft.picked_up.red_concrete: #9, 667(3%)
minecraft.picked_up.gray_carpet: #9, 303(3%)
minecraft.crafted.spruce_boat: #9, 10(3%)
minecraft.mined.yellow_concrete: #9, 567(4%)
minecraft.used.poppy: #9, 13(3%)
minecraft.dropped.baked_potato: #9, 76(3%)
minecraft.killed.husk: #9, 29(3%)
minecraft.used.orange_concrete_powder: #9, 256(3%)
minecraft.picked_up.orange_concrete: #9, 338(3%)
minecraft.used.dark_oak_stairs: #9, 509(2%)
minecraft.mined.red_concrete: #9, 614(3%)
minecraft.used.yellow_stained_glass: #9, 163(3%)
minecraft.mined.oak_pressure_plate: #9, 6(3%)
minecraft.picked_up.end_stone_bricks: #9, 185(3%)
minecraft.used.gray_concrete_powder: #9, 3062(2%)
minecraft.crafted.orange_concrete_powder: #9, 256(3%)
minecraft.picked_up.bread: #9, 45(3%)
minecraft.crafted.dark_oak_stairs: #9, 528(2%)
minecraft.picked_up.orange_tulip: #9, 45(3%)
minecraft.used.cauldron: #9, 24(2%)
minecraft.picked_up.red_tulip: #9, 37(2%)
minecraft.picked_up.pink_tulip: #9, 26(2%)
minecraft.mined.purpur_pillar: #9, 88(3%)
