stat, rank, value, (percentage) 
minecraft.mined.iron_ore: #23, 591(0%)
minecraft.picked_up.iron_ore: #23, 590(0%)
minecraft.picked_up.redstone: #23, 1668(0%)
minecraft.mined.oak_log: #23, 360(0%)
minecraft.used.writable_book: #23, 10(0%)
minecraft.mined.white_bed: #23, 4(0%)
minecraft.crafted.oak_slab: #23, 48(0%)
minecraft.mined.granite: #23, 430(0%)
minecraft.killed.chicken: #23, 5(0%)
minecraft.used.granite: #23, 21(0%)
minecraft.picked_up.granite: #23, 406(0%)
minecraft.picked_up.stick: #23, 67(0%)
minecraft.picked_up.red_shulker_box: #23, 12(0%)
minecraft.picked_up.flint: #23, 27(0%)
minecraft.dropped.granite: #23, 72(0%)
minecraft.crafted.redstone_block: #23, 41(0%)
minecraft.crafted.stone_bricks: #23, 240(0%)
minecraft.used.stone_bricks: #23, 128(0%)
minecraft.dropped.oak_sapling: #23, 1(0%)
minecraft.used.glass_pane: #23, 2(0%)
minecraft.mined.stone_bricks: #23, 15(0%)
minecraft.dropped.redstone: #23, 1(0%)
minecraft.mined.polished_andesite: #23, 1(0%)
minecraft.picked_up.polished_andesite: #23, 1(0%)
minecraft.dropped.kelp: #23, 2(0%)
minecraft.used.glass: #23, 1(0%)
minecraft.used.torch: #24, 1138(0%)
minecraft.crafted.iron_leggings: #24, 1(0%)
minecraft.mined.gold_ore: #24, 65(0%)
minecraft.picked_up.gold_ore: #24, 64(0%)
minecraft.picked_up.cobblestone: #24, 2583(0%)
minecraft.mined.stone: #24, 6431(0%)
minecraft.picked_up.andesite: #24, 328(0%)
minecraft.mined.andesite: #24, 342(0%)
minecraft.mined.diamond_ore: #24, 26(0%)
minecraft.picked_up.dark_oak_boat: #24, 1(0%)
minecraft.mined.diorite: #24, 228(0%)
minecraft.picked_up.diorite: #24, 213(0%)
minecraft.dropped.dirt: #24, 50(0%)
minecraft.dropped.andesite: #24, 22(0%)
minecraft.used.cooked_chicken: #24, 4(0%)
minecraft.picked_up.feather: #24, 3(0%)
minecraft.used.andesite: #24, 10(0%)
minecraft.picked_up.coal_block: #24, 1(0%)
minecraft.mined.kelp: #24, 3(0%)
minecraft.used.kelp: #24, 4(0%)
minecraft.mined.stone_brick_stairs: #24, 1(0%)
minecraft.custom.fly_one_cm: #25, 29078163(1%)
minecraft.crafted.iron_chestplate: #25, 1(0%)
minecraft.crafted.iron_boots: #25, 1(0%)
minecraft.crafted.iron_helmet: #25, 1(0%)
minecraft.dropped.cobblestone: #25, 123(0%)
minecraft.used.oak_fence: #25, 2(0%)
minecraft.used.oak_sapling: #26, 35(0%)
minecraft.custom.play_one_minute: #28, 13265081(1%)
minecraft.custom.time_since_death: #31, 526441(0%)
minecraft.custom.time_since_rest: #33, 27433(0%)
