stat, rank, value, (percentage) 
minecraft.dropped.granite: #4, 5929(8%)
minecraft.mined.carved_pumpkin: #3, 471(6%)
minecraft.mined.pumpkin: #4, 328(9%)
minecraft.picked_up.heart_of_the_sea: #3, 2(11%)
minecraft.broken.wooden_pickaxe: #3, 1(12%)
minecraft.used.yellow_terracotta: #4, 738(12%)
minecraft.dropped.stripped_birch_log: #3, 16(9%)
minecraft.picked_up.chainmail_helmet: #4, 11(10%)
minecraft.mined.pink_concrete: #4, 226(14%)
minecraft.used.oak_door: #4, 68(10%)
minecraft.picked_up.golden_boots: #4, 32(8%)
minecraft.picked_up.golden_apple: #4, 62(10%)
minecraft.dropped.cyan_shulker_box: #3, 2(9%)
minecraft.picked_up.brown_wool: #3, 387(5%)
minecraft.used.end_stone: #4, 1087(9%)
minecraft.dropped.mutton: #4, 60(14%)
minecraft.used.oak_boat: #4, 177(7%)
minecraft.dropped.cobblestone_stairs: #4, 173(10%)
minecraft.broken.leather_boots: #3, 1(12%)
minecraft.used.trapped_chest: #3, 20(7%)
minecraft.dropped.wooden_pickaxe: #3, 3(6%)
minecraft.picked_up.diamond_hoe: #3, 2(14%)
minecraft.picked_up.black_concrete: #4, 5793(7%)
minecraft.mined.smooth_sandstone: #4, 1181(10%)
minecraft.used.jack_o_lantern: #3, 306(5%)
minecraft.mined.coal_ore: #4, 14945(7%)
minecraft.dropped.cooked_cod: #3, 958(5%)
minecraft.used.green_banner: #3, 4(9%)
minecraft.used.iron_pickaxe: #4, 6766(7%)
minecraft.mined.stripped_oak_log: #4, 352(7%)
minecraft.picked_up.lime_wool: #3, 314(4%)
minecraft.picked_up.red_carpet: #4, 314(9%)
minecraft.crafted.cooked_porkchop: #3, 154(4%)
minecraft.dropped.diorite: #4, 5717(7%)
minecraft.picked_up.pumpkin_seeds: #4, 2747(8%)
minecraft.crafted.brick_slab: #3, 546(7%)
minecraft.picked_up.lime_stained_glass_pane: #4, 127(11%)
minecraft.picked_up.stone_brick_stairs: #4, 1673(7%)
minecraft.crafted.cooked_mutton: #3, 90(4%)
minecraft.crafted.jack_o_lantern: #3, 257(4%)
minecraft.crafted.stone_shovel: #4, 36(7%)
minecraft.picked_up.diamond_horse_armor: #3, 1(6%)
minecraft.used.stone_hoe: #4, 440(7%)
minecraft.picked_up.diamond_block: #4, 396(7%)
minecraft.picked_up.dark_oak_trapdoor: #4, 226(7%)
minecraft.used.pink_concrete: #4, 108(12%)
minecraft.custom.walk_under_water_one_cm: #6, 35006083(7%)
minecraft.crafted.glass_pane: #4, 1088(7%)
minecraft.picked_up.clay_ball: #4, 4287(7%)
minecraft.dropped.written_book: #4, 80(6%)
minecraft.mined.diamond_block: #4, 250(7%)
minecraft.picked_up.pumpkin_pie: #4, 132(12%)
minecraft.picked_up.red_glazed_terracotta: #3, 144(5%)
minecraft.picked_up.stone_pressure_plate: #4, 192(7%)
minecraft.crafted.trapped_chest: #3, 10(5%)
minecraft.mined.pumpkin_stem: #3, 17(4%)
minecraft.picked_up.gray_dye: #3, 144(5%)
minecraft.dropped.dead_fire_coral_block: #3, 5(15%)
minecraft.dropped.stone_sword: #4, 93(7%)
minecraft.picked_up.glowstone: #4, 1305(7%)
minecraft.used.light_gray_shulker_box: #4, 312(7%)
minecraft.picked_up.gold_ingot: #4, 780(7%)
minecraft.mined.light_gray_shulker_box: #4, 304(7%)
minecraft.crafted.glistering_melon_slice: #4, 53(13%)
minecraft.dropped.brown_carpet: #3, 8(5%)
minecraft.picked_up.black_concrete_powder: #4, 6027(7%)
minecraft.picked_up.light_gray_shulker_box: #4, 305(6%)
minecraft.picked_up.gray_wool: #4, 212(6%)
minecraft.dropped.potion: #4, 46(6%)
minecraft.used.chest: #5, 3149(8%)
minecraft.killed_by.iron_golem: #3, 2(4%)
minecraft.broken.wooden_shovel: #3, 1(9%)
minecraft.picked_up.pink_stained_glass: #3, 128(3%)
