stat, rank, value, (percentage) 
minecraft.crafted.stone_hoe: #8, 5(4%)
minecraft.crafted.diamond_helmet: #8, 5(4%)
minecraft.used.detector_rail: #8, 31(4%)
minecraft.dropped.chest: #8, 48(3%)
minecraft.crafted.book: #8, 242(3%)
minecraft.mined.white_wall_banner: #8, 15(4%)
minecraft.dropped.cake: #8, 4(5%)
minecraft.crafted.iron_door: #8, 24(3%)
minecraft.mined.polished_granite: #8, 164(3%)
minecraft.crafted.polished_granite: #8, 512(3%)
minecraft.crafted.detector_rail: #8, 30(3%)
minecraft.crafted.green_wool: #8, 33(4%)
minecraft.custom.interact_with_blast_furnace: #8, 13(2%)
minecraft.picked_up.yellow_carpet: #8, 32(2%)
minecraft.used.polished_granite: #8, 406(2%)
minecraft.used.wooden_pickaxe: #9, 60(6%)
minecraft.picked_up.diorite: #9, 15033(5%)
minecraft.dropped.magma_block: #8, 28(2%)
minecraft.picked_up.torch: #9, 7477(4%)
minecraft.crafted.slime_ball: #8, 252(1%)
minecraft.crafted.cake: #8, 10(1%)
minecraft.crafted.grindstone: #8, 9(1%)
minecraft.used.acacia_fence: #8, 13(1%)
minecraft.used.cake: #8, 5(0%)
minecraft.crafted.packed_ice: #8, 72(0%)
minecraft.crafted.cyan_wool: #8, 1(1%)
minecraft.crafted.jungle_trapdoor: #8, 18(0%)
minecraft.crafted.diamond_leggings: #9, 5(4%)
minecraft.used.oak_planks: #9, 807(3%)
minecraft.mined.oak_log: #9, 3480(3%)
minecraft.mined.emerald_ore: #9, 27(5%)
minecraft.used.campfire: #9, 58(4%)
minecraft.mined.hopper: #9, 355(3%)
minecraft.crafted.enchanted_book: #9, 113(3%)
minecraft.dropped.redstone_block: #9, 65(4%)
minecraft.crafted.stone: #9, 4278(2%)
minecraft.mined.comparator: #9, 56(3%)
minecraft.killed.skeleton: #9, 1769(2%)
minecraft.used.cooked_porkchop: #9, 17(2%)
minecraft.crafted.oak_planks: #10, 17951(5%)
minecraft.crafted.white_banner: #9, 26(2%)
minecraft.used.comparator: #9, 125(2%)
minecraft.dropped.red_mushroom: #9, 9(2%)
minecraft.mined.granite: #10, 14028(5%)
minecraft.used.grindstone: #9, 17(2%)
minecraft.picked_up.hay_block: #9, 17(2%)
minecraft.mined.bamboo_sapling: #9, 1(2%)
minecraft.crafted.green_carpet: #9, 48(1%)
minecraft.mined.diorite: #10, 14233(5%)
minecraft.used.light_blue_stained_glass_pane: #9, 43(1%)
minecraft.crafted.apple: #9, 23(1%)
minecraft.mined.dark_oak_pressure_plate: #9, 1(1%)
minecraft.crafted.dark_oak_pressure_plate: #9, 3(1%)
minecraft.picked_up.smoker: #9, 2(1%)
minecraft.used.yellow_wool: #9, 66(1%)
minecraft.mined.smoker: #9, 2(1%)
minecraft.crafted.cooked_porkchop: #9, 17(0%)
minecraft.picked_up.flint: #10, 1041(4%)
minecraft.dropped.yellow_carpet: #9, 3(1%)
minecraft.crafted.blast_furnace: #9, 2(0%)
minecraft.crafted.orange_wool: #9, 1(0%)
minecraft.picked_up.water_bucket: #10, 40(4%)
minecraft.used.jungle_trapdoor: #9, 11(0%)
minecraft.crafted.purple_wool: #9, 1(0%)
minecraft.used.iron_shovel: #10, 1799(4%)
minecraft.picked_up.stone_pickaxe: #10, 4(5%)
minecraft.picked_up.oak_log: #10, 3699(2%)
minecraft.used.hopper: #10, 994(3%)
minecraft.dropped.flint: #10, 300(3%)
minecraft.mined.detector_rail: #10, 12(4%)
minecraft.picked_up.oak_pressure_plate: #10, 15(3%)
minecraft.picked_up.hopper: #10, 389(3%)
minecraft.picked_up.apple: #10, 166(3%)
minecraft.used.redstone_torch: #10, 391(3%)
minecraft.picked_up.lead: #10, 57(3%)
minecraft.crafted.piston: #10, 381(2%)
minecraft.picked_up.polished_granite: #10, 164(2%)
minecraft.picked_up.yellow_wool: #10, 164(2%)
minecraft.picked_up.porkchop: #10, 30(2%)
minecraft.picked_up.stone_shovel: #10, 2(2%)
minecraft.crafted.observer: #10, 256(2%)
minecraft.mined.birch_pressure_plate: #10, 3(2%)
minecraft.dropped.spruce_trapdoor: #10, 10(2%)
minecraft.mined.black_banner: #10, 1(2%)
minecraft.crafted.light_blue_stained_glass_pane: #10, 80(2%)
minecraft.mined.light_blue_stained_glass_pane: #10, 11(2%)
minecraft.used.spruce_pressure_plate: #10, 6(1%)
