stat, rank, value, (percentage) 
minecraft.used.spruce_sapling: #8, 384(3%)
minecraft.mined.birch_log: #8, 1558(3%)
minecraft.picked_up.prismarine_crystals: #8, 3173(3%)
minecraft.killed.squid: #8, 97(3%)
minecraft.picked_up.birch_log: #8, 1621(2%)
minecraft.mined.cocoa: #8, 157(3%)
minecraft.picked_up.wet_sponge: #8, 403(3%)
minecraft.mined.diamond_block: #8, 90(3%)
minecraft.used.quartz_pillar: #8, 496(3%)
minecraft.used.black_stained_glass: #8, 822(3%)
minecraft.mined.pink_concrete: #8, 64(4%)
minecraft.picked_up.spruce_button: #8, 14(3%)
minecraft.used.sponge: #8, 401(3%)
minecraft.crafted.cauldron: #8, 34(3%)
minecraft.picked_up.prismarine_shard: #8, 7606(3%)
minecraft.mined.wet_sponge: #8, 403(3%)
minecraft.crafted.quartz_pillar: #8, 448(2%)
minecraft.crafted.yellow_dye: #8, 608(2%)
minecraft.used.pink_concrete: #8, 30(3%)
minecraft.killed.ender_dragon: #8, 1(5%)
minecraft.mined.glowstone: #8, 430(2%)
minecraft.crafted.iron_leggings: #9, 18(5%)
minecraft.mined.sandstone_slab: #8, 223(2%)
minecraft.picked_up.clay: #8, 167(3%)
minecraft.picked_up.dragon_egg: #8, 1(5%)
minecraft.crafted.hopper: #9, 1446(6%)
minecraft.picked_up.yellow_stained_glass_pane: #8, 14(4%)
minecraft.mined.tall_grass: #8, 1(5%)
minecraft.mined.spruce_planks: #9, 1441(5%)
minecraft.mined.chiseled_stone_bricks: #8, 34(2%)
minecraft.mined.spruce_wood: #8, 30(2%)
minecraft.picked_up.ender_eye: #8, 1(4%)
minecraft.used.wet_sponge: #8, 4(3%)
minecraft.crafted.pink_concrete_powder: #8, 64(2%)
minecraft.picked_up.blaze_rod: #8, 136(1%)
minecraft.mined.trapped_chest: #8, 3(3%)
minecraft.used.spruce_wood: #8, 117(2%)
minecraft.dropped.stone_shovel: #8, 3(2%)
minecraft.used.spruce_button: #8, 17(1%)
minecraft.used.gray_wool: #8, 18(2%)
minecraft.picked_up.cyan_stained_glass_pane: #8, 13(2%)
minecraft.crafted.heavy_weighted_pressure_plate: #8, 9(1%)
minecraft.picked_up.spruce_wood: #8, 30(1%)
minecraft.crafted.painting: #8, 31(1%)
minecraft.picked_up.spruce_planks: #9, 1737(5%)
minecraft.mined.oak_leaves: #9, 6825(4%)
minecraft.picked_up.shulker_box: #9, 2037(5%)
minecraft.used.light_gray_terracotta: #8, 81(1%)
minecraft.used.trapped_chest: #8, 4(1%)
minecraft.dropped.white_tulip: #8, 3(1%)
minecraft.used.green_terracotta: #8, 370(1%)
