stat, rank, value, (percentage) 
minecraft.picked_up.dark_oak_button: #4, 9(4%)
minecraft.mined.mossy_stone_bricks: #5, 99(7%)
minecraft.mined.nether_wart: #4, 434(3%)
minecraft.mined.red_stained_glass: #4, 86(3%)
minecraft.mined.enchanting_table: #5, 7(10%)
minecraft.picked_up.enchanting_table: #5, 7(10%)
minecraft.dropped.repeater: #5, 94(10%)
minecraft.dropped.trident: #5, 14(7%)
minecraft.dropped.bucket: #5, 38(7%)
minecraft.crafted.conduit: #4, 2(5%)
minecraft.mined.birch_fence: #4, 23(2%)
minecraft.mined.vine: #5, 1223(5%)
minecraft.picked_up.vine: #5, 1175(7%)
minecraft.picked_up.gold_block: #5, 875(6%)
minecraft.dropped.leather_boots: #5, 29(6%)
minecraft.mined.magma_block: #5, 1511(6%)
minecraft.used.purpur_stairs: #4, 31(3%)
minecraft.dropped.cracked_stone_bricks: #4, 43(3%)
minecraft.crafted.diamond_helmet: #5, 8(6%)
minecraft.crafted.diamond_axe: #5, 9(5%)
minecraft.dropped.suspicious_stew: #4, 3(6%)
minecraft.dropped.spruce_planks: #5, 307(6%)
minecraft.picked_up.bookshelf: #5, 97(6%)
minecraft.dropped.red_wool: #5, 49(8%)
minecraft.mined.light_gray_carpet: #5, 152(6%)
minecraft.picked_up.magma_block: #5, 1410(6%)
minecraft.dropped.white_shulker_box: #4, 3(3%)
minecraft.dropped.cooked_porkchop: #4, 15(2%)
minecraft.crafted.magma_cream: #5, 32(13%)
minecraft.used.birch_sapling: #5, 722(6%)
minecraft.used.birch_button: #4, 142(2%)
minecraft.crafted.end_stone_bricks: #4, 228(3%)
minecraft.custom.open_enderchest: #6, 7078(7%)
minecraft.picked_up.slime_ball: #5, 2645(5%)
minecraft.mined.jungle_wood: #4, 2(3%)
minecraft.used.magenta_shulker_box: #5, 180(6%)
minecraft.used.enchanting_table: #5, 7(6%)
minecraft.mined.infested_mossy_stone_bricks: #4, 1(4%)
minecraft.crafted.blue_bed: #4, 2(2%)
minecraft.picked_up.chorus_fruit: #5, 1293(7%)
minecraft.crafted.red_nether_brick_slab: #4, 42(2%)
minecraft.picked_up.jungle_wood: #5, 22(14%)
minecraft.used.nether_wart_block: #4, 42(1%)
minecraft.mined.birch_button: #4, 78(1%)
minecraft.crafted.purpur_stairs: #4, 16(2%)
minecraft.mined.magenta_shulker_box: #5, 176(6%)
minecraft.picked_up.suspicious_stew: #4, 4(1%)
minecraft.picked_up.magenta_shulker_box: #5, 178(6%)
minecraft.used.red_nether_brick_slab: #4, 25(2%)
minecraft.crafted.magenta_shulker_box: #5, 7(7%)
minecraft.dropped.lime_shulker_box: #4, 1(1%)
minecraft.mined.detector_rail: #5, 18(6%)
minecraft.crafted.red_stained_glass: #5, 1880(7%)
minecraft.dropped.shears: #5, 19(6%)
minecraft.dropped.wither_skeleton_skull: #4, 1(1%)
minecraft.used.filled_map: #4, 4(1%)
minecraft.crafted.purpur_pillar: #4, 7(1%)
minecraft.crafted.bone_block: #5, 4035(5%)
minecraft.broken.iron_pickaxe: #5, 15(5%)
minecraft.dropped.clay_ball: #4, 42(0%)
minecraft.dropped.glowstone: #5, 123(7%)
minecraft.dropped.melon: #4, 3(0%)
minecraft.dropped.orange_stained_glass: #5, 40(16%)
minecraft.used.black_banner: #5, 23(9%)
minecraft.crafted.iron_ingot: #6, 28683(7%)
minecraft.dropped.dirt: #6, 8479(7%)
minecraft.mined.dispenser: #6, 161(9%)
minecraft.crafted.green_wool: #5, 64(7%)
minecraft.used.polished_andesite_stairs: #5, 344(7%)
minecraft.dropped.filled_map: #5, 16(5%)
minecraft.dropped.redstone_ore: #5, 101(5%)
minecraft.killed.ender_dragon: #5, 2(10%)
minecraft.used.horn_coral_block: #5, 80(6%)
minecraft.picked_up.stone_sword: #5, 43(4%)
minecraft.picked_up.rotten_flesh: #6, 5784(6%)
minecraft.picked_up.arrow: #6, 4221(6%)
minecraft.dropped.enchanted_book: #5, 28(4%)
minecraft.crafted.gold_block: #5, 733(4%)
minecraft.mined.glass_pane: #5, 102(3%)
minecraft.dropped.purpur_stairs: #5, 14(7%)
minecraft.used.dispenser: #6, 296(8%)
minecraft.mined.purpur_block: #5, 344(6%)
minecraft.dropped.white_bed: #5, 4(5%)
minecraft.mined.blue_wool: #5, 82(5%)
minecraft.picked_up.dispenser: #6, 227(8%)
minecraft.used.bubble_coral: #5, 12(6%)
minecraft.mined.oxeye_daisy: #6, 86(7%)
