stat, rank, value, (percentage) 
minecraft.crafted.ender_eye: #2, 78(12%)
minecraft.mined.orange_wool: #2, 102(20%)
minecraft.mined.white_banner: #2, 27(15%)
minecraft.crafted.cobblestone_slab: #2, 4366(11%)
minecraft.crafted.ladder: #2, 1437(11%)
minecraft.crafted.yellow_terracotta: #2, 2512(24%)
minecraft.mined.nether_quartz_ore: #2, 25283(10%)
minecraft.used.snow_block: #2, 2672(13%)
minecraft.used.birch_stairs: #3, 2887(18%)
minecraft.used.sunflower: #2, 18(21%)
minecraft.crafted.cyan_carpet: #2, 147(16%)
minecraft.picked_up.tripwire_hook: #2, 196(11%)
minecraft.mined.potted_birch_sapling: #1, 2(22%)
minecraft.used.skeleton_skull: #1, 2(67%)
minecraft.picked_up.music_disc_far: #2, 61(39%)
minecraft.mined.lime_concrete_powder: #2, 37(23%)
minecraft.picked_up.cobblestone_slab: #3, 1799(15%)
minecraft.used.dark_oak_slab: #3, 5964(16%)
minecraft.mined.yellow_wall_banner: #2, 13(25%)
minecraft.picked_up.snowball: #3, 14938(16%)
minecraft.mined.purple_carpet: #2, 74(21%)
minecraft.crafted.birch_boat: #2, 26(13%)
minecraft.mined.smooth_sandstone: #2, 1531(13%)
minecraft.dropped.birch_pressure_plate: #2, 23(37%)
minecraft.picked_up.lime_banner: #2, 14(22%)
minecraft.dropped.player_head: #3, 309(13%)
minecraft.crafted.quartz_pillar: #2, 2114(11%)
minecraft.used.stone_brick_slab: #3, 12798(14%)
minecraft.picked_up.campfire: #2, 91(14%)
minecraft.used.prismarine_bricks: #2, 4271(13%)
minecraft.crafted.smooth_sandstone: #2, 7470(15%)
minecraft.dropped.white_tulip: #2, 51(19%)
minecraft.picked_up.purple_carpet: #2, 79(19%)
minecraft.used.potion: #2, 116(9%)
minecraft.mined.white_tulip: #3, 150(19%)
minecraft.crafted.painting: #2, 286(11%)
minecraft.picked_up.black_concrete: #3, 10273(13%)
minecraft.mined.light_gray_carpet: #3, 363(15%)
minecraft.picked_up.prismarine_bricks: #3, 6704(18%)
minecraft.picked_up.dragon_head: #2, 28(13%)
minecraft.used.villager_spawn_egg: #1, 2(100%)
minecraft.used.structure_block: #1, 2(100%)
minecraft.mined.orange_wall_banner: #1, 1(100%)
minecraft.mined.pink_banner: #1, 16(100%)
minecraft.mined.peony: #1, 1(50%)
minecraft.mined.skeleton_skull: #1, 1(50%)
minecraft.dropped.prismarine_wall: #1, 3(100%)
minecraft.dropped.purple_bed: #1, 1(100%)
minecraft.dropped.music_disc_mellohi: #1, 3(100%)
minecraft.picked_up.golden_boots: #2, 35(8%)
minecraft.used.blue_stained_glass: #3, 2628(17%)
minecraft.dropped.lava_bucket: #2, 8(15%)
minecraft.picked_up.granite: #3, 31476(11%)
minecraft.crafted.brown_concrete_powder: #2, 1224(15%)
minecraft.dropped.orange_tulip: #2, 76(19%)
minecraft.crafted.light_blue_banner: #2, 142(28%)
minecraft.picked_up.jungle_trapdoor: #3, 313(21%)
minecraft.mined.purple_concrete_powder: #2, 22(28%)
minecraft.used.diamond_hoe: #2, 3646(19%)
minecraft.mined.purple_glazed_terracotta: #2, 41(38%)
minecraft.mined.purple_wool: #2, 156(17%)
minecraft.dropped.red_concrete_powder: #2, 19(31%)
minecraft.crafted.dark_oak_slab: #3, 5414(13%)
minecraft.picked_up.torch: #3, 17876(10%)
minecraft.used.cobblestone_stairs: #2, 1099(8%)
minecraft.mined.bricks: #3, 1015(19%)
minecraft.custom.sneak_time: #4, 5868788(7%)
minecraft.mined.dark_oak_button: #2, 17(18%)
minecraft.crafted.polished_andesite_slab: #2, 1542(16%)
minecraft.mined.light_gray_concrete_powder: #3, 735(14%)
minecraft.used.coal_ore: #3, 3557(13%)
minecraft.dropped.polished_granite: #2, 107(11%)
minecraft.crafted.ender_chest: #2, 41(9%)
minecraft.mined.lime_terracotta: #2, 1088(9%)
minecraft.mined.cobblestone_slab: #3, 836(13%)
minecraft.used.lime_banner: #2, 17(15%)
minecraft.used.black_stained_glass: #3, 4241(13%)
minecraft.used.soul_sand: #3, 2568(12%)
minecraft.picked_up.vine: #3, 2333(14%)
minecraft.crafted.birch_fence_gate: #2, 99(13%)
minecraft.used.spruce_slab: #3, 6881(10%)
minecraft.picked_up.prismarine_brick_stairs: #2, 116(17%)
minecraft.mined.prismarine_brick_stairs: #2, 106(19%)
minecraft.picked_up.peony: #3, 355(16%)
minecraft.used.diamond_pickaxe: #3, 1117030(9%)
minecraft.dropped.prismarine_slab: #2, 120(42%)
minecraft.picked_up.magenta_concrete: #2, 486(14%)
minecraft.picked_up.coal_ore: #3, 7112(12%)
minecraft.dropped.fern: #2, 51(27%)
minecraft.mined.green_glazed_terracotta: #2, 42(27%)
minecraft.crafted.smooth_quartz_slab: #2, 1338(15%)
minecraft.crafted.bucket: #3, 342(10%)
minecraft.mined.lime_banner: #2, 6(23%)
minecraft.mined.magenta_concrete: #2, 486(13%)
minecraft.picked_up.jungle_wood: #2, 31(20%)
minecraft.crafted.oak_slab: #3, 2868(10%)
minecraft.picked_up.jungle_slab: #3, 299(16%)
minecraft.crafted.lime_dye: #2, 2158(7%)
minecraft.used.birch_log: #3, 2015(12%)
minecraft.mined.gray_banner: #2, 9(26%)
minecraft.crafted.gold_ingot: #3, 19998(11%)
minecraft.used.azure_bluet: #3, 86(21%)
minecraft.picked_up.quartz_block: #3, 2331(11%)
minecraft.mined.oak_sign: #3, 98(10%)
minecraft.picked_up.cooked_chicken: #4, 1893(13%)
minecraft.picked_up.stone_button: #2, 592(7%)
minecraft.custom.crouch_one_cm: #4, 21100637(8%)
minecraft.crafted.light_gray_carpet: #3, 2091(12%)
minecraft.mined.kelp_plant: #4, 5438(14%)
minecraft.used.ladder: #3, 1778(11%)
minecraft.used.purple_glazed_terracotta: #2, 53(24%)
minecraft.picked_up.experience_bottle: #2, 184(29%)
minecraft.picked_up.polished_diorite: #3, 853(14%)
minecraft.dropped.grass: #3, 20(15%)
minecraft.picked_up.dark_oak_sign: #3, 54(14%)
minecraft.mined.potted_red_tulip: #2, 2(29%)
minecraft.picked_up.snow_block: #3, 1374(13%)
minecraft.used.written_book: #3, 4010(9%)
minecraft.crafted.spruce_slab: #3, 5998(9%)
minecraft.used.yellow_terracotta: #3, 956(15%)
minecraft.dropped.prismarine_bricks: #2, 896(16%)
minecraft.dropped.spruce_leaves: #3, 804(17%)
minecraft.dropped.stone_brick_slab: #3, 476(13%)
minecraft.used.smooth_quartz_slab: #2, 1587(11%)
minecraft.mined.cobblestone_wall: #3, 363(10%)
minecraft.crafted.quartz_slab: #3, 5760(11%)
minecraft.crafted.lever: #3, 537(10%)
minecraft.crafted.prismarine_slab: #2, 854(15%)
minecraft.picked_up.andesite: #3, 30780(9%)
minecraft.mined.lime_wall_banner: #2, 6(27%)
minecraft.mined.pink_tulip: #3, 65(13%)
minecraft.used.smooth_sandstone_slab: #2, 560(10%)
minecraft.mined.jungle_slab: #3, 234(16%)
minecraft.used.sea_pickle: #2, 873(7%)
minecraft.mined.potted_white_tulip: #2, 2(33%)
minecraft.crafted.lime_bed: #2, 11(19%)
minecraft.dropped.ladder: #3, 183(14%)
minecraft.used.orange_carpet: #3, 169(16%)
minecraft.used.smooth_sandstone: #3, 9174(14%)
minecraft.picked_up.pink_tulip: #3, 140(13%)
minecraft.mined.polished_andesite: #4, 3861(14%)
minecraft.dropped.pink_tulip: #2, 26(13%)
minecraft.picked_up.prismarine_slab: #2, 279(16%)
minecraft.mined.andesite: #3, 31075(9%)
minecraft.mined.purple_terracotta: #2, 122(14%)
minecraft.mined.wall_torch: #3, 1793(9%)
minecraft.picked_up.magma_cream: #3, 103(11%)
minecraft.picked_up.red_nether_brick_stairs: #2, 50(42%)
minecraft.mined.cracked_stone_bricks: #3, 268(10%)
minecraft.used.green_glazed_terracotta: #2, 96(17%)
minecraft.picked_up.yellow_banner: #2, 54(9%)
minecraft.dropped.oak_planks: #3, 500(10%)
minecraft.used.iron_bars: #3, 2861(9%)
minecraft.crafted.cyan_stained_glass_pane: #3, 416(17%)
minecraft.used.stripped_spruce_wood: #2, 37(24%)
minecraft.mined.granite: #3, 23504(9%)
minecraft.picked_up.purple_terracotta: #2, 120(13%)
minecraft.used.dark_oak_trapdoor: #3, 893(10%)
minecraft.picked_up.sandstone_slab: #3, 1201(11%)
minecraft.used.diorite: #3, 1736(9%)
minecraft.used.dark_oak_door: #3, 67(14%)
minecraft.picked_up.bricks: #3, 972(14%)
minecraft.used.prismarine_brick_slab: #3, 2118(16%)
minecraft.mined.dark_oak_slab: #3, 930(10%)
minecraft.picked_up.light_gray_bed: #2, 14(12%)
minecraft.used.prismarine_slab: #2, 897(14%)
minecraft.picked_up.scute: #2, 59(22%)
minecraft.mined.oak_planks: #3, 1471(9%)
minecraft.crafted.sandstone_slab: #3, 21246(12%)
minecraft.mined.white_carpet: #3, 236(10%)
minecraft.picked_up.cooked_beef: #4, 2488(13%)
minecraft.used.dead_horn_coral_fan: #2, 24(28%)
minecraft.mined.stripped_spruce_wood: #2, 46(11%)
minecraft.used.damaged_anvil: #3, 25(12%)
minecraft.crafted.prismarine_brick_slab: #3, 2034(17%)
minecraft.mined.yellow_glazed_terracotta: #2, 32(12%)
minecraft.mined.light_gray_bed: #2, 14(13%)
minecraft.dropped.bucket: #3, 56(10%)
minecraft.used.lime_terracotta: #2, 10680(7%)
minecraft.mined.birch_planks: #3, 342(10%)
minecraft.crafted.white_banner: #3, 129(10%)
minecraft.picked_up.stripped_spruce_wood: #2, 43(10%)
minecraft.crafted.dark_oak_door: #3, 57(13%)
minecraft.used.music_disc_13: #2, 7(26%)
minecraft.picked_up.stonecutter: #2, 58(7%)
minecraft.mined.damaged_anvil: #3, 27(11%)
minecraft.crafted.lime_terracotta: #2, 15312(9%)
minecraft.used.acacia_door: #2, 27(11%)
minecraft.crafted.dark_oak_trapdoor: #3, 804(9%)
minecraft.picked_up.polished_andesite: #4, 4019(13%)
minecraft.picked_up.flower_banner_pattern: #2, 1(50%)
minecraft.dropped.green_wool: #2, 4(20%)
minecraft.dropped.music_disc_blocks: #2, 2(50%)
minecraft.dropped.music_disc_strad: #2, 1(50%)
minecraft.broken.leather_helmet: #2, 1(33%)
minecraft.mined.polished_diorite: #3, 571(12%)
minecraft.crafted.red_terracotta: #3, 2680(17%)
minecraft.picked_up.clay: #3, 789(12%)
minecraft.picked_up.seagrass: #3, 603(12%)
minecraft.picked_up.light_gray_terracotta: #3, 13857(10%)
minecraft.dropped.allium: #2, 41(12%)
minecraft.used.music_disc_blocks: #2, 5(14%)
minecraft.crafted.gold_block: #3, 1742(10%)
minecraft.dropped.nether_quartz_ore: #3, 110(19%)
minecraft.picked_up.damaged_anvil: #3, 27(11%)
minecraft.picked_up.cyan_concrete: #3, 586(15%)
minecraft.dropped.stripped_dark_oak_wood: #2, 7(30%)
minecraft.used.polished_andesite_slab: #3, 1544(16%)
minecraft.custom.fill_cauldron: #3, 35(10%)
minecraft.crafted.nautilus_shell: #2, 4(44%)
minecraft.dropped.red_wool: #3, 72(12%)
minecraft.used.writable_book: #3, 275(7%)
minecraft.used.cooked_cod: #3, 2299(9%)
