stat, rank, value, (percentage) 
minecraft.mined.quartz_block: #2, 816(11%)
minecraft.picked_up.yellow_dye: #2, 398(19%)
minecraft.dropped.diamond_shovel: #2, 22(12%)
minecraft.picked_up.stone_hoe: #2, 9(16%)
minecraft.mined.tnt: #2, 212(12%)
minecraft.mined.mossy_cobblestone: #2, 309(12%)
minecraft.picked_up.cyan_banner: #2, 17(22%)
minecraft.crafted.activator_rail: #2, 124(19%)
minecraft.used.sand: #3, 48727(12%)
minecraft.picked_up.cobblestone_wall: #2, 569(10%)
minecraft.dropped.light_gray_dye: #2, 142(26%)
minecraft.crafted.bricks: #2, 10422(21%)
minecraft.mined.rose_bush: #1, 2(33%)
minecraft.used.music_disc_wait: #2, 35(33%)
minecraft.broken.golden_sword: #1, 2(67%)
minecraft.picked_up.flint_and_steel: #2, 38(13%)
minecraft.picked_up.gray_dye: #2, 721(26%)
minecraft.picked_up.glowstone: #2, 2114(12%)
minecraft.dropped.yellow_concrete: #2, 229(29%)
minecraft.used.green_concrete: #3, 2339(20%)
minecraft.dropped.flint: #3, 1330(14%)
minecraft.picked_up.music_disc_ward: #2, 81(45%)
minecraft.killed.tropical_fish: #2, 12(28%)
minecraft.dropped.purple_stained_glass: #2, 1046(28%)
minecraft.used.stripped_spruce_log: #3, 154(17%)
minecraft.killed_by.husk: #1, 2(40%)
minecraft.custom.fly_one_cm: #4, 216187917(8%)
minecraft.mined.light_gray_stained_glass_pane: #2, 372(16%)
minecraft.crafted.golden_leggings: #2, 13(17%)
minecraft.dropped.white_concrete: #3, 1547(18%)
minecraft.mined.carrots: #3, 4546(14%)
minecraft.picked_up.cod_bucket: #1, 2(29%)
minecraft.picked_up.rabbit_hide: #2, 22(16%)
minecraft.dropped.iron_door: #2, 25(15%)
minecraft.killed_by.phantom: #2, 14(14%)
minecraft.mined.cobblestone: #3, 12551(11%)
minecraft.dropped.smooth_quartz: #2, 66(29%)
minecraft.killed.horse: #2, 18(13%)
minecraft.crafted.light_gray_stained_glass: #2, 6640(14%)
minecraft.used.brain_coral_block: #2, 354(15%)
minecraft.mined.light_gray_stained_glass: #3, 989(17%)
minecraft.killed.silverfish: #2, 118(13%)
minecraft.picked_up.poppy: #2, 4419(7%)
minecraft.killed_by.enderman: #2, 5(14%)
minecraft.used.enchanted_golden_apple: #1, 1(50%)
minecraft.used.air: #1, 2(100%)
minecraft.mined.large_fern: #1, 1(50%)
minecraft.killed.fox: #1, 1(50%)
minecraft.dropped.music_disc_blocks: #1, 2(50%)
minecraft.dropped.music_disc_strad: #1, 1(50%)
minecraft.dropped.music_disc_wait: #1, 1(100%)
minecraft.dropped.jukebox: #1, 1(100%)
minecraft.broken.crossbow: #1, 2(100%)
minecraft.broken.diamond_chestplate: #1, 1(50%)
minecraft.dropped.diamond_horse_armor: #1, 1(33%)
minecraft.dropped.daylight_detector: #1, 1(33%)
minecraft.custom.jump: #4, 826677(9%)
minecraft.crafted.bread: #3, 960(14%)
minecraft.picked_up.bookshelf: #3, 224(14%)
minecraft.used.music_disc_cat: #2, 8(28%)
minecraft.mined.torch: #3, 5387(11%)
minecraft.crafted.comparator: #2, 795(9%)
minecraft.mined.coarse_dirt: #3, 2362(13%)
minecraft.used.quartz_slab: #3, 7310(13%)
minecraft.dropped.oak_wood: #2, 16(31%)
minecraft.mined.bamboo_sapling: #2, 9(18%)
minecraft.dropped.oak_log: #3, 523(14%)
minecraft.dropped.sunflower: #2, 46(15%)
minecraft.mined.pumpkin: #3, 485(13%)
minecraft.used.wheat_seeds: #3, 8575(12%)
minecraft.picked_up.rabbit: #2, 17(15%)
minecraft.crafted.dark_oak_stairs: #3, 3232(13%)
minecraft.dropped.spruce_button: #2, 26(13%)
minecraft.crafted.green_wool: #2, 128(14%)
minecraft.dropped.polished_andesite_stairs: #2, 54(35%)
minecraft.used.daylight_detector: #2, 93(13%)
minecraft.crafted.golden_chestplate: #2, 11(15%)
minecraft.used.music_disc_chirp: #2, 6(25%)
minecraft.crafted.golden_boots: #2, 13(12%)
minecraft.picked_up.blue_concrete_powder: #2, 888(21%)
minecraft.used.emerald_ore: #2, 18(19%)
minecraft.mined.dark_oak_sign: #2, 6(17%)
minecraft.dropped.diamond_ore: #2, 18(24%)
minecraft.used.horn_coral_fan: #3, 135(16%)
minecraft.picked_up.bone_meal: #3, 3356(9%)
minecraft.crafted.stick: #3, 34467(9%)
minecraft.crafted.light_gray_terracotta: #2, 324(18%)
minecraft.picked_up.iron_chestplate: #3, 27(10%)
minecraft.used.tube_coral_fan: #3, 149(16%)
minecraft.mined.dark_oak_planks: #3, 1169(12%)
minecraft.dropped.white_stained_glass_pane: #2, 183(14%)
minecraft.picked_up.emerald: #2, 3963(7%)
minecraft.mined.quartz_slab: #3, 1745(12%)
minecraft.mined.coal_block: #3, 294(11%)
minecraft.killed_by.zombie_pigman: #2, 3(14%)
minecraft.used.poppy: #3, 55(13%)
minecraft.crafted.white_bed: #3, 47(11%)
minecraft.custom.leave_game: #4, 2163(7%)
minecraft.dropped.birch_planks: #3, 221(12%)
minecraft.mined.cocoa: #2, 403(7%)
minecraft.used.dark_oak_planks: #3, 2666(12%)
minecraft.used.crossbow: #2, 215(8%)
minecraft.used.bubble_coral_block: #3, 265(19%)
minecraft.picked_up.music_disc_blocks: #2, 22(18%)
minecraft.dropped.diamond_boots: #3, 15(12%)
minecraft.mined.gray_stained_glass_pane: #2, 153(14%)
minecraft.crafted.emerald: #3, 31261(11%)
minecraft.dropped.stick: #3, 2355(10%)
minecraft.dropped.white_stained_glass: #2, 198(10%)
minecraft.picked_up.wheat: #3, 7676(10%)
minecraft.killed.drowned: #4, 2330(14%)
minecraft.picked_up.coarse_dirt: #3, 2186(11%)
