stat, rank, value, (percentage) 
minecraft.crafted.brown_terracotta: #1, 9032(66%)
minecraft.picked_up.iron_bars: #1, 3825(25%)
minecraft.mined.polished_granite: #1, 1842(30%)
minecraft.custom.aviate_one_cm: #1, 1756924688(22%)
minecraft.used.purpur_pillar: #1, 595(49%)
minecraft.used.lapis_ore: #1, 1079(29%)
minecraft.crafted.pink_terracotta: #1, 5376(84%)
minecraft.picked_up.purple_shulker_box: #1, 695(33%)
minecraft.mined.anvil: #1, 236(25%)
minecraft.used.purple_shulker_box: #1, 690(32%)
minecraft.crafted.birch_stairs: #1, 4064(34%)
minecraft.picked_up.rabbit_hide: #1, 60(45%)
minecraft.killed.rabbit: #1, 63(48%)
minecraft.crafted.andesite_wall: #1, 1930(48%)
minecraft.mined.bubble_coral: #1, 385(58%)
minecraft.picked_up.anvil: #1, 283(25%)
minecraft.picked_up.purple_glazed_terracotta: #1, 1896(96%)
minecraft.dropped.blue_terracotta: #1, 2499(96%)
minecraft.custom.damage_taken: #1, 1216202(16%)
minecraft.picked_up.emerald_block: #1, 594(29%)
minecraft.dropped.light_blue_terracotta: #1, 8264(95%)
minecraft.custom.fall_one_cm: #1, 38567037(15%)
minecraft.used.jungle_sapling: #1, 1346(32%)
minecraft.mined.tube_coral_fan: #1, 412(63%)
minecraft.crafted.purple_terracotta: #1, 6032(81%)
minecraft.picked_up.beacon: #1, 183(30%)
minecraft.used.glass_bottle: #1, 1518(27%)
minecraft.used.acacia_boat: #1, 96(33%)
minecraft.crafted.heavy_weighted_pressure_plate: #1, 213(35%)
minecraft.killed.guardian: #1, 60793(30%)
minecraft.dropped.light_blue_glazed_terracotta: #1, 348(94%)
minecraft.crafted.green_bed: #1, 153(93%)
minecraft.used.polished_andesite: #1, 20538(24%)
minecraft.mined.beacon: #1, 159(29%)
minecraft.picked_up.chiseled_stone_bricks: #1, 676(33%)
minecraft.used.purple_stained_glass: #1, 1364(35%)
minecraft.picked_up.crafting_table: #1, 1764(20%)
minecraft.picked_up.black_glazed_terracotta: #1, 2180(80%)
minecraft.custom.sleep_in_bed: #1, 6202(17%)
minecraft.mined.stripped_birch_wood: #1, 301(62%)
minecraft.used.white_terracotta: #1, 2500(28%)
minecraft.picked_up.lever: #1, 1377(25%)
minecraft.used.dead_fire_coral_block: #1, 778(69%)
minecraft.crafted.acacia_fence: #1, 945(50%)
minecraft.killed.turtle: #1, 286(55%)
minecraft.picked_up.spruce_fence_gate: #1, 444(35%)
minecraft.used.tnt_minecart: #1, 182(69%)
minecraft.mined.fire_coral_block: #1, 2635(46%)
minecraft.killed.drowned: #1, 3794(22%)
minecraft.used.lever: #1, 1579(24%)
minecraft.mined.stone_brick_slab: #1, 7697(24%)
minecraft.picked_up.heavy_weighted_pressure_plate: #1, 114(39%)
minecraft.picked_up.player_head: #1, 3277(20%)
minecraft.picked_up.stripped_birch_wood: #1, 297(61%)
minecraft.crafted.snow: #1, 4500(42%)
minecraft.crafted.tnt_minecart: #1, 198(69%)
minecraft.crafted.yellow_terracotta: #1, 5736(55%)
minecraft.custom.damage_absorbed: #1, 1845(29%)
minecraft.used.tube_coral: #1, 107(36%)
minecraft.used.netherrack: #1, 34651(23%)
minecraft.used.melon_slice: #1, 256(77%)
minecraft.mined.brain_coral: #1, 424(60%)
minecraft.picked_up.birch_wood: #1, 341(68%)
minecraft.custom.boat_one_cm: #1, 132583876(20%)
minecraft.used.cobblestone_wall: #1, 3840(23%)
minecraft.used.splash_potion: #1, 129(32%)
minecraft.mined.spruce_button: #1, 85(32%)
minecraft.mined.rail: #1, 9889(23%)
minecraft.mined.sea_lantern: #1, 2287(23%)
minecraft.picked_up.bookshelf: #1, 407(26%)
minecraft.mined.brain_coral_fan: #1, 387(60%)
minecraft.mined.horn_coral_block: #1, 1968(45%)
