stat, rank, value, (percentage) 
minecraft.dropped.chiseled_stone_bricks: #5, 3(0%)
minecraft.crafted.dark_oak_sign: #6, 27(5%)
minecraft.dropped.oak_fence: #6, 52(5%)
minecraft.broken.iron_helmet: #6, 2(11%)
minecraft.used.sandstone_stairs: #6, 451(5%)
minecraft.mined.end_stone: #6, 1158(5%)
minecraft.crafted.birch_fence: #6, 114(5%)
minecraft.picked_up.tnt: #6, 251(5%)
minecraft.dropped.chainmail_boots: #6, 6(6%)
minecraft.dropped.leather_boots: #6, 19(4%)
minecraft.dropped.iron_chestplate: #6, 7(5%)
minecraft.crafted.birch_door: #6, 12(5%)
minecraft.picked_up.end_stone: #6, 1169(5%)
minecraft.picked_up.red_dye: #6, 151(5%)
minecraft.picked_up.white_tulip: #6, 72(5%)
minecraft.dropped.feather: #6, 424(4%)
minecraft.crafted.orange_carpet: #6, 72(7%)
minecraft.dropped.filled_map: #6, 15(5%)
minecraft.used.jungle_slab: #6, 343(6%)
minecraft.broken.bow: #6, 1(12%)
minecraft.picked_up.arrow: #7, 4028(6%)
minecraft.crafted.jungle_slab: #6, 348(5%)
minecraft.used.sandstone: #7, 4838(8%)
minecraft.dropped.book: #6, 23(4%)
minecraft.picked_up.lapis_ore: #6, 221(3%)
minecraft.killed.snow_golem: #6, 7(5%)
minecraft.dropped.black_concrete_powder: #6, 112(6%)
minecraft.broken.wooden_axe: #6, 1(10%)
minecraft.dropped.furnace: #6, 17(3%)
minecraft.crafted.purple_concrete_powder: #6, 448(4%)
minecraft.used.nether_brick_stairs: #6, 236(4%)
minecraft.crafted.chest_minecart: #6, 7(4%)
minecraft.picked_up.jungle_fence: #6, 20(3%)
minecraft.picked_up.birch_fence_gate: #6, 13(4%)
minecraft.used.carrot_on_a_stick: #6, 254(4%)
minecraft.picked_up.feather: #7, 811(6%)
minecraft.crafted.orange_stained_glass: #6, 272(4%)
minecraft.used.red_terracotta: #6, 788(3%)
minecraft.picked_up.jungle_log: #6, 1189(2%)
minecraft.killed.spider: #7, 226(6%)
minecraft.dropped.piston: #6, 24(4%)
minecraft.mined.jungle_log: #6, 1062(2%)
minecraft.mined.bamboo_sapling: #6, 2(4%)
minecraft.mined.yellow_glazed_terracotta: #6, 12(4%)
minecraft.used.allium: #6, 5(4%)
minecraft.mined.blue_terracotta: #6, 44(3%)
minecraft.dropped.polished_andesite: #6, 50(2%)
minecraft.dropped.composter: #6, 1(6%)
minecraft.dropped.dispenser: #6, 10(3%)
minecraft.dropped.diamond_helmet: #7, 8(7%)
minecraft.used.blue_ice: #6, 306(2%)
minecraft.mined.nether_brick_stairs: #6, 45(2%)
minecraft.dropped.cobweb: #6, 5(3%)
minecraft.mined.sandstone_stairs: #7, 150(6%)
minecraft.crafted.jungle_pressure_plate: #6, 4(3%)
minecraft.picked_up.chicken: #7, 253(5%)
minecraft.mined.prismarine_brick_slab: #6, 33(2%)
minecraft.dropped.pink_dye: #6, 1(3%)
minecraft.dropped.cooked_porkchop: #6, 10(1%)
minecraft.dropped.gunpowder: #7, 477(5%)
minecraft.used.cake: #6, 9(1%)
minecraft.picked_up.bow: #7, 208(4%)
minecraft.crafted.yellow_terracotta: #6, 144(1%)
minecraft.dropped.diamond_boots: #7, 7(5%)
minecraft.picked_up.sandstone: #7, 10993(5%)
minecraft.mined.cyan_bed: #6, 5(1%)
minecraft.dropped.potion: #7, 40(6%)
minecraft.used.cyan_bed: #6, 6(1%)
minecraft.dropped.shulker_shell: #6, 10(1%)
minecraft.picked_up.iron_shovel: #7, 16(5%)
minecraft.dropped.purple_wool: #6, 1(1%)
minecraft.dropped.oak_leaves: #7, 292(6%)
minecraft.used.stripped_jungle_log: #6, 6(1%)
minecraft.used.red_nether_bricks: #6, 32(0%)
minecraft.dropped.allium: #6, 2(1%)
minecraft.dropped.white_banner: #6, 5(0%)
minecraft.dropped.bone: #7, 888(4%)
minecraft.dropped.red_bed: #7, 1(14%)
minecraft.mined.jungle_leaves: #7, 1108(5%)
minecraft.picked_up.flint_and_steel: #7, 16(5%)
minecraft.used.cooked_porkchop: #7, 34(5%)
minecraft.dropped.dark_oak_boat: #7, 4(6%)
minecraft.picked_up.detector_rail: #7, 27(5%)
minecraft.crafted.wooden_hoe: #7, 3(6%)
minecraft.mined.nether_brick_fence: #7, 47(5%)
minecraft.picked_up.sugar_cane: #7, 6821(4%)
minecraft.dropped.diamond_chestplate: #7, 3(6%)
minecraft.broken.wooden_hoe: #7, 1(11%)
minecraft.picked_up.orange_tulip: #7, 76(4%)
minecraft.crafted.lapis_block: #7, 399(3%)
minecraft.used.stone_pickaxe: #7, 551(3%)
minecraft.broken.stone_hoe: #7, 2(7%)
minecraft.used.orange_concrete: #7, 374(5%)
minecraft.mined.oak_button: #7, 10(3%)
minecraft.dropped.egg: #7, 300(3%)
minecraft.used.white_wool: #7, 215(3%)
minecraft.used.brown_wool: #7, 82(5%)
minecraft.crafted.iron_door: #7, 30(4%)
minecraft.picked_up.charcoal: #7, 16(4%)
minecraft.dropped.stone_slab: #7, 90(4%)
minecraft.dropped.clock: #7, 1(9%)
minecraft.dropped.chainmail_helmet: #7, 3(5%)
minecraft.picked_up.pink_tulip: #7, 36(3%)
minecraft.mined.orange_concrete: #7, 385(4%)
minecraft.used.cut_sandstone: #7, 288(3%)
minecraft.picked_up.yellow_dye: #7, 87(4%)
minecraft.used.white_tulip: #7, 9(5%)
minecraft.mined.orange_stained_glass: #7, 21(4%)
minecraft.dropped.cooked_chicken: #7, 95(3%)
minecraft.used.tropical_fish_bucket: #7, 14(3%)
minecraft.dropped.comparator: #7, 32(4%)
minecraft.used.chest_minecart: #7, 6(4%)
minecraft.picked_up.cactus: #7, 1013(2%)
minecraft.crafted.cyan_shulker_box: #7, 3(3%)
minecraft.mined.chorus_plant: #7, 58(3%)
minecraft.crafted.chiseled_sandstone: #7, 28(4%)
minecraft.mined.jungle_fence: #7, 15(3%)
minecraft.used.orange_stained_glass: #7, 75(3%)
minecraft.picked_up.blue_ice: #7, 389(2%)
minecraft.killed.pufferfish: #7, 2(3%)
minecraft.used.brown_concrete: #7, 60(3%)
minecraft.picked_up.nether_brick_stairs: #7, 65(3%)
minecraft.mined.black_concrete_powder: #7, 73(2%)
minecraft.dropped.redstone_lamp: #7, 2(4%)
minecraft.used.iron_shovel: #8, 2407(6%)
minecraft.used.wooden_shovel: #7, 33(3%)
minecraft.mined.birch_fence_gate: #7, 9(3%)
minecraft.crafted.cut_sandstone: #7, 196(2%)
minecraft.used.stone_hoe: #8, 368(6%)
minecraft.picked_up.lime_wool: #7, 133(2%)
minecraft.used.purpur_pillar: #7, 28(2%)
minecraft.dropped.repeater: #7, 17(2%)
minecraft.picked_up.blue_terracotta: #7, 40(2%)
minecraft.crafted.brown_wool: #7, 16(2%)
minecraft.mined.acacia_planks: #7, 14(2%)
minecraft.dropped.glowstone: #7, 27(2%)
minecraft.dropped.sandstone_stairs: #7, 7(1%)
minecraft.mined.gray_glazed_terracotta: #7, 1(2%)
minecraft.custom.animals_bred: #8, 827(5%)
minecraft.picked_up.cyan_bed: #7, 5(1%)
minecraft.picked_up.music_disc_11: #7, 1(2%)
minecraft.dropped.tipped_arrow: #7, 2(1%)
minecraft.crafted.nether_wart_block: #7, 35(1%)
minecraft.crafted.diamond_sword: #8, 7(4%)
minecraft.picked_up.jungle_button: #7, 2(1%)
minecraft.used.gray_glazed_terracotta: #7, 1(1%)
minecraft.crafted.blue_ice: #7, 98(1%)
minecraft.picked_up.yellow_glazed_terracotta: #7, 16(1%)
minecraft.used.jungle_wood: #7, 6(0%)
minecraft.dropped.vine: #7, 7(0%)
minecraft.picked_up.popped_chorus_fruit: #7, 12(1%)
minecraft.crafted.sandstone: #8, 1050(6%)
minecraft.crafted.red_nether_bricks: #7, 64(0%)
minecraft.picked_up.gray_glazed_terracotta: #7, 1(0%)
minecraft.broken.iron_boots: #8, 1(12%)
minecraft.picked_up.beetroot_seeds: #8, 194(5%)
minecraft.used.iron_trapdoor: #8, 938(4%)
minecraft.killed.cow: #8, 379(4%)
minecraft.crafted.lapis_lazuli: #8, 1692(4%)
minecraft.dropped.stone_brick_slab: #8, 178(5%)
minecraft.picked_up.oak_button: #8, 28(4%)
minecraft.mined.lever: #8, 77(4%)
minecraft.used.nether_quartz_ore: #8, 1805(4%)
minecraft.picked_up.brown_concrete_powder: #8, 148(5%)
minecraft.mined.wheat: #8, 1886(3%)
minecraft.picked_up.polished_andesite: #8, 1002(3%)
minecraft.used.oxeye_daisy: #8, 10(6%)
minecraft.mined.polished_andesite: #8, 856(3%)
minecraft.mined.purple_stained_glass: #8, 26(5%)
minecraft.mined.purpur_pillar: #8, 142(5%)
minecraft.picked_up.cooked_beef: #8, 539(3%)
minecraft.mined.red_wool: #8, 78(4%)
minecraft.picked_up.activator_rail: #8, 18(4%)
minecraft.picked_up.nether_brick_fence: #8, 45(4%)
minecraft.used.brown_concrete_powder: #8, 299(4%)
minecraft.dropped.purpur_block: #8, 66(6%)
minecraft.used.orange_concrete_powder: #8, 296(4%)
minecraft.picked_up.chorus_fruit: #8, 692(4%)
minecraft.picked_up.cooked_chicken: #8, 327(2%)
minecraft.picked_up.allium: #8, 62(4%)
minecraft.picked_up.orange_concrete: #8, 385(4%)
minecraft.used.nether_brick_slab: #8, 237(4%)
minecraft.picked_up.nether_quartz_ore: #8, 1756(3%)
minecraft.mined.red_tulip: #8, 29(3%)
minecraft.used.jungle_leaves: #8, 294(3%)
minecraft.dropped.purpur_slab: #8, 14(4%)
minecraft.crafted.orange_concrete_powder: #8, 296(4%)
minecraft.picked_up.purpur_pillar: #8, 109(4%)
minecraft.used.end_crystal: #8, 4(4%)
minecraft.dropped.sugar: #8, 56(4%)
minecraft.used.oak_button: #8, 27(3%)
minecraft.used.milk_bucket: #8, 9(3%)
minecraft.mined.cobweb: #8, 312(2%)
minecraft.picked_up.bread: #8, 49(3%)
minecraft.used.redstone_ore: #8, 572(2%)
minecraft.used.black_concrete_powder: #8, 3022(2%)
minecraft.used.yellow_terracotta: #8, 167(3%)
minecraft.crafted.nether_brick_stairs: #8, 200(4%)
minecraft.dropped.gold_ingot: #8, 96(2%)
minecraft.picked_up.rose_bush: #8, 216(2%)
minecraft.dropped.stone_bricks: #8, 426(2%)
minecraft.used.iron_sword: #9, 912(5%)
minecraft.picked_up.wooden_hoe: #8, 1(4%)
minecraft.dropped.purpur_pillar: #8, 18(3%)
minecraft.picked_up.sugar: #8, 56(2%)
minecraft.picked_up.redstone_ore: #8, 673(1%)
minecraft.crafted.purple_shulker_box: #8, 3(2%)
minecraft.dropped.observer: #8, 7(3%)
minecraft.picked_up.prismarine_bricks: #8, 655(2%)
minecraft.mined.blue_ice: #8, 302(2%)
minecraft.dropped.purpur_stairs: #8, 5(3%)
minecraft.picked_up.brown_concrete: #8, 102(2%)
minecraft.crafted.stone_sword: #8, 5(1%)
minecraft.dropped.rabbit: #8, 1(3%)
minecraft.mined.brown_concrete: #8, 80(2%)
minecraft.used.light_blue_bed: #8, 8(2%)
minecraft.mined.light_blue_bed: #8, 7(2%)
minecraft.dropped.rose_bush: #8, 9(2%)
minecraft.picked_up.light_blue_bed: #8, 7(2%)
minecraft.dropped.pumpkin_seeds: #8, 246(1%)
minecraft.mined.nether_brick_slab: #8, 40(1%)
minecraft.dropped.yellow_terracotta: #8, 62(2%)
minecraft.crafted.tnt: #8, 322(1%)
minecraft.dropped.acacia_sapling: #8, 7(1%)
minecraft.crafted.nether_bricks: #8, 442(1%)
minecraft.crafted.yellow_glazed_terracotta: #8, 8(2%)
minecraft.dropped.stone_stairs: #8, 7(1%)
minecraft.dropped.bone_block: #8, 48(1%)
minecraft.dropped.jungle_sapling: #8, 1(1%)
minecraft.dropped.sea_lantern: #8, 130(1%)
minecraft.dropped.orange_shulker_box: #8, 1(1%)
minecraft.crafted.red_terracotta: #8, 128(1%)
minecraft.killed_by.creeper: #9, 6(5%)
minecraft.crafted.orange_wool: #8, 3(1%)
minecraft.crafted.clay: #8, 11(1%)
minecraft.dropped.saddle: #8, 3(1%)
minecraft.mined.nether_wart_block: #8, 1(1%)
minecraft.dropped.jungle_log: #8, 35(1%)
minecraft.picked_up.music_disc_13: #8, 1(1%)
minecraft.used.light_blue_banner: #8, 1(0%)
minecraft.dropped.yellow_dye: #8, 1(0%)
minecraft.picked_up.pink_concrete_powder: #8, 1(0%)
minecraft.picked_up.golden_helmet: #9, 15(4%)
minecraft.dropped.written_book: #9, 49(4%)
minecraft.killed.chicken: #9, 117(4%)
minecraft.picked_up.oak_leaves: #9, 4102(3%)
minecraft.dropped.lever: #9, 31(4%)
minecraft.mined.detector_rail: #9, 13(5%)
minecraft.mined.ladder: #9, 155(3%)
minecraft.mined.bone_block: #9, 195(3%)
minecraft.mined.sticky_piston: #9, 182(3%)
minecraft.dropped.cooked_beef: #9, 65(3%)
