stat, rank, value, (percentage) 
minecraft.crafted.quartz_slab: #1, 8466(17%)
minecraft.picked_up.allium: #1, 363(23%)
minecraft.used.stripped_birch_log: #1, 1212(22%)
minecraft.picked_up.diorite: #1, 39885(13%)
minecraft.used.lilac: #2, 365(28%)
minecraft.picked_up.mossy_cobblestone: #1, 631(17%)
minecraft.mined.wither_rose: #1, 289(57%)
minecraft.picked_up.mossy_stone_brick_stairs: #1, 149(68%)
minecraft.mined.spruce_sign: #1, 17(26%)
minecraft.mined.mossy_stone_brick_stairs: #1, 155(68%)
minecraft.mined.green_carpet: #2, 113(31%)
minecraft.picked_up.yellow_concrete: #1, 3309(21%)
minecraft.used.quartz_stairs: #1, 4099(15%)
minecraft.used.dark_prismarine_slab: #2, 9395(39%)
minecraft.crafted.dark_oak_pressure_plate: #1, 90(26%)
minecraft.mined.yellow_concrete: #1, 3130(21%)
minecraft.dropped.chiseled_stone_bricks: #2, 822(47%)
minecraft.crafted.lime_concrete_powder: #1, 2248(19%)
minecraft.crafted.red_nether_brick_slab: #1, 926(54%)
minecraft.used.light_blue_concrete_powder: #2, 3829(27%)
minecraft.mined.spruce_wall_sign: #1, 43(17%)
minecraft.used.nether_quartz_ore: #2, 9539(19%)
minecraft.crafted.yellow_stained_glass_pane: #1, 880(25%)
minecraft.used.mossy_stone_brick_stairs: #1, 756(64%)
minecraft.dropped.red_concrete: #2, 178(32%)
minecraft.mined.red_stained_glass_pane: #1, 322(29%)
minecraft.mined.tripwire_hook: #1, 45(17%)
minecraft.mined.azure_bluet: #2, 329(19%)
minecraft.dropped.spruce_slab: #2, 431(19%)
minecraft.crafted.mossy_stone_brick_slab: #1, 248(53%)
minecraft.killed.tropical_fish: #1, 17(40%)
minecraft.used.vine: #2, 605(22%)
minecraft.crafted.iron_pickaxe: #1, 75(13%)
minecraft.picked_up.chiseled_quartz_block: #1, 236(20%)
minecraft.mined.green_stained_glass_pane: #1, 65(35%)
minecraft.dropped.nether_bricks: #2, 362(29%)
minecraft.used.beetroot_seeds: #1, 269(19%)
minecraft.dropped.birch_log: #2, 642(21%)
minecraft.dropped.book: #2, 132(25%)
minecraft.dropped.ender_eye: #1, 16(62%)
minecraft.mined.furnace: #2, 717(16%)
minecraft.mined.quartz_stairs: #1, 1278(14%)
minecraft.picked_up.dark_oak_door: #1, 51(20%)
minecraft.picked_up.beetroot_seeds: #1, 597(16%)
minecraft.picked_up.furnace: #2, 729(15%)
minecraft.crafted.spruce_slab: #2, 9984(15%)
minecraft.mined.pink_tulip: #2, 111(22%)
minecraft.mined.dark_oak_slab: #2, 1749(19%)
minecraft.mined.attached_melon_stem: #1, 1172(99%)
minecraft.used.dark_oak_door: #1, 92(20%)
minecraft.crafted.gray_shulker_box: #2, 59(23%)
minecraft.picked_up.spruce_wood: #2, 517(25%)
minecraft.picked_up.stone_stairs: #2, 409(22%)
minecraft.used.mushroom_stem: #1, 1066(27%)
minecraft.crafted.stone_brick_stairs: #2, 10240(17%)
minecraft.picked_up.scaffolding: #2, 20201(19%)
minecraft.dropped.pink_dye: #1, 16(48%)
minecraft.picked_up.spruce_pressure_plate: #2, 88(23%)
minecraft.mined.beetroots: #1, 229(17%)
minecraft.crafted.green_shulker_box: #2, 43(24%)
minecraft.picked_up.cooked_chicken: #2, 2086(15%)
minecraft.crafted.mossy_cobblestone_wall: #1, 288(41%)
minecraft.dropped.pufferfish_bucket: #1, 9(47%)
minecraft.mined.dark_oak_leaves: #2, 2652(17%)
minecraft.dropped.bricks: #1, 322(40%)
minecraft.dropped.acacia_leaves: #1, 127(28%)
minecraft.picked_up.melon_seeds: #2, 206(29%)
minecraft.dropped.yellow_concrete: #1, 280(35%)
minecraft.dropped.mossy_cobblestone_wall: #1, 177(93%)
