stat, rank, value, (percentage) 
minecraft.picked_up.horn_coral_block: #2, 1524(35%)
minecraft.picked_up.stripped_acacia_log: #2, 918(30%)
minecraft.picked_up.gray_concrete_powder: #2, 11267(23%)
minecraft.dropped.clay: #1, 24(44%)
minecraft.mined.lapis_ore: #2, 2784(17%)
minecraft.crafted.smithing_table: #1, 678(34%)
minecraft.used.firework_rocket: #2, 2422(16%)
minecraft.picked_up.leather_chestplate: #1, 46(12%)
minecraft.picked_up.acacia_sign: #1, 11(44%)
minecraft.used.dead_bubble_coral_block: #1, 100(38%)
minecraft.mined.fire_coral_block: #2, 1941(34%)
minecraft.picked_up.smithing_table: #1, 102(38%)
minecraft.crafted.gray_bed: #1, 58(34%)
minecraft.dropped.ghast_tear: #1, 16(38%)
minecraft.used.poppy: #2, 89(21%)
minecraft.picked_up.dark_oak_slab: #2, 2388(19%)
minecraft.mined.jungle_leaves: #2, 4505(18%)
minecraft.custom.trigger_trapped_chest: #2, 563(18%)
minecraft.mined.diorite: #1, 36792(12%)
minecraft.mined.kelp_plant: #2, 6281(16%)
minecraft.dropped.jungle_trapdoor: #1, 39(30%)
minecraft.mined.pink_concrete_powder: #1, 51(60%)
minecraft.killed_by.zombie_pigman: #1, 6(27%)
minecraft.dropped.yellow_dye: #1, 187(37%)
minecraft.used.oak_fence: #2, 1763(16%)
minecraft.dropped.red_sandstone: #1, 2246(99%)
minecraft.mined.horn_coral_block: #2, 1457(33%)
minecraft.picked_up.cooked_beef: #2, 3164(17%)
minecraft.dropped.dark_oak_stairs: #1, 213(24%)
minecraft.dropped.purple_carpet: #1, 30(73%)
minecraft.used.shulker_box: #2, 6368(16%)
minecraft.used.stripped_dark_oak_wood: #1, 275(58%)
minecraft.picked_up.experience_bottle: #1, 368(58%)
minecraft.crafted.brown_stained_glass_pane: #1, 120(48%)
minecraft.picked_up.tube_coral_block: #2, 1424(28%)
minecraft.used.oxeye_daisy: #1, 39(22%)
minecraft.used.jungle_leaves: #2, 2059(20%)
minecraft.mined.shulker_box: #2, 6174(16%)
minecraft.picked_up.leather_leggings: #1, 53(11%)
minecraft.dropped.cooked_mutton: #1, 63(48%)
minecraft.crafted.yellow_stained_glass: #2, 2584(26%)
minecraft.mined.brown_stained_glass_pane: #1, 41(95%)
minecraft.dropped.lever: #2, 153(20%)
minecraft.dropped.purple_concrete: #1, 59(95%)
minecraft.dropped.lapis_block: #1, 192(41%)
minecraft.mined.horn_coral_wall_fan: #2, 962(43%)
minecraft.picked_up.shulker_box: #2, 6440(16%)
minecraft.dropped.stripped_oak_wood: #1, 23(70%)
minecraft.crafted.brewing_stand: #2, 113(20%)
minecraft.dropped.light_blue_wool: #2, 62(42%)
minecraft.dropped.green_wool: #1, 11(55%)
minecraft.picked_up.light_gray_concrete: #2, 6883(19%)
minecraft.crafted.diamond_sword: #2, 24(14%)
minecraft.mined.dead_brain_coral_wall_fan: #1, 31(91%)
minecraft.crafted.sugar: #2, 1348(20%)
minecraft.crafted.dark_oak_wood: #2, 1989(27%)
minecraft.crafted.gray_wool: #2, 371(27%)
minecraft.used.dead_horn_coral_fan: #1, 59(68%)
minecraft.mined.red_bed: #2, 137(25%)
minecraft.used.dead_bubble_coral_fan: #1, 67(68%)
minecraft.crafted.red_sandstone_stairs: #1, 184(68%)
minecraft.used.diamond_pickaxe: #2, 1544702(13%)
minecraft.picked_up.orange_terracotta: #2, 17558(18%)
minecraft.picked_up.iron_shovel: #2, 54(15%)
minecraft.mined.tube_coral_block: #2, 1449(28%)
minecraft.mined.enchanting_table: #1, 13(18%)
