stat, rank, value, (percentage) 
minecraft.dropped.string: #4, 921(9%)
minecraft.used.yellow_bed: #3, 46(9%)
minecraft.custom.crouch_one_cm: #5, 18779357(7%)
minecraft.used.cocoa_beans: #4, 1968(11%)
minecraft.crafted.lime_wool: #3, 78(11%)
minecraft.used.lime_concrete: #3, 825(8%)
minecraft.dropped.gold_block: #3, 88(8%)
minecraft.used.cooked_beef: #4, 1823(9%)
minecraft.killed.zombie_pigman: #3, 793(6%)
minecraft.used.stripped_jungle_log: #3, 102(10%)
minecraft.killed.squid: #3, 170(5%)
minecraft.used.redstone_block: #4, 1391(10%)
minecraft.picked_up.white_carpet: #4, 439(8%)
minecraft.custom.play_record: #3, 54(11%)
minecraft.crafted.white_stained_glass_pane: #4, 3472(10%)
minecraft.killed_by.ghast: #3, 1(33%)
minecraft.mined.moving_piston: #3, 1(33%)
minecraft.dropped.yellow_bed: #3, 2(25%)
minecraft.dropped.cocoa_beans: #3, 39(8%)
minecraft.mined.brick_slab: #3, 140(7%)
minecraft.crafted.fermented_spider_eye: #4, 68(12%)
minecraft.picked_up.apple: #4, 495(7%)
minecraft.used.redstone: #4, 5443(8%)
minecraft.dropped.birch_log: #4, 305(10%)
minecraft.crafted.red_stained_glass_pane: #4, 912(13%)
minecraft.picked_up.birch_trapdoor: #4, 108(11%)
minecraft.crafted.tnt: #3, 1840(5%)
minecraft.crafted.brown_stained_glass: #3, 768(13%)
minecraft.crafted.emerald: #4, 24828(9%)
minecraft.crafted.cooked_beef: #4, 1096(9%)
minecraft.crafted.quartz_stairs: #4, 1784(9%)
minecraft.used.smooth_quartz_stairs: #3, 350(9%)
minecraft.crafted.name_tag: #4, 85(12%)
minecraft.mined.infested_stone: #4, 132(10%)
minecraft.crafted.blue_carpet: #3, 1590(5%)
minecraft.mined.quartz_stairs: #4, 780(9%)
minecraft.crafted.powered_rail: #4, 2424(9%)
minecraft.used.white_stained_glass_pane: #4, 2976(9%)
minecraft.used.redstone_ore: #3, 978(4%)
minecraft.picked_up.zombie_head: #3, 2(20%)
minecraft.used.smithing_table: #3, 101(9%)
minecraft.used.glowstone: #4, 1040(8%)
minecraft.used.obsidian: #4, 1615(8%)
minecraft.picked_up.oak_slab: #4, 752(7%)
minecraft.mined.sugar_cane: #4, 5988(7%)
minecraft.picked_up.jungle_sapling: #4, 296(8%)
minecraft.dropped.gray_wool: #4, 64(15%)
minecraft.crafted.oak_fence: #4, 879(7%)
minecraft.crafted.redstone: #4, 16600(7%)
minecraft.picked_up.dried_kelp_block: #3, 2280(4%)
minecraft.picked_up.bow: #4, 307(6%)
minecraft.dropped.wheat: #4, 179(8%)
minecraft.mined.stripped_jungle_log: #3, 110(5%)
minecraft.used.birch_slab: #4, 3589(8%)
minecraft.used.gold_block: #4, 1632(9%)
minecraft.crafted.light_blue_terracotta: #3, 2048(7%)
minecraft.dropped.dandelion: #4, 261(7%)
minecraft.used.light_gray_stained_glass_pane: #4, 1585(11%)
minecraft.custom.sneak_time: #6, 5563199(7%)
minecraft.mined.light_gray_stained_glass: #4, 532(9%)
minecraft.crafted.detector_rail: #4, 96(9%)
