Player Name,BadTimeWithScar,BdoubleO100,Cojomax99,Couriway,Cub_Cam,Docm77,Dot_Dot_Dash,Etho,Eyjoy27,F1RECRACKR,GeminiTay,GoodTimeWithScar,Grian,HBomb94,HypnotizdCam,ImpulseCam,InTheLittleWood,JamalMC_,Kamalis1,Keralis1,Mumbo,MumboDrone,MythicalSausage,OrionSound,PearlescentMoo,PearlescentMoon,Plagiatus,Renthedog,Skizzleman,Smajor1995,Smallishbeans,SolidarityGaming,Tango,TangoCam,TwoMuchGrian,VintageBeef,Welsknight,Xisuma,ZedCam,Zedaph,ZombieCleo,_Jevination_,aimsey,belmarzi,cubfan135,falsesymmetry,hannahxxrose,hypnotizd,iJevin,impulseSV,joehillssays,jojosolos,xBCam,xBCrafted,xisumavoid
minecraft.crafted.pink_concrete_powder,0,8,0,0,0,88,0,640,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,16,0,0,0,0,1040,0,0,0,0,64,0,24,0,784,1600,0,0,0,184,8096,0,8,96,128,32,0,0,8,0
minecraft.crafted.pink_dye,0,22,0,0,0,260,0,2137,0,0,33,172,5,0,0,0,0,0,0,4296,4,0,0,0,0,309,0,133,1400,0,679,0,24,0,0,50,0,217,0,160,392,0,0,0,355,3127,0,22,54,949,87,0,0,2,0
minecraft.crafted.pink_glazed_terracotta,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,89,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1739,0,0,0,0,0,0,0,0,0
minecraft.crafted.pink_harness,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.pink_shulker_box,0,4,0,0,0,2,0,8,0,0,1,2,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,6,2,0,12,0,1,0,0,0,0,4,0,6,5,0,0,0,3,15,0,0,1,0,46,0,0,0,0
minecraft.crafted.pink_stained_glass,0,32,0,0,0,16,0,3200,0,0,32,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,0,1784,0,8,0,0,0,0,56,0,0,32,0,0,0,8,56,0,0,0,152,0,0,0,0,0
minecraft.crafted.pink_stained_glass_pane,0,88,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,624,0,0,1216,0,0,0,0,0,0,112,0,0,0,0,0,0,32,80,0,0,0,224,0,0,0,0,0
minecraft.crafted.pink_terracotta,0,16,0,0,0,0,0,1528,0,0,0,88,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1736,0,0,0,0,144,0,88,0,0,88,0,0,0,0,5200,0,0,0,6216,152,0,0,0,0
minecraft.crafted.pink_tulip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
minecraft.crafted.pink_wool,0,0,0,0,0,293,0,823,0,0,0,14,0,0,0,0,0,0,0,31,0,0,0,0,0,3,0,0,135,0,67,0,0,0,0,0,0,3,0,6,70,0,0,0,142,13,0,4,1,33,2,0,0,0,0
minecraft.crafted.piston,0,29,0,0,0,38,0,2389,0,0,76,354,575,0,0,0,0,0,0,326,1053,0,0,0,0,601,0,643,48,0,47,0,4657,0,0,186,2,1570,0,665,0,0,0,0,1134,77,0,703,359,998,22,0,0,289,0
minecraft.crafted.player_head,0,24,0,0,0,32,0,648,0,0,440,544,1112,0,0,0,0,0,0,1352,0,0,0,0,0,1800,0,776,0,0,424,0,104,0,0,200,0,704,0,0,0,0,0,0,328,2640,0,1248,904,704,224,0,0,8,0
minecraft.crafted.podzol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0
minecraft.crafted.polished_andesite,0,11,0,0,0,107,0,364,0,0,1140,4420,68,0,0,0,0,0,0,64,768,0,0,0,0,236,0,868,0,0,284,0,1040,0,0,0,64,2500,0,60,4,0,0,0,976,1160,0,228,4,3679,320,0,0,0,0
minecraft.crafted.polished_andesite_slab,0,66,0,0,0,52,0,0,0,0,6,30,120,0,0,0,0,0,0,36,226,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,134,0,72,0,0,0,0,152,156,0,2,0,16,0,0,0,6,0
minecraft.crafted.polished_andesite_stairs,0,4,0,0,0,64,0,6,0,0,4,75,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,8,0,0,0,0,18,0,0,0,0,13,0,0,0,0,0,0,8,84,0,1,0,2,0,0,0,0,0
minecraft.crafted.polished_basalt,0,785,0,0,0,16,0,572,0,0,4,136,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,4,4,0,1808,0,428,0,0,3464,512,1128,0,244,0,0,0,0,128,924,0,1,1,1396,4,0,0,0,0
minecraft.crafted.polished_blackstone,0,4,0,0,0,22,0,56,0,4,624,648,68,0,0,0,0,0,0,96,204,0,0,0,0,76,0,9,148,0,549,0,2435,0,0,0,0,1044,0,8,0,0,0,0,1161,756,0,5,714,1373,4,0,0,0,0
minecraft.crafted.polished_blackstone_brick_slab,0,0,0,0,0,0,0,0,0,0,120,32,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,88,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,30,126,0,2,388,0,0,0,0,0,0
minecraft.crafted.polished_blackstone_brick_stairs,0,0,0,0,0,0,0,3,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,46,0,0,0,0,1,0,0,0,0,0,0,8,0,0,1,477,0,0,0,0,0,0
minecraft.crafted.polished_blackstone_brick_wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,12,90,0,1,0,0,0,0,0,0,0
minecraft.crafted.polished_blackstone_bricks,0,0,0,0,0,0,0,0,0,0,360,65,4,0,0,0,0,0,0,0,96,0,0,0,0,0,0,1,50,0,276,0,176,0,0,0,0,1,0,0,0,0,0,0,576,260,0,0,638,0,0,0,0,0,0
minecraft.crafted.polished_blackstone_button,0,4,0,0,0,3,0,26,0,2,12,37,0,0,0,0,0,0,0,100,12,0,0,0,0,57,0,0,0,0,6,0,40,0,0,25,0,3,0,12,0,0,0,0,192,45,0,1,48,1229,2,0,0,8,0
