Player Name,BadTimeWithScar,Biffa001,Biffa2001,Cub_Cam,Docm77,Etho,EvilXisuma,GoodTimeWithScar,ImpulseCam,Jessassin,Lechaion,Mumbo,MumboJumbo,PuddleduckGG,PythonGB,Renthedog,Tango,TangoCam,Tinfoilchef,VintageBeef,WFRTNews,WellsGlazes,WelsCam,Welsknight,Xisuma,ZombieCleo,cubfan135,falsesymmetry,hypnotizd,iJevin,impulseSV,isGall85,iskall85,joehillssays,monkeyfarm,truesymmetry,xBCrafted,xisumavoid,zueljin
stat.pickup.minecraft.golden_pickaxe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.pickup.minecraft.golden_rail,0,0,39,0,90,67,0,242,0,0,0,0,1141,0,26,191,990,0,210,76,0,0,0,6,740,0,496,356,0,145,3253,0,1649,18,0,0,0,0,0
stat.pickup.minecraft.golden_shovel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.pickup.minecraft.golden_sword,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,5,187,0,59,2,0,8,28,0,15,0,0,0,0,94,0
stat.pickup.minecraft.grass,0,0,301,0,465,7665,0,20824,0,0,0,0,4660,0,467,17158,231,0,2988,503,0,0,0,15001,12351,83,5368,6830,0,499,372,0,35262,5219,0,0,0,0,18
stat.pickup.minecraft.gravel,0,0,284,0,100,1449,0,18059,0,1326,0,189,2604,0,2080,24243,2995,0,11492,132,0,0,0,4742,16711,363,7499,26083,0,2354,2066,0,14892,1842,0,0,130,0,282
stat.pickup.minecraft.gray_glazed_terracotta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,35,46,0,3,0,0,0,0,0,13,52,0,0,0,0,0
stat.pickup.minecraft.gray_shulker_box,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,7,77,0,17,0,0,0,0,26,12,0,233,63,0,0,38,0,23,0,0,0,0,0,0
stat.pickup.minecraft.green_glazed_terracotta,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,1,0,0,4,0,0,0,0,0
stat.pickup.minecraft.green_shulker_box,0,0,0,0,0,0,0,175,0,0,0,0,2,0,0,17,21,0,0,0,0,0,0,32,35,0,141,18,0,0,17,0,44,56,0,0,0,0,0
stat.pickup.minecraft.gunpowder,0,0,83,0,68,83,0,1167,0,46,0,6,1059,0,240,729,888,0,224,92,0,0,0,430,2943,30,1788,1252,0,563,3371,0,1811,88,0,0,8,0,28
stat.pickup.minecraft.hardened_clay,0,0,1541,0,1323,1320,0,165563,0,1213,0,3371,13442,0,4720,59635,28031,0,1732,1250,0,0,0,15771,109628,7495,86529,98562,9,9879,27357,0,35817,14910,0,0,2274,0,406
stat.pickup.minecraft.hay_block,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,22,5,0,0,1,0,0,0,0,3,0,101,73,0,0,5,0,4,63,0,0,0,0,0
stat.pickup.minecraft.heavy_weighted_pressure_plate,0,0,0,0,0,0,0,25,0,0,0,1,6,0,0,5,1,0,0,13,0,0,0,0,1,1,35,59,0,0,21,0,23,0,0,0,0,0,1
stat.pickup.minecraft.hopper,0,0,55,0,69,80,0,128,0,0,0,7,1058,0,7,61,1021,0,659,3,0,0,0,167,1286,25,745,309,0,303,976,0,1334,1,0,0,0,0,0
stat.pickup.minecraft.hopper_minecart,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
stat.pickup.minecraft.ice,0,0,0,0,0,0,0,946,0,0,0,0,1,0,567,389,7781,0,0,0,0,0,0,1073,5022,0,1093,5282,0,2,1590,0,1659,1,0,0,0,0,0
stat.pickup.minecraft.iron_axe,0,0,5,0,1,2,0,7,0,1,0,0,1,0,3,15,3,0,1,4,0,0,0,9,6,6,7,8,0,2,11,0,8,5,0,0,0,0,1
stat.pickup.minecraft.iron_bars,0,0,75,0,23,5,0,436,0,0,0,12,99,0,90,157,1268,0,16,120,0,0,0,301,903,6,2435,841,0,668,826,0,344,54,0,0,0,9,0
stat.pickup.minecraft.iron_block,0,0,128,0,329,475,0,2430,0,0,0,0,5632,0,225,4262,10723,0,764,396,0,0,0,2097,4652,7,5861,6356,0,1058,7384,0,7798,549,0,0,0,0,642
stat.pickup.minecraft.iron_boots,0,0,11,0,13,8,0,21,0,1,0,1,5,0,14,34,15,0,2,5,0,1,0,25,18,6,13,26,0,6,23,0,28,7,0,0,0,1,2
stat.pickup.minecraft.iron_chestplate,0,0,6,0,17,14,0,24,0,1,0,1,3,0,14,39,15,0,3,5,0,1,0,18,19,7,15,406,0,6,15,0,41,5,0,0,0,0,1
stat.pickup.minecraft.iron_door,0,0,0,0,2,1,0,53,0,0,0,3,38,0,8,26,78,0,2,0,0,0,0,7,32,0,82,99,0,0,39,0,29,19,0,0,0,0,0
stat.pickup.minecraft.iron_helmet,0,0,10,0,14,14,0,28,0,1,0,1,5,0,11,39,48,0,4,5,0,1,0,17,18,8,41,26,0,4,28,0,38,11,0,0,0,1,1
stat.pickup.minecraft.iron_hoe,0,0,0,0,0,0,0,2,0,0,0,0,8,0,2,3,4,0,0,5,0,0,0,0,0,0,6,6,0,0,0,0,3,4,0,0,0,0,0
stat.pickup.minecraft.iron_horse_armor,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,2,3,0,2,7,0,5,0,0,2,0,0,0,0,0,0
stat.pickup.minecraft.iron_ingot,0,0,109,0,126,319,0,805,0,4,0,1,556,0,70,1571,822217,0,198,1799,0,0,0,1487,2072,620,1146,1027,0,1397,7916,0,1569,92,0,0,3,22223,53
