Player Name,BadTimeWithScar,BdoubleO100,CamM77,Cub_Cam,Docm77,Etho,EvilXisuma,Firecracker1195,GIGACAM,GeminiTay,GoodTimeWithScar,Grian,HBomb94,HumanCleo,HypnotizdCam,ImpulseCam,InTheLittleWood,Jessassin,Kamalis1,KarinSurfing,Keralis1,LDShadowLady,Maescool,Minerva246,Mumbo,MumboDrone,MumboJumbo,MythicalSausage,OrionSound,PearlescentMoo,PearlescentMoon,Pixlriffs,RentheKing,Renthedog,STEAKFG,ShubbleYT,Skizzleman,Smajor1995,Smallishbeans,SolidarityGaming,Stressmonster101,Stressmonsterin,Tango,TangoCam,Tinfoilchef,TwoMuchGrian,VintageBeef,Watcher_Grian,WelsCam,Welsknight,Xisuma,ZedCam,Zedaph,ZombieCleo,_Jevination_,cubfan135,fWhip,falsesymmetry,gnembon,hypnotizd,iJevin,impulseSV,isGall85,iskall85,joehillssays,joehillssees,kingbdogz,slicedlime,truesymmetry,xBCam,xBCrafted,xisumavoid
minecraft.picked_up.powder_snow_bucket,0,0,0,0,8,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,134,0,0,0,0,0,0,0,30,0,5,0,0,485,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0
minecraft.picked_up.powered_rail,0,21,0,0,2123,196,0,0,0,25,1343,358,0,0,0,0,0,0,0,0,312,0,0,0,23,0,2,0,0,0,106,0,0,226,0,0,0,0,0,0,110,0,5413,0,0,0,7,0,0,9,535,0,299,127,0,1546,0,53,0,431,193,864,0,189,329,0,0,0,0,0,64,0
minecraft.picked_up.prismarine,0,82,0,0,0,98,0,0,0,3198,2,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,1,0,61,0,0,0,0,0,0,1865,0,0,0,0,0,5,0,0,0,159,0,15,83,0,1541,0,567,0,24,1028,83,0,453,663,0,0,0,0,0,27,0
minecraft.picked_up.prismarine_brick_slab,0,0,0,0,0,0,0,0,0,82,5,0,0,0,0,0,0,0,0,0,1,0,0,0,81,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,9263,0,0,0,5,0,0,0,0,60,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0
minecraft.picked_up.prismarine_brick_stairs,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.picked_up.prismarine_bricks,0,0,0,0,73,56,0,0,0,2822,57,371,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,5,0,587,2,0,20,0,0,0,0,0,0,3036,0,1,0,0,0,15,0,0,0,103,0,6,10,0,980,8,838,0,25,1005,30,0,45,763,0,0,0,0,0,98,0
minecraft.picked_up.prismarine_crystals,0,0,0,0,0,218,0,0,0,1228,58,26,0,0,0,0,0,0,0,0,19,0,0,0,27,0,0,0,95,0,23,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,2,0,0,0,303,0,30,3,0,110,2,2774,0,1,99,333,0,1,109,0,0,0,0,0,10,0
minecraft.picked_up.prismarine_shard,0,0,0,0,0,461,0,0,0,5783,0,80,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,544,0,50,6,0,138,0,2230,0,26,188,799,0,9,46,0,0,0,0,0,23,0
minecraft.picked_up.prismarine_slab,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0
minecraft.picked_up.prismarine_stairs,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
minecraft.picked_up.prismarine_wall,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0
minecraft.picked_up.prize_pottery_sherd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0
minecraft.picked_up.pufferfish,0,0,0,0,0,13,0,0,0,9,3,74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,8,0,0,0,0,0,1,0,0,7,0,0,0,4,0,0,0,4,0,32,2,0,209,0,0,0,7,4,2,0,0,57,0,0,0,0,0,0,0
minecraft.picked_up.pufferfish_bucket,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
minecraft.picked_up.pumpkin,0,30,0,0,538,213,0,0,0,123,5128,178,1,0,0,0,3,0,0,0,174,1,0,0,49,0,0,57,0,0,251,12,129,1969,0,0,0,11,1,0,209,0,123,0,0,0,83,0,0,12,96,0,18666,59,0,443,0,155,0,71,1597,71,0,1729,203,0,0,0,0,0,87,0
minecraft.picked_up.pumpkin_pie,0,68,0,0,1451,19,0,0,0,113,1851,1567,0,0,0,0,0,0,0,0,2623,0,0,0,275,0,64,216,81,0,239,34,365,2068,0,44,0,451,68,16,0,0,86,0,0,0,137,0,0,0,115,0,569,111,0,1298,10,218,0,1,737,232,0,18,451,0,0,0,0,0,178,0
minecraft.picked_up.pumpkin_seeds,0,38,0,0,851,2754,0,0,0,44,10133,430,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,678,0,0,143,0,505,29654,0,0,0,32,8,0,236,0,1743,0,0,0,26,0,0,0,168,0,1286,4,0,15626,0,363,0,44,4285,93,0,878,342,0,0,0,0,0,305,0
minecraft.picked_up.purple_banner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0
minecraft.picked_up.purple_bed,0,0,0,0,373,0,0,0,0,16,25,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,351,0,7,1,0,0,0,3,0,10,86,1,0,4,11,0,0,0,0,0,35,0
