stat, rank, value, (percentage) 
minecraft.picked_up.oxidized_copper_bulb: #2, 121(28%)
minecraft.crafted.glistering_melon_slice: #1, 319(29%)
minecraft.crafted.hopper: #2, 5293(18%)
minecraft.used.copper_ore: #2, 6990(18%)
minecraft.picked_up.waxed_exposed_cut_copper_stairs: #1, 86(39%)
minecraft.picked_up.cut_sandstone: #3, 748(25%)
minecraft.picked_up.gray_shulker_box: #2, 1100(19%)
minecraft.mined.waxed_exposed_cut_copper_stairs: #1, 86(38%)
minecraft.picked_up.brown_banner: #1, 91(26%)
minecraft.picked_up.bamboo_mosaic_slab: #1, 94(49%)
minecraft.mined.stone_brick_wall: #2, 221(26%)
minecraft.dropped.dried_ghast: #1, 317(85%)
minecraft.used.warped_planks: #1, 2082(19%)
minecraft.crafted.waxed_oxidized_copper: #1, 7972(84%)
minecraft.mined.sandstone_wall: #1, 66(31%)
minecraft.crafted.green_glazed_terracotta: #1, 675(67%)
minecraft.used.shears: #1, 30444(13%)
minecraft.used.pink_wool: #2, 488(24%)
minecraft.picked_up.waxed_cut_copper_stairs: #1, 61(37%)
minecraft.picked_up.pale_oak_pressure_plate: #1, 20(67%)
minecraft.crafted.polished_tuff: #2, 7343(18%)
minecraft.crafted.brick_stairs: #1, 45(22%)
minecraft.dropped.splash_potion: #2, 207(25%)
minecraft.crafted.oak_planks: #2, 55804(16%)
minecraft.crafted.bamboo_mosaic_stairs: #1, 92(37%)
minecraft.picked_up.white_stained_glass_pane: #2, 370(24%)
minecraft.used.green_glazed_terracotta: #1, 1068(65%)
minecraft.picked_up.glass_bottle: #2, 5844(13%)
minecraft.dropped.mace: #1, 23(15%)
minecraft.dropped.flow_armor_trim_smithing_template: #1, 9(64%)
minecraft.used.oak_log: #2, 3199(17%)
minecraft.mined.bamboo_fence_gate: #1, 55(23%)
minecraft.mined.polished_tuff: #1, 1424(13%)
minecraft.used.oak_slab: #2, 1452(17%)
minecraft.custom.total_world_time: #2, 169324785(8%)
minecraft.custom.play_time: #2, 169324785(8%)
minecraft.used.stone_brick_stairs: #1, 1431(13%)
minecraft.mined.cut_sandstone: #3, 747(24%)
minecraft.crafted.light_gray_carpet: #2, 2727(21%)
minecraft.mined.bamboo_door: #1, 15(21%)
minecraft.mined.white_shulker_box: #1, 838(12%)
minecraft.used.rooted_dirt: #2, 2995(23%)
minecraft.used.ancient_debris: #1, 15(35%)
minecraft.used.waxed_copper_block: #2, 608(21%)
minecraft.mined.granite_slab: #1, 55(24%)
minecraft.picked_up.light_blue_wool: #2, 1697(21%)
minecraft.crafted.blaze_powder: #2, 3150(17%)
minecraft.dropped.tinted_glass: #1, 128(39%)
minecraft.picked_up.lodestone: #1, 128(44%)
minecraft.picked_up.white_shulker_box: #1, 854(11%)
minecraft.dropped.light_gray_bed: #1, 24(39%)
minecraft.mined.smooth_stone: #3, 6058(20%)
minecraft.used.black_wool: #2, 6972(18%)
minecraft.crafted.furnace: #1, 906(12%)
minecraft.mined.mangrove_planks: #2, 485(19%)
minecraft.crafted.white_concrete_powder: #2, 21116(18%)
minecraft.mined.acacia_sign: #1, 8(28%)
minecraft.mined.wither_skeleton_skull: #1, 10(30%)
minecraft.dropped.enchanted_book: #1, 96(14%)
minecraft.used.comparator: #2, 1750(16%)
minecraft.mined.bamboo_trapdoor: #2, 372(18%)
minecraft.picked_up.magenta_concrete_powder: #2, 2601(36%)
minecraft.picked_up.brick_wall: #1, 44(25%)
minecraft.dropped.blast_furnace: #1, 33(75%)
minecraft.picked_up.iron_trapdoor: #2, 392(17%)
minecraft.mined.mangrove_wood: #1, 84(20%)
minecraft.dropped.chiseled_deepslate: #1, 19(37%)
minecraft.killed.blaze: #2, 1971(17%)
minecraft.used.waxed_cut_copper_slab: #2, 181(36%)
minecraft.crafted.resin_brick_stairs: #1, 356(98%)
minecraft.used.purple_wool: #2, 380(24%)
minecraft.picked_up.oak_sapling: #2, 5478(16%)
minecraft.crafted.mud_bricks: #2, 4892(17%)
minecraft.custom.interact_with_stonecutter: #1, 1250(11%)
minecraft.used.hopper: #2, 6276(16%)
minecraft.crafted.black_wool: #2, 3159(26%)
minecraft.used.brown_banner: #2, 124(27%)
minecraft.mined.white_carpet: #2, 370(18%)
minecraft.crafted.yellow_glazed_terracotta: #1, 253(40%)
minecraft.used.dark_oak_log: #2, 4060(15%)
minecraft.used.waxed_exposed_copper_bulb: #1, 74(19%)
minecraft.crafted.copper_trapdoor: #2, 2874(18%)
minecraft.mined.crafter: #1, 183(12%)
minecraft.picked_up.furnace: #2, 522(15%)
minecraft.picked_up.polished_tuff: #1, 1397(11%)
minecraft.used.gray_glazed_terracotta: #1, 301(35%)
minecraft.mined.bamboo_mosaic_slab: #1, 55(46%)
minecraft.crafted.waxed_weathered_copper_bulb: #1, 382(69%)
minecraft.killed.snow_golem: #2, 53(31%)
minecraft.mined.copper_ore: #2, 18269(14%)
minecraft.dropped.arrow: #2, 5541(14%)
minecraft.crafted.gray_stained_glass_pane: #1, 1197(18%)
minecraft.crafted.cracked_deepslate_tiles: #1, 91(90%)
minecraft.killed.spider: #2, 958(14%)
minecraft.used.acacia_hanging_sign: #1, 23(24%)
minecraft.dropped.stone_brick_stairs: #2, 140(25%)
minecraft.used.bamboo_fence: #2, 909(18%)
minecraft.mined.waxed_exposed_copper: #2, 175(26%)
minecraft.dropped.amethyst_shard: #2, 717(22%)
minecraft.used.purple_glazed_terracotta: #1, 118(44%)
minecraft.mined.cyan_stained_glass_pane: #1, 49(22%)
minecraft.mined.scaffolding: #1, 8157(11%)
minecraft.picked_up.stripped_warped_hyphae: #1, 109(24%)
minecraft.mined.comparator: #2, 380(15%)
minecraft.dropped.sugar: #2, 4493(20%)
minecraft.crafted.glowstone: #2, 1488(18%)
minecraft.used.spruce_wood: #2, 1783(17%)
minecraft.dropped.netherite_pickaxe: #2, 25(15%)
minecraft.used.birch_trapdoor: #2, 321(17%)
minecraft.used.granite: #2, 4031(14%)
minecraft.mined.red_wool: #2, 351(16%)
minecraft.dropped.tube_coral_block: #1, 17(52%)
minecraft.crafted.mangrove_trapdoor: #2, 714(15%)
minecraft.mined.waxed_copper_grate: #2, 568(20%)
minecraft.used.mangrove_trapdoor: #2, 779(15%)
minecraft.crafted.target: #2, 601(18%)
minecraft.picked_up.waxed_weathered_cut_copper_stairs: #1, 27(20%)
minecraft.picked_up.waxed_copper_grate: #2, 544(20%)
minecraft.crafted.packed_mud: #2, 15861(14%)
minecraft.picked_up.cyan_wool: #2, 1451(15%)
minecraft.picked_up.target: #2, 223(18%)
minecraft.mined.crimson_fence_gate: #1, 5(42%)
minecraft.crafted.candle: #2, 3941(22%)
minecraft.crafted.pale_oak_pressure_plate: #1, 22(42%)
minecraft.crafted.shears: #2, 1901(14%)
minecraft.used.bamboo_block: #2, 1645(16%)
minecraft.used.waxed_cut_copper_stairs: #1, 160(35%)
minecraft.used.birch_log: #2, 1890(14%)
