stat, rank, value, (percentage) 
minecraft.broken.chainmail_leggings: #1, 1(100%)
minecraft.dropped.deepslate_coal_ore: #1, 10(50%)
minecraft.dropped.light_blue_glazed_terracotta: #1, 1(100%)
minecraft.dropped.waxed_weathered_cut_copper_slab: #1, 1(100%)
minecraft.dropped.waxed_exposed_copper_grate: #1, 34(100%)
minecraft.dropped.green_bundle: #1, 1(100%)
minecraft.crafted.lime_bundle: #1, 1(33%)
minecraft.used.oak_fence: #2, 560(9%)
minecraft.used.dead_brain_coral_fan: #2, 11(32%)
minecraft.used.stripped_cherry_log: #2, 222(18%)
minecraft.mined.pale_oak_trapdoor: #3, 101(15%)
minecraft.dropped.cooked_beef: #3, 403(10%)
minecraft.used.oak_door: #3, 33(13%)
minecraft.crafted.glass_pane: #3, 1728(12%)
minecraft.used.waxed_exposed_copper_trapdoor: #2, 152(13%)
minecraft.dropped.oak_leaves: #3, 933(12%)
minecraft.used.acacia_log: #3, 2154(12%)
minecraft.picked_up.pale_oak_slab: #3, 170(20%)
minecraft.mined.mossy_cobblestone_wall: #2, 9(20%)
minecraft.used.stripped_jungle_log: #3, 434(16%)
minecraft.used.waxed_oxidized_copper_bulb: #2, 73(13%)
minecraft.dropped.red_mushroom: #2, 19(9%)
minecraft.picked_up.birch_button: #2, 18(9%)
minecraft.picked_up.pale_hanging_moss: #3, 277(16%)
minecraft.used.waxed_weathered_cut_copper: #2, 423(13%)
minecraft.mined.dead_brain_coral_block: #2, 116(14%)
minecraft.picked_up.leather: #3, 4087(11%)
minecraft.dropped.blaze_rod: #2, 301(11%)
minecraft.mined.dead_brain_coral_fan: #2, 11(28%)
minecraft.picked_up.fern: #3, 2143(15%)
minecraft.picked_up.brown_mushroom_block: #2, 3862(9%)
minecraft.picked_up.pointed_dripstone: #2, 2201(6%)
minecraft.mined.waxed_weathered_cut_copper: #2, 89(15%)
minecraft.picked_up.lime_glazed_terracotta: #2, 61(40%)
minecraft.custom.sleep_in_bed: #3, 3331(8%)
minecraft.crafted.wooden_hoe: #2, 6(20%)
minecraft.mined.polished_diorite: #3, 80(11%)
minecraft.picked_up.bamboo_block: #3, 7282(11%)
minecraft.picked_up.oxeye_daisy: #2, 581(6%)
minecraft.dropped.stone_stairs: #3, 58(17%)
minecraft.used.gray_wool: #3, 2848(12%)
minecraft.dropped.leather_chestplate: #3, 38(9%)
minecraft.picked_up.spruce_button: #2, 303(8%)
minecraft.crafted.stone_sword: #3, 41(10%)
minecraft.picked_up.iron_trapdoor: #3, 237(10%)
minecraft.picked_up.dandelion: #2, 3525(6%)
minecraft.used.mossy_cobblestone: #3, 1015(10%)
minecraft.mined.pale_oak_fence: #2, 36(12%)
minecraft.dropped.mushroom_stem: #2, 67(17%)
minecraft.used.spruce_fence: #3, 1910(9%)
minecraft.dropped.crimson_fence: #2, 3(27%)
minecraft.dropped.gray_bundle: #2, 3(27%)
minecraft.dropped.iron_trapdoor: #3, 39(20%)
minecraft.used.pale_oak_sign: #2, 85(8%)
minecraft.picked_up.acacia_log: #3, 4378(9%)
minecraft.crafted.mossy_cobblestone: #3, 1730(12%)
minecraft.crafted.chainmail_chestplate: #2, 5(22%)
minecraft.crafted.waxed_exposed_copper_grate: #2, 71(16%)
minecraft.picked_up.prismarine_brick_slab: #2, 98(21%)
minecraft.crafted.mangrove_pressure_plate: #2, 23(14%)
minecraft.mined.bamboo_hanging_sign: #2, 7(21%)
minecraft.used.warped_roots: #3, 128(13%)
minecraft.mined.stripped_jungle_log: #3, 451(11%)
minecraft.custom.interact_with_smoker: #3, 227(11%)
minecraft.picked_up.leather_chestplate: #3, 46(7%)
minecraft.dropped.copper_block: #3, 124(22%)
minecraft.crafted.iron_hoe: #3, 8(11%)
minecraft.picked_up.orange_stained_glass: #3, 201(13%)
minecraft.dropped.black_stained_glass: #3, 65(16%)
minecraft.used.cauldron: #3, 93(9%)
minecraft.crafted.light_gray_glazed_terracotta: #2, 117(19%)
minecraft.mined.dark_oak_wall_sign: #2, 12(8%)
minecraft.dropped.glow_berries: #2, 49(6%)
minecraft.crafted.stone_stairs: #3, 318(10%)
minecraft.dropped.tuff_slab: #3, 65(19%)
