stat, rank, value, (percentage) 
minecraft.picked_up.diamond_axe: #3, 100(8%)
minecraft.picked_up.glow_ink_sac: #3, 408(8%)
minecraft.used.glass_bottle: #3, 4310(8%)
minecraft.mined.cherry_slab: #2, 32(11%)
minecraft.picked_up.jungle_leaves: #3, 1905(10%)
minecraft.used.polished_blackstone_bricks: #3, 678(14%)
minecraft.mined.polished_blackstone_bricks: #2, 459(7%)
minecraft.dropped.deepslate_lapis_ore: #2, 15(11%)
minecraft.mined.deepslate_brick_wall: #3, 54(14%)
minecraft.used.jungle_leaves: #3, 930(11%)
minecraft.mined.cherry_trapdoor: #3, 44(10%)
minecraft.crafted.blue_harness: #2, 1(50%)
minecraft.killed_by.witch: #2, 1(25%)
minecraft.broken.diamond_chestplate: #2, 1(25%)
minecraft.dropped.light_blue_wool: #3, 200(19%)
minecraft.dropped.deepslate_tile_slab: #3, 80(16%)
minecraft.dropped.warped_stairs: #2, 7(23%)
minecraft.dropped.diamond_helmet: #3, 7(8%)
minecraft.picked_up.polished_diorite: #4, 184(13%)
minecraft.used.brown_carpet: #3, 346(10%)
minecraft.dropped.acacia_slab: #2, 12(13%)
minecraft.crafted.black_banner: #3, 161(11%)
minecraft.killed_by.magma_cube: #2, 2(29%)
minecraft.mined.emerald_ore: #2, 40(4%)
minecraft.dropped.diamond: #3, 805(7%)
minecraft.picked_up.brown_carpet: #3, 171(9%)
minecraft.dropped.orange_wool: #3, 55(18%)
minecraft.crafted.glow_item_frame: #3, 332(10%)
minecraft.used.deepslate_tiles: #3, 6552(7%)
minecraft.crafted.raw_iron_block: #4, 713(14%)
minecraft.crafted.bamboo_door: #3, 84(11%)
minecraft.picked_up.iron_door: #3, 57(7%)
minecraft.crafted.iron_helmet: #4, 17(11%)
minecraft.mined.mangrove_pressure_plate: #2, 4(25%)
minecraft.mined.frosted_ice: #2, 1(25%)
minecraft.broken.diamond_axe: #2, 1(25%)
minecraft.picked_up.green_bundle: #2, 1(25%)
minecraft.crafted.raw_iron: #3, 1152(12%)
minecraft.mined.stripped_acacia_wood: #3, 82(11%)
minecraft.picked_up.light_blue_banner: #3, 11(14%)
minecraft.mined.infested_deepslate: #3, 21(11%)
minecraft.crafted.brick_wall: #3, 60(13%)
