stat, rank, value, (percentage) 
minecraft.used.powered_rail: #1, 4779(19%)
minecraft.custom.interact_with_loom: #2, 547(18%)
minecraft.dropped.red_stained_glass: #1, 587(95%)
minecraft.dropped.red_shulker_box: #1, 26(34%)
minecraft.picked_up.green_bed: #1, 174(39%)
minecraft.picked_up.ender_eye: #1, 50(36%)
minecraft.crafted.tnt: #2, 9895(25%)
minecraft.used.rotten_flesh: #1, 405(20%)
minecraft.dropped.bookshelf: #1, 61(52%)
minecraft.crafted.honey_block: #1, 5266(93%)
minecraft.picked_up.sweet_berries: #2, 5567(20%)
minecraft.dropped.wooden_shovel: #1, 43(31%)
minecraft.picked_up.warped_fungus: #2, 2726(24%)
minecraft.used.lime_dye: #1, 40(29%)
minecraft.picked_up.nether_gold_ore: #1, 268(23%)
minecraft.dropped.barrel: #1, 116(28%)
minecraft.dropped.blue_shulker_box: #1, 15(50%)
minecraft.crafted.purple_terracotta: #2, 2736(32%)
minecraft.mined.muddy_mangrove_roots: #2, 3365(25%)
minecraft.crafted.magenta_shulker_box: #1, 15(28%)
minecraft.picked_up.iron_boots: #1, 52(18%)
minecraft.picked_up.red_terracotta: #1, 7463(19%)
minecraft.mined.red_terracotta: #1, 7519(20%)
minecraft.dropped.beef: #2, 943(30%)
minecraft.mined.black_bed: #1, 196(29%)
minecraft.crafted.stone_bricks: #2, 32240(22%)
minecraft.custom.inspect_dropper: #2, 7916(15%)
minecraft.dropped.cyan_shulker_box: #1, 17(44%)
minecraft.mined.warped_stairs: #1, 132(31%)
minecraft.picked_up.glass: #1, 11768(17%)
minecraft.dropped.yellow_shulker_box: #1, 12(48%)
minecraft.used.white_terracotta: #2, 2568(22%)
minecraft.crafted.writable_book: #2, 295(22%)
minecraft.picked_up.pink_stained_glass: #1, 262(43%)
minecraft.mined.waxed_exposed_cut_copper_slab: #1, 50(47%)
minecraft.mined.light_gray_carpet: #1, 210(19%)
minecraft.dropped.magenta_stained_glass_pane: #1, 36(71%)
minecraft.crafted.green_shulker_box: #1, 65(25%)
minecraft.crafted.shield: #1, 56(18%)
minecraft.used.warped_slab: #1, 1913(25%)
minecraft.dropped.nether_bricks: #1, 262(47%)
minecraft.picked_up.bamboo: #2, 86417(17%)
minecraft.picked_up.verdant_froglight: #2, 12178(26%)
minecraft.dropped.crafter: #1, 57(59%)
minecraft.crafted.diamond_helmet: #1, 18(17%)
minecraft.used.lever: #1, 1548(16%)
minecraft.crafted.purple_wool: #1, 128(34%)
minecraft.custom.open_shulker_box: #1, 101283(10%)
minecraft.dropped.chest_minecart: #1, 45(51%)
minecraft.crafted.magenta_terracotta: #1, 1104(24%)
minecraft.mined.waxed_exposed_copper: #1, 193(29%)
minecraft.dropped.stone_button: #1, 177(18%)
minecraft.dropped.mangrove_trapdoor: #1, 63(45%)
minecraft.mined.bell: #1, 45(24%)
minecraft.dropped.polished_tuff: #1, 208(18%)
minecraft.dropped.stone_shovel: #1, 32(24%)
minecraft.picked_up.muddy_mangrove_roots: #2, 3659(23%)
minecraft.dropped.jungle_leaves: #1, 196(27%)
minecraft.killed.cow: #1, 1779(16%)
minecraft.crafted.orange_wool: #2, 739(26%)
minecraft.used.pitcher_plant: #1, 99(23%)
minecraft.crafted.lime_stained_glass: #1, 4032(26%)
minecraft.picked_up.raw_copper_block: #1, 402(19%)
minecraft.used.polished_blackstone_pressure_plate: #1, 88(44%)
minecraft.used.obsidian: #1, 2801(16%)
minecraft.used.big_dripleaf: #1, 389(30%)
minecraft.picked_up.note_block: #1, 394(16%)
minecraft.mined.pitcher_plant: #1, 34(23%)
