stat, rank, value, (percentage) 
minecraft.used.iron_axe: #5, 2014(9%)
minecraft.mined.brown_mushroom_block: #4, 2981(5%)
minecraft.used.dark_oak_planks: #5, 1957(9%)
minecraft.picked_up.filled_map: #5, 1352(7%)
minecraft.mined.birch_wall_sign: #4, 16(6%)
minecraft.crafted.dark_oak_stairs: #5, 596(8%)
minecraft.used.blue_stained_glass: #4, 275(8%)
minecraft.picked_up.beetroot: #5, 2149(8%)
minecraft.mined.cyan_bed: #5, 96(8%)
minecraft.picked_up.cyan_bed: #5, 97(8%)
minecraft.crafted.diamond_leggings: #5, 8(7%)
minecraft.mined.white_concrete_powder: #5, 178(10%)
minecraft.used.nether_bricks: #5, 281(10%)
minecraft.used.smooth_basalt: #4, 752(4%)
minecraft.used.spruce_hanging_sign: #5, 45(9%)
minecraft.mined.dried_kelp_block: #4, 5(8%)
minecraft.crafted.magenta_bed: #4, 1(11%)
minecraft.used.purpur_slab: #4, 48(6%)
minecraft.used.deepslate_bricks: #5, 3025(8%)
minecraft.picked_up.mangrove_wood: #5, 70(12%)
minecraft.crafted.mossy_stone_brick_slab: #4, 114(9%)
minecraft.picked_up.mangrove_leaves: #5, 8016(7%)
minecraft.used.sniffer_egg: #4, 5(10%)
minecraft.picked_up.saddle: #5, 54(6%)
minecraft.used.cyan_bed: #5, 104(8%)
minecraft.picked_up.polished_blackstone: #5, 71(9%)
minecraft.picked_up.jungle_sapling: #4, 327(3%)
minecraft.picked_up.iron_sword: #5, 42(7%)
minecraft.used.horn_coral_block: #4, 46(5%)
minecraft.crafted.prismarine_brick_slab: #4, 36(8%)
minecraft.crafted.deepslate_tiles: #5, 576(10%)
minecraft.picked_up.acacia_wood: #5, 124(8%)
minecraft.picked_up.pufferfish_bucket: #4, 2(7%)
minecraft.dropped.beetroot: #5, 1885(8%)
minecraft.picked_up.jungle_hanging_sign: #4, 4(8%)
minecraft.mined.cyan_wool: #5, 181(9%)
minecraft.mined.oxidized_chiseled_copper: #4, 7(6%)
minecraft.mined.beetroots: #5, 308(7%)
minecraft.used.sugar: #4, 5(9%)
minecraft.used.fishing_rod: #5, 2734(6%)
minecraft.used.player_head: #5, 300(6%)
minecraft.picked_up.pumpkin_pie: #5, 72(10%)
minecraft.picked_up.sea_pickle: #5, 721(6%)
minecraft.mined.acacia_hanging_sign: #4, 2(11%)
minecraft.mined.clay: #5, 2894(6%)
minecraft.killed_by.wither: #4, 1(9%)
minecraft.crafted.iron_axe: #5, 9(7%)
minecraft.dropped.cherry_leaves: #5, 131(11%)
minecraft.crafted.bamboo_chest_raft: #4, 1(8%)
minecraft.crafted.blue_stained_glass: #4, 192(3%)
minecraft.picked_up.polished_blackstone_button: #5, 19(8%)
minecraft.picked_up.dark_oak_planks: #5, 375(6%)
minecraft.crafted.mud_brick_wall: #5, 234(8%)
minecraft.mined.nether_brick_slab: #4, 10(5%)
minecraft.dropped.jungle_trapdoor: #4, 8(4%)
minecraft.dropped.copper_ore: #5, 164(7%)
minecraft.used.weathered_cut_copper: #4, 6(5%)
minecraft.mined.oxidized_cut_copper: #4, 87(3%)
minecraft.used.bubble_coral_fan: #4, 6(3%)
minecraft.crafted.polished_andesite: #5, 1140(6%)
minecraft.used.jungle_boat: #5, 17(7%)
minecraft.used.mangrove_boat: #4, 2(5%)
minecraft.used.magenta_stained_glass: #4, 96(2%)
minecraft.mined.blue_concrete_powder: #4, 2(7%)
minecraft.used.calcite: #5, 957(6%)
