stat, rank, value, (percentage) 
minecraft.mined.green_concrete_powder: #2, 113(18%)
minecraft.mined.campfire: #2, 109(10%)
minecraft.crafted.cobbled_deepslate_slab: #3, 1760(19%)
minecraft.dropped.prismarine_slab: #1, 123(38%)
minecraft.picked_up.stripped_warped_hyphae: #2, 104(23%)
minecraft.dropped.music_disc_creator: #1, 3(50%)
minecraft.picked_up.deepslate_redstone_ore: #2, 2343(10%)
minecraft.used.mossy_stone_brick_stairs: #2, 145(18%)
minecraft.mined.attached_pumpkin_stem: #2, 36(12%)
minecraft.used.cyan_candle: #2, 96(18%)
minecraft.used.prismarine_slab: #2, 290(27%)
minecraft.dropped.copper_block: #2, 138(25%)
minecraft.dropped.lime_stained_glass_pane: #1, 8(36%)
minecraft.dropped.cut_copper_stairs: #1, 22(48%)
minecraft.mined.prismarine_slab: #2, 81(35%)
minecraft.dropped.waxed_weathered_copper_bulb: #1, 2(29%)
minecraft.dropped.deepslate_tile_wall: #2, 128(27%)
minecraft.picked_up.mangrove_wood: #2, 97(16%)
minecraft.broken.iron_hoe: #1, 2(15%)
minecraft.crafted.smooth_red_sandstone_slab: #2, 88(24%)
minecraft.dropped.stripped_acacia_log: #2, 15(39%)
minecraft.picked_up.spruce_planks: #3, 2667(12%)
minecraft.dropped.leaf_litter: #2, 49(20%)
minecraft.picked_up.copper_ore: #3, 8210(13%)
minecraft.picked_up.beetroot: #3, 3766(13%)
minecraft.picked_up.rib_armor_trim_smithing_template: #1, 2(33%)
minecraft.used.mangrove_boat: #2, 13(33%)
minecraft.dropped.oak_stairs: #2, 88(23%)
minecraft.picked_up.polished_granite: #3, 312(15%)
minecraft.picked_up.spruce_fence_gate: #2, 217(10%)
minecraft.dropped.rotten_flesh: #3, 14102(11%)
minecraft.dropped.prismarine_bricks: #2, 1983(23%)
minecraft.picked_up.brown_concrete_powder: #2, 641(16%)
minecraft.picked_up.light_gray_glazed_terracotta: #2, 104(25%)
minecraft.crafted.sponge: #2, 309(38%)
minecraft.used.spruce_fence_gate: #2, 560(9%)
minecraft.used.iron_hoe: #2, 649(11%)
minecraft.used.stripped_spruce_wood: #3, 526(18%)
minecraft.dropped.stripped_mangrove_log: #2, 13(28%)
minecraft.picked_up.smooth_red_sandstone_slab: #2, 105(23%)
minecraft.mined.lapis_block: #2, 207(16%)
minecraft.crafted.blackstone_wall: #2, 78(19%)
minecraft.dropped.acacia_hanging_sign: #1, 5(62%)
minecraft.used.deepslate_redstone_ore: #2, 1349(9%)
minecraft.crafted.blackstone_stairs: #2, 40(16%)
minecraft.picked_up.campfire: #3, 193(13%)
minecraft.dropped.compass: #2, 19(16%)
minecraft.dropped.stone_brick_slab: #2, 230(20%)
minecraft.picked_up.warped_fence_gate: #2, 32(24%)
minecraft.dropped.wheat: #3, 2326(12%)
minecraft.mined.lapis_ore: #2, 443(9%)
minecraft.dropped.glow_item_frame: #2, 19(15%)
minecraft.picked_up.deepslate_gold_ore: #2, 875(8%)
minecraft.dropped.mangrove_wood: #1, 91(56%)
minecraft.mined.red_mushroom_block: #2, 845(13%)
minecraft.picked_up.powder_snow_bucket: #2, 60(19%)
minecraft.used.mossy_stone_brick_slab: #2, 175(16%)
minecraft.dropped.salmon: #2, 121(10%)
minecraft.dropped.stripped_spruce_wood: #2, 20(19%)
minecraft.picked_up.cherry_fence_gate: #1, 4(36%)
minecraft.crafted.moss_block: #1, 12(55%)
minecraft.dropped.netherite_axe: #2, 9(16%)
minecraft.picked_up.lime_terracotta: #2, 367(13%)
minecraft.mined.lime_terracotta: #2, 265(14%)
minecraft.mined.light_gray_glazed_terracotta: #2, 104(26%)
minecraft.picked_up.birch_sign: #2, 77(9%)
minecraft.dropped.mangrove_roots: #2, 328(11%)
minecraft.crafted.spruce_hanging_sign: #2, 56(12%)
minecraft.dropped.warped_fence: #2, 36(34%)
minecraft.used.copper_ore: #3, 4669(12%)
minecraft.crafted.black_harness: #1, 1(50%)
minecraft.crafted.gunpowder: #1, 8(50%)
minecraft.crafted.red_sand: #1, 24(100%)
minecraft.crafted.acacia_chest_boat: #1, 6(100%)
minecraft.used.acacia_chest_boat: #1, 7(100%)
minecraft.broken.diamond_chestplate: #1, 1(25%)
minecraft.dropped.smooth_red_sandstone_slab: #1, 46(100%)
minecraft.dropped.gray_candle: #1, 17(100%)
minecraft.dropped.white_glazed_terracotta: #1, 7(100%)
minecraft.dropped.stripped_warped_hyphae: #1, 1(100%)
minecraft.dropped.crimson_hyphae: #1, 14(100%)
minecraft.dropped.blue_stained_glass_pane: #1, 2(100%)
minecraft.dropped.dark_prismarine_stairs: #1, 38(100%)
minecraft.dropped.polished_blackstone_wall: #1, 1(50%)
minecraft.dropped.cherry_fence_gate: #1, 1(100%)
minecraft.mined.light_gray_candle: #1, 1(25%)
minecraft.dropped.acacia_boat: #1, 1(33%)
minecraft.dropped.music_disc_5: #1, 1(33%)
minecraft.mined.smooth_red_sandstone_slab: #2, 73(22%)
minecraft.used.elytra: #4, 291(12%)
minecraft.dropped.ominous_bottle: #2, 7(13%)
minecraft.dropped.raw_copper: #2, 1176(9%)
minecraft.picked_up.carrot_on_a_stick: #2, 7(18%)
minecraft.mined.mangrove_hanging_sign: #2, 7(22%)
minecraft.picked_up.netherite_pickaxe: #3, 74(10%)
minecraft.used.iron_ore: #3, 1303(12%)
minecraft.crafted.cut_copper_slab: #2, 154(18%)
minecraft.mined.redstone_ore: #2, 236(8%)
minecraft.picked_up.acacia_boat: #2, 13(28%)
minecraft.dropped.carrot_on_a_stick: #2, 6(19%)
minecraft.picked_up.prismarine_bricks: #2, 2728(10%)
minecraft.mined.brown_concrete_powder: #2, 118(17%)
minecraft.used.black_stained_glass: #2, 3935(8%)
minecraft.dropped.beetroot: #3, 3321(14%)
minecraft.picked_up.music_disc_creator_music_box: #2, 15(14%)
minecraft.used.oak_planks: #3, 1657(11%)
minecraft.dropped.netherite_hoe: #2, 3(17%)
minecraft.picked_up.mangrove_button: #2, 11(18%)
minecraft.picked_up.rotten_flesh: #3, 15309(9%)
minecraft.picked_up.wither_rose: #3, 1088(16%)
minecraft.dropped.oak_wood: #2, 18(36%)
minecraft.mined.yellow_concrete_powder: #2, 45(11%)
minecraft.used.music_disc_13: #2, 12(12%)
minecraft.used.copper_grate: #2, 468(11%)
minecraft.mined.acacia_fence_gate: #2, 13(15%)
minecraft.dropped.dripstone_block: #2, 386(8%)
minecraft.used.deepslate_copper_ore: #2, 280(11%)
minecraft.picked_up.furnace_minecart: #2, 31(18%)
minecraft.used.cod_bucket: #2, 8(35%)
minecraft.dropped.yellow_concrete_powder: #2, 45(34%)
minecraft.picked_up.blue_dye: #3, 107(10%)
minecraft.mined.polished_blackstone_wall: #2, 26(17%)
minecraft.picked_up.flowering_azalea: #3, 1530(11%)
minecraft.picked_up.smooth_red_sandstone_stairs: #2, 108(17%)
minecraft.used.furnace_minecart: #2, 31(17%)
minecraft.picked_up.polished_tuff_slab: #3, 524(10%)
minecraft.used.gold_ore: #2, 108(10%)
minecraft.used.stone_brick_stairs: #3, 1195(11%)
minecraft.dropped.bucket: #3, 220(11%)
minecraft.mined.stone_brick_slab: #3, 766(11%)
minecraft.dropped.shroomlight: #2, 19(16%)
minecraft.used.sunflower: #3, 271(11%)
minecraft.mined.cobblestone: #3, 5416(10%)
minecraft.mined.smooth_red_sandstone_stairs: #2, 55(16%)
minecraft.dropped.yellow_terracotta: #2, 59(14%)
minecraft.used.prismarine: #2, 2152(11%)
minecraft.mined.dragon_head: #2, 3(14%)
minecraft.crafted.prismarine_bricks: #2, 6393(31%)
minecraft.mined.beetroots: #3, 491(11%)
minecraft.picked_up.netherite_helmet: #3, 33(12%)
minecraft.dropped.waxed_cut_copper_slab: #2, 7(11%)
minecraft.dropped.tnt_minecart: #2, 12(21%)
minecraft.dropped.light_gray_stained_glass: #3, 53(17%)
minecraft.picked_up.glow_item_frame: #3, 345(11%)
minecraft.mined.red_sandstone: #3, 121(17%)
minecraft.picked_up.polished_blackstone_slab: #3, 640(25%)
minecraft.mined.crimson_wall_sign: #2, 6(15%)
minecraft.picked_up.netherite_axe: #3, 36(12%)
minecraft.mined.tall_seagrass: #3, 583(10%)
minecraft.used.deepslate_gold_ore: #2, 425(7%)
minecraft.dropped.cut_red_sandstone: #2, 27(36%)
minecraft.killed.salmon: #3, 292(10%)
minecraft.used.redstone_ore: #2, 112(8%)
minecraft.picked_up.spruce_hanging_sign: #3, 40(13%)
minecraft.picked_up.water_bucket: #3, 91(9%)
minecraft.mined.spruce_fence_gate: #3, 117(11%)
minecraft.crafted.spruce_chest_boat: #2, 7(28%)
minecraft.mined.mossy_stone_brick_slab: #3, 19(18%)
minecraft.mined.light_blue_wool: #3, 167(14%)
minecraft.dropped.red_sandstone_wall: #2, 20(23%)
minecraft.mined.white_concrete_powder: #3, 230(12%)
minecraft.dropped.white_wool: #3, 604(10%)
minecraft.used.prismarine_brick_slab: #2, 173(13%)
minecraft.dropped.bolt_armor_trim_smithing_template: #2, 2(33%)
minecraft.dropped.chiseled_copper: #2, 28(44%)
minecraft.dropped.dead_tube_coral_block: #2, 6(33%)
minecraft.picked_up.jungle_fence: #3, 155(13%)
minecraft.dropped.smooth_red_sandstone_stairs: #2, 50(43%)
minecraft.picked_up.azalea: #3, 2322(8%)
minecraft.dropped.spruce_log: #3, 482(10%)
minecraft.dropped.light_gray_dye: #3, 34(13%)
minecraft.mined.blackstone_stairs: #3, 26(15%)
minecraft.mined.deepslate_copper_ore: #3, 652(9%)
minecraft.dropped.map: #2, 24(15%)
minecraft.picked_up.smooth_red_sandstone: #3, 403(17%)
minecraft.dropped.spruce_hanging_sign: #2, 8(40%)
minecraft.used.mossy_cobblestone_stairs: #3, 73(14%)
minecraft.picked_up.muddy_mangrove_roots: #3, 1610(10%)
minecraft.dropped.red_sandstone: #2, 526(24%)
minecraft.mined.mossy_cobblestone_stairs: #2, 13(9%)
minecraft.used.dried_kelp_block: #3, 52(20%)
minecraft.dropped.deepslate_gold_ore: #2, 99(11%)
minecraft.dropped.netherite_helmet: #2, 3(9%)
minecraft.dropped.dark_oak_wood: #2, 8(38%)
minecraft.used.book: #3, 229(10%)
minecraft.dropped.smooth_quartz: #2, 71(9%)
minecraft.mined.nether_brick_slab: #2, 25(12%)
minecraft.used.prismarine_wall: #2, 669(10%)
minecraft.mined.pale_oak_sign: #2, 2(18%)
minecraft.picked_up.nether_brick_slab: #2, 25(11%)
minecraft.picked_up.end_stone_brick_slab: #2, 39(27%)
minecraft.crafted.red_sandstone_wall: #2, 45(15%)
minecraft.dropped.white_concrete_powder: #3, 125(19%)
minecraft.crafted.smooth_red_sandstone: #3, 887(19%)
minecraft.dropped.cocoa_beans: #3, 104(10%)
minecraft.dropped.blue_dye: #3, 36(11%)
minecraft.picked_up.tnt: #3, 1051(9%)
minecraft.mined.granite_wall: #3, 21(16%)
minecraft.mined.brown_mushroom: #3, 181(8%)
minecraft.used.acacia_boat: #2, 9(17%)
minecraft.picked_up.melon_seeds: #3, 133(9%)
minecraft.crafted.cracked_nether_bricks: #2, 1(50%)
minecraft.dropped.furnace_minecart: #2, 1(25%)
minecraft.dropped.cut_copper: #2, 3(50%)
minecraft.killed_by.ender_dragon: #2, 1(33%)
minecraft.used.air: #3, 3968(8%)
minecraft.dropped.polished_granite: #2, 68(12%)
minecraft.dropped.lapis_lazuli: #3, 408(10%)
minecraft.mined.polished_blackstone_brick_stairs: #2, 22(8%)
minecraft.mined.prismarine_wall: #2, 143(11%)
minecraft.picked_up.green_terracotta: #3, 176(11%)
minecraft.dropped.diamond_chestplate: #3, 8(10%)
minecraft.dropped.barrel: #3, 50(12%)
minecraft.crafted.cut_copper: #3, 132(15%)
minecraft.crafted.spruce_fence_gate: #3, 512(8%)
minecraft.picked_up.emerald_ore: #2, 27(5%)
minecraft.dropped.light_gray_concrete_powder: #2, 116(6%)
minecraft.mined.podzol: #3, 1365(8%)
minecraft.picked_up.brown_candle: #3, 66(15%)
minecraft.crafted.flow_armor_trim_smithing_template: #2, 12(22%)
