stat, rank, value, (percentage) 
minecraft.dropped.wet_sponge: #2, 64(40%)
minecraft.used.stone_pressure_plate: #2, 401(14%)
minecraft.crafted.stone_pressure_plate: #2, 411(12%)
minecraft.crafted.stripped_acacia_wood: #1, 54(29%)
minecraft.used.cauldron: #2, 116(11%)
minecraft.mined.waxed_oxidized_copper: #3, 2596(17%)
minecraft.mined.deepslate_brick_wall: #2, 72(18%)
minecraft.dropped.white_bed: #2, 18(12%)
minecraft.picked_up.hopper: #2, 1317(11%)
minecraft.used.lava_bucket: #2, 532(11%)
minecraft.mined.nether_quartz_ore: #2, 4964(11%)
minecraft.picked_up.polished_blackstone_slab: #2, 687(27%)
minecraft.picked_up.waxed_oxidized_copper: #3, 2657(17%)
minecraft.dropped.dried_kelp: #2, 407(24%)
minecraft.used.soul_soil: #3, 1437(16%)
minecraft.crafted.waxed_oxidized_cut_copper_stairs: #2, 120(19%)
minecraft.picked_up.crossbow: #3, 192(14%)
minecraft.crafted.golden_pickaxe: #1, 7(78%)
minecraft.mined.red_nether_brick_slab: #1, 10(77%)
minecraft.picked_up.redstone_block: #3, 1783(14%)
minecraft.picked_up.oxidized_cut_copper_stairs: #2, 218(19%)
minecraft.dropped.target: #2, 85(36%)
minecraft.crafted.lever: #2, 727(10%)
minecraft.mined.potted_red_mushroom: #1, 2(50%)
minecraft.mined.potted_allium: #1, 3(75%)
minecraft.used.exposed_cut_copper_stairs: #1, 15(75%)
minecraft.dropped.golden_pickaxe: #1, 3(50%)
minecraft.picked_up.mud_brick_wall: #2, 183(14%)
minecraft.crafted.light_blue_concrete_powder: #2, 3712(14%)
minecraft.picked_up.iron_axe: #3, 69(15%)
minecraft.dropped.poisonous_potato: #2, 17(16%)
minecraft.mined.potatoes: #3, 938(13%)
minecraft.crafted.detector_rail: #2, 276(14%)
minecraft.picked_up.red_nether_brick_slab: #1, 11(48%)
minecraft.dropped.warped_fungus: #2, 64(24%)
minecraft.custom.mob_kills: #3, 1035270(11%)
minecraft.mined.exposed_copper: #2, 320(12%)
minecraft.dropped.stripped_warped_stem: #2, 50(40%)
minecraft.used.dropper: #3, 1050(14%)
minecraft.crafted.spruce_stairs: #2, 1380(10%)
minecraft.picked_up.nether_gold_ore: #3, 199(17%)
minecraft.mined.stone_pressure_plate: #2, 250(11%)
minecraft.used.bamboo_door: #2, 63(16%)
minecraft.crafted.sticky_piston: #3, 1100(14%)
minecraft.dropped.lily_of_the_valley: #2, 28(20%)
minecraft.picked_up.polished_blackstone_stairs: #2, 67(16%)
minecraft.picked_up.soul_soil: #3, 3700(13%)
minecraft.dropped.purple_bundle: #1, 2(33%)
minecraft.dropped.crimson_door: #1, 2(67%)
minecraft.used.lever: #2, 863(9%)
minecraft.used.creaking_heart: #2, 213(21%)
minecraft.crafted.copper_bulb: #2, 160(13%)
minecraft.crafted.podzol: #1, 18(32%)
minecraft.crafted.waxed_exposed_copper: #2, 249(25%)
minecraft.dropped.cherry_log: #3, 185(23%)
minecraft.dropped.heavy_weighted_pressure_plate: #2, 11(22%)
minecraft.dropped.stone_button: #3, 139(14%)
minecraft.mined.brown_mushroom_block: #2, 6378(10%)
minecraft.mined.red_sandstone_slab: #2, 132(24%)
minecraft.crafted.fletching_table: #2, 27(22%)
minecraft.mined.note_block: #3, 243(13%)
minecraft.crafted.cut_copper: #2, 144(16%)
minecraft.used.honeycomb: #3, 2466(13%)
minecraft.mined.waxed_oxidized_cut_copper: #3, 675(15%)
minecraft.dropped.big_dripleaf: #2, 33(16%)
minecraft.picked_up.polished_tuff_wall: #3, 455(13%)
minecraft.crafted.oxidized_cut_copper_slab: #2, 222(15%)
minecraft.crafted.cracked_polished_blackstone_bricks: #1, 8(53%)
minecraft.dropped.lava_bucket: #2, 36(15%)
minecraft.picked_up.waxed_oxidized_cut_copper: #3, 669(15%)
minecraft.crafted.dropper: #3, 1195(13%)
minecraft.used.polished_deepslate_slab: #3, 2377(15%)
minecraft.mined.acacia_button: #2, 20(25%)
minecraft.used.purple_bundle: #1, 2(100%)
minecraft.dropped.acacia_door: #1, 1(100%)
minecraft.dropped.bamboo_chest_raft: #1, 3(100%)
minecraft.dropped.golden_shovel: #1, 1(50%)
minecraft.dropped.waxed_exposed_copper: #1, 1(100%)
minecraft.dropped.flower_banner_pattern: #1, 1(50%)
minecraft.dropped.weathered_cut_copper_slab: #1, 1(50%)
minecraft.mined.crimson_door: #1, 1(100%)
minecraft.used.sticky_piston: #3, 1134(12%)
minecraft.mined.cobweb: #2, 1281(9%)
minecraft.crafted.waxed_cut_copper_stairs: #2, 132(39%)
minecraft.dropped.glistering_melon_slice: #3, 69(21%)
minecraft.dropped.lectern: #2, 6(19%)
minecraft.dropped.brown_mushroom: #3, 97(15%)
minecraft.mined.player_wall_head: #2, 51(8%)
minecraft.dropped.cyan_concrete_powder: #2, 32(27%)
minecraft.mined.waxed_oxidized_copper_bulb: #2, 17(12%)
minecraft.crafted.chiseled_polished_blackstone: #2, 21(17%)
minecraft.mined.kelp: #3, 516(11%)
minecraft.dropped.stone_slab: #3, 652(12%)
minecraft.picked_up.waxed_copper_block: #3, 1624(15%)
minecraft.crafted.brick_slab: #2, 64(13%)
minecraft.used.sugar: #2, 15(26%)
minecraft.mined.chiseled_polished_blackstone: #2, 11(16%)
minecraft.picked_up.copper_grate: #2, 82(11%)
minecraft.picked_up.acacia_button: #2, 18(18%)
minecraft.picked_up.lava_bucket: #3, 90(13%)
minecraft.dropped.warped_wart_block: #2, 300(13%)
minecraft.mined.waxed_copper_block: #3, 1661(15%)
minecraft.used.warped_nylium: #2, 315(8%)
minecraft.dropped.written_book: #3, 32(12%)
minecraft.dropped.dispenser: #3, 75(18%)
minecraft.crafted.target: #3, 458(14%)
minecraft.picked_up.stone_slab: #3, 1523(10%)
minecraft.dropped.warped_planks: #2, 127(17%)
minecraft.killed_by.warden: #3, 17(22%)
minecraft.mined.potted_azalea_bush: #2, 4(21%)
minecraft.used.weathered_cut_copper_slab: #2, 76(24%)
minecraft.dropped.dark_oak_trapdoor: #2, 78(12%)
minecraft.mined.deepslate_brick_slab: #2, 281(9%)
minecraft.used.light_blue_concrete_powder: #3, 3529(15%)
minecraft.picked_up.stone_pressure_plate: #2, 175(8%)
minecraft.mined.lever: #3, 295(10%)
minecraft.dropped.granite_wall: #2, 42(27%)
minecraft.crafted.slime_block: #3, 768(13%)
minecraft.mined.dried_kelp_block: #2, 10(16%)
minecraft.mined.scaffolding: #3, 7932(10%)
minecraft.dropped.crimson_planks: #2, 33(20%)
minecraft.picked_up.kelp: #3, 9167(10%)
minecraft.used.melon_slice: #3, 478(12%)
minecraft.mined.red_shulker_box: #3, 1385(9%)
minecraft.used.polished_blackstone: #3, 703(14%)
minecraft.mined.oak_wall_sign: #3, 49(10%)
minecraft.picked_up.potato: #4, 6190(13%)
minecraft.picked_up.deepslate_brick_slab: #2, 343(8%)
minecraft.crafted.flint_and_steel: #3, 251(11%)
minecraft.crafted.nether_wart_block: #2, 123(38%)
minecraft.picked_up.red_shulker_box: #3, 1389(9%)
minecraft.crafted.bamboo_chest_raft: #2, 3(25%)
minecraft.mined.crimson_fence_gate: #2, 3(25%)
minecraft.dropped.gray_stained_glass: #2, 18(17%)
minecraft.crafted.black_glazed_terracotta: #2, 192(25%)
minecraft.crafted.polished_granite_slab: #2, 42(19%)
minecraft.used.lightning_rod: #3, 745(11%)
minecraft.mined.warped_nylium: #2, 462(6%)
minecraft.crafted.bricks: #3, 2998(10%)
minecraft.used.crimson_sign: #3, 73(18%)
minecraft.dropped.crafter: #2, 20(21%)
minecraft.used.red_shulker_box: #3, 1380(9%)
minecraft.used.bowl: #2, 4(16%)
minecraft.dropped.bamboo_hanging_sign: #2, 5(36%)
minecraft.dropped.heavy_core: #2, 2(29%)
minecraft.dropped.birch_trapdoor: #2, 16(14%)
minecraft.crafted.soul_campfire: #2, 169(14%)
minecraft.dropped.resin_block: #2, 171(18%)
minecraft.picked_up.soul_sand: #3, 2755(10%)
minecraft.mined.polished_basalt: #3, 167(13%)
minecraft.used.diamond_pickaxe: #3, 491699(7%)
minecraft.used.waxed_exposed_chiseled_copper: #2, 102(11%)
minecraft.picked_up.glowstone_dust: #3, 1580(10%)
minecraft.mined.polished_granite_stairs: #2, 75(20%)
minecraft.mined.sculk_shrieker: #3, 92(14%)
minecraft.mined.light_blue_concrete: #4, 3221(19%)
minecraft.used.beacon: #3, 69(9%)
minecraft.dropped.lightning_rod: #3, 55(18%)
minecraft.used.weathered_copper_grate: #2, 35(17%)
minecraft.mined.tuff_brick_stairs: #2, 101(6%)
minecraft.used.polished_andesite_stairs: #3, 282(11%)
minecraft.mined.hopper: #3, 961(9%)
minecraft.dropped.cut_copper_stairs: #2, 20(43%)
minecraft.crafted.oak_button: #3, 73(10%)
minecraft.crafted.dried_kelp: #3, 406(19%)
minecraft.mined.polished_blackstone: #3, 68(12%)
minecraft.used.crafter: #3, 277(10%)
minecraft.picked_up.warped_nylium: #2, 418(6%)
minecraft.dropped.jungle_button: #2, 10(18%)
minecraft.crafted.bamboo_planks: #3, 28064(9%)
minecraft.crafted.gold_block: #3, 721(10%)
minecraft.custom.use_cauldron: #3, 724(9%)
minecraft.dropped.acacia_button: #2, 7(30%)
minecraft.crafted.magenta_glazed_terracotta: #2, 8(17%)
minecraft.picked_up.amethyst_shard: #3, 4702(10%)
minecraft.dropped.blue_shulker_box: #2, 4(13%)
minecraft.dropped.calibrated_sculk_sensor: #2, 12(30%)
minecraft.mined.obsidian: #3, 1593(9%)
minecraft.dropped.deepslate_copper_ore: #2, 7(17%)
minecraft.dropped.iron_axe: #3, 94(11%)
minecraft.dropped.bowl: #3, 38(15%)
minecraft.dropped.soul_sand: #3, 500(10%)
minecraft.dropped.obsidian: #3, 164(10%)
minecraft.dropped.yellow_bed: #2, 3(13%)
minecraft.picked_up.polished_blackstone: #3, 91(12%)
minecraft.dropped.iron_pickaxe: #3, 13(13%)
minecraft.dropped.shears: #3, 171(9%)
minecraft.crafted.cobbled_deepslate_wall: #3, 150(15%)
minecraft.dropped.purple_concrete: #2, 392(28%)
minecraft.picked_up.lever: #3, 784(9%)
minecraft.picked_up.light_blue_concrete: #4, 3210(17%)
minecraft.used.purple_wool: #3, 207(13%)
minecraft.mined.spruce_sapling: #3, 54(9%)
minecraft.used.paper: #3, 56(11%)
minecraft.dropped.birch_pressure_plate: #2, 2(22%)
minecraft.dropped.armor_stand: #3, 37(10%)
minecraft.mined.smoker: #3, 13(11%)
minecraft.dropped.coal_ore: #3, 320(9%)
minecraft.dropped.wheat_seeds: #3, 14830(8%)
minecraft.mined.soul_sand: #3, 1917(8%)
minecraft.dropped.melon_slice: #4, 3174(12%)
minecraft.crafted.compass: #2, 2271(6%)
minecraft.custom.drop: #4, 24353(8%)
minecraft.mined.exposed_cut_copper_stairs: #2, 44(18%)
minecraft.dropped.bamboo_door: #2, 21(18%)
minecraft.picked_up.exposed_cut_copper_stairs: #2, 43(17%)
minecraft.used.hopper: #3, 3286(8%)
minecraft.custom.interact_with_blast_furnace: #4, 505(10%)
minecraft.picked_up.iron_sword: #4, 75(13%)
minecraft.used.waxed_oxidized_copper_door: #2, 6(20%)
minecraft.broken.golden_chestplate: #2, 1(50%)
minecraft.mined.waxed_exposed_copper_door: #2, 1(50%)
minecraft.mined.potted_white_tulip: #2, 1(50%)
minecraft.picked_up.crimson_door: #2, 1(50%)
