stat, rank, value, (percentage) 
minecraft.used.sugar_cane: #3, 580(4%)
minecraft.crafted.green_stained_glass_pane: #3, 208(7%)
minecraft.picked_up.mangrove_fence: #4, 188(11%)
minecraft.crafted.stone_axe: #4, 12(8%)
minecraft.used.mangrove_leaves: #4, 2324(11%)
minecraft.picked_up.activator_rail: #3, 126(5%)
minecraft.mined.pointed_dripstone: #4, 533(8%)
minecraft.crafted.birch_button: #4, 51(11%)
minecraft.crafted.mangrove_fence_gate: #3, 32(6%)
minecraft.crafted.mossy_stone_brick_slab: #3, 134(11%)
minecraft.used.pink_wool: #4, 207(10%)
minecraft.crafted.jungle_planks: #4, 6896(8%)
minecraft.picked_up.mushroom_stem: #4, 1104(10%)
minecraft.used.waxed_weathered_copper_trapdoor: #3, 82(7%)
minecraft.dropped.obsidian: #4, 135(9%)
minecraft.dropped.cookie: #4, 384(9%)
minecraft.crafted.warped_trapdoor: #4, 216(9%)
minecraft.dropped.splash_potion: #4, 85(10%)
minecraft.used.mangrove_fence_gate: #3, 29(6%)
minecraft.used.cobbled_deepslate_slab: #4, 1500(9%)
minecraft.mined.magma_block: #5, 4456(11%)
minecraft.mined.mangrove_stairs: #4, 64(9%)
minecraft.picked_up.magma_block: #5, 4308(11%)
minecraft.picked_up.waxed_exposed_copper: #3, 114(5%)
minecraft.mined.tuff: #4, 18016(7%)
minecraft.crafted.waxed_weathered_copper_trapdoor: #3, 81(8%)
minecraft.crafted.stone_brick_wall: #4, 240(9%)
minecraft.picked_up.oak_pressure_plate: #4, 8(10%)
minecraft.mined.warped_stem: #5, 1962(11%)
minecraft.dropped.acacia_pressure_plate: #3, 2(20%)
minecraft.used.mangrove_fence: #4, 395(8%)
minecraft.used.activator_rail: #3, 243(3%)
minecraft.mined.farmland: #4, 275(6%)
minecraft.killed_by.vex: #3, 4(6%)
minecraft.dropped.golden_pickaxe: #3, 1(17%)
minecraft.used.chiseled_copper: #4, 81(12%)
minecraft.picked_up.lime_wool: #4, 516(8%)
minecraft.used.flint_and_steel: #4, 429(6%)
minecraft.used.tuff_wall: #4, 352(9%)
minecraft.mined.spruce_hanging_sign: #4, 6(11%)
minecraft.used.lilac: #4, 68(7%)
minecraft.crafted.waxed_oxidized_cut_copper_slab: #4, 80(11%)
minecraft.dropped.jungle_leaves: #4, 67(9%)
minecraft.crafted.mangrove_fence: #4, 315(7%)
minecraft.used.red_dye: #4, 26(7%)
minecraft.picked_up.warped_stem: #5, 1902(9%)
minecraft.used.sandstone: #4, 1179(5%)
minecraft.dropped.sandstone_slab: #3, 6(5%)
minecraft.crafted.oak_hanging_sign: #3, 12(2%)
