stat, rank, value, (percentage) 
minecraft.used.dark_oak_stairs: #5, 635(9%)
minecraft.dropped.dripstone_block: #4, 234(5%)
minecraft.used.weathered_copper: #3, 127(0%)
minecraft.used.exposed_copper: #3, 76(0%)
minecraft.picked_up.shaper_armor_trim_smithing_template: #4, 3(14%)
minecraft.used.fletching_table: #4, 13(12%)
minecraft.mined.quartz_slab: #4, 187(6%)
minecraft.picked_up.danger_pottery_sherd: #4, 4(19%)
minecraft.picked_up.magma_cream: #4, 163(4%)
minecraft.picked_up.dark_oak_slab: #5, 381(8%)
minecraft.picked_up.end_stone: #5, 1493(8%)
minecraft.mined.oxidized_copper: #4, 1017(4%)
minecraft.crafted.dripstone_block: #4, 160(8%)
minecraft.mined.dead_bush: #5, 474(8%)
minecraft.picked_up.heart_pottery_sherd: #4, 3(10%)
minecraft.picked_up.plenty_pottery_sherd: #4, 5(20%)
minecraft.dropped.white_bed: #5, 12(8%)
minecraft.used.glowstone: #5, 637(8%)
minecraft.picked_up.nether_quartz_ore: #5, 1075(8%)
minecraft.dropped.ender_pearl: #5, 18797(7%)
minecraft.used.glow_berries: #5, 165(8%)
minecraft.dropped.flint: #5, 610(7%)
minecraft.killed.hoglin: #5, 18(10%)
minecraft.crafted.powered_rail: #5, 1326(6%)
minecraft.used.lava_bucket: #5, 318(6%)
minecraft.picked_up.dark_oak_hanging_sign: #4, 9(6%)
minecraft.picked_up.raw_iron_block: #4, 80(3%)
minecraft.crafted.white_bed: #5, 41(6%)
minecraft.picked_up.flint: #5, 1184(6%)
minecraft.picked_up.spire_armor_trim_smithing_template: #4, 2(8%)
minecraft.dropped.yellow_terracotta: #4, 18(4%)
minecraft.crafted.ender_pearl: #4, 30(7%)
minecraft.picked_up.blue_banner: #4, 2(8%)
minecraft.crafted.crimson_hanging_sign: #4, 6(11%)
minecraft.dropped.warped_nylium: #4, 3(6%)
minecraft.used.deepslate_copper_ore: #4, 69(3%)
minecraft.used.damaged_anvil: #5, 12(7%)
minecraft.used.raw_iron_block: #4, 65(3%)
minecraft.mined.damaged_anvil: #5, 13(7%)
minecraft.dropped.iron_chestplate: #5, 9(6%)
minecraft.mined.medium_amethyst_bud: #4, 40(2%)
minecraft.picked_up.damaged_anvil: #5, 13(6%)
minecraft.crafted.dispenser: #5, 91(5%)
minecraft.crafted.green_glazed_terracotta: #4, 55(5%)
minecraft.picked_up.pumpkin: #5, 4149(5%)
minecraft.picked_up.nether_gold_ore: #5, 73(6%)
minecraft.custom.traded_with_villager: #5, 24593(5%)
minecraft.dropped.lantern: #5, 32(7%)
minecraft.picked_up.medium_amethyst_bud: #4, 40(2%)
minecraft.dropped.polished_deepslate_wall: #4, 9(3%)
minecraft.picked_up.leather_horse_armor: #4, 1(5%)
minecraft.used.cherry_stairs: #4, 18(2%)
minecraft.crafted.chiseled_sandstone: #4, 2(3%)
minecraft.crafted.crimson_pressure_plate: #4, 1(4%)
minecraft.crafted.glistering_melon_slice: #5, 105(10%)
minecraft.picked_up.black_carpet: #4, 201(1%)
minecraft.killed.witch: #6, 35818(9%)
minecraft.crafted.red_nether_brick_slab: #4, 2(3%)
minecraft.mined.tnt: #5, 127(5%)
minecraft.dropped.blast_furnace: #4, 1(2%)
minecraft.dropped.raw_iron_block: #4, 2(2%)
minecraft.dropped.porkchop: #4, 76(0%)
minecraft.mined.fire: #5, 709(4%)
minecraft.dropped.sandstone_stairs: #4, 1(1%)
minecraft.picked_up.ender_pearl: #6, 20093(6%)
minecraft.dropped.smooth_quartz: #5, 64(8%)
minecraft.crafted.end_stone_brick_wall: #4, 1(0%)
minecraft.crafted.nether_wart_block: #4, 1(0%)
minecraft.crafted.glass: #6, 13888(8%)
minecraft.picked_up.player_head: #6, 2467(6%)
minecraft.used.birch_planks: #6, 1156(8%)
minecraft.dropped.clock: #5, 4(10%)
minecraft.dropped.quartz: #5, 156(5%)
minecraft.used.quartz_slab: #5, 576(5%)
minecraft.crafted.brewing_stand: #5, 60(5%)
minecraft.crafted.dark_oak_stairs: #6, 588(8%)
minecraft.killed.magma_cube: #5, 249(4%)
minecraft.used.calibrated_sculk_sensor: #5, 29(6%)
minecraft.mined.dark_oak_planks: #6, 310(8%)
minecraft.used.brush: #5, 133(7%)
minecraft.killed.turtle: #5, 21(7%)
minecraft.picked_up.oxidized_copper: #5, 1017(3%)
minecraft.custom.talked_to_villager: #6, 3970(6%)
minecraft.crafted.gray_wool: #5, 272(5%)
minecraft.dropped.shulker_box: #5, 77(3%)
minecraft.crafted.red_glazed_terracotta: #5, 26(11%)
