stat, rank, value, (percentage) 
minecraft.used.bow: #26, 8(0%)
minecraft.custom.interact_with_crafting_table: #26, 7(0%)
minecraft.used.wheat_seeds: #26, 19(0%)
minecraft.mined.shulker_box: #26, 6(0%)
minecraft.mined.tall_grass: #26, 2(0%)
minecraft.used.shulker_box: #26, 5(0%)
minecraft.picked_up.string: #26, 6(0%)
minecraft.mined.short_grass: #26, 8(0%)
minecraft.custom.minecart_one_cm: #26, 8581(0%)
minecraft.crafted.stick: #26, 20(0%)
minecraft.picked_up.kelp: #26, 4(0%)
minecraft.used.bucket: #26, 3(0%)
minecraft.picked_up.stone: #26, 153(0%)
minecraft.used.water_bucket: #26, 2(0%)
minecraft.picked_up.pumpkin_seeds: #26, 1(0%)
minecraft.used.stone: #26, 25(0%)
minecraft.picked_up.gunpowder: #26, 5(0%)
minecraft.dropped.bamboo: #26, 1(0%)
minecraft.dropped.stone: #26, 3(0%)
minecraft.killed.zombie: #26, 1(0%)
minecraft.used.diamond_pickaxe: #26, 22(0%)
minecraft.killed_by.slime: #27, 2(0%)
minecraft.killed_by.zombie: #27, 1(0%)
minecraft.custom.damage_resisted: #27, 631(0%)
minecraft.picked_up.anvil: #27, 2(0%)
minecraft.crafted.oak_sign: #27, 3(0%)
minecraft.custom.jump: #27, 7772(0%)
minecraft.used.oak_sign: #27, 2(0%)
minecraft.custom.aviate_one_cm: #27, 6503555(0%)
minecraft.crafted.crafting_table: #27, 2(0%)
minecraft.custom.open_enderchest: #27, 23(0%)
minecraft.used.crafting_table: #27, 2(0%)
minecraft.used.anvil: #27, 1(0%)
minecraft.used.string: #27, 6(0%)
minecraft.picked_up.iron_nugget: #27, 2(0%)
minecraft.used.armor_stand: #27, 1(0%)
minecraft.picked_up.shulker_box: #27, 9(0%)
minecraft.custom.inspect_dispenser: #27, 2(0%)
minecraft.used.ender_chest: #27, 1(0%)
minecraft.picked_up.ender_chest: #27, 1(0%)
minecraft.custom.tune_noteblock: #27, 11(0%)
minecraft.picked_up.stone_bricks: #27, 1(0%)
minecraft.mined.moss_block: #27, 1(0%)
minecraft.used.diamond_sword: #27, 10(0%)
minecraft.dropped.dirt: #27, 1(0%)
minecraft.picked_up.sugar_cane: #27, 3(0%)
minecraft.picked_up.dirt: #27, 1(0%)
minecraft.mined.stone: #27, 1(0%)
minecraft.dropped.leather_chestplate: #28, 1(0%)
minecraft.used.bundle: #28, 1(0%)
minecraft.picked_up.oak_sign: #28, 1(0%)
minecraft.picked_up.armor_stand: #28, 2(0%)
minecraft.picked_up.potion: #28, 1(0%)
minecraft.custom.play_noteblock: #28, 1(0%)
minecraft.picked_up.player_head: #28, 6(0%)
minecraft.picked_up.sunflower: #28, 1(0%)
minecraft.custom.damage_dealt: #28, 946(0%)
minecraft.used.diamond_axe: #28, 5(0%)
minecraft.picked_up.bamboo: #28, 2(0%)
minecraft.custom.mob_kills: #28, 3(0%)
minecraft.picked_up.netherite_pickaxe: #29, 1(0%)
minecraft.picked_up.diamond_pickaxe: #29, 2(0%)
minecraft.dropped.golden_carrot: #29, 4(0%)
minecraft.custom.climb_one_cm: #29, 15372(0%)
minecraft.custom.damage_taken: #29, 33978(0%)
minecraft.picked_up.egg: #29, 2(0%)
minecraft.used.golden_carrot: #30, 22(0%)
minecraft.picked_up.leather_chestplate: #31, 1(0%)
minecraft.picked_up.diamond_leggings: #31, 1(0%)
minecraft.custom.interact_with_loom: #31, 2(0%)
minecraft.dropped.player_head: #31, 1(0%)
minecraft.custom.fall_one_cm: #32, 379156(0%)
minecraft.picked_up.armadillo_scute: #32, 3(0%)
minecraft.custom.sleep_in_bed: #32, 1(0%)
minecraft.custom.crouch_one_cm: #33, 41796(0%)
minecraft.custom.swim_one_cm: #34, 71276(0%)
minecraft.used.potion: #34, 1(0%)
minecraft.custom.total_world_time: #36, 1216281(0%)
minecraft.custom.play_time: #36, 1216281(0%)
minecraft.custom.walk_on_water_one_cm: #36, 22160(0%)
minecraft.custom.fly_one_cm: #38, 1857280(0%)
minecraft.custom.leave_game: #38, 16(0%)
minecraft.custom.sneak_time: #42, 11237(0%)
minecraft.custom.walk_under_water_one_cm: #45, 24180(0%)
minecraft.custom.time_since_rest: #51, 2873(0%)
minecraft.custom.time_since_death: #51, 2853(0%)
