stat, rank, value, (percentage) 
minecraft.mined.copper_trapdoor: #2, 232(14%)
minecraft.used.leather_leggings: #2, 19(12%)
minecraft.picked_up.pumpkin_pie: #2, 143(21%)
minecraft.mined.redstone_torch: #2, 253(12%)
minecraft.used.chipped_anvil: #2, 39(14%)
minecraft.custom.interact_with_anvil: #2, 1470(11%)
minecraft.used.cobblestone_slab: #2, 3425(13%)
minecraft.used.minecart: #2, 393(13%)
minecraft.used.egg: #3, 6028(15%)
minecraft.used.quartz_pillar: #2, 462(20%)
minecraft.mined.cave_vines: #2, 106(13%)
minecraft.picked_up.pale_oak_sapling: #2, 1149(14%)
minecraft.crafted.spyglass: #2, 16(20%)
minecraft.crafted.cyan_harness: #1, 6(40%)
minecraft.crafted.crimson_door: #1, 12(40%)
minecraft.killed_by.pufferfish: #1, 3(33%)
minecraft.picked_up.cherry_button: #1, 6(67%)
minecraft.used.birch_sign: #2, 166(12%)
minecraft.mined.pale_moss_block: #2, 1806(15%)
minecraft.picked_up.spruce_boat: #2, 80(14%)
minecraft.crafted.name_tag: #2, 273(16%)
minecraft.crafted.purple_carpet: #2, 2178(33%)
minecraft.crafted.copper_grate: #1, 192(15%)
minecraft.used.green_dye: #2, 251(16%)
minecraft.used.golden_shovel: #1, 32(97%)
minecraft.mined.blue_stained_glass: #1, 48(24%)
minecraft.mined.warped_planks: #2, 209(15%)
minecraft.picked_up.blue_wool: #2, 814(15%)
minecraft.picked_up.orange_carpet: #2, 158(17%)
minecraft.used.cherry_button: #1, 8(47%)
minecraft.picked_up.pale_oak_slab: #2, 174(20%)
minecraft.mined.mossy_cobblestone: #2, 478(12%)
minecraft.mined.chipped_anvil: #2, 40(11%)
minecraft.picked_up.minecart: #2, 433(12%)
minecraft.used.horn_coral_block: #2, 194(22%)
minecraft.mined.granite: #2, 28335(11%)
minecraft.picked_up.dead_bubble_coral_block: #2, 390(47%)
minecraft.used.carrot_on_a_stick: #1, 17(30%)
minecraft.picked_up.gray_wool: #2, 3631(12%)
minecraft.picked_up.red_shulker_box: #2, 1546(10%)
minecraft.custom.fly_one_cm: #3, 171183952(7%)
minecraft.used.chorus_flower: #2, 246(21%)
minecraft.used.leather_boots: #3, 32(13%)
minecraft.picked_up.lantern: #2, 483(11%)
minecraft.mined.lime_concrete: #2, 1197(17%)
minecraft.mined.sugar_cane: #3, 16826(15%)
minecraft.crafted.scaffolding: #2, 6153(11%)
minecraft.used.red_shulker_box: #2, 1540(10%)
minecraft.used.magenta_banner: #1, 2(29%)
minecraft.picked_up.mushroom_stew: #1, 6(86%)
minecraft.used.smooth_sandstone_stairs: #2, 478(23%)
minecraft.picked_up.name_tag: #2, 110(11%)
minecraft.used.podzol: #2, 765(14%)
minecraft.crafted.blue_shulker_box: #2, 14(14%)
minecraft.used.birch_slab: #2, 1153(14%)
minecraft.mined.podzol: #2, 1917(11%)
minecraft.used.mushroom_stew: #1, 10(83%)
minecraft.mined.birch_wall_hanging_sign: #1, 2(33%)
minecraft.mined.wheat: #3, 24848(14%)
minecraft.picked_up.yellow_shulker_box: #2, 550(10%)
minecraft.mined.brain_coral_block: #2, 845(24%)
minecraft.used.dead_bubble_coral_block: #1, 187(55%)
minecraft.used.lime_bed: #3, 210(21%)
minecraft.used.dripstone_block: #3, 2420(14%)
minecraft.picked_up.polished_diorite_stairs: #2, 96(20%)
minecraft.mined.lime_bed: #2, 53(15%)
minecraft.custom.total_world_time: #3, 146016187(7%)
minecraft.custom.play_time: #3, 146016187(7%)
minecraft.mined.green_banner: #1, 9(32%)
minecraft.picked_up.brain_coral_block: #2, 670(19%)
minecraft.mined.copper_ore: #3, 17563(14%)
minecraft.mined.white_wool: #3, 509(15%)
minecraft.picked_up.light_blue_wool: #3, 1467(18%)
minecraft.used.yellow_shulker_box: #2, 556(10%)
minecraft.picked_up.blue_shulker_box: #2, 799(12%)
minecraft.crafted.spruce_planks: #2, 65700(10%)
minecraft.used.map: #3, 205(20%)
minecraft.picked_up.pink_carpet: #2, 65(20%)
minecraft.picked_up.spyglass: #2, 20(9%)
minecraft.used.dirt: #2, 84221(10%)
minecraft.broken.diamond_pickaxe: #2, 5(19%)
minecraft.used.crimson_door: #1, 6(38%)
minecraft.dropped.lime_carpet: #1, 9(50%)
minecraft.mined.frosted_ice: #1, 2(50%)
minecraft.crafted.lime_carpet: #2, 1749(25%)
minecraft.crafted.diamond_pickaxe: #2, 28(10%)
minecraft.picked_up.andesite_slab: #2, 231(11%)
minecraft.picked_up.podzol: #2, 1746(12%)
minecraft.mined.birch_door: #2, 8(22%)
minecraft.picked_up.obsidian: #2, 2209(9%)
minecraft.picked_up.chorus_fruit: #2, 2507(10%)
minecraft.used.blue_shulker_box: #2, 797(12%)
minecraft.mined.blue_shulker_box: #2, 787(12%)
minecraft.picked_up.diamond_leggings: #3, 94(11%)
minecraft.picked_up.book: #3, 1568(15%)
minecraft.mined.cut_sandstone_slab: #2, 189(48%)
minecraft.mined.gray_carpet: #3, 374(15%)
minecraft.crafted.spruce_sign: #2, 700(10%)
minecraft.mined.smooth_sandstone_stairs: #2, 107(20%)
minecraft.mined.chorus_flower: #2, 35(22%)
minecraft.picked_up.packed_ice: #2, 19197(10%)
minecraft.picked_up.white_wool: #2, 3657(9%)
minecraft.crafted.cooked_chicken: #3, 291(18%)
minecraft.picked_up.lime_concrete_powder: #2, 1193(24%)
minecraft.mined.sandstone_wall: #2, 46(21%)
minecraft.broken.iron_leggings: #1, 2(67%)
minecraft.picked_up.cookie: #2, 451(11%)
minecraft.mined.deepslate_copper_ore: #2, 683(10%)
minecraft.used.glow_ink_sac: #3, 638(12%)
minecraft.used.cod: #2, 29(13%)
minecraft.crafted.paper: #3, 27741(13%)
minecraft.used.chiseled_sandstone: #2, 58(19%)
minecraft.dropped.orange_shulker_box: #2, 10(32%)
minecraft.picked_up.lime_bed: #2, 46(13%)
minecraft.used.spyglass: #3, 791(11%)
minecraft.mined.lime_stained_glass: #2, 96(16%)
minecraft.crafted.light_gray_harness: #1, 3(60%)
minecraft.crafted.daylight_detector: #3, 644(18%)
minecraft.crafted.lime_banner: #2, 239(31%)
minecraft.used.light_gray_bed: #2, 241(16%)
minecraft.dropped.cooked_mutton: #2, 91(16%)
minecraft.custom.interact_with_furnace: #2, 4021(7%)
minecraft.custom.jump: #3, 836510(7%)
minecraft.mined.pale_oak_stairs: #2, 46(18%)
minecraft.picked_up.spruce_sign: #3, 260(11%)
minecraft.mined.glass: #3, 2717(12%)
minecraft.used.light_blue_bed: #2, 63(13%)
minecraft.mined.spruce_planks: #3, 1541(12%)
minecraft.crafted.white_stained_glass: #3, 6464(15%)
minecraft.mined.powered_rail: #2, 578(8%)
minecraft.killed_by.enderman: #2, 5(19%)
minecraft.mined.tuff: #2, 21727(8%)
minecraft.crafted.enchanted_book: #2, 421(9%)
minecraft.crafted.dripstone_block: #2, 381(20%)
minecraft.crafted.diamond_boots: #3, 22(12%)
minecraft.picked_up.white_carpet: #3, 476(14%)
minecraft.crafted.lime_harness: #1, 2(100%)
minecraft.crafted.purple_harness: #1, 6(100%)
minecraft.broken.golden_shovel: #1, 1(100%)
minecraft.dropped.blue_carpet: #1, 2(100%)
minecraft.mined.cherry_button: #1, 1(100%)
minecraft.mined.dead_tube_coral_wall_fan: #1, 3(100%)
minecraft.picked_up.lime_harness: #1, 2(100%)
minecraft.picked_up.crimson_door: #1, 1(50%)
minecraft.picked_up.lime_carpet: #2, 472(15%)
minecraft.mined.pale_moss_carpet: #3, 277(13%)
minecraft.used.yellow_dye: #3, 124(14%)
minecraft.killed_by.silverfish: #2, 11(17%)
minecraft.picked_up.pale_oak_fence: #2, 166(16%)
minecraft.picked_up.fire_coral_block: #3, 638(19%)
minecraft.mined.raw_copper_block: #3, 32(14%)
minecraft.used.deepslate: #3, 9265(12%)
minecraft.used.chest_minecart: #2, 48(14%)
minecraft.mined.andesite: #3, 30785(11%)
minecraft.used.calcite: #3, 2025(12%)
minecraft.picked_up.warped_slab: #3, 214(16%)
minecraft.crafted.blue_carpet: #2, 906(18%)
minecraft.crafted.redstone: #3, 38105(11%)
minecraft.picked_up.netherite_shovel: #3, 45(14%)
