stat, rank, value, (percentage) 
minecraft.used.spruce_fence: #2, 2122(11%)
minecraft.used.candle: #2, 76(18%)
minecraft.mined.tripwire_hook: #2, 17(12%)
minecraft.mined.acacia_wood: #2, 114(14%)
minecraft.picked_up.fletching_table: #2, 25(29%)
minecraft.dropped.stone_stairs: #2, 59(17%)
minecraft.mined.mossy_cobblestone_slab: #2, 27(16%)
minecraft.crafted.exposed_copper_trapdoor: #1, 14(78%)
minecraft.mined.big_dripleaf_stem: #2, 29(16%)
minecraft.used.waxed_oxidized_copper_trapdoor: #2, 210(21%)
minecraft.crafted.jungle_wood: #2, 1254(21%)
minecraft.picked_up.diamond_ore: #2, 28(13%)
minecraft.picked_up.snowball: #3, 19313(11%)
minecraft.crafted.exposed_cut_copper: #1, 8(50%)
minecraft.crafted.pufferfish_bucket: #1, 5(50%)
minecraft.crafted.weathered_copper_door: #1, 9(75%)
minecraft.dropped.waxed_weathered_copper: #1, 4(50%)
minecraft.crafted.tropical_fish_bucket: #1, 8(50%)
minecraft.crafted.smooth_quartz_slab: #3, 554(18%)
minecraft.crafted.spruce_pressure_plate: #2, 56(14%)
minecraft.picked_up.orange_glazed_terracotta: #2, 56(25%)
minecraft.picked_up.cod_bucket: #1, 8(73%)
minecraft.crafted.red_shulker_box: #2, 80(12%)
minecraft.mined.stripped_spruce_log: #3, 2645(13%)
minecraft.killed.villager: #2, 46(17%)
minecraft.mined.tuff_slab: #2, 82(13%)
minecraft.crafted.spruce_door: #3, 102(16%)
minecraft.dropped.azure_bluet: #3, 203(15%)
minecraft.picked_up.bamboo_fence: #2, 217(12%)
minecraft.used.waxed_exposed_cut_copper_stairs: #2, 185(24%)
minecraft.used.waxed_weathered_copper_door: #1, 27(69%)
minecraft.dropped.diamond_hoe: #2, 6(12%)
minecraft.picked_up.stripped_spruce_log: #3, 2812(13%)
minecraft.picked_up.weathered_copper_trapdoor: #3, 266(19%)
minecraft.picked_up.spruce_trapdoor: #2, 1533(9%)
minecraft.used.bamboo_mosaic: #2, 343(24%)
minecraft.crafted.waxed_weathered_copper_grate: #2, 106(26%)
minecraft.crafted.cactus: #1, 10(33%)
minecraft.dropped.jungle_door: #1, 2(67%)
minecraft.crafted.cyan_banner: #2, 54(18%)
minecraft.dropped.bread: #3, 2447(15%)
minecraft.crafted.shears: #3, 1805(13%)
minecraft.picked_up.heavy_weighted_pressure_plate: #2, 19(14%)
minecraft.dropped.cornflower: #3, 154(14%)
minecraft.mined.oak_sign: #2, 23(9%)
minecraft.dropped.andesite_wall: #2, 61(25%)
minecraft.used.waxed_oxidized_copper: #3, 1430(15%)
minecraft.mined.weathered_copper_trapdoor: #3, 266(19%)
minecraft.crafted.cyan_terracotta: #2, 8474(10%)
minecraft.mined.jungle_sign: #2, 5(18%)
minecraft.mined.spruce_wood: #3, 200(16%)
minecraft.dropped.dark_oak_door: #2, 16(30%)
minecraft.used.gray_stained_glass_pane: #2, 659(15%)
minecraft.used.fletching_table: #2, 28(26%)
minecraft.mined.pumpkin_stem: #3, 71(14%)
minecraft.killed.spider: #3, 794(12%)
minecraft.mined.waxed_weathered_copper_bulb: #2, 48(15%)
minecraft.used.dark_oak_leaves: #2, 362(16%)
minecraft.crafted.light_blue_candle: #2, 960(34%)
minecraft.crafted.waxed_weathered_copper_door: #1, 38(100%)
minecraft.crafted.orange_tulip: #1, 12(100%)
minecraft.crafted.rooted_dirt: #1, 16(100%)
minecraft.used.cave_spider_spawn_egg: #1, 1(100%)
minecraft.broken.netherite_sword: #1, 1(100%)
minecraft.dropped.exposed_chiseled_copper: #1, 1(100%)
minecraft.mined.reinforced_deepslate: #1, 1(100%)
minecraft.crafted.cake: #2, 30(14%)
minecraft.used.bamboo_slab: #3, 1894(16%)
minecraft.crafted.acacia_wood: #2, 1362(11%)
minecraft.mined.attached_melon_stem: #3, 25(14%)
minecraft.used.moss_block: #3, 20622(11%)
minecraft.crafted.recovery_compass: #2, 4(27%)
minecraft.crafted.jungle_trapdoor: #3, 788(15%)
minecraft.used.stripped_spruce_log: #3, 1761(11%)
minecraft.picked_up.birch_wood: #2, 39(31%)
minecraft.mined.spruce_door: #3, 20(14%)
minecraft.used.soul_torch: #2, 54(23%)
minecraft.mined.oxidized_copper_trapdoor: #2, 507(10%)
minecraft.used.goat_horn: #3, 70(19%)
minecraft.mined.birch_wood: #2, 39(30%)
minecraft.picked_up.snow_block: #2, 9493(10%)
minecraft.used.jungle_trapdoor: #3, 737(13%)
minecraft.dropped.andesite_stairs: #2, 71(36%)
minecraft.picked_up.lime_banner: #2, 34(22%)
minecraft.picked_up.birch_log: #3, 6360(11%)
minecraft.mined.birch_slab: #2, 101(10%)
minecraft.picked_up.waxed_weathered_copper_bulb: #2, 49(15%)
minecraft.picked_up.oxidized_copper_trapdoor: #2, 507(9%)
minecraft.used.nether_quartz_ore: #3, 1387(12%)
minecraft.killed.pillager: #4, 199274(16%)
minecraft.dropped.snow: #3, 444(15%)
minecraft.crafted.pale_oak_trapdoor: #3, 516(13%)
minecraft.dropped.rooted_dirt: #2, 172(11%)
minecraft.dropped.bookshelf: #2, 22(19%)
minecraft.mined.soul_torch: #2, 8(28%)
minecraft.crafted.glowstone: #3, 1085(13%)
minecraft.dropped.dark_oak_leaves: #2, 76(13%)
minecraft.crafted.oak_fence: #3, 537(11%)
minecraft.killed.vindicator: #4, 140003(19%)
minecraft.mined.jungle_hanging_sign: #2, 3(23%)
minecraft.mined.bamboo_sapling: #3, 32(12%)
minecraft.dropped.oak_slab: #3, 112(12%)
minecraft.crafted.honeycomb_block: #2, 3598(14%)
minecraft.dropped.carved_pumpkin: #3, 113(9%)
minecraft.mined.andesite_slab: #3, 114(11%)
minecraft.mined.cave_vines_plant: #3, 42(12%)
minecraft.dropped.cake: #2, 6(26%)
minecraft.picked_up.bamboo: #4, 59255(11%)
minecraft.crafted.pale_oak_hanging_sign: #2, 12(22%)
minecraft.used.nether_gold_ore: #2, 84(19%)
minecraft.crafted.netherite_hoe: #2, 2(17%)
minecraft.mined.cactus: #3, 236(10%)
minecraft.used.flowering_azalea: #3, 178(12%)
minecraft.dropped.jungle_slab: #3, 98(17%)
minecraft.picked_up.cobbled_deepslate_stairs: #3, 230(11%)
minecraft.used.andesite_stairs: #3, 271(14%)
minecraft.used.spruce_wood: #3, 1211(12%)
minecraft.picked_up.moss_block: #3, 35567(9%)
minecraft.mined.melon_stem: #3, 38(12%)
minecraft.crafted.horn_coral_block: #2, 16(48%)
minecraft.mined.melon: #3, 2811(9%)
minecraft.dropped.orange_banner: #2, 6(35%)
minecraft.mined.diamond_ore: #3, 29(12%)
minecraft.picked_up.chipped_anvil: #3, 37(10%)
minecraft.broken.iron_shovel: #2, 15(8%)
minecraft.picked_up.bamboo_mosaic: #2, 84(11%)
minecraft.picked_up.snow: #2, 5767(7%)
minecraft.mined.azalea_leaves: #3, 13710(11%)
minecraft.dropped.hanging_roots: #2, 4(27%)
minecraft.dropped.damaged_anvil: #2, 3(33%)
minecraft.used.mud_brick_slab: #3, 599(12%)
minecraft.used.mossy_cobblestone_slab: #3, 192(13%)
minecraft.mined.flowering_azalea_leaves: #3, 4569(11%)
minecraft.picked_up.big_dripleaf: #3, 449(12%)
minecraft.dropped.pointed_dripstone: #3, 252(10%)
minecraft.used.smoker: #3, 50(11%)
minecraft.picked_up.spruce_wood: #3, 197(12%)
minecraft.crafted.green_shulker_box: #3, 35(13%)
minecraft.crafted.polished_deepslate_wall: #3, 118(13%)
minecraft.used.spruce_chest_boat: #2, 21(25%)
minecraft.crafted.light_gray_terracotta: #3, 753(11%)
minecraft.dropped.raw_gold: #3, 70(17%)
minecraft.used.iron_hoe: #3, 635(11%)
minecraft.dropped.amethyst_block: #2, 57(9%)
minecraft.mined.potted_blue_orchid: #2, 3(30%)
minecraft.mined.oak_log: #3, 8685(8%)
minecraft.dropped.oak_planks: #3, 249(8%)
minecraft.picked_up.stripped_warped_hyphae: #3, 89(20%)
minecraft.picked_up.cookie: #3, 420(10%)
minecraft.dropped.light_blue_stained_glass_pane: #2, 14(23%)
minecraft.mined.candle: #3, 18(15%)
minecraft.dropped.cut_sandstone: #2, 60(7%)
minecraft.dropped.dead_horn_coral_block: #2, 2(29%)
minecraft.used.granite_wall: #3, 219(15%)
minecraft.picked_up.spruce_door: #3, 23(10%)
minecraft.crafted.birch_button: #3, 57(12%)
minecraft.crafted.oak_wood: #3, 1041(11%)
minecraft.used.shroomlight: #4, 449(14%)
minecraft.crafted.white_wool: #3, 2789(11%)
minecraft.dropped.cherry_leaves: #3, 181(15%)
minecraft.crafted.waxed_weathered_copper: #3, 308(23%)
minecraft.mined.lightning_rod: #3, 155(9%)
minecraft.used.short_grass: #3, 3094(9%)
minecraft.picked_up.candle: #3, 158(11%)
minecraft.crafted.mossy_cobblestone_wall: #3, 48(15%)
minecraft.used.raw_gold_block: #2, 320(12%)
minecraft.crafted.jungle_planks: #3, 7760(9%)
