stat, rank, value, (percentage) 
minecraft.crafted.written_book: #3, 20(7%)
minecraft.picked_up.jungle_sign: #4, 39(9%)
minecraft.used.warped_hyphae: #3, 155(5%)
minecraft.crafted.stone_stairs: #4, 264(8%)
minecraft.used.enchanted_book: #4, 185(7%)
minecraft.picked_up.redstone_block: #4, 876(7%)
minecraft.mined.chiseled_stone_bricks: #3, 74(4%)
minecraft.picked_up.mangrove_stairs: #4, 99(9%)
minecraft.picked_up.orange_concrete_powder: #3, 595(5%)
minecraft.crafted.stone_shovel: #4, 33(7%)
minecraft.dropped.oak_hanging_sign: #3, 4(14%)
minecraft.mined.infested_deepslate: #4, 21(11%)
minecraft.mined.weathered_cut_copper_slab: #3, 10(6%)
minecraft.picked_up.weathered_cut_copper_slab: #3, 10(6%)
minecraft.picked_up.lime_concrete_powder: #4, 850(17%)
minecraft.dropped.music_disc_cat: #3, 5(7%)
minecraft.mined.sculk_vein: #3, 1692(3%)
minecraft.picked_up.turtle_egg: #4, 109(10%)
minecraft.picked_up.blue_terracotta: #3, 151(4%)
minecraft.picked_up.brown_concrete_powder: #3, 176(4%)
minecraft.picked_up.diamond_block: #4, 376(6%)
minecraft.mined.leaf_litter: #4, 135(8%)
minecraft.mined.red_banner: #3, 2(15%)
minecraft.picked_up.blue_carpet: #3, 50(7%)
minecraft.used.turtle_egg: #4, 81(11%)
minecraft.picked_up.oak_planks: #4, 928(6%)
minecraft.picked_up.blue_wool: #4, 437(8%)
minecraft.picked_up.sculk: #3, 3497(3%)
minecraft.dropped.sculk_catalyst: #3, 3(9%)
minecraft.crafted.green_wool: #4, 309(10%)
minecraft.used.red_terracotta: #4, 1536(7%)
minecraft.dropped.recovery_compass: #3, 2(17%)
minecraft.used.bamboo_mosaic_stairs: #3, 31(7%)
minecraft.used.birch_log: #5, 1350(10%)
minecraft.crafted.diamond: #4, 4671(6%)
minecraft.mined.tall_dry_grass: #4, 63(10%)
minecraft.mined.birch_planks: #4, 233(6%)
minecraft.picked_up.green_concrete_powder: #4, 93(9%)
minecraft.dropped.hay_block: #3, 86(4%)
minecraft.crafted.white_banner: #3, 192(2%)
minecraft.picked_up.copper_grate: #4, 64(9%)
minecraft.picked_up.light_blue_banner: #4, 9(12%)
minecraft.crafted.chiseled_stone_bricks: #4, 736(9%)
minecraft.crafted.stripped_cherry_wood: #3, 6(8%)
minecraft.crafted.green_banner: #4, 26(8%)
minecraft.crafted.purple_wool: #4, 42(11%)
minecraft.mined.cyan_terracotta: #4, 483(6%)
minecraft.dropped.black_dye: #4, 30(9%)
minecraft.killed.rabbit: #4, 13(9%)
minecraft.picked_up.green_banner: #4, 18(13%)
minecraft.used.cyan_candle: #4, 51(9%)
minecraft.crafted.snow: #3, 1062(3%)
minecraft.mined.turtle_egg: #4, 88(9%)
minecraft.crafted.diamond_block: #4, 699(5%)
minecraft.crafted.tripwire_hook: #4, 136(6%)
minecraft.custom.fish_caught: #4, 1105(5%)
minecraft.dropped.cyan_bed: #4, 2(10%)
minecraft.picked_up.resin_brick: #3, 1(7%)
minecraft.mined.crimson_nylium: #4, 289(5%)
minecraft.dropped.cherry_trapdoor: #3, 4(4%)
minecraft.mined.purple_stained_glass_pane: #3, 16(3%)
minecraft.picked_up.crimson_nylium: #4, 287(5%)
minecraft.picked_up.gray_candle: #3, 3(4%)
minecraft.crafted.light_gray_terracotta: #4, 396(6%)
minecraft.picked_up.crimson_roots: #4, 1331(5%)
minecraft.picked_up.stone_axe: #4, 3(7%)
minecraft.picked_up.pink_concrete_powder: #3, 51(1%)
minecraft.dropped.armadillo_scute: #3, 69(1%)
minecraft.used.copper_grate: #4, 300(7%)
minecraft.used.cherry_wood: #4, 64(9%)
minecraft.dropped.small_amethyst_bud: #3, 3(2%)
minecraft.picked_up.magenta_carpet: #3, 4(3%)
minecraft.mined.chiseled_deepslate: #4, 49(6%)
minecraft.broken.iron_shovel: #4, 12(6%)
minecraft.crafted.pink_bed: #3, 2(2%)
minecraft.used.light_blue_concrete_powder: #5, 2774(12%)
minecraft.used.short_dry_grass: #4, 75(15%)
minecraft.dropped.cut_red_sandstone_slab: #3, 1(2%)
minecraft.picked_up.disc_fragment_5: #4, 19(12%)
minecraft.dropped.ender_eye: #4, 3(12%)
minecraft.used.rotten_flesh: #5, 175(9%)
minecraft.crafted.bamboo_mosaic_stairs: #4, 28(11%)
minecraft.mined.bush: #4, 169(10%)
minecraft.dropped.rabbit_hide: #4, 8(9%)
minecraft.mined.waxed_oxidized_copper_bulb: #4, 9(6%)
minecraft.dropped.carrot_on_a_stick: #4, 3(10%)
minecraft.picked_up.wayfinder_armor_trim_smithing_template: #4, 3(14%)
minecraft.used.white_banner: #5, 93(8%)
minecraft.crafted.fishing_rod: #4, 18(4%)
minecraft.picked_up.dried_kelp: #5, 949(12%)
minecraft.dropped.bell: #4, 6(15%)
minecraft.mined.warped_hyphae: #4, 13(12%)
minecraft.picked_up.mud_bricks: #5, 594(8%)
minecraft.mined.dark_oak_planks: #5, 314(8%)
minecraft.picked_up.spruce_planks: #5, 1518(7%)
minecraft.picked_up.host_armor_trim_smithing_template: #4, 3(13%)
minecraft.mined.green_banner: #4, 5(18%)
minecraft.picked_up.emerald_block: #5, 924(9%)
minecraft.mined.cyan_banner: #4, 2(14%)
minecraft.picked_up.crimson_fungus: #4, 168(4%)
minecraft.picked_up.cyan_concrete_powder: #4, 190(5%)
minecraft.mined.black_terracotta: #4, 303(5%)
minecraft.picked_up.compass: #5, 128(9%)
minecraft.picked_up.sheaf_pottery_sherd: #4, 3(10%)
minecraft.used.stripped_cherry_wood: #4, 28(10%)
minecraft.mined.gray_wool: #4, 354(4%)
minecraft.crafted.crimson_planks: #5, 1716(9%)
minecraft.picked_up.brown_mushroom_block: #4, 1839(4%)
minecraft.picked_up.nether_wart_block: #5, 1922(8%)
minecraft.picked_up.diorite_stairs: #4, 22(8%)
minecraft.picked_up.mangrove_trapdoor: #5, 91(8%)
minecraft.crafted.smithing_table: #5, 337(7%)
minecraft.mined.weathered_chiseled_copper: #4, 2(11%)
minecraft.dropped.oak_button: #5, 26(10%)
minecraft.crafted.leather_chestplate: #5, 150(8%)
minecraft.mined.crimson_slab: #4, 19(7%)
minecraft.picked_up.black_terracotta: #4, 303(5%)
minecraft.mined.pink_terracotta: #4, 111(6%)
minecraft.mined.carved_pumpkin: #5, 442(6%)
minecraft.picked_up.deepslate: #5, 18885(7%)
minecraft.mined.infested_stone: #4, 59(4%)
minecraft.picked_up.diorite_slab: #4, 39(4%)
minecraft.broken.diamond_hoe: #4, 1(17%)
minecraft.picked_up.echo_shard: #4, 15(7%)
minecraft.mined.black_stained_glass: #4, 169(3%)
minecraft.used.oxidized_copper_grate: #5, 219(8%)
minecraft.used.jungle_sign: #5, 83(9%)
minecraft.picked_up.weathered_cut_copper_stairs: #4, 5(9%)
minecraft.mined.weathered_cut_copper_stairs: #4, 5(9%)
minecraft.crafted.andesite_stairs: #4, 40(4%)
minecraft.used.weathered_cut_copper_slab: #4, 26(8%)
minecraft.picked_up.silence_armor_trim_smithing_template: #4, 1(14%)
minecraft.dropped.wheat_seeds: #5, 11085(6%)
minecraft.picked_up.purple_stained_glass_pane: #4, 30(5%)
minecraft.crafted.cobbled_deepslate_slab: #5, 768(8%)
minecraft.crafted.flint_and_steel: #4, 54(2%)
minecraft.crafted.mossy_cobblestone_wall: #5, 36(11%)
minecraft.crafted.blue_stained_glass_pane: #4, 32(5%)
minecraft.used.ochre_froglight: #5, 1561(6%)
minecraft.mined.bamboo_wall_hanging_sign: #4, 2(11%)
minecraft.used.prismarine_slab: #4, 62(6%)
minecraft.picked_up.diamond_hoe: #5, 13(7%)
minecraft.used.gray_candle: #4, 8(7%)
minecraft.used.stone_hoe: #4, 318(3%)
minecraft.picked_up.smooth_sandstone: #5, 539(8%)
minecraft.crafted.warped_fungus_on_a_stick: #4, 1(12%)
minecraft.dropped.purple_dye: #4, 11(3%)
minecraft.picked_up.pumpkin_seeds: #5, 1726(6%)
minecraft.used.ladder: #5, 728(6%)
minecraft.mined.yellow_stained_glass_pane: #4, 20(4%)
minecraft.mined.deepslate_emerald_ore: #4, 1(9%)
minecraft.used.orange_carpet: #5, 153(8%)
minecraft.mined.blue_terracotta: #4, 93(3%)
minecraft.crafted.deepslate_tile_wall: #5, 61(11%)
minecraft.mined.emerald_block: #5, 420(7%)
minecraft.picked_up.rail: #5, 2661(6%)
minecraft.dropped.brown_mushroom_block: #4, 238(3%)
minecraft.mined.magenta_carpet: #4, 1(9%)
minecraft.dropped.raw_gold_block: #4, 3(9%)
minecraft.dropped.chorus_flower: #4, 4(5%)
minecraft.picked_up.blue_stained_glass_pane: #4, 4(5%)
minecraft.picked_up.oxidized_cut_copper_slab: #4, 44(2%)
minecraft.dropped.spruce_slab: #5, 109(7%)
minecraft.dropped.magenta_shulker_box: #4, 1(6%)
minecraft.dropped.magenta_dye: #4, 14(2%)
minecraft.mined.cobblestone: #5, 2690(5%)
minecraft.crafted.smooth_basalt: #4, 384(3%)
minecraft.crafted.polished_blackstone_slab: #4, 64(2%)
minecraft.picked_up.dark_oak_stairs: #5, 109(6%)
minecraft.picked_up.leaf_litter: #5, 275(6%)
minecraft.crafted.purple_bed: #4, 5(3%)
