stat, rank, value, (percentage) 
minecraft.picked_up.jungle_fence_gate: #2, 46(16%)
minecraft.mined.red_wall_banner: #2, 23(19%)
minecraft.dropped.podzol: #2, 198(17%)
minecraft.picked_up.chain: #2, 598(9%)
minecraft.crafted.waxed_oxidized_cut_copper_slab: #2, 140(18%)
minecraft.picked_up.dark_oak_log: #2, 9042(9%)
minecraft.used.chiseled_stone_bricks: #2, 389(14%)
minecraft.dropped.spruce_stairs: #2, 113(16%)
minecraft.used.dark_oak_sign: #3, 167(16%)
minecraft.dropped.blackstone_wall: #1, 4(67%)
minecraft.mined.blue_banner: #1, 2(67%)
minecraft.crafted.fire_coral_block: #1, 16(67%)
minecraft.crafted.blue_orchid: #1, 16(67%)
minecraft.dropped.fire_coral: #1, 2(67%)
minecraft.mined.bamboo_door: #2, 11(15%)
minecraft.used.cyan_dye: #2, 48(15%)
minecraft.crafted.magenta_dye: #3, 2440(15%)
minecraft.crafted.pink_shulker_box: #2, 15(12%)
minecraft.mined.packed_mud: #2, 4300(9%)
minecraft.picked_up.packed_mud: #2, 5369(9%)
minecraft.custom.interact_with_crafting_table: #2, 6792(8%)
minecraft.used.waxed_exposed_copper: #2, 387(17%)
minecraft.used.weathered_copper_trapdoor: #3, 144(22%)
minecraft.crafted.dark_oak_fence_gate: #3, 267(18%)
minecraft.crafted.warped_door: #2, 12(25%)
minecraft.used.jungle_planks: #3, 2555(14%)
minecraft.used.pumpkin: #2, 576(9%)
minecraft.picked_up.cyan_banner: #2, 16(19%)
minecraft.dropped.tuff_slab: #2, 69(20%)
minecraft.crafted.red_sandstone_slab: #2, 126(20%)
minecraft.dropped.soul_campfire: #1, 2(40%)
minecraft.crafted.dark_oak_boat: #2, 6(18%)
minecraft.dropped.lilac: #2, 74(18%)
minecraft.dropped.red_dye: #3, 141(15%)
minecraft.crafted.orange_shulker_box: #2, 39(10%)
minecraft.mined.birch_wall_sign: #2, 36(13%)
minecraft.crafted.nautilus_shell: #1, 10(38%)
minecraft.dropped.mud: #2, 380(12%)
minecraft.picked_up.dirt: #2, 171913(8%)
minecraft.dropped.white_concrete_powder: #2, 128(19%)
minecraft.mined.black_banner: #2, 19(23%)
minecraft.dropped.grass_block: #3, 5878(12%)
minecraft.picked_up.jungle_sign: #3, 68(16%)
minecraft.used.stripped_bamboo_block: #2, 160(14%)
minecraft.picked_up.acacia_fence: #2, 76(11%)
minecraft.dropped.mangrove_trapdoor: #2, 32(23%)
minecraft.used.jungle_boat: #3, 38(16%)
minecraft.dropped.candle: #2, 87(19%)
minecraft.crafted.melon: #2, 5723(13%)
minecraft.mined.dark_oak_fence_gate: #2, 32(14%)
minecraft.mined.jungle_trapdoor: #3, 143(14%)
minecraft.dropped.dark_oak_log: #2, 355(12%)
minecraft.mined.mangrove_wall_hanging_sign: #2, 3(25%)
minecraft.crafted.brown_harness: #1, 1(100%)
minecraft.crafted.sea_pickle: #1, 1(100%)
minecraft.crafted.fern: #1, 12(100%)
