stat, rank, value, (percentage) 
minecraft.mined.granite: #1, 29989(12%)
minecraft.crafted.music_disc_5: #1, 8(50%)
minecraft.dropped.red_glazed_terracotta: #1, 49(43%)
minecraft.dropped.smooth_quartz_slab: #1, 79(30%)
minecraft.mined.andesite: #1, 32206(11%)
minecraft.dropped.pink_terracotta: #1, 42(49%)
minecraft.used.cherry_log: #2, 1259(20%)
minecraft.crafted.golden_shovel: #1, 8(73%)
minecraft.mined.chiseled_copper: #1, 33(21%)
minecraft.used.waxed_oxidized_cut_copper_slab: #1, 619(22%)
minecraft.used.lime_stained_glass: #2, 2030(23%)
minecraft.crafted.bamboo_door: #2, 183(24%)
minecraft.dropped.black_glazed_terracotta: #1, 64(58%)
minecraft.mined.white_terracotta: #2, 3800(16%)
minecraft.mined.magma_block: #2, 6213(16%)
minecraft.picked_up.cauldron: #2, 64(15%)
minecraft.picked_up.daylight_detector: #2, 92(25%)
minecraft.crafted.bricks: #2, 4576(16%)
minecraft.mined.waxed_weathered_chiseled_copper: #1, 44(39%)
minecraft.dropped.diamond_leggings: #1, 15(10%)
minecraft.dropped.deepslate_brick_slab: #1, 67(27%)
minecraft.mined.orange_terracotta: #3, 8941(19%)
minecraft.used.honey_block: #2, 2620(16%)
minecraft.mined.andesite_slab: #2, 164(16%)
minecraft.picked_up.magma_block: #2, 5883(15%)
minecraft.custom.interact_with_smoker: #2, 372(17%)
minecraft.dropped.orange_glazed_terracotta: #1, 48(87%)
minecraft.mined.detector_rail: #2, 45(20%)
minecraft.crafted.light_gray_concrete_powder: #2, 5936(17%)
minecraft.used.smooth_basalt: #2, 3333(17%)
minecraft.picked_up.white_terracotta: #2, 3786(15%)
minecraft.used.magenta_stained_glass_pane: #2, 791(40%)
minecraft.picked_up.magenta_glazed_terracotta: #1, 50(64%)
minecraft.dropped.ender_chest: #2, 121(15%)
minecraft.picked_up.mangrove_fence: #2, 325(20%)
minecraft.dropped.crimson_button: #1, 10(83%)
minecraft.picked_up.waxed_weathered_copper: #2, 587(27%)
minecraft.custom.use_cauldron: #2, 1136(14%)
minecraft.picked_up.cornflower: #3, 2875(17%)
