stat, rank, value, (percentage) 
minecraft.killed_by.player: #2, 337(12%)
minecraft.dropped.iron_bars: #1, 586(20%)
minecraft.picked_up.orange_terracotta: #2, 9927(20%)
minecraft.killed_by.stray: #1, 186(34%)
minecraft.picked_up.oak_log: #1, 17925(14%)
minecraft.mined.grass_block: #2, 310068(18%)
minecraft.picked_up.soul_sand: #1, 4295(15%)
minecraft.used.dripstone_block: #2, 3170(19%)
minecraft.picked_up.ink_sac: #2, 5108(18%)
minecraft.used.stripped_spruce_wood: #1, 602(21%)
minecraft.used.pale_moss_block: #2, 4693(26%)
minecraft.picked_up.diamond_ore: #1, 41(20%)
minecraft.picked_up.pink_petals: #2, 8804(20%)
minecraft.mined.waxed_oxidized_copper: #2, 3292(21%)
minecraft.used.lime_terracotta: #1, 2245(25%)
minecraft.mined.dandelion: #2, 1335(19%)
minecraft.custom.drop: #1, 29353(9%)
minecraft.dropped.tropical_fish_bucket: #1, 36(92%)
minecraft.crafted.warped_hanging_sign: #1, 84(37%)
minecraft.used.smooth_sandstone_stairs: #1, 648(31%)
minecraft.dropped.blackstone_slab: #1, 118(61%)
minecraft.crafted.stripped_jungle_wood: #1, 273(61%)
minecraft.crafted.stripped_birch_wood: #1, 420(41%)
minecraft.crafted.red_nether_brick_slab: #1, 64(91%)
minecraft.picked_up.purple_wool: #2, 1899(22%)
minecraft.mined.gravel: #2, 97830(19%)
minecraft.picked_up.brown_egg: #1, 137(72%)
minecraft.picked_up.pale_moss_block: #2, 4811(23%)
minecraft.mined.bush: #1, 614(36%)
minecraft.killed_by.drowned: #2, 68(26%)
minecraft.dropped.birch_boat: #1, 18(60%)
minecraft.dropped.lime_bed: #1, 86(90%)
minecraft.mined.pale_moss_carpet: #2, 426(20%)
minecraft.crafted.polished_blackstone_stairs: #1, 184(40%)
minecraft.crafted.orange_bed: #1, 19(40%)
minecraft.picked_up.gravel: #2, 93786(18%)
minecraft.crafted.leather_leggings: #1, 259(18%)
minecraft.picked_up.waxed_oxidized_copper: #2, 3272(20%)
minecraft.custom.open_barrel: #2, 30532(11%)
minecraft.picked_up.carved_pumpkin: #2, 1368(12%)
minecraft.mined.stripped_dark_oak_log: #2, 1865(17%)
minecraft.used.warped_fence: #1, 465(23%)
minecraft.picked_up.pink_tulip: #2, 718(20%)
minecraft.used.spyglass: #2, 1094(15%)
minecraft.crafted.sandstone: #1, 1020(18%)
minecraft.picked_up.tropical_fish_bucket: #1, 31(57%)
minecraft.picked_up.birch_leaves: #2, 23239(19%)
minecraft.mined.cherry_sapling: #1, 41(21%)
minecraft.dropped.decorated_pot: #1, 88(21%)
minecraft.dropped.copper_block: #1, 192(34%)
minecraft.mined.deepslate_redstone_ore: #2, 9440(18%)
minecraft.killed_by.vindicator: #1, 15(68%)
minecraft.used.diamond_axe: #1, 133640(12%)
minecraft.picked_up.sand: #2, 301673(17%)
minecraft.picked_up.raw_gold: #2, 7478(17%)
minecraft.crafted.acacia_hanging_sign: #1, 42(28%)
minecraft.picked_up.polished_diorite: #1, 212(15%)
minecraft.picked_up.dead_brain_coral_fan: #1, 18(42%)
minecraft.crafted.pale_oak_stairs: #1, 356(24%)
minecraft.mined.bamboo_planks: #1, 290(14%)
minecraft.dropped.sandstone_wall: #1, 48(48%)
minecraft.picked_up.stripped_dark_oak_log: #2, 1925(17%)
minecraft.picked_up.brown_terracotta: #2, 5839(23%)
minecraft.crafted.pale_oak_wood: #2, 1278(31%)
minecraft.dropped.deepslate_redstone_ore: #2, 200(27%)
minecraft.crafted.birch_slab: #2, 2448(20%)
minecraft.custom.walk_on_water_one_cm: #2, 11832222(8%)
minecraft.mined.oak_fence_gate: #1, 40(16%)
minecraft.used.coal_ore: #2, 8836(17%)
minecraft.crafted.acacia_slab: #2, 1564(25%)
minecraft.used.polished_blackstone_wall: #1, 235(25%)
minecraft.picked_up.warped_fence_gate: #1, 48(36%)
minecraft.crafted.nether_brick_stairs: #1, 38(64%)
minecraft.killed_by.slime: #2, 71(14%)
minecraft.mined.mangrove_wall_sign: #1, 27(21%)
minecraft.crafted.acacia_fence: #2, 894(21%)
minecraft.mined.brown_terracotta: #2, 5687(22%)
