stat, rank, value, (percentage) 
minecraft.mined.brick_stairs: #11, 6(3%)
minecraft.picked_up.deepslate_brick_slab: #11, 80(2%)
minecraft.mined.muddy_mangrove_roots: #11, 208(2%)
minecraft.crafted.netherite_chestplate: #11, 1(2%)
minecraft.picked_up.brick_stairs: #11, 6(1%)
minecraft.used.deepslate_brick_stairs: #11, 127(1%)
minecraft.used.red_banner: #11, 4(1%)
minecraft.picked_up.music_disc_blocks: #11, 1(2%)
minecraft.crafted.cyan_carpet: #11, 36(1%)
minecraft.crafted.oak_hanging_sign: #11, 6(1%)
minecraft.dropped.stone_sword: #11, 16(1%)
minecraft.mined.light_blue_bed: #11, 3(1%)
minecraft.used.purple_bed: #11, 4(1%)
minecraft.used.lily_of_the_valley: #11, 2(1%)
minecraft.picked_up.yellow_carpet: #11, 8(1%)
minecraft.mined.deepslate_brick_stairs: #11, 21(0%)
minecraft.used.orange_stained_glass: #11, 80(0%)
minecraft.used.mangrove_pressure_plate: #11, 1(0%)
minecraft.crafted.light_blue_banner: #11, 1(0%)
minecraft.crafted.yellow_wool: #11, 12(0%)
minecraft.picked_up.chainmail_leggings: #12, 5(4%)
minecraft.crafted.mangrove_planks: #12, 1936(3%)
minecraft.mined.spruce_log: #12, 5864(3%)
minecraft.mined.glowstone: #12, 141(3%)
minecraft.crafted.oak_trapdoor: #12, 128(2%)
minecraft.used.wheat_seeds: #12, 4765(2%)
minecraft.mined.ancient_debris: #12, 38(3%)
minecraft.mined.wheat: #12, 3374(2%)
minecraft.picked_up.iron_pickaxe: #12, 5(2%)
minecraft.mined.spruce_sapling: #12, 12(2%)
minecraft.picked_up.muddy_mangrove_roots: #12, 339(2%)
minecraft.used.dark_oak_stairs: #12, 125(2%)
minecraft.picked_up.golden_horse_armor: #12, 2(3%)
minecraft.picked_up.polished_deepslate_stairs: #12, 40(2%)
minecraft.dropped.netherite_shovel: #12, 1(2%)
minecraft.used.pitcher_plant: #12, 8(2%)
minecraft.picked_up.mangrove_door: #12, 2(2%)
minecraft.used.pink_petals: #12, 201(1%)
minecraft.picked_up.oak_hanging_sign: #12, 4(2%)
minecraft.crafted.netherite_helmet: #12, 1(2%)
minecraft.used.nether_bricks: #12, 42(2%)
minecraft.killed.pig: #12, 13(1%)
minecraft.mined.pink_tulip: #12, 12(1%)
minecraft.crafted.copper_bulb: #12, 16(1%)
minecraft.used.brick_stairs: #12, 8(1%)
minecraft.mined.heavy_weighted_pressure_plate: #12, 1(2%)
minecraft.crafted.tnt: #12, 345(1%)
minecraft.killed.zombie: #12, 1071(1%)
minecraft.mined.brown_carpet: #12, 8(1%)
minecraft.mined.purple_bed: #12, 3(1%)
minecraft.picked_up.purple_bed: #12, 3(1%)
minecraft.picked_up.deepslate_brick_stairs: #12, 34(1%)
minecraft.picked_up.magenta_terracotta: #12, 7(1%)
minecraft.picked_up.red_banner: #12, 2(1%)
minecraft.crafted.tuff_brick_wall: #12, 3(0%)
minecraft.used.cobblestone_slab: #12, 89(0%)
minecraft.mined.blue_orchid: #12, 2(0%)
minecraft.crafted.yellow_carpet: #12, 18(0%)
minecraft.picked_up.blue_orchid: #12, 2(0%)
minecraft.used.oak_fence: #13, 200(3%)
minecraft.mined.spruce_planks: #13, 342(3%)
minecraft.picked_up.ancient_debris: #13, 48(3%)
minecraft.mined.oak_wall_sign: #13, 11(2%)
minecraft.picked_up.end_rod: #13, 169(2%)
minecraft.crafted.netherite_ingot: #13, 9(3%)
minecraft.used.tripwire_hook: #13, 15(2%)
minecraft.mined.chiseled_bookshelf: #13, 13(2%)
minecraft.crafted.polished_tuff_stairs: #13, 16(2%)
minecraft.picked_up.chiseled_bookshelf: #13, 13(2%)
minecraft.used.mangrove_door: #13, 3(2%)
minecraft.dropped.stone_bricks: #13, 64(1%)
minecraft.picked_up.stone_sword: #13, 15(1%)
minecraft.mined.stone_slab: #13, 91(1%)
minecraft.picked_up.polished_deepslate_slab: #13, 51(1%)
minecraft.crafted.oak_stairs: #13, 44(1%)
minecraft.used.deepslate_bricks: #13, 448(1%)
minecraft.crafted.netherite_boots: #13, 1(2%)
minecraft.custom.fish_caught: #13, 219(1%)
minecraft.dropped.acacia_log: #13, 6(1%)
minecraft.mined.tuff_brick_wall: #13, 7(1%)
minecraft.used.netherite_axe: #13, 4613(1%)
minecraft.used.heavy_weighted_pressure_plate: #13, 3(1%)
minecraft.picked_up.honeycomb: #13, 256(1%)
minecraft.picked_up.green_terracotta: #13, 11(1%)
minecraft.picked_up.light_blue_bed: #13, 3(1%)
minecraft.crafted.polished_deepslate_stairs: #13, 8(1%)
minecraft.used.light_blue_banner: #13, 1(1%)
minecraft.crafted.smooth_quartz_stairs: #13, 6(1%)
minecraft.crafted.polished_granite: #13, 64(0%)
minecraft.mined.spruce_wood: #13, 5(0%)
minecraft.used.mangrove_fence: #13, 19(0%)
minecraft.crafted.cooked_mutton: #13, 12(0%)
minecraft.picked_up.chorus_flower: #13, 11(0%)
minecraft.used.netherite_leggings: #13, 1(0%)
minecraft.mined.green_stained_glass: #13, 2(0%)
minecraft.used.stripped_mangrove_log: #13, 16(0%)
minecraft.used.light_blue_wool: #13, 11(0%)
minecraft.picked_up.red_carpet: #13, 12(0%)
minecraft.used.netherite_sword: #13, 166(0%)
minecraft.used.chest: #14, 1195(3%)
minecraft.used.spruce_fence: #14, 520(3%)
minecraft.picked_up.basalt: #14, 700(2%)
minecraft.mined.spruce_trapdoor: #14, 233(2%)
minecraft.crafted.enchanting_table: #14, 1(3%)
minecraft.picked_up.iron_shovel: #14, 7(2%)
minecraft.dropped.ender_pearl: #14, 5305(2%)
minecraft.crafted.chiseled_tuff: #14, 15(3%)
minecraft.picked_up.spruce_planks: #14, 346(2%)
minecraft.mined.spruce_door: #14, 3(2%)
minecraft.mined.ender_chest: #14, 285(2%)
minecraft.picked_up.glowstone: #14, 140(2%)
minecraft.killed.shulker: #14, 72(2%)
minecraft.mined.lilac: #14, 14(2%)
minecraft.picked_up.iron_sword: #14, 8(1%)
