stat, rank, value, (percentage) 
minecraft.picked_up.gray_shulker_box: #5, 342(6%)
minecraft.used.dark_oak_leaves: #4, 69(3%)
minecraft.used.gray_shulker_box: #5, 332(6%)
minecraft.mined.gray_shulker_box: #5, 326(6%)
minecraft.used.tuff_bricks: #5, 3465(5%)
minecraft.mined.potted_cherry_sapling: #4, 2(4%)
minecraft.used.spruce_fence_gate: #5, 324(5%)
minecraft.mined.red_banner: #4, 1(8%)
minecraft.picked_up.iron_door: #5, 42(5%)
minecraft.used.brown_wool: #5, 233(7%)
minecraft.mined.suspicious_sand: #4, 3(3%)
minecraft.mined.cyan_concrete: #5, 288(7%)
minecraft.mined.warped_hanging_sign: #4, 1(5%)
minecraft.crafted.yellow_shulker_box: #5, 15(6%)
minecraft.used.chiseled_bookshelf: #5, 129(6%)
minecraft.crafted.arrow: #4, 52(2%)
minecraft.mined.black_concrete_powder: #4, 64(1%)
minecraft.mined.raw_iron_block: #4, 22(1%)
minecraft.mined.yellow_wall_banner: #4, 1(2%)
minecraft.picked_up.jungle_stairs: #5, 61(5%)
minecraft.picked_up.bamboo_pressure_plate: #5, 11(11%)
minecraft.crafted.light_gray_terracotta: #5, 384(6%)
minecraft.picked_up.waxed_oxidized_chiseled_copper: #4, 3(1%)
minecraft.mined.orange_concrete_powder: #4, 11(2%)
minecraft.picked_up.redstone_block: #5, 557(4%)
minecraft.mined.acacia_fence_gate: #5, 8(9%)
minecraft.picked_up.deepslate_iron_ore: #5, 359(5%)
minecraft.crafted.dark_prismarine: #5, 1041(10%)
minecraft.picked_up.chainmail_chestplate: #5, 6(5%)
minecraft.picked_up.polished_tuff_slab: #6, 404(8%)
minecraft.picked_up.end_stone_brick_slab: #4, 2(1%)
minecraft.used.lime_banner: #4, 2(0%)
minecraft.crafted.deepslate: #4, 2(1%)
minecraft.used.end_stone_brick_wall: #4, 2(0%)
minecraft.picked_up.end_stone_brick_wall: #4, 1(0%)
minecraft.picked_up.cut_red_sandstone_slab: #4, 1(0%)
minecraft.crafted.air: #4, 0(0%)
minecraft.mined.spruce_fence: #6, 341(8%)
minecraft.dropped.purpur_slab: #5, 5(7%)
minecraft.picked_up.filled_map: #6, 1297(7%)
minecraft.picked_up.dark_oak_slab: #6, 372(8%)
minecraft.crafted.copper_door: #5, 18(6%)
minecraft.mined.chiseled_tuff_bricks: #6, 372(7%)
minecraft.crafted.mud_brick_stairs: #5, 40(6%)
minecraft.mined.soul_lantern: #5, 18(6%)
minecraft.picked_up.golden_horse_armor: #5, 4(5%)
minecraft.used.podzol: #5, 214(4%)
minecraft.crafted.cookie: #5, 424(5%)
minecraft.dropped.campfire: #5, 5(6%)
minecraft.dropped.end_stone: #5, 70(4%)
minecraft.killed.salmon: #6, 204(7%)
minecraft.broken.iron_hoe: #5, 1(8%)
minecraft.picked_up.polished_tuff: #6, 854(7%)
minecraft.picked_up.spruce_fence: #6, 414(7%)
minecraft.mined.waxed_oxidized_cut_copper_stairs: #5, 36(3%)
minecraft.picked_up.heartbreak_pottery_sherd: #5, 2(7%)
minecraft.dropped.tube_coral_fan: #5, 1(8%)
minecraft.picked_up.warped_fungus: #5, 273(2%)
minecraft.picked_up.sheaf_pottery_sherd: #5, 2(7%)
minecraft.picked_up.oak_wood: #5, 95(3%)
minecraft.used.acacia_door: #5, 4(6%)
minecraft.crafted.muddy_mangrove_roots: #5, 287(5%)
minecraft.crafted.smooth_quartz: #5, 562(3%)
minecraft.crafted.waxed_oxidized_cut_copper: #5, 64(4%)
minecraft.used.sand: #5, 7367(2%)
minecraft.mined.oak_wood: #5, 81(3%)
minecraft.picked_up.raw_copper_block: #6, 145(7%)
minecraft.mined.warped_hyphae: #5, 6(5%)
minecraft.mined.cobblestone_stairs: #5, 55(2%)
minecraft.dropped.stripped_cherry_log: #5, 2(6%)
minecraft.mined.dark_prismarine: #6, 218(8%)
minecraft.used.pink_concrete: #5, 177(3%)
minecraft.dropped.shulker_shell: #5, 82(3%)
minecraft.mined.crimson_planks: #5, 26(2%)
minecraft.dropped.glass: #5, 437(2%)
minecraft.picked_up.salmon: #6, 415(5%)
minecraft.mined.light_gray_wall_banner: #5, 2(6%)
minecraft.mined.jungle_trapdoor: #6, 62(6%)
minecraft.mined.glass_pane: #6, 70(6%)
minecraft.crafted.raw_gold_block: #5, 64(2%)
minecraft.used.stripped_oak_log: #6, 260(7%)
minecraft.crafted.end_stone_brick_stairs: #5, 4(4%)
minecraft.picked_up.pink_bed: #5, 7(2%)
minecraft.used.dark_prismarine_slab: #6, 230(10%)
minecraft.mined.end_stone_brick_stairs: #5, 2(5%)
minecraft.used.purple_banner: #5, 1(3%)
minecraft.mined.cherry_wood: #5, 1(4%)
minecraft.used.pink_bed: #5, 7(2%)
minecraft.crafted.map: #5, 436(1%)
minecraft.picked_up.warped_door: #5, 1(4%)
minecraft.dropped.light_blue_concrete_powder: #5, 1(2%)
minecraft.mined.cut_copper_stairs: #5, 6(2%)
minecraft.picked_up.raw_iron_block: #5, 22(1%)
minecraft.mined.waxed_oxidized_chiseled_copper: #5, 3(1%)
minecraft.mined.spruce_door: #6, 8(5%)
minecraft.dropped.magenta_stained_glass_pane: #5, 1(2%)
minecraft.dropped.brick_stairs: #5, 1(2%)
minecraft.used.white_candle: #5, 31(1%)
minecraft.mined.white_candle: #5, 6(1%)
minecraft.picked_up.cherry_stairs: #5, 4(1%)
minecraft.picked_up.cherry_wood: #5, 1(1%)
minecraft.picked_up.jungle_trapdoor: #6, 64(5%)
minecraft.used.black_candle: #5, 5(1%)
minecraft.dropped.brown_candle: #5, 1(1%)
minecraft.picked_up.lime_banner: #5, 1(1%)
minecraft.crafted.magenta_banner: #5, 1(1%)
minecraft.picked_up.red_mushroom: #6, 78(4%)
minecraft.picked_up.warped_roots: #6, 1499(4%)
minecraft.used.cut_red_sandstone_slab: #5, 1(0%)
minecraft.used.map: #6, 57(5%)
minecraft.mined.stone_brick_wall: #6, 49(6%)
minecraft.used.brown_concrete_powder: #6, 348(5%)
minecraft.mined.blackstone_stairs: #6, 11(6%)
minecraft.mined.crimson_nylium: #6, 221(4%)
minecraft.mined.brick_stairs: #6, 15(7%)
minecraft.mined.acacia_trapdoor: #6, 91(4%)
minecraft.picked_up.iron_horse_armor: #6, 4(6%)
minecraft.picked_up.purpur_slab: #6, 41(4%)
minecraft.picked_up.kelp: #6, 3220(3%)
minecraft.used.dark_prismarine_stairs: #6, 64(7%)
minecraft.picked_up.crimson_nylium: #6, 203(4%)
minecraft.crafted.tuff_brick_wall: #6, 30(5%)
minecraft.picked_up.stone_brick_wall: #6, 54(5%)
minecraft.used.air: #6, 1630(3%)
minecraft.used.tuff_brick_stairs: #6, 447(4%)
minecraft.used.weeping_vines: #6, 35(7%)
minecraft.used.light_gray_concrete: #6, 366(3%)
minecraft.used.acacia_leaves: #6, 81(5%)
minecraft.mined.cobblestone_wall: #6, 30(4%)
minecraft.picked_up.brick_slab: #6, 10(6%)
minecraft.mined.kelp_plant: #6, 215(3%)
minecraft.picked_up.blackstone_stairs: #6, 11(5%)
minecraft.used.soul_lantern: #6, 81(4%)
minecraft.picked_up.dark_prismarine: #6, 218(4%)
minecraft.picked_up.shaper_armor_trim_smithing_template: #6, 2(10%)
minecraft.picked_up.acacia_fence_gate: #6, 8(6%)
minecraft.used.cyan_concrete_powder: #6, 260(3%)
minecraft.mined.smooth_stone_slab: #6, 246(3%)
minecraft.picked_up.music_disc_strad: #6, 5(8%)
minecraft.mined.brown_wool: #6, 36(3%)
minecraft.picked_up.chiseled_tuff_bricks: #7, 372(6%)
minecraft.crafted.bamboo_stairs: #6, 96(3%)
minecraft.used.netherite_hoe: #6, 23101(5%)
minecraft.mined.dark_prismarine_stairs: #6, 9(6%)
minecraft.used.gold_ore: #6, 37(3%)
minecraft.used.cracked_stone_bricks: #6, 163(3%)
minecraft.used.ice: #6, 626(3%)
minecraft.picked_up.brown_concrete: #6, 72(3%)
minecraft.broken.diamond_pickaxe: #6, 1(4%)
minecraft.used.bamboo_mosaic: #6, 72(5%)
minecraft.dropped.stone_axe: #6, 2(3%)
minecraft.picked_up.purpur_stairs: #6, 49(2%)
minecraft.used.music_disc_13: #6, 3(3%)
minecraft.crafted.quartz_bricks: #6, 22(4%)
minecraft.crafted.acacia_door: #6, 3(4%)
minecraft.picked_up.yellow_banner: #6, 3(3%)
minecraft.crafted.crimson_hyphae: #6, 30(3%)
minecraft.mined.acacia_door: #6, 1(5%)
minecraft.mined.brick_wall: #6, 5(4%)
minecraft.used.azure_bluet: #6, 22(2%)
minecraft.used.spruce_log: #7, 2437(5%)
minecraft.used.trident: #6, 414(2%)
minecraft.picked_up.dark_prismarine_stairs: #6, 9(4%)
minecraft.mined.stripped_cherry_log: #6, 42(2%)
minecraft.picked_up.oxeye_daisy: #6, 125(1%)
minecraft.used.mossy_cobblestone_wall: #6, 17(2%)
minecraft.used.end_stone_brick_stairs: #6, 5(4%)
minecraft.picked_up.cobblestone_stairs: #6, 55(1%)
minecraft.picked_up.purpur_pillar: #6, 67(2%)
minecraft.picked_up.wayfinder_armor_trim_smithing_template: #6, 1(5%)
minecraft.dropped.blue_shulker_box: #6, 1(3%)
minecraft.mined.beetroots: #7, 249(5%)
minecraft.mined.yellow_banner: #6, 1(4%)
minecraft.mined.orange_banner: #6, 1(4%)
minecraft.picked_up.friend_pottery_sherd: #6, 1(4%)
minecraft.mined.pink_concrete: #6, 116(2%)
minecraft.crafted.mangrove_pressure_plate: #6, 5(3%)
minecraft.picked_up.end_stone_brick_stairs: #6, 2(5%)
minecraft.picked_up.mud_brick_wall: #7, 93(7%)
minecraft.dropped.light_gray_bed: #6, 2(3%)
minecraft.dropped.mud_brick_stairs: #6, 1(4%)
minecraft.used.crimson_hyphae: #6, 29(2%)
minecraft.crafted.compass: #6, 478(1%)
minecraft.used.blue_concrete_powder: #6, 64(1%)
minecraft.used.item_frame: #7, 437(4%)
minecraft.crafted.cherry_planks: #7, 1880(5%)
minecraft.crafted.cut_copper_stairs: #6, 8(2%)
