stat, rank, value, (percentage) 
minecraft.crafted.emerald: #1, 79728(15%)
minecraft.used.chiseled_red_sandstone: #1, 396(75%)
minecraft.used.nether_sprouts: #1, 805(47%)
minecraft.mined.end_stone_brick_wall: #1, 79(92%)
minecraft.mined.smooth_red_sandstone_slab: #1, 134(41%)
minecraft.mined.gray_concrete: #2, 7945(20%)
minecraft.dropped.piston: #1, 390(28%)
minecraft.dropped.resin_block: #1, 442(46%)
minecraft.dropped.light_blue_dye: #2, 73(26%)
minecraft.dropped.deepslate_tile_wall: #1, 193(40%)
minecraft.dropped.birch_trapdoor: #1, 41(36%)
minecraft.used.acacia_fence_gate: #1, 127(23%)
minecraft.picked_up.chiseled_resin_bricks: #1, 72(90%)
minecraft.crafted.wheat: #1, 15928(16%)
minecraft.dropped.compass: #1, 31(25%)
minecraft.mined.sunflower: #1, 776(15%)
minecraft.mined.lightning_rod: #1, 263(16%)
minecraft.dropped.cherry_leaves: #1, 306(25%)
minecraft.crafted.black_glazed_terracotta: #1, 451(59%)
minecraft.dropped.polished_deepslate_slab: #1, 203(32%)
minecraft.dropped.soul_torch: #1, 67(50%)
minecraft.picked_up.gray_concrete_powder: #2, 4971(26%)
minecraft.mined.diorite: #1, 35128(14%)
minecraft.picked_up.chiseled_red_sandstone: #1, 177(69%)
minecraft.picked_up.end_stone_brick_wall: #1, 293(69%)
minecraft.picked_up.chest: #1, 4266(14%)
minecraft.used.red_sandstone: #1, 459(34%)
minecraft.crafted.golden_helmet: #1, 17(16%)
minecraft.picked_up.friend_pottery_sherd: #1, 12(43%)
minecraft.crafted.spruce_door: #2, 132(20%)
minecraft.mined.light_blue_stained_glass: #2, 771(22%)
minecraft.picked_up.nether_sprouts: #1, 1333(34%)
minecraft.crafted.cut_red_sandstone_slab: #1, 84(57%)
minecraft.crafted.cyan_glazed_terracotta: #1, 120(34%)
minecraft.picked_up.resin_clump: #2, 8887(23%)
minecraft.dropped.iron_boots: #2, 170(21%)
minecraft.used.pink_petals: #2, 2849(20%)
minecraft.dropped.red_sandstone_stairs: #1, 31(84%)
minecraft.used.golden_leggings: #1, 24(67%)
minecraft.crafted.red_sandstone_stairs: #1, 113(41%)
minecraft.used.soul_sand: #1, 1499(13%)
minecraft.dropped.diamond_shovel: #1, 32(14%)
minecraft.mined.acacia_button: #1, 33(41%)
minecraft.dropped.stripped_warped_stem: #1, 68(55%)
minecraft.picked_up.soul_campfire: #1, 23(37%)
minecraft.crafted.waxed_copper_trapdoor: #2, 780(33%)
minecraft.dropped.stripped_birch_log: #1, 65(47%)
minecraft.mined.firefly_bush: #1, 430(20%)
minecraft.dropped.wheat: #2, 3150(16%)
minecraft.picked_up.red_sandstone: #2, 358(25%)
minecraft.picked_up.golden_leggings: #1, 51(14%)
minecraft.mined.flower_pot: #1, 43(15%)
minecraft.dropped.red_carpet: #1, 64(36%)
minecraft.dropped.hay_block: #2, 852(35%)
minecraft.dropped.mangrove_fence: #1, 81(32%)
minecraft.picked_up.leather_helmet: #1, 35(11%)
minecraft.dropped.white_concrete_powder: #1, 191(29%)
minecraft.dropped.iron_trapdoor: #1, 52(26%)
minecraft.used.melon: #2, 175(17%)
minecraft.mined.chiseled_resin_bricks: #1, 33(79%)
minecraft.crafted.coal_block: #2, 4086(17%)
minecraft.picked_up.lead: #2, 1247(14%)
minecraft.picked_up.howl_pottery_sherd: #1, 12(39%)
minecraft.picked_up.quartz_bricks: #2, 262(41%)
minecraft.crafted.lime_glazed_terracotta: #1, 285(62%)
minecraft.picked_up.sheaf_pottery_sherd: #1, 11(38%)
minecraft.used.potato: #2, 1508(16%)
minecraft.crafted.globe_banner_pattern: #1, 9(60%)
minecraft.picked_up.brown_carpet: #2, 371(19%)
minecraft.mined.pink_bed: #1, 106(27%)
minecraft.picked_up.dried_ghast: #1, 176(30%)
minecraft.picked_up.copper_trapdoor: #2, 365(18%)
minecraft.mined.light_blue_glazed_terracotta: #1, 32(49%)
minecraft.used.light_blue_concrete: #2, 4447(23%)
minecraft.crafted.nether_bricks: #2, 2838(21%)
minecraft.used.deepslate_tile_wall: #2, 911(23%)
minecraft.picked_up.end_stone: #2, 3063(16%)
minecraft.used.lime_bed: #2, 227(23%)
minecraft.crafted.gold_ingot: #2, 30046(16%)
minecraft.picked_up.wheat_seeds: #2, 93151(13%)
minecraft.mined.potted_bamboo: #1, 5(26%)
minecraft.picked_up.stripped_birch_wood: #2, 1061(23%)
minecraft.picked_up.bread: #2, 1133(17%)
minecraft.used.wheat_seeds: #2, 33436(14%)
minecraft.dropped.stone_button: #2, 169(17%)
minecraft.dropped.lever: #2, 263(17%)
minecraft.custom.interact_with_campfire: #2, 2314(15%)
minecraft.used.quartz_bricks: #2, 823(42%)
minecraft.picked_up.light_blue_banner: #1, 18(23%)
minecraft.used.orange_stained_glass_pane: #2, 1208(25%)
minecraft.mined.nether_quartz_ore: #1, 5211(12%)
minecraft.dropped.quartz_pillar: #1, 42(46%)
minecraft.mined.smooth_quartz_slab: #2, 438(18%)
minecraft.mined.dead_bush: #2, 965(16%)
minecraft.dropped.cut_red_sandstone_slab: #1, 45(90%)
minecraft.mined.chiseled_stone_bricks: #2, 385(22%)
minecraft.crafted.spruce_planks: #1, 69236(10%)
minecraft.used.brown_egg: #1, 195(67%)
minecraft.dropped.acacia_trapdoor: #2, 102(25%)
minecraft.crafted.dripstone_block: #1, 508(27%)
minecraft.dropped.birch_sign: #2, 32(18%)
minecraft.used.end_stone_brick_wall: #1, 259(53%)
minecraft.mined.fire: #2, 2450(14%)
minecraft.picked_up.heartbreak_pottery_sherd: #1, 9(33%)
minecraft.crafted.lime_bed: #2, 226(31%)
minecraft.crafted.end_stone_bricks: #1, 256(30%)
minecraft.dropped.chiseled_quartz_block: #1, 35(66%)
minecraft.picked_up.end_rod: #2, 1146(15%)
minecraft.dropped.light_blue_carpet: #1, 33(52%)
minecraft.used.nether_quartz_ore: #2, 1837(16%)
minecraft.dropped.pale_oak_button: #1, 92(87%)
minecraft.dropped.pale_oak_sign: #1, 13(52%)
minecraft.mined.end_rod: #2, 875(14%)
minecraft.dropped.stripped_birch_wood: #1, 59(65%)
minecraft.picked_up.rail: #1, 4986(10%)
minecraft.dropped.orange_dye: #2, 81(21%)
minecraft.used.pink_stained_glass: #2, 812(26%)
minecraft.dropped.yellow_glazed_terracotta: #1, 18(86%)
minecraft.dropped.spruce_trapdoor: #2, 420(18%)
minecraft.picked_up.burn_pottery_sherd: #1, 8(32%)
minecraft.used.golden_chestplate: #1, 17(85%)
minecraft.picked_up.wooden_hoe: #1, 13(25%)
minecraft.picked_up.wayfinder_armor_trim_smithing_template: #1, 8(36%)
minecraft.picked_up.iron_nugget: #2, 1379(12%)
minecraft.picked_up.melon: #2, 5052(14%)
minecraft.used.polished_deepslate_stairs: #2, 1258(17%)
minecraft.used.polished_deepslate_slab: #2, 2763(18%)
minecraft.used.cherry_leaves: #2, 1758(19%)
minecraft.used.golden_boots: #1, 18(50%)
minecraft.dropped.wooden_hoe: #1, 9(25%)
minecraft.crafted.golden_boots: #2, 23(25%)
minecraft.dropped.granite_slab: #1, 118(83%)
minecraft.picked_up.golden_boots: #2, 93(14%)
minecraft.mined.warped_roots: #3, 1469(19%)
minecraft.crafted.bread: #2, 4494(15%)
minecraft.mined.iron_trapdoor: #2, 192(14%)
minecraft.mined.stripped_birch_wood: #2, 876(20%)
