stat, rank, value, (percentage) 
minecraft.used.light_gray_concrete: #2, 1598(15%)
minecraft.dropped.ender_pearl: #2, 34952(13%)
minecraft.picked_up.breeze_rod: #2, 2379(17%)
minecraft.used.orange_shulker_box: #3, 975(18%)
minecraft.picked_up.music_disc_stal: #1, 19(44%)
minecraft.mined.stripped_jungle_log: #2, 653(16%)
minecraft.picked_up.acacia_planks: #2, 255(15%)
minecraft.used.item_frame: #2, 1160(11%)
minecraft.picked_up.dune_armor_trim_smithing_template: #1, 4(36%)
minecraft.mined.acacia_planks: #2, 150(16%)
minecraft.mined.azure_bluet: #2, 342(13%)
minecraft.mined.small_dripleaf: #2, 62(19%)
minecraft.picked_up.spruce_pressure_plate: #2, 43(20%)
minecraft.picked_up.stripped_jungle_log: #2, 713(16%)
minecraft.used.oak_door: #2, 36(14%)
minecraft.used.smooth_red_sandstone: #2, 1379(29%)
minecraft.dropped.mud_bricks: #2, 77(22%)
minecraft.used.oxidized_copper_grate: #2, 423(15%)
minecraft.mined.birch_stairs: #2, 102(17%)
minecraft.mined.potted_azalea_bush: #1, 5(26%)
minecraft.picked_up.green_harness: #1, 7(70%)
minecraft.crafted.mangrove_slab: #2, 1626(13%)
minecraft.used.stripped_jungle_log: #2, 483(18%)
minecraft.mined.spruce_stairs: #2, 566(12%)
minecraft.crafted.birch_trapdoor: #2, 238(14%)
minecraft.used.polished_granite: #3, 1733(18%)
minecraft.crafted.spruce_slab: #2, 8010(12%)
minecraft.used.lime_concrete: #2, 972(19%)
minecraft.picked_up.waxed_exposed_copper_trapdoor: #2, 104(22%)
minecraft.mined.pink_tulip: #2, 155(16%)
minecraft.crafted.stone_axe: #2, 18(12%)
minecraft.mined.smooth_red_sandstone: #2, 483(27%)
minecraft.dropped.mud_brick_wall: #2, 48(38%)
minecraft.picked_up.shaper_armor_trim_smithing_template: #1, 6(29%)
minecraft.dropped.waxed_oxidized_copper_door: #1, 4(40%)
minecraft.used.glistering_melon_slice: #1, 5(25%)
minecraft.picked_up.sentry_armor_trim_smithing_template: #1, 6(67%)
minecraft.picked_up.music_disc_chirp: #1, 15(33%)
minecraft.mined.polished_blackstone_button: #2, 29(23%)
minecraft.used.polished_granite_stairs: #2, 399(27%)
minecraft.dropped.brown_egg: #1, 19(66%)
minecraft.picked_up.jungle_trapdoor: #3, 239(19%)
minecraft.picked_up.light_gray_stained_glass: #2, 253(14%)
