stat, rank, value, (percentage) 
minecraft.dropped.pale_oak_stairs: #1, 85(90%)
minecraft.mined.cobblestone_slab: #2, 642(15%)
minecraft.killed_by.iron_golem: #1, 7(54%)
minecraft.picked_up.fishing_rod: #2, 173(13%)
minecraft.killed.allay: #1, 22(54%)
minecraft.mined.white_stained_glass: #2, 623(18%)
minecraft.dropped.music_disc_pigstep: #1, 4(44%)
minecraft.dropped.fern: #1, 88(33%)
minecraft.crafted.cobbled_deepslate_slab: #2, 1806(19%)
minecraft.used.dark_oak_stairs: #2, 1112(16%)
minecraft.killed.piglin_brute: #1, 44(22%)
minecraft.picked_up.book: #2, 1662(16%)
minecraft.picked_up.red_mushroom: #2, 270(15%)
minecraft.killed.cod: #2, 48(23%)
minecraft.picked_up.phantom_membrane: #2, 274(16%)
minecraft.picked_up.diamond_block: #2, 834(13%)
minecraft.used.melon_slice: #2, 671(16%)
minecraft.dropped.brown_wool: #2, 69(22%)
minecraft.crafted.diamond_pickaxe: #1, 29(10%)
minecraft.used.allium: #2, 123(28%)
minecraft.mined.spruce_fence: #1, 442(10%)
minecraft.dropped.netherite_axe: #1, 11(20%)
minecraft.dropped.open_eyeblossom: #1, 16(84%)
minecraft.killed.fox: #1, 16(84%)
minecraft.mined.glass_pane: #2, 188(15%)
minecraft.picked_up.purple_carpet: #2, 811(29%)
minecraft.dropped.pale_oak_slab: #1, 40(83%)
minecraft.dropped.netherite_ingot: #1, 7(50%)
minecraft.mined.end_stone: #2, 2244(15%)
minecraft.picked_up.green_banner: #1, 34(25%)
minecraft.used.blue_orchid: #1, 94(28%)
minecraft.crafted.green_carpet: #2, 2289(19%)
minecraft.picked_up.raw_iron_block: #2, 481(19%)
minecraft.picked_up.rooted_dirt: #2, 2991(15%)
minecraft.mined.blue_stained_glass_pane: #1, 9(41%)
minecraft.mined.dark_oak_pressure_plate: #1, 16(24%)
minecraft.crafted.dark_oak_sign: #2, 174(16%)
minecraft.mined.cracked_stone_bricks: #2, 625(17%)
minecraft.picked_up.quartz_slab: #2, 886(20%)
minecraft.dropped.golden_leggings: #2, 37(15%)
minecraft.mined.oak_slab: #2, 306(14%)
minecraft.dropped.oak_wood: #1, 24(48%)
minecraft.dropped.rabbit_foot: #1, 4(40%)
minecraft.crafted.netherite_axe: #1, 3(21%)
minecraft.mined.jungle_button: #1, 25(29%)
minecraft.picked_up.rabbit: #2, 59(19%)
minecraft.picked_up.popped_chorus_fruit: #1, 205(39%)
minecraft.killed.skeleton_horse: #1, 7(58%)
minecraft.crafted.mangrove_boat: #1, 6(33%)
minecraft.used.mangrove_boat: #1, 13(33%)
minecraft.picked_up.damaged_anvil: #2, 33(16%)
minecraft.custom.animals_bred: #2, 2563(13%)
minecraft.crafted.spruce_hanging_sign: #1, 63(13%)
minecraft.picked_up.golden_axe: #1, 6(29%)
minecraft.mined.furnace: #2, 388(13%)
minecraft.crafted.end_rod: #2, 1824(22%)
minecraft.picked_up.barrel: #2, 720(13%)
minecraft.picked_up.music_disc_mellohi: #1, 30(75%)
minecraft.mined.quartz_stairs: #3, 488(21%)
minecraft.dropped.bone: #2, 2340(13%)
minecraft.mined.dark_oak_slab: #2, 412(13%)
minecraft.picked_up.netherite_boots: #2, 52(13%)
minecraft.picked_up.snout_armor_trim_smithing_template: #1, 17(74%)
minecraft.mined.quartz_slab: #2, 628(20%)
minecraft.picked_up.trial_key: #2, 200(16%)
minecraft.used.black_carpet: #2, 5181(18%)
minecraft.picked_up.leather: #2, 4810(13%)
minecraft.used.smooth_stone: #3, 23206(19%)
minecraft.picked_up.purple_dye: #3, 390(19%)
minecraft.mined.lily_of_the_valley: #2, 165(19%)
minecraft.dropped.allium: #2, 53(21%)
minecraft.used.deepslate_bricks: #2, 5470(14%)
minecraft.dropped.waxed_cut_copper_slab: #1, 10(16%)
minecraft.picked_up.deepslate_emerald_ore: #1, 5(31%)
minecraft.dropped.red_carpet: #2, 63(35%)
minecraft.custom.interact_with_furnace: #1, 4051(7%)
minecraft.crafted.brown_carpet: #2, 1107(19%)
minecraft.dropped.glow_ink_sac: #2, 197(18%)
minecraft.dropped.spire_armor_trim_smithing_template: #1, 5(71%)
minecraft.mined.potted_flowering_azalea_bush: #1, 5(36%)
minecraft.dropped.raw_iron: #2, 289(16%)
minecraft.picked_up.quartz_stairs: #3, 571(20%)
minecraft.picked_up.golden_leggings: #2, 49(14%)
minecraft.mined.spruce_planks: #2, 1569(12%)
minecraft.killed.strider: #1, 24(71%)
minecraft.picked_up.jungle_boat: #2, 49(16%)
minecraft.dropped.crafting_table: #2, 55(14%)
minecraft.crafted.cracked_deepslate_bricks: #1, 1024(70%)
minecraft.used.cobbled_deepslate_stairs: #3, 1229(20%)
minecraft.mined.dark_oak_wall_hanging_sign: #1, 16(35%)
minecraft.killed_by.guardian: #1, 18(15%)
minecraft.crafted.mossy_stone_bricks: #2, 3485(17%)
minecraft.crafted.diamond_sword: #2, 21(12%)
minecraft.dropped.dark_oak_slab: #2, 219(26%)
minecraft.picked_up.heart_of_the_sea: #1, 9(26%)
minecraft.crafted.andesite_stairs: #2, 208(22%)
minecraft.dropped.white_tulip: #2, 97(20%)
minecraft.dropped.warped_fence: #1, 36(34%)
