stat, rank, value, (percentage) 
minecraft.mined.dark_oak_wood: #2, 115(21%)
minecraft.used.obsidian: #2, 2606(15%)
minecraft.crafted.iron_ingot: #2, 121645(14%)
minecraft.crafted.white_terracotta: #2, 1472(18%)
minecraft.dropped.black_concrete: #2, 128(24%)
minecraft.used.note_block: #2, 882(15%)
minecraft.crafted.repeater: #2, 1643(14%)
minecraft.crafted.cherry_trapdoor: #2, 422(19%)
minecraft.picked_up.netherite_shovel: #2, 58(18%)
minecraft.crafted.cherry_fence_gate: #2, 75(40%)
minecraft.dropped.cobbled_deepslate: #2, 19977(14%)
minecraft.picked_up.gold_ingot: #2, 4273(14%)
minecraft.crafted.diamond_hoe: #2, 15(15%)
minecraft.mined.mangrove_log: #2, 4865(14%)
minecraft.killed.iron_golem: #2, 79(20%)
minecraft.dropped.oak_chest_boat: #1, 16(84%)
minecraft.picked_up.music_disc_5: #1, 5(28%)
minecraft.mined.pink_wall_banner: #1, 7(50%)
minecraft.used.redstone_torch: #2, 1991(14%)
minecraft.mined.soul_soil: #2, 3818(15%)
minecraft.dropped.red_dye: #2, 154(17%)
minecraft.mined.green_wool: #2, 404(15%)
minecraft.picked_up.cherry_fence: #1, 98(22%)
minecraft.crafted.iron_door: #2, 57(16%)
minecraft.crafted.chainmail_boots: #1, 24(60%)
minecraft.dropped.polished_tuff: #2, 174(15%)
minecraft.used.cobbled_deepslate: #2, 13121(14%)
minecraft.crafted.flow_armor_trim_smithing_template: #1, 32(59%)
minecraft.picked_up.dark_oak_log: #1, 9110(9%)
minecraft.crafted.coast_armor_trim_smithing_template: #1, 30(79%)
minecraft.mined.cobblestone_wall: #2, 136(18%)
minecraft.mined.green_carpet: #2, 129(17%)
minecraft.mined.light_gray_wool: #2, 270(18%)
minecraft.mined.acacia_pressure_plate: #1, 16(39%)
minecraft.crafted.chainmail_leggings: #1, 28(58%)
minecraft.picked_up.netherite_pickaxe: #2, 83(11%)
minecraft.used.brown_mushroom: #2, 351(16%)
minecraft.dropped.deepslate: #2, 4525(14%)
minecraft.mined.magenta_stained_glass: #2, 66(19%)
minecraft.crafted.pale_oak_trapdoor: #2, 620(16%)
minecraft.crafted.pink_banner: #2, 104(27%)
minecraft.crafted.netherite_hoe: #1, 3(25%)
minecraft.used.stone_pickaxe: #2, 1367(13%)
minecraft.mined.green_terracotta: #2, 258(18%)
minecraft.crafted.diamond_helmet: #2, 14(13%)
minecraft.picked_up.trapped_chest: #1, 7(37%)
minecraft.used.red_stained_glass: #2, 3006(23%)
minecraft.mined.pale_hanging_moss: #2, 438(18%)
minecraft.picked_up.ominous_trial_key: #2, 176(19%)
minecraft.dropped.cherry_leaves: #2, 275(23%)
minecraft.picked_up.pale_hanging_moss: #2, 319(19%)
minecraft.used.stripped_mangrove_wood: #2, 268(29%)
minecraft.used.powered_rail: #2, 3145(13%)
minecraft.mined.purple_bed: #2, 67(19%)
minecraft.crafted.cherry_sign: #2, 30(24%)
minecraft.picked_up.ender_chest: #2, 2556(11%)
minecraft.crafted.mace: #1, 4(16%)
minecraft.picked_up.lingering_potion: #1, 18(35%)
minecraft.crafted.cherry_slab: #2, 552(21%)
minecraft.picked_up.purple_bed: #2, 70(19%)
minecraft.mined.bell: #2, 34(18%)
minecraft.crafted.white_shulker_box: #2, 189(13%)
minecraft.mined.cobblestone: #2, 6284(12%)
minecraft.crafted.diamond_boots: #2, 22(12%)
minecraft.crafted.ward_armor_trim_smithing_template: #1, 24(67%)
minecraft.used.resin_brick_slab: #1, 446(100%)
minecraft.picked_up.piston: #2, 909(12%)
minecraft.mined.soul_sand: #2, 2715(12%)
minecraft.picked_up.bell: #2, 36(15%)
minecraft.picked_up.waxed_exposed_cut_copper_stairs: #2, 72(32%)
minecraft.used.acacia_pressure_plate: #1, 17(21%)
minecraft.dropped.music_disc_otherside: #1, 3(27%)
minecraft.picked_up.music_disc_otherside: #2, 38(18%)
minecraft.used.sand: #2, 46762(12%)
minecraft.mined.waxed_exposed_cut_copper_stairs: #2, 72(32%)
minecraft.crafted.host_armor_trim_smithing_template: #1, 30(94%)
minecraft.crafted.shaper_armor_trim_smithing_template: #1, 30(94%)
minecraft.crafted.raiser_armor_trim_smithing_template: #1, 28(93%)
minecraft.picked_up.oak_button: #2, 84(13%)
minecraft.crafted.pink_wool: #2, 293(18%)
minecraft.mined.blue_wool: #2, 171(22%)
minecraft.picked_up.cobweb: #2, 1113(15%)
minecraft.crafted.pink_carpet: #2, 678(17%)
minecraft.dropped.iron_trapdoor: #2, 46(23%)
minecraft.used.lectern: #2, 874(13%)
minecraft.used.ominous_trial_key: #2, 121(16%)
minecraft.used.diamond_sword: #3, 138323(13%)
minecraft.used.dispenser: #2, 567(11%)
minecraft.used.repeater: #3, 3169(15%)
minecraft.crafted.tide_armor_trim_smithing_template: #1, 32(57%)
minecraft.mined.infested_cracked_stone_bricks: #1, 4(57%)
minecraft.used.sculk_catalyst: #2, 429(45%)
minecraft.dropped.waxed_oxidized_cut_copper_stairs: #2, 38(22%)
minecraft.crafted.stone_button: #2, 949(11%)
minecraft.used.gray_glazed_terracotta: #2, 283(32%)
minecraft.crafted.fishing_rod: #2, 49(12%)
minecraft.used.waxed_weathered_copper_grate: #2, 920(20%)
minecraft.killed_by.creeper: #2, 15(13%)
minecraft.crafted.green_shulker_box: #2, 39(15%)
minecraft.crafted.netherite_upgrade_smithing_template: #2, 82(13%)
minecraft.used.cobblestone_stairs: #2, 1200(11%)
minecraft.used.milk_bucket: #2, 20(13%)
minecraft.crafted.oak_sign: #2, 228(9%)
minecraft.picked_up.bamboo_button: #2, 616(16%)
minecraft.crafted.gray_dye: #2, 3740(11%)
minecraft.killed_by.zombie_villager: #1, 3(50%)
minecraft.crafted.vex_armor_trim_smithing_template: #1, 32(50%)
minecraft.picked_up.ghast_tear: #3, 264(15%)
minecraft.used.magma_block: #3, 4004(14%)
minecraft.used.comparator: #3, 1500(14%)
minecraft.used.carved_pumpkin: #3, 84(13%)
minecraft.dropped.dark_oak_sapling: #2, 41(15%)
minecraft.used.crafter: #2, 297(10%)
minecraft.mined.amethyst_block: #2, 1474(10%)
minecraft.crafted.cobblestone_stairs: #2, 689(12%)
minecraft.used.stripped_dark_oak_wood: #3, 493(18%)
minecraft.crafted.acacia_pressure_plate: #2, 29(24%)
minecraft.mined.black_wool: #2, 1277(12%)
minecraft.picked_up.acacia_pressure_plate: #2, 16(30%)
minecraft.used.chainmail_helmet: #1, 2(67%)
minecraft.dropped.bolt_armor_trim_smithing_template: #1, 2(33%)
minecraft.crafted.weathered_copper_bulb: #1, 24(67%)
minecraft.used.snow_block: #3, 33757(15%)
minecraft.crafted.yellow_carpet: #2, 933(15%)
minecraft.dropped.raw_gold: #2, 73(18%)
minecraft.mined.white_terracotta: #3, 3262(14%)
minecraft.picked_up.pumpkin: #2, 7505(9%)
minecraft.broken.stone_pickaxe: #2, 10(18%)
minecraft.picked_up.green_terracotta: #2, 205(13%)
minecraft.mined.candle: #2, 19(16%)
minecraft.mined.red_glazed_terracotta: #2, 50(17%)
minecraft.dropped.cobblestone: #2, 19882(9%)
minecraft.used.cracked_deepslate_tiles: #2, 519(25%)
minecraft.used.calibrated_sculk_sensor: #2, 72(14%)
minecraft.used.resin_bricks: #2, 87(32%)
minecraft.crafted.bamboo_fence_gate: #2, 229(16%)
minecraft.picked_up.red_stained_glass: #2, 367(16%)
minecraft.picked_up.mace: #2, 26(9%)
minecraft.mined.lectern: #3, 839(15%)
minecraft.dropped.stone_pickaxe: #2, 9(10%)
minecraft.mined.cherry_fence_gate: #1, 3(60%)
minecraft.crafted.chiseled_tuff: #2, 68(12%)
minecraft.picked_up.lectern: #3, 835(14%)
minecraft.dropped.iron_ingot: #3, 3697(13%)
minecraft.crafted.acacia_fence: #3, 675(16%)
minecraft.crafted.mangrove_propagule: #1, 8(20%)
minecraft.crafted.chainmail_helmet: #1, 7(58%)
minecraft.crafted.enchanting_table: #2, 4(11%)
minecraft.mined.chiseled_tuff_bricks: #3, 636(12%)
