stat, rank, value, (percentage) 
minecraft.used.tropical_fish_bucket: #5, 12(5%)
minecraft.mined.budding_amethyst: #6, 26(6%)
minecraft.custom.interact_with_grindstone: #6, 72(5%)
minecraft.used.deepslate_gold_ore: #6, 313(7%)
minecraft.mined.end_stone: #5, 1329(2%)
minecraft.crafted.compass: #5, 435(2%)
minecraft.used.mud_brick_slab: #5, 131(3%)
minecraft.killed.iron_golem: #5, 8(3%)
minecraft.picked_up.mossy_stone_brick_slab: #5, 6(3%)
minecraft.mined.spruce_slab: #6, 461(5%)
minecraft.picked_up.slime_ball: #6, 2021(6%)
minecraft.used.stripped_bamboo_block: #5, 5(5%)
minecraft.picked_up.oxidized_cut_copper_stairs: #6, 75(7%)
minecraft.dropped.smooth_sandstone: #5, 39(3%)
minecraft.used.blue_shulker_box: #6, 302(6%)
minecraft.picked_up.cut_copper: #6, 52(7%)
minecraft.used.tripwire_hook: #6, 36(7%)
minecraft.dropped.raw_gold: #5, 19(2%)
minecraft.picked_up.blue_shulker_box: #6, 293(6%)
minecraft.dropped.lead: #6, 21(5%)
minecraft.dropped.nether_quartz_ore: #5, 38(2%)
minecraft.killed_by.iron_golem: #5, 1(4%)
minecraft.crafted.polished_blackstone_brick_stairs: #5, 15(2%)
minecraft.mined.blue_shulker_box: #6, 294(6%)
minecraft.crafted.cooked_beef: #6, 317(5%)
minecraft.mined.sniffer_egg: #5, 1(5%)
minecraft.picked_up.exposed_cut_copper_stairs: #5, 13(2%)
minecraft.killed.piglin_brute: #5, 13(3%)
minecraft.picked_up.smooth_quartz_stairs: #6, 84(5%)
minecraft.used.dark_oak_sapling: #6, 441(5%)
minecraft.picked_up.trapped_chest: #5, 1(4%)
minecraft.picked_up.brick_wall: #5, 4(2%)
minecraft.mined.brick_wall: #5, 4(2%)
minecraft.dropped.birch_door: #5, 2(3%)
minecraft.mined.polished_deepslate: #6, 441(5%)
minecraft.used.deepslate: #6, 6728(4%)
minecraft.used.music_disc_pigstep: #5, 1(3%)
minecraft.dropped.blue_stained_glass_pane: #5, 1(3%)
minecraft.dropped.gold_nugget: #5, 267(0%)
minecraft.dropped.lime_concrete: #5, 4(1%)
minecraft.crafted.activator_rail: #5, 24(1%)
minecraft.picked_up.rabbit_stew: #5, 1(2%)
minecraft.crafted.rabbit_stew: #5, 1(1%)
minecraft.used.clay: #6, 1503(5%)
minecraft.used.smooth_sandstone_stairs: #5, 63(1%)
minecraft.crafted.orange_concrete: #5, 16(1%)
minecraft.crafted.lime_glazed_terracotta: #5, 8(1%)
minecraft.mined.soul_lantern: #6, 30(6%)
minecraft.mined.stripped_spruce_log: #6, 485(4%)
minecraft.killed.cave_spider: #6, 3852(4%)
minecraft.crafted.cod_bucket: #5, 1(1%)
minecraft.killed.piglin: #6, 97(4%)
minecraft.used.dandelion: #6, 19(4%)
minecraft.used.deepslate_brick_stairs: #6, 769(4%)
minecraft.crafted.firework_star: #5, 254(0%)
minecraft.used.polished_deepslate: #6, 2601(4%)
minecraft.crafted.spruce_fence_gate: #6, 120(4%)
minecraft.used.tinted_glass: #6, 2280(5%)
minecraft.mined.white_stained_glass_pane: #6, 33(5%)
minecraft.picked_up.sculk: #6, 1977(5%)
minecraft.mined.black_bed: #6, 40(6%)
minecraft.crafted.raw_gold: #6, 396(5%)
minecraft.picked_up.blue_stained_glass: #6, 58(7%)
minecraft.mined.iron_ore: #7, 3358(6%)
minecraft.dropped.spruce_sapling: #6, 119(4%)
minecraft.dropped.deepslate_redstone_ore: #6, 20(6%)
minecraft.picked_up.sculk_vein: #6, 715(5%)
minecraft.used.sculk: #6, 1211(4%)
minecraft.mined.infested_deepslate: #6, 15(4%)
minecraft.picked_up.warped_door: #6, 4(8%)
minecraft.picked_up.wheat_seeds: #7, 14087(5%)
minecraft.used.tadpole_bucket: #6, 8(7%)
minecraft.picked_up.blackstone_slab: #6, 35(5%)
minecraft.crafted.writable_book: #6, 38(3%)
minecraft.picked_up.deepslate_iron_ore: #7, 326(7%)
minecraft.picked_up.lead: #7, 203(5%)
minecraft.picked_up.chiseled_sandstone: #6, 9(5%)
minecraft.mined.sculk: #6, 2090(3%)
minecraft.crafted.jungle_door: #6, 6(6%)
minecraft.mined.bell: #6, 12(4%)
minecraft.crafted.spruce_trapdoor: #7, 1350(5%)
minecraft.picked_up.cobbled_deepslate: #7, 47993(5%)
minecraft.mined.sandstone_wall: #6, 34(4%)
