stat, rank, value, (percentage) 
minecraft.crafted.spruce_hanging_sign: #1, 36(36%)
minecraft.used.diamond_axe: #2, 134623(11%)
minecraft.crafted.cyan_terracotta: #2, 9957(15%)
minecraft.crafted.jungle_slab: #2, 1848(23%)
minecraft.dropped.crimson_fungus: #2, 58(28%)
minecraft.mined.lily_pad: #1, 63(19%)
minecraft.picked_up.purpur_pillar: #2, 322(20%)
minecraft.crafted.iron_trapdoor: #2, 1005(17%)
minecraft.broken.shield: #1, 7(26%)
minecraft.used.jungle_leaves: #2, 1173(22%)
minecraft.picked_up.exposed_copper: #2, 450(17%)
minecraft.used.bamboo_sign: #1, 42(40%)
minecraft.dropped.smooth_quartz_slab: #1, 119(23%)
minecraft.picked_up.smooth_red_sandstone_stairs: #1, 63(68%)
minecraft.used.cooked_salmon: #2, 199(20%)
minecraft.mined.chorus_plant: #2, 121(23%)
minecraft.dropped.smooth_stone: #2, 830(24%)
minecraft.crafted.bamboo_door: #1, 27(53%)
minecraft.crafted.cut_red_sandstone_slab: #1, 30(88%)
minecraft.mined.birch_log: #2, 13567(12%)
minecraft.killed.pig: #2, 75(13%)
minecraft.dropped.pumpkin_pie: #3, 1070(17%)
minecraft.custom.enchant_item: #2, 271(12%)
minecraft.mined.smooth_red_sandstone_stairs: #1, 56(64%)
minecraft.picked_up.nether_wart_block: #2, 6752(14%)
minecraft.picked_up.dead_bush: #2, 746(20%)
minecraft.crafted.blue_concrete: #1, 216(50%)
minecraft.dropped.brick_slab: #1, 79(31%)
minecraft.crafted.diorite_stairs: #2, 297(32%)
minecraft.dropped.mangrove_log: #2, 123(26%)
minecraft.crafted.waxed_exposed_cut_copper_slab: #1, 240(48%)
minecraft.dropped.axolotl_bucket: #1, 4(27%)
minecraft.mined.spruce_sapling: #2, 101(13%)
minecraft.picked_up.jungle_leaves: #2, 1849(18%)
minecraft.used.acacia_slab: #2, 290(24%)
minecraft.crafted.acacia_fence_gate: #1, 27(26%)
minecraft.dropped.acacia_trapdoor: #1, 85(23%)
minecraft.picked_up.campfire: #2, 236(15%)
minecraft.crafted.acacia_stairs: #2, 252(27%)
minecraft.picked_up.white_banner: #3, 834(16%)
minecraft.picked_up.dark_oak_door: #2, 52(15%)
minecraft.dropped.trident: #1, 6(17%)
minecraft.picked_up.spruce_wood: #2, 498(15%)
minecraft.dropped.bone: #3, 5415(14%)
minecraft.used.oak_sapling: #3, 5301(15%)
minecraft.dropped.orange_bed: #1, 6(55%)
minecraft.mined.oak_trapdoor: #2, 140(11%)
minecraft.picked_up.diorite_stairs: #2, 65(32%)
minecraft.killed.horse: #2, 33(16%)
minecraft.mined.purpur_pillar: #2, 268(16%)
minecraft.picked_up.sugar: #2, 1663(20%)
minecraft.picked_up.player_head: #3, 3084(10%)
minecraft.dropped.diorite_stairs: #1, 51(42%)
minecraft.used.rooted_dirt: #2, 1189(14%)
minecraft.picked_up.emerald: #2, 14237(8%)
minecraft.used.spruce_slab: #2, 4967(11%)
minecraft.dropped.red_mushroom: #2, 153(14%)
minecraft.crafted.waxed_exposed_cut_copper: #1, 215(41%)
minecraft.dropped.white_banner: #3, 1415(21%)
minecraft.crafted.emerald: #2, 63519(12%)
minecraft.dropped.dark_oak_wood: #1, 58(34%)
minecraft.used.brown_mushroom_block: #2, 849(15%)
minecraft.crafted.diamond_helmet: #2, 14(12%)
minecraft.dropped.mangrove_sign: #1, 4(29%)
minecraft.mined.gray_banner: #1, 9(50%)
minecraft.used.dead_brain_coral_fan: #1, 6(67%)
minecraft.dropped.bamboo_door: #1, 10(67%)
minecraft.killed_by.cave_spider: #1, 3(17%)
minecraft.killed.cave_spider: #3, 14407(17%)
minecraft.used.music_disc_pigstep: #1, 15(39%)
minecraft.used.kelp: #2, 1828(13%)
minecraft.crafted.brown_bed: #1, 19(49%)
minecraft.picked_up.dark_oak_wood: #2, 241(20%)
minecraft.used.mud_brick_stairs: #2, 469(23%)
minecraft.dropped.crimson_nylium: #2, 154(17%)
minecraft.dropped.diorite_slab: #1, 11(32%)
minecraft.dropped.sugar: #2, 1079(17%)
minecraft.mined.spruce_wood: #2, 341(18%)
minecraft.dropped.cod_bucket: #1, 21(95%)
minecraft.picked_up.compass: #2, 340(8%)
minecraft.used.allium: #2, 33(19%)
minecraft.killed_by.enderman: #1, 3(12%)
minecraft.crafted.warped_fence_gate: #2, 83(26%)
minecraft.used.shroomlight: #2, 399(11%)
minecraft.mined.shroomlight: #2, 547(11%)
minecraft.mined.oak_wood: #2, 144(24%)
minecraft.dropped.book: #2, 89(15%)
minecraft.dropped.purpur_slab: #2, 22(19%)
minecraft.used.cyan_stained_glass: #2, 1936(19%)
minecraft.mined.bamboo_door: #1, 3(60%)
minecraft.mined.acacia_trapdoor: #2, 239(16%)
minecraft.used.purpur_stairs: #2, 69(28%)
minecraft.picked_up.birch_log: #3, 14726(11%)
minecraft.picked_up.stick: #3, 13918(10%)
minecraft.mined.rooted_dirt: #3, 2495(16%)
minecraft.picked_up.cookie: #3, 234(15%)
minecraft.dropped.mangrove_door: #1, 2(29%)
minecraft.used.jungle_slab: #2, 1413(23%)
minecraft.mined.spruce_slab: #2, 894(10%)
minecraft.used.bamboo_door: #1, 10(42%)
minecraft.picked_up.bamboo_door: #1, 4(33%)
minecraft.mined.spruce_hanging_sign: #1, 2(33%)
minecraft.mined.acacia_log: #3, 3576(14%)
minecraft.picked_up.porkchop: #2, 225(9%)
minecraft.mined.hay_block: #3, 541(16%)
minecraft.mined.birch_stairs: #2, 52(15%)
minecraft.mined.dandelion: #2, 410(9%)
minecraft.dropped.compass: #2, 275(9%)
minecraft.picked_up.jungle_door: #2, 18(26%)
minecraft.mined.oak_log: #2, 8154(7%)
minecraft.crafted.light_gray_banner: #2, 64(21%)
minecraft.picked_up.mud_bricks: #2, 264(12%)
minecraft.crafted.bamboo_trapdoor: #2, 200(23%)
minecraft.dropped.gray_concrete: #2, 141(23%)
minecraft.used.jungle_door: #2, 22(25%)
minecraft.mined.purple_stained_glass_pane: #2, 79(25%)
minecraft.dropped.acacia_sapling: #2, 68(15%)
minecraft.picked_up.silence_armor_trim_smithing_template: #1, 2(50%)
minecraft.crafted.stone_brick_wall: #2, 835(12%)
minecraft.picked_up.lightning_rod: #2, 156(11%)
minecraft.used.stone_stairs: #3, 1883(13%)
minecraft.dropped.packed_mud: #2, 79(25%)
minecraft.used.chorus_flower: #2, 398(31%)
minecraft.picked_up.blaze_rod: #3, 615(14%)
minecraft.killed.salmon: #3, 225(14%)
minecraft.dropped.iron_trapdoor: #2, 78(20%)
minecraft.picked_up.lily_pad: #2, 81(14%)
minecraft.crafted.waxed_exposed_copper: #1, 289(71%)
minecraft.picked_up.mud: #3, 12096(13%)
minecraft.picked_up.podzol: #3, 2811(13%)
minecraft.custom.interact_with_grindstone: #3, 165(12%)
minecraft.picked_up.rooted_dirt: #3, 2253(14%)
minecraft.custom.open_barrel: #3, 12856(8%)
minecraft.used.diorite_stairs: #2, 222(24%)
minecraft.dropped.dead_horn_coral_fan: #1, 2(67%)
minecraft.dropped.golden_shovel: #1, 4(67%)
minecraft.picked_up.golden_shovel: #1, 2(67%)
minecraft.mined.potted_mangrove_propagule: #1, 4(67%)
minecraft.mined.magenta_wall_banner: #1, 2(67%)
minecraft.dropped.end_rod: #2, 91(17%)
minecraft.crafted.birch_stairs: #2, 312(12%)
minecraft.used.smoker: #3, 33(19%)
minecraft.dropped.bamboo_sign: #1, 7(64%)
minecraft.used.bamboo: #3, 1232(13%)
minecraft.used.waxed_exposed_cut_copper_slab: #2, 249(25%)
minecraft.dropped.waxed_exposed_copper: #1, 31(62%)
minecraft.dropped.lightning_rod: #2, 55(32%)
minecraft.used.cut_red_sandstone: #1, 16(62%)
minecraft.dropped.verdant_froglight: #2, 42(32%)
minecraft.used.dark_oak_sapling: #3, 1170(13%)
minecraft.used.oak_trapdoor: #2, 665(8%)
minecraft.dropped.lime_candle: #1, 6(60%)
minecraft.crafted.oak_trapdoor: #2, 700(8%)
minecraft.crafted.waxed_weathered_copper: #2, 604(43%)
minecraft.mined.acacia_slab: #2, 55(19%)
minecraft.dropped.netherite_axe: #2, 10(12%)
minecraft.dropped.warped_sign: #2, 32(24%)
minecraft.crafted.smooth_quartz_slab: #3, 1572(18%)
minecraft.used.lightning_rod: #2, 355(9%)
minecraft.mined.jungle_slab: #2, 99(21%)
minecraft.used.packed_mud: #3, 1779(15%)
minecraft.picked_up.smoker: #2, 16(19%)
minecraft.crafted.lightning_rod: #2, 326(9%)
minecraft.picked_up.red_mushroom_block: #3, 6911(12%)
minecraft.crafted.oak_door: #2, 15(9%)
minecraft.dropped.waxed_cut_copper: #1, 6(100%)
minecraft.dropped.dead_bubble_coral_fan: #1, 1(100%)
minecraft.dropped.dead_brain_coral_block: #1, 25(100%)
minecraft.dropped.lime_banner: #1, 1(100%)
minecraft.dropped.smooth_red_sandstone_stairs: #1, 53(100%)
minecraft.dropped.cut_red_sandstone_slab: #1, 1(50%)
minecraft.dropped.red_sandstone_stairs: #1, 2(100%)
minecraft.dropped.stripped_cherry_log: #1, 3(100%)
minecraft.used.chiseled_red_sandstone: #1, 2(100%)
minecraft.used.red_sandstone_stairs: #1, 98(100%)
minecraft.mined.cut_red_sandstone: #1, 4(100%)
minecraft.mined.chiseled_red_sandstone: #1, 1(100%)
minecraft.mined.red_sandstone_stairs: #1, 40(100%)
minecraft.picked_up.red_sandstone_stairs: #1, 14(100%)
minecraft.dropped.campfire: #2, 56(25%)
minecraft.mined.exposed_cut_copper: #2, 21(14%)
minecraft.used.mangrove_wood: #3, 1151(16%)
minecraft.dropped.netherite_pickaxe: #2, 17(8%)
minecraft.killed.pillager: #3, 340222(11%)
minecraft.picked_up.cooked_salmon: #2, 70(11%)
minecraft.used.oak_wood: #3, 775(15%)
minecraft.picked_up.bamboo_sign: #2, 7(32%)
minecraft.mined.waxed_exposed_cut_copper_stairs: #2, 29(19%)
minecraft.crafted.warped_sign: #3, 249(14%)
minecraft.mined.mud: #3, 12515(11%)
minecraft.used.warped_fence_gate: #2, 64(21%)
minecraft.picked_up.deepslate_coal_ore: #2, 23(14%)
minecraft.crafted.exposed_cut_copper_slab: #2, 36(26%)
minecraft.mined.bamboo_wall_sign: #2, 7(37%)
minecraft.picked_up.exposed_cut_copper: #2, 21(12%)
minecraft.mined.stripped_warped_hyphae: #2, 339(13%)
minecraft.dropped.red_concrete: #2, 75(20%)
minecraft.mined.mud_brick_slab: #2, 98(11%)
minecraft.crafted.gray_concrete: #2, 304(30%)
minecraft.dropped.crossbow: #3, 290(14%)
minecraft.mined.allium: #3, 88(13%)
minecraft.mined.smoker: #2, 16(18%)
minecraft.dropped.lily_pad: #2, 23(18%)
minecraft.crafted.bone_meal: #3, 306675(9%)
minecraft.used.detector_rail: #2, 69(11%)
minecraft.crafted.cut_red_sandstone: #2, 46(36%)
minecraft.crafted.orange_bed: #2, 6(22%)
minecraft.crafted.granite_stairs: #3, 48(23%)
minecraft.used.shield: #3, 569(12%)
minecraft.used.stripped_warped_hyphae: #2, 281(11%)
minecraft.dropped.player_head: #4, 1388(10%)
minecraft.crafted.iron_shovel: #3, 41(9%)
minecraft.dropped.acacia_button: #2, 6(25%)
minecraft.killed.frog: #2, 29(25%)
minecraft.crafted.ender_pearl: #2, 112(25%)
minecraft.picked_up.stripped_warped_hyphae: #2, 335(12%)
minecraft.dropped.sandstone: #3, 1101(12%)
minecraft.mined.gray_wall_banner: #2, 19(43%)
minecraft.used.fern: #3, 318(15%)
minecraft.dropped.bucket: #3, 102(11%)
minecraft.crafted.granite_wall: #2, 157(19%)
