stat, rank, value, (percentage) 
minecraft.used.pumpkin: #3, 3338(12%)
minecraft.mined.blue_concrete: #2, 324(13%)
minecraft.used.netherite_leggings: #2, 65(18%)
minecraft.used.activator_rail: #2, 374(19%)
minecraft.crafted.detector_rail: #2, 162(17%)
minecraft.custom.walk_one_cm: #4, 261514586(7%)
minecraft.used.pink_concrete_powder: #3, 1899(19%)
minecraft.used.mossy_cobblestone_slab: #3, 500(15%)
minecraft.used.blue_concrete_powder: #2, 322(13%)
minecraft.mined.blue_wool: #2, 177(16%)
minecraft.crafted.stick: #3, 31193(8%)
minecraft.dropped.soul_soil: #2, 429(13%)
minecraft.killed.zombie_villager: #3, 36(11%)
minecraft.crafted.mossy_cobblestone_stairs: #2, 64(17%)
minecraft.crafted.shears: #3, 1178(11%)
minecraft.crafted.birch_fence_gate: #3, 219(20%)
minecraft.mined.mossy_stone_brick_slab: #2, 16(16%)
minecraft.dropped.charcoal: #2, 89(14%)
minecraft.dropped.white_shulker_box: #2, 6(19%)
minecraft.used.mud: #3, 7724(13%)
minecraft.picked_up.quartz: #3, 11549(10%)
minecraft.killed.vindicator: #2, 310296(14%)
minecraft.picked_up.furnace_minecart: #2, 24(30%)
minecraft.mined.powder_snow: #2, 118(7%)
minecraft.picked_up.cut_sandstone_slab: #2, 319(34%)
minecraft.mined.green_bed: #3, 152(14%)
minecraft.mined.tube_coral_fan: #2, 58(14%)
minecraft.crafted.yellow_concrete_powder: #3, 3376(15%)
minecraft.dropped.oak_leaves: #3, 417(13%)
minecraft.used.composter: #3, 563(11%)
minecraft.used.cherry_planks: #2, 121(22%)
