stat, rank, value, (percentage) 
minecraft.mined.mangrove_slab: #2, 177(17%)
minecraft.custom.open_barrel: #2, 13410(8%)
minecraft.crafted.diamond_pickaxe: #2, 42(11%)
minecraft.killed_by.guardian: #1, 5(62%)
minecraft.picked_up.packed_ice: #2, 32856(12%)
minecraft.used.bamboo_slab: #1, 135(31%)
minecraft.picked_up.slime_ball: #2, 5096(14%)
minecraft.used.glass_bottle: #3, 1826(19%)
minecraft.picked_up.mangrove_roots: #2, 6364(16%)
minecraft.crafted.cooked_rabbit: #1, 33(49%)
minecraft.mined.cartography_table: #2, 30(19%)
minecraft.crafted.black_shulker_box: #2, 58(16%)
minecraft.crafted.brown_concrete: #1, 328(82%)
minecraft.crafted.blue_stained_glass: #2, 1280(20%)
minecraft.used.iron_pickaxe: #1, 7155(8%)
minecraft.mined.jungle_leaves: #2, 5068(16%)
minecraft.mined.pink_glazed_terracotta: #1, 71(61%)
minecraft.broken.wooden_shovel: #1, 76(80%)
minecraft.used.coal_ore: #2, 3052(12%)
minecraft.used.magenta_shulker_box: #2, 428(17%)
minecraft.used.raw_copper_block: #2, 370(22%)
minecraft.mined.cocoa: #3, 1120(17%)
minecraft.crafted.orange_shulker_box: #2, 30(16%)
minecraft.used.cut_copper: #2, 820(17%)
minecraft.used.chainmail_helmet: #1, 28(76%)
minecraft.mined.brown_mushroom: #2, 572(14%)
minecraft.picked_up.stone: #2, 294433(9%)
minecraft.used.purple_stained_glass: #2, 3174(20%)
minecraft.custom.aviate_one_cm: #3, 2147483647(9%)
minecraft.mined.cyan_stained_glass: #2, 126(24%)
minecraft.picked_up.fire_coral_block: #2, 990(24%)
minecraft.picked_up.soul_torch: #2, 322(18%)
minecraft.mined.fire_coral_block: #2, 1003(26%)
minecraft.picked_up.magma_cream: #3, 761(16%)
minecraft.mined.tripwire: #2, 294(12%)
minecraft.mined.mangrove_log: #2, 1664(15%)
minecraft.mined.yellow_wall_banner: #1, 17(35%)
minecraft.picked_up.gravel: #2, 45392(10%)
minecraft.crafted.lapis_block: #2, 1112(13%)
minecraft.picked_up.magenta_shulker_box: #2, 423(17%)
minecraft.used.dead_horn_coral_fan: #1, 3(50%)
minecraft.mined.end_stone_bricks: #2, 338(14%)
minecraft.killed.slime: #2, 3081(13%)
minecraft.picked_up.tadpole_bucket: #1, 17(25%)
minecraft.used.black_stained_glass: #2, 19425(14%)
minecraft.dropped.birch_planks: #2, 263(12%)
minecraft.picked_up.mossy_cobblestone_wall: #2, 48(27%)
minecraft.used.fire_coral_block: #2, 918(32%)
minecraft.used.spider_eye: #1, 25(32%)
minecraft.used.cookie: #2, 94(16%)
minecraft.dropped.redstone_block: #2, 286(12%)
minecraft.custom.sneak_time: #4, 9863343(7%)
minecraft.mined.dead_bush: #3, 706(15%)
minecraft.used.polished_andesite_slab: #3, 4178(16%)
minecraft.mined.magenta_shulker_box: #2, 422(17%)
minecraft.mined.green_glazed_terracotta: #2, 65(32%)
minecraft.picked_up.copper_ore: #2, 2833(10%)
minecraft.broken.wooden_hoe: #1, 4(44%)
minecraft.used.dead_fire_coral: #1, 8(89%)
minecraft.used.end_stone_bricks: #2, 410(17%)
minecraft.picked_up.cherry_sign: #1, 5(29%)
minecraft.broken.golden_hoe: #1, 4(29%)
minecraft.mined.lime_stained_glass: #2, 516(17%)
minecraft.used.cartography_table: #2, 37(17%)
minecraft.picked_up.blackstone: #3, 22299(13%)
minecraft.dropped.blue_orchid: #1, 127(55%)
minecraft.picked_up.wooden_pickaxe: #2, 7(12%)
minecraft.picked_up.prismarine_slab: #1, 78(54%)
minecraft.used.spyglass: #2, 710(11%)
minecraft.used.andesite: #3, 8584(12%)
minecraft.mined.pink_terracotta: #2, 210(22%)
minecraft.crafted.black_stained_glass: #2, 19256(13%)
minecraft.crafted.bamboo_raft: #2, 19(23%)
minecraft.mined.coal_ore: #2, 9777(8%)
minecraft.mined.dark_oak_stairs: #3, 290(12%)
minecraft.picked_up.smithing_table: #3, 133(15%)
minecraft.picked_up.scaffolding: #2, 22415(10%)
minecraft.picked_up.yellow_concrete_powder: #2, 1183(16%)
minecraft.broken.stone_hoe: #2, 6(23%)
minecraft.mined.prismarine_slab: #1, 80(51%)
minecraft.mined.coal_block: #2, 78(14%)
minecraft.picked_up.iron_shovel: #2, 18(10%)
minecraft.picked_up.cartography_table: #2, 34(13%)
minecraft.picked_up.end_stone_bricks: #2, 333(12%)
minecraft.used.redstone_ore: #2, 45(15%)
minecraft.killed_by.ender_dragon: #1, 3(14%)
minecraft.crafted.birch_button: #2, 124(15%)
minecraft.picked_up.stone_pickaxe: #2, 16(11%)
minecraft.killed.guardian: #2, 39(19%)
minecraft.picked_up.raw_iron: #3, 10747(10%)
minecraft.crafted.andesite: #2, 6410(24%)
minecraft.mined.black_shulker_box: #3, 602(12%)
minecraft.picked_up.black_shulker_box: #3, 608(12%)
minecraft.crafted.cut_copper_slab: #2, 128(17%)
minecraft.mined.black_concrete: #3, 9366(13%)
minecraft.crafted.mossy_cobblestone_wall: #2, 71(22%)
minecraft.dropped.quartz: #2, 1097(11%)
minecraft.mined.cherry_sign: #1, 2(67%)
minecraft.picked_up.prismarine_stairs: #1, 9(33%)
minecraft.picked_up.light_blue_concrete_powder: #2, 98(17%)
minecraft.used.black_shulker_box: #3, 630(12%)
minecraft.mined.cherry_wall_sign: #1, 3(43%)
minecraft.picked_up.wheat_seeds: #3, 26702(9%)
minecraft.mined.fern: #3, 1596(13%)
minecraft.mined.mossy_cobblestone_stairs: #2, 22(19%)
minecraft.mined.prismarine_stairs: #1, 10(31%)
minecraft.picked_up.axolotl_bucket: #3, 25(19%)
minecraft.killed.enderman: #3, 94764(10%)
minecraft.dropped.magenta_carpet: #1, 3(60%)
minecraft.mined.gravel: #3, 45417(10%)
minecraft.picked_up.redstone_ore: #2, 68(10%)
minecraft.picked_up.mangrove_slab: #3, 258(14%)
minecraft.mined.purple_stained_glass: #2, 242(13%)
minecraft.crafted.purple_stained_glass: #2, 3272(13%)
minecraft.picked_up.coal: #3, 15755(9%)
minecraft.killed.skeleton: #3, 8919(9%)
minecraft.used.bone_block: #3, 5738(11%)
minecraft.crafted.yellow_candle: #2, 868(29%)
minecraft.crafted.pink_shulker_box: #3, 27(14%)
minecraft.mined.birch_sign: #3, 45(12%)
minecraft.broken.chainmail_helmet: #1, 1(50%)
minecraft.dropped.dead_fire_coral_block: #1, 1(50%)
minecraft.crafted.small_dripleaf: #1, 10(25%)
minecraft.crafted.sea_pickle: #1, 5(20%)
minecraft.killed_by.dolphin: #1, 1(33%)
minecraft.crafted.gunpowder: #1, 8(33%)
minecraft.mined.bamboo: #3, 2846(11%)
minecraft.picked_up.ender_pearl: #3, 29654(8%)
minecraft.crafted.dark_oak_boat: #2, 41(11%)
minecraft.picked_up.cobbled_deepslate: #3, 86603(9%)
minecraft.picked_up.fire_coral_fan: #2, 255(12%)
minecraft.killed.pufferfish: #2, 43(15%)
minecraft.mined.prismarine_wall: #2, 8(24%)
minecraft.custom.enchant_item: #3, 222(10%)
minecraft.picked_up.oak_fence: #3, 225(10%)
minecraft.crafted.stone_pickaxe: #3, 20(10%)
minecraft.picked_up.horn_coral_fan: #2, 199(11%)
minecraft.used.cooked_mutton: #3, 106(14%)
minecraft.killed.squid: #3, 827(11%)
minecraft.mined.horn_coral_wall_fan: #2, 164(10%)
minecraft.used.lime_shulker_box: #3, 357(12%)
minecraft.picked_up.chainmail_chestplate: #2, 11(11%)
minecraft.dropped.axolotl_bucket: #2, 3(20%)
minecraft.mined.lime_shulker_box: #3, 343(12%)
minecraft.custom.interact_with_cartography_table: #2, 65(9%)
minecraft.dropped.sea_pickle: #2, 192(18%)
minecraft.killed.cave_spider: #4, 13724(16%)
minecraft.used.cooked_rabbit: #2, 33(29%)
minecraft.picked_up.lime_shulker_box: #3, 343(12%)
minecraft.mined.pink_concrete: #3, 1192(17%)
minecraft.picked_up.sea_pickle: #3, 973(11%)
minecraft.picked_up.dead_horn_coral_block: #2, 655(22%)
minecraft.picked_up.netherite_hoe: #3, 16(13%)
minecraft.picked_up.fire_coral: #2, 48(11%)
minecraft.mined.cherry_leaves: #3, 4384(14%)
minecraft.mined.fire_coral: #2, 52(11%)
minecraft.used.diamond_ore: #2, 18(12%)
minecraft.mined.dead_horn_coral_block: #2, 351(19%)
minecraft.used.polished_deepslate_wall: #3, 2065(12%)
minecraft.picked_up.mangrove_boat: #2, 10(19%)
minecraft.picked_up.golden_pickaxe: #2, 4(12%)
minecraft.custom.fall_one_cm: #4, 18122857(7%)
minecraft.crafted.netherite_ingot: #3, 289(13%)
minecraft.used.blue_dye: #2, 8(14%)
minecraft.picked_up.lapis_block: #2, 816(10%)
minecraft.used.melon_slice: #2, 79(18%)
minecraft.picked_up.spider_eye: #4, 9246(13%)
minecraft.mined.fire_coral_wall_fan: #2, 191(10%)
minecraft.used.green_candle: #2, 140(16%)
minecraft.picked_up.brain_coral_fan: #2, 171(8%)
minecraft.crafted.yellow_shulker_box: #3, 33(12%)
minecraft.mined.lily_of_the_valley: #3, 39(11%)
minecraft.mined.birch_fence: #3, 151(12%)
minecraft.mined.horn_coral_fan: #2, 39(10%)
minecraft.picked_up.purple_shulker_box: #3, 181(12%)
minecraft.mined.light_blue_concrete_powder: #2, 53(17%)
minecraft.mined.red_glazed_terracotta: #2, 29(15%)
minecraft.crafted.pink_wool: #3, 692(23%)
minecraft.dropped.flower_pot: #3, 65(20%)
minecraft.mined.brain_coral_wall_fan: #2, 148(8%)
minecraft.picked_up.dried_kelp_block: #2, 68(15%)
minecraft.used.mangrove_boat: #2, 9(19%)
minecraft.mined.dead_brain_coral: #2, 3(30%)
minecraft.used.stone_pickaxe: #3, 1258(9%)
minecraft.killed.magma_cube: #4, 1530(13%)
minecraft.picked_up.prismarine_wall: #2, 8(19%)
minecraft.picked_up.yellow_wool: #4, 1053(15%)
minecraft.dropped.oak_fence: #3, 41(15%)
minecraft.used.yellow_concrete_powder: #3, 2194(11%)
minecraft.mined.purple_shulker_box: #3, 181(12%)
minecraft.crafted.clay: #3, 2690(15%)
minecraft.broken.diamond_shovel: #2, 7(10%)
minecraft.picked_up.pufferfish: #3, 57(13%)
minecraft.mined.fire_coral_fan: #2, 38(9%)
minecraft.picked_up.dead_horn_coral_fan: #2, 4(24%)
minecraft.mined.jungle_planks: #2, 678(9%)
minecraft.picked_up.rabbit: #3, 36(13%)
minecraft.mined.dandelion: #3, 378(9%)
minecraft.custom.interact_with_beacon: #3, 99(9%)
minecraft.mined.lapis_block: #2, 801(14%)
minecraft.dropped.wither_rose: #3, 672(26%)
minecraft.mined.oxeye_daisy: #3, 28(11%)
minecraft.used.purple_shulker_box: #3, 185(12%)
minecraft.dropped.pearlescent_froglight: #2, 23(22%)
minecraft.crafted.fermented_spider_eye: #2, 116(7%)
minecraft.picked_up.dead_tube_coral: #2, 4(27%)
minecraft.mined.dead_tube_coral: #2, 4(27%)
minecraft.mined.dead_horn_coral_fan: #2, 2(22%)
minecraft.used.lapis_block: #2, 828(12%)
minecraft.mined.sea_pickle: #3, 115(10%)
minecraft.used.prismarine_slab: #2, 540(32%)
minecraft.mined.bone_block: #3, 686(8%)
minecraft.picked_up.carrot_on_a_stick: #3, 8(17%)
minecraft.used.string: #4, 3891(13%)
minecraft.custom.walk_one_cm: #5, 260043851(7%)
minecraft.mined.prismarine_bricks: #3, 752(9%)
minecraft.crafted.raw_iron: #4, 4950(13%)
minecraft.mined.black_concrete_powder: #2, 928(6%)
minecraft.picked_up.leather_leggings: #3, 40(9%)
minecraft.crafted.dried_kelp_block: #3, 1003(14%)
minecraft.mined.dark_oak_fence: #3, 201(9%)
minecraft.mined.crimson_slab: #3, 274(12%)
minecraft.used.mossy_cobblestone_wall: #3, 110(18%)
