stat, rank, value, (percentage) 
minecraft.used.air: #4, 108(3%)
minecraft.dropped.cherry_sapling: #4, 5(7%)
minecraft.picked_up.diorite_stairs: #4, 9(4%)
minecraft.dropped.bow: #5, 183(4%)
minecraft.used.green_candle: #4, 35(4%)
minecraft.crafted.music_disc_5: #4, 1(5%)
minecraft.mined.hanging_roots: #4, 143(3%)
minecraft.mined.pink_terracotta: #4, 30(3%)
minecraft.mined.red_concrete_powder: #4, 34(3%)
minecraft.dropped.kelp: #5, 578(5%)
minecraft.used.diorite_stairs: #5, 124(13%)
minecraft.picked_up.sea_lantern: #5, 417(5%)
minecraft.picked_up.echo_shard: #4, 5(3%)
minecraft.crafted.white_glazed_terracotta: #4, 64(3%)
minecraft.picked_up.target: #5, 44(6%)
minecraft.crafted.brick_stairs: #4, 12(2%)
minecraft.dropped.brush: #4, 1(4%)
minecraft.crafted.blue_stained_glass_pane: #4, 64(2%)
minecraft.crafted.smooth_sandstone_stairs: #4, 12(2%)
minecraft.crafted.deepslate_tiles: #5, 1076(5%)
minecraft.used.birch_stairs: #5, 137(7%)
minecraft.picked_up.black_banner: #5, 30(8%)
minecraft.picked_up.popped_chorus_fruit: #4, 22(5%)
minecraft.picked_up.cooked_salmon: #5, 43(7%)
minecraft.used.cyan_candle: #4, 13(2%)
minecraft.killed.skeleton: #5, 3353(3%)
minecraft.picked_up.pink_petals: #5, 484(6%)
minecraft.mined.soul_wall_torch: #4, 4(2%)
minecraft.mined.light_gray_glazed_terracotta: #4, 10(1%)
minecraft.used.golden_leggings: #4, 1(2%)
minecraft.mined.blue_carpet: #4, 3(1%)
minecraft.used.white_glazed_terracotta: #4, 30(1%)
minecraft.used.pink_concrete_powder: #5, 631(6%)
minecraft.dropped.pink_candle: #4, 2(2%)
minecraft.dropped.beetroot: #4, 1(1%)
minecraft.mined.white_glazed_terracotta: #4, 2(0%)
minecraft.picked_up.yellow_bed: #5, 40(5%)
minecraft.used.polished_diorite_slab: #5, 127(9%)
minecraft.used.candle: #5, 76(5%)
minecraft.picked_up.spruce_planks: #6, 2000(6%)
minecraft.used.cyan_carpet: #5, 170(5%)
minecraft.custom.interact_with_smoker: #5, 26(5%)
minecraft.crafted.pink_shulker_box: #5, 7(4%)
minecraft.crafted.birch_slab: #6, 618(7%)
minecraft.used.dark_oak_slab: #5, 1012(3%)
minecraft.picked_up.cooked_cod: #5, 26(4%)
minecraft.mined.dark_oak_planks: #6, 483(6%)
minecraft.crafted.netherite_axe: #5, 1(6%)
minecraft.mined.pitcher_plant: #5, 4(6%)
minecraft.custom.jump: #7, 476994(5%)
minecraft.killed_by.endermite: #5, 1(7%)
minecraft.dropped.cooked_salmon: #5, 15(6%)
minecraft.used.birch_slab: #5, 163(4%)
minecraft.picked_up.light_blue_stained_glass: #5, 78(5%)
minecraft.picked_up.bowl: #6, 33(9%)
minecraft.mined.spruce_log: #6, 12752(5%)
minecraft.used.beetroot_seeds: #5, 105(5%)
minecraft.mined.gray_bed: #5, 5(8%)
minecraft.mined.oak_wood: #5, 32(5%)
minecraft.mined.smooth_quartz: #6, 309(7%)
minecraft.used.pink_shulker_box: #6, 149(7%)
minecraft.dropped.golden_boots: #5, 16(3%)
minecraft.mined.pink_shulker_box: #6, 143(7%)
minecraft.dropped.deepslate_tile_wall: #5, 6(7%)
minecraft.picked_up.pink_shulker_box: #6, 144(7%)
minecraft.crafted.dark_oak_stairs: #6, 732(5%)
minecraft.mined.oak_sapling: #5, 28(2%)
minecraft.used.blue_wool: #5, 104(4%)
minecraft.crafted.cooked_cod: #5, 46(5%)
minecraft.custom.interact_with_campfire: #5, 19(5%)
minecraft.dropped.leather_chestplate: #5, 17(3%)
minecraft.picked_up.mossy_stone_bricks: #6, 126(6%)
minecraft.crafted.cyan_wool: #5, 128(5%)
minecraft.used.conduit: #5, 2(5%)
minecraft.mined.blue_stained_glass_pane: #5, 2(6%)
minecraft.killed_by.vindicator: #5, 1(7%)
minecraft.picked_up.smooth_quartz: #6, 525(6%)
minecraft.used.birch_leaves: #6, 1892(6%)
minecraft.mined.spruce_stairs: #6, 205(5%)
minecraft.used.cauldron: #5, 83(2%)
minecraft.dropped.cyan_bed: #5, 1(9%)
minecraft.mined.spruce_sapling: #6, 43(6%)
minecraft.used.sand: #6, 19356(5%)
minecraft.mined.spruce_door: #6, 16(6%)
minecraft.picked_up.spruce_sapling: #6, 1207(5%)
minecraft.mined.cherry_planks: #5, 10(7%)
minecraft.picked_up.music_disc_5: #5, 2(5%)
minecraft.mined.beetroots: #5, 51(3%)
minecraft.picked_up.cherry_leaves: #5, 530(2%)
minecraft.used.stone_axe: #6, 409(5%)
minecraft.dropped.black_banner: #5, 3(4%)
minecraft.picked_up.brown_glazed_terracotta: #5, 37(2%)
minecraft.mined.warped_hanging_sign: #5, 1(4%)
minecraft.used.oak_leaves: #5, 853(1%)
minecraft.picked_up.polished_diorite_slab: #5, 9(3%)
minecraft.mined.purple_terracotta: #5, 28(2%)
minecraft.used.soul_lantern: #6, 133(5%)
minecraft.crafted.birch_stairs: #6, 168(7%)
minecraft.used.suspicious_stew: #6, 12(6%)
minecraft.picked_up.warped_hanging_sign: #5, 1(3%)
minecraft.used.stone_brick_stairs: #6, 474(5%)
minecraft.dropped.wither_rose: #5, 64(3%)
minecraft.crafted.sponge: #5, 108(2%)
minecraft.picked_up.birch_button: #5, 7(1%)
minecraft.used.quartz_block: #5, 351(1%)
minecraft.used.dried_kelp_block: #5, 8(2%)
minecraft.dropped.warped_stairs: #5, 1(2%)
minecraft.dropped.trident: #6, 3(9%)
minecraft.dropped.quartz_block: #5, 64(1%)
minecraft.picked_up.birch_leaves: #6, 2346(4%)
minecraft.mined.birch_stairs: #6, 22(7%)
minecraft.picked_up.light_gray_glazed_terracotta: #5, 9(1%)
minecraft.crafted.cyan_carpet: #6, 168(5%)
minecraft.mined.dark_oak_sapling: #6, 18(6%)
minecraft.dropped.light_blue_carpet: #5, 2(1%)
minecraft.dropped.ink_sac: #5, 66(0%)
minecraft.used.warped_pressure_plate: #5, 3(0%)
minecraft.mined.raw_gold_block: #5, 7(0%)
minecraft.used.crimson_pressure_plate: #5, 4(0%)
minecraft.mined.yellow_bed: #6, 40(5%)
minecraft.mined.lime_carpet: #5, 24(0%)
minecraft.dropped.cooked_cod: #6, 10(6%)
minecraft.used.hanging_roots: #6, 48(7%)
minecraft.used.cobbled_deepslate_stairs: #6, 201(5%)
minecraft.picked_up.wet_sponge: #6, 979(5%)
minecraft.killed.elder_guardian: #6, 7(7%)
minecraft.mined.wet_sponge: #6, 973(6%)
minecraft.used.cartography_table: #6, 13(6%)
