stat, rank, value, (percentage) 
minecraft.picked_up.raw_gold: #23, 205(1%)
minecraft.used.spruce_boat: #23, 4(0%)
minecraft.dropped.carved_pumpkin: #23, 7(0%)
minecraft.custom.pot_flower: #23, 5(0%)
minecraft.custom.target_hit: #23, 8(0%)
minecraft.picked_up.diorite: #23, 501(0%)
minecraft.crafted.lantern: #23, 32(0%)
minecraft.dropped.totem_of_undying: #23, 2(0%)
minecraft.used.stone_stairs: #23, 24(0%)
minecraft.used.spruce_button: #23, 2(0%)
minecraft.mined.cobblestone_wall: #23, 3(0%)
minecraft.crafted.dark_oak_stairs: #23, 16(0%)
minecraft.mined.copper_block: #23, 5(0%)
minecraft.used.dark_oak_sign: #23, 2(0%)
minecraft.picked_up.soul_soil: #23, 29(0%)
minecraft.crafted.spruce_button: #23, 2(0%)
minecraft.picked_up.white_concrete: #23, 57(0%)
minecraft.mined.white_terracotta: #23, 19(0%)
minecraft.used.diamond_block: #23, 3(0%)
minecraft.mined.cobblestone_stairs: #23, 1(0%)
minecraft.picked_up.crossbow: #23, 1(0%)
minecraft.dropped.spruce_sapling: #23, 1(0%)
minecraft.picked_up.packed_ice: #23, 54(0%)
minecraft.mined.carved_pumpkin: #23, 4(0%)
minecraft.dropped.emerald: #23, 18(0%)
minecraft.picked_up.green_concrete: #23, 1(0%)
minecraft.picked_up.diamond_shovel: #24, 8(1%)
minecraft.killed_by.player: #24, 13(1%)
minecraft.dropped.written_book: #24, 1(1%)
minecraft.picked_up.pumpkin_pie: #24, 68(0%)
minecraft.used.tuff: #24, 220(0%)
minecraft.picked_up.spruce_planks: #24, 137(0%)
minecraft.picked_up.spruce_log: #24, 1020(0%)
minecraft.mined.spruce_log: #24, 760(0%)
minecraft.picked_up.spruce_boat: #24, 3(0%)
minecraft.mined.peony: #24, 1(0%)
minecraft.crafted.coarse_dirt: #24, 128(0%)
minecraft.killed.enderman: #24, 1984(0%)
minecraft.mined.birch_sign: #24, 1(0%)
minecraft.picked_up.raw_copper: #24, 523(0%)
minecraft.custom.interact_with_smithing_table: #24, 3(0%)
minecraft.mined.sweet_berry_bush: #24, 1(0%)
minecraft.picked_up.leather_leggings: #24, 1(0%)
minecraft.crafted.iron_nugget: #24, 621(0%)
minecraft.used.sweet_berries: #24, 30(0%)
minecraft.mined.spruce_fence: #24, 6(0%)
minecraft.picked_up.ender_pearl: #24, 413(0%)
minecraft.picked_up.leather_chestplate: #24, 1(0%)
minecraft.dropped.ender_pearl: #24, 359(0%)
minecraft.picked_up.leather: #24, 23(0%)
minecraft.picked_up.beef: #24, 17(0%)
minecraft.mined.soul_sand: #24, 51(0%)
minecraft.picked_up.iron_nugget: #24, 56(0%)
minecraft.picked_up.bundle: #24, 1(0%)
minecraft.picked_up.soul_sand: #24, 37(0%)
minecraft.picked_up.cobblestone_wall: #24, 2(0%)
minecraft.crafted.emerald: #24, 288(0%)
minecraft.picked_up.cobblestone_stairs: #24, 1(0%)
minecraft.picked_up.copper_block: #24, 5(0%)
minecraft.used.dark_oak_slab: #24, 10(0%)
minecraft.used.snow_block: #24, 38(0%)
minecraft.crafted.cyan_terracotta: #24, 16(0%)
minecraft.mined.lectern: #24, 1(0%)
minecraft.picked_up.peony: #24, 1(0%)
minecraft.picked_up.ice: #24, 14(0%)
minecraft.picked_up.clay: #24, 2(0%)
minecraft.dropped.paper: #24, 3(0%)
minecraft.killed.cave_spider: #24, 1(0%)
minecraft.mined.deepslate_gold_ore: #25, 97(1%)
minecraft.used.oak_fence: #25, 17(0%)
minecraft.killed_by.ravager: #25, 4(0%)
minecraft.picked_up.arrow: #25, 207(0%)
minecraft.mined.lantern: #25, 3(0%)
minecraft.dropped.water_bucket: #25, 1(0%)
minecraft.mined.dark_oak_stairs: #25, 4(0%)
minecraft.custom.tune_noteblock: #25, 48(0%)
minecraft.used.spruce_sapling: #25, 29(0%)
minecraft.used.cobblestone_wall: #25, 13(0%)
minecraft.used.dark_oak_stairs: #25, 17(0%)
minecraft.mined.copper_ore: #25, 73(0%)
minecraft.custom.interact_with_loom: #25, 1(0%)
minecraft.mined.oak_wall_sign: #25, 1(0%)
minecraft.dropped.dark_oak_planks: #25, 4(0%)
minecraft.used.cyan_shulker_box: #25, 8(0%)
minecraft.picked_up.spruce_fence: #25, 6(0%)
minecraft.picked_up.stone_slab: #25, 20(0%)
minecraft.dropped.firework_rocket: #25, 228(0%)
minecraft.mined.stone_slab: #25, 13(0%)
minecraft.picked_up.green_shulker_box: #25, 2(0%)
minecraft.used.green_shulker_box: #25, 2(0%)
minecraft.mined.green_shulker_box: #25, 2(0%)
minecraft.crafted.armor_stand: #25, 2(0%)
minecraft.mined.light_blue_shulker_box: #25, 9(0%)
minecraft.picked_up.light_blue_shulker_box: #25, 9(0%)
minecraft.picked_up.oak_leaves: #25, 56(0%)
minecraft.used.stone_slab: #25, 45(0%)
minecraft.mined.terracotta: #25, 68(0%)
minecraft.used.emerald_block: #25, 7(0%)
minecraft.used.shroomlight: #25, 1(0%)
minecraft.picked_up.copper_ore: #25, 7(0%)
minecraft.crafted.spruce_stairs: #25, 4(0%)
minecraft.mined.gold_ore: #25, 1(0%)
minecraft.crafted.light_blue_dye: #25, 2(0%)
minecraft.dropped.carrot: #25, 1(0%)
minecraft.mined.white_concrete: #25, 2(0%)
minecraft.picked_up.diamond_axe: #26, 8(1%)
minecraft.picked_up.diamond_pickaxe: #26, 9(0%)
minecraft.used.player_head: #26, 16(0%)
minecraft.killed.player: #26, 9(0%)
minecraft.custom.deaths: #26, 19(0%)
minecraft.mined.furnace: #26, 12(0%)
minecraft.picked_up.goat_horn: #26, 1(0%)
minecraft.picked_up.tuff: #26, 511(0%)
minecraft.picked_up.writable_book: #26, 1(0%)
minecraft.mined.tuff: #26, 443(0%)
minecraft.picked_up.red_shulker_box: #26, 28(0%)
minecraft.mined.red_shulker_box: #26, 25(0%)
minecraft.used.red_shulker_box: #26, 24(0%)
minecraft.mined.nether_quartz_ore: #26, 87(0%)
minecraft.used.spruce_planks: #26, 84(0%)
minecraft.picked_up.netherite_pickaxe: #26, 1(0%)
minecraft.used.gravel: #26, 36(0%)
minecraft.dropped.crafting_table: #26, 1(0%)
minecraft.picked_up.sweet_berries: #26, 31(0%)
minecraft.picked_up.cyan_shulker_box: #26, 7(0%)
minecraft.picked_up.totem_of_undying: #26, 2(0%)
minecraft.used.coarse_dirt: #26, 43(0%)
minecraft.used.diorite: #26, 18(0%)
minecraft.mined.end_rod: #26, 2(0%)
minecraft.crafted.dark_oak_trapdoor: #26, 14(0%)
minecraft.picked_up.ink_sac: #26, 33(0%)
minecraft.used.light_blue_shulker_box: #26, 9(0%)
minecraft.picked_up.leather_boots: #26, 1(0%)
minecraft.mined.oak_planks: #26, 8(0%)
minecraft.dropped.diorite: #26, 14(0%)
minecraft.used.cobblestone_slab: #26, 10(0%)
minecraft.mined.snow_block: #26, 45(0%)
minecraft.used.spruce_slab: #26, 17(0%)
minecraft.dropped.granite: #26, 9(0%)
minecraft.used.end_rod: #26, 2(0%)
minecraft.picked_up.sunflower: #26, 6(0%)
minecraft.dropped.iron_nugget: #26, 11(0%)
minecraft.custom.inspect_hopper: #26, 9(0%)
minecraft.used.spruce_stairs: #26, 4(0%)
minecraft.picked_up.bone_meal: #26, 55(0%)
minecraft.custom.talked_to_villager: #26, 13(0%)
minecraft.mined.cobblestone_slab: #26, 1(0%)
minecraft.picked_up.lectern: #26, 1(0%)
minecraft.picked_up.pumpkin_seeds: #26, 8(0%)
minecraft.mined.lime_terracotta: #26, 1(0%)
minecraft.dropped.string: #26, 4(0%)
minecraft.used.lime_terracotta: #26, 1(0%)
minecraft.dropped.diamond_pickaxe: #27, 3(1%)
minecraft.picked_up.diamond_sword: #27, 8(1%)
minecraft.crafted.diamond_sword: #27, 1(1%)
minecraft.crafted.diamond_axe: #27, 1(1%)
minecraft.picked_up.water_bucket: #27, 6(0%)
minecraft.mined.player_head: #27, 3(0%)
minecraft.used.coal_ore: #27, 64(0%)
minecraft.custom.interact_with_stonecutter: #27, 22(0%)
minecraft.picked_up.firework_rocket: #27, 780(0%)
minecraft.picked_up.quartz: #27, 201(0%)
minecraft.picked_up.player_head: #27, 39(0%)
minecraft.crafted.ender_chest: #27, 2(0%)
minecraft.mined.chest: #27, 20(0%)
minecraft.picked_up.spruce_sapling: #27, 31(0%)
minecraft.mined.lapis_ore: #27, 6(0%)
minecraft.picked_up.item_frame: #27, 7(0%)
minecraft.picked_up.chest: #27, 22(0%)
minecraft.killed.cow: #27, 7(0%)
minecraft.dropped.compass: #27, 3(0%)
minecraft.picked_up.dark_oak_fence: #27, 4(0%)
minecraft.crafted.stonecutter: #27, 1(0%)
minecraft.mined.dark_oak_slab: #27, 2(0%)
minecraft.custom.inspect_dropper: #27, 18(0%)
minecraft.used.birch_sign: #27, 3(0%)
minecraft.mined.cyan_shulker_box: #27, 4(0%)
minecraft.dropped.bow: #27, 2(0%)
minecraft.picked_up.snow_block: #27, 50(0%)
minecraft.dropped.diamond: #27, 4(0%)
minecraft.crafted.diamond: #27, 18(0%)
minecraft.crafted.diamond_block: #27, 3(0%)
minecraft.picked_up.stone: #27, 1214(0%)
minecraft.picked_up.end_rod: #27, 2(0%)
minecraft.custom.interact_with_blast_furnace: #27, 2(0%)
minecraft.crafted.stone_slab: #27, 18(0%)
minecraft.picked_up.dark_oak_slab: #27, 3(0%)
minecraft.used.shears: #27, 64(0%)
minecraft.picked_up.granite: #27, 56(0%)
minecraft.crafted.spruce_slab: #27, 18(0%)
minecraft.used.cyan_terracotta: #27, 17(0%)
minecraft.mined.granite: #27, 56(0%)
minecraft.mined.shroomlight: #27, 1(0%)
minecraft.mined.moss_block: #27, 23(0%)
minecraft.picked_up.snowball: #27, 80(0%)
minecraft.picked_up.pointed_dripstone: #27, 3(0%)
minecraft.picked_up.shroomlight: #27, 1(0%)
minecraft.picked_up.string: #27, 12(0%)
minecraft.picked_up.stripped_birch_log: #27, 1(0%)
minecraft.mined.stripped_birch_log: #27, 1(0%)
minecraft.crafted.stone_button: #27, 2(0%)
minecraft.crafted.smooth_stone: #27, 1(0%)
minecraft.used.pumpkin: #27, 1(0%)
minecraft.dropped.arrow: #27, 5(0%)
minecraft.mined.rail: #27, 1(0%)
minecraft.crafted.furnace: #28, 15(0%)
minecraft.used.furnace: #28, 15(0%)
minecraft.crafted.diamond_shovel: #28, 1(0%)
minecraft.custom.damage_taken: #28, 21258(0%)
minecraft.custom.enchant_item: #28, 4(0%)
minecraft.picked_up.lapis_lazuli: #28, 149(0%)
minecraft.crafted.dark_oak_planks: #28, 520(0%)
minecraft.used.diamond_axe: #28, 1215(0%)
minecraft.killed.spider: #28, 3(0%)
minecraft.mined.tall_grass: #28, 18(0%)
minecraft.picked_up.compass: #28, 4(0%)
minecraft.crafted.spruce_planks: #28, 584(0%)
minecraft.used.dirt: #28, 633(0%)
minecraft.crafted.oak_sign: #28, 3(0%)
minecraft.dropped.cobblestone: #28, 71(0%)
minecraft.mined.diorite: #28, 208(0%)
minecraft.mined.ender_chest: #28, 14(0%)
minecraft.mined.birch_log: #28, 77(0%)
minecraft.custom.damage_resisted: #28, 102(0%)
minecraft.dropped.player_head: #28, 6(0%)
minecraft.crafted.oak_fence: #28, 3(0%)
minecraft.picked_up.grass_block: #28, 325(0%)
minecraft.used.grass_block: #28, 233(0%)
