stat, rank, value, (percentage) 
minecraft.picked_up.light_gray_wool: #2, 2541(20%)
minecraft.dropped.horn_coral_block: #1, 64(93%)
minecraft.crafted.coarse_dirt: #2, 7756(17%)
minecraft.mined.end_stone_bricks: #1, 417(18%)
minecraft.used.pitcher_pod: #1, 78(31%)
minecraft.picked_up.pink_concrete_powder: #2, 2166(39%)
minecraft.picked_up.smooth_red_sandstone_slab: #1, 146(91%)
minecraft.mined.white_terracotta: #2, 4650(16%)
minecraft.used.mud_bricks: #2, 2197(21%)
minecraft.mined.pitcher_crop: #1, 64(30%)
minecraft.mined.player_wall_head: #2, 119(16%)
minecraft.used.pink_concrete: #2, 1651(38%)
minecraft.picked_up.pitcher_plant: #1, 76(27%)
minecraft.picked_up.birch_door: #1, 41(44%)
minecraft.mined.gray_stained_glass: #1, 152(22%)
minecraft.dropped.crimson_hyphae: #1, 111(44%)
minecraft.crafted.stonecutter: #2, 218(16%)
minecraft.dropped.red_sand: #1, 107(29%)
minecraft.picked_up.cyan_carpet: #2, 723(23%)
minecraft.picked_up.wooden_hoe: #1, 20(24%)
minecraft.used.acacia_fence: #1, 156(28%)
minecraft.picked_up.loom: #1, 50(15%)
minecraft.used.orange_dye: #2, 79(29%)
minecraft.picked_up.warped_slab: #2, 1044(24%)
minecraft.crafted.acacia_sign: #2, 222(29%)
minecraft.picked_up.wooden_axe: #2, 38(22%)
minecraft.mined.mangrove_door: #1, 16(30%)
minecraft.used.acacia_sign: #2, 193(27%)
minecraft.picked_up.hay_block: #2, 1055(18%)
minecraft.mined.lime_concrete: #2, 2877(23%)
minecraft.used.podzol: #2, 740(18%)
minecraft.used.light_gray_shulker_box: #2, 574(18%)
minecraft.used.string: #3, 6195(21%)
minecraft.picked_up.cobbled_deepslate_slab: #2, 1897(15%)
minecraft.used.birch_slab: #2, 969(22%)
minecraft.mined.light_gray_shulker_box: #2, 558(18%)
minecraft.used.orange_banner: #1, 23(52%)
minecraft.used.acacia_stairs: #1, 112(35%)
minecraft.used.brown_mushroom_block: #1, 872(16%)
minecraft.picked_up.small_dripleaf: #2, 127(34%)
minecraft.dropped.acacia_wood: #1, 62(39%)
minecraft.used.acacia_pressure_plate: #1, 11(44%)
minecraft.used.lime_concrete_powder: #2, 2836(19%)
minecraft.used.dead_brain_coral_block: #1, 649(51%)
minecraft.mined.green_terracotta: #2, 2444(18%)
minecraft.picked_up.light_blue_carpet: #2, 6258(37%)
minecraft.picked_up.light_gray_shulker_box: #2, 561(18%)
minecraft.picked_up.light_gray_concrete_powder: #2, 3918(21%)
minecraft.dropped.cut_sandstone_slab: #1, 40(61%)
minecraft.used.glow_berries: #2, 589(14%)
minecraft.used.blast_furnace: #2, 176(17%)
minecraft.used.daylight_detector: #2, 224(27%)
minecraft.picked_up.tube_coral_block: #2, 681(29%)
minecraft.mined.nether_sprouts: #2, 751(19%)
minecraft.mined.warped_wart_block: #2, 9055(18%)
minecraft.picked_up.yellow_concrete: #2, 1857(15%)
minecraft.crafted.orange_banner: #1, 31(49%)
minecraft.picked_up.smooth_quartz: #2, 1398(15%)
minecraft.picked_up.warped_wart_block: #2, 9169(16%)
minecraft.crafted.mangrove_door: #1, 18(19%)
minecraft.dropped.ender_pearl: #2, 37947(11%)
minecraft.picked_up.light_weighted_pressure_plate: #2, 2226(28%)
minecraft.mined.hay_block: #2, 583(18%)
minecraft.picked_up.stone_axe: #1, 11(13%)
minecraft.picked_up.music_disc_relic: #1, 9(36%)
minecraft.picked_up.acacia_slab: #2, 164(28%)
minecraft.mined.jungle_sign: #1, 10(36%)
minecraft.picked_up.brown_banner: #1, 22(41%)
minecraft.picked_up.dark_prismarine: #2, 748(16%)
minecraft.picked_up.ender_pearl: #2, 37930(10%)
minecraft.used.acacia_door: #1, 20(35%)
minecraft.crafted.muddy_mangrove_roots: #1, 272(28%)
minecraft.crafted.iron_door: #2, 99(16%)
minecraft.picked_up.cyan_shulker_box: #2, 853(11%)
minecraft.picked_up.honeycomb_block: #1, 909(35%)
minecraft.crafted.polished_blackstone_bricks: #2, 2084(25%)
minecraft.mined.acacia_fence: #1, 17(25%)
minecraft.picked_up.pink_banner: #1, 22(92%)
minecraft.picked_up.polished_andesite_stairs: #2, 384(14%)
minecraft.mined.magenta_stained_glass: #2, 100(20%)
minecraft.used.smooth_red_sandstone: #1, 1553(54%)
minecraft.mined.smooth_red_sandstone_slab: #1, 130(90%)
minecraft.crafted.green_shulker_box: #2, 45(16%)
minecraft.picked_up.dead_tube_coral: #1, 8(53%)
minecraft.mined.dead_tube_coral: #1, 8(53%)
minecraft.dropped.wooden_hoe: #1, 14(22%)
minecraft.picked_up.blue_banner: #1, 20(67%)
minecraft.used.cyan_shulker_box: #2, 1037(11%)
minecraft.picked_up.sculk: #2, 7532(18%)
minecraft.picked_up.light_blue_banner: #1, 32(52%)
minecraft.custom.player_kills: #2, 100(10%)
minecraft.mined.jungle_stairs: #1, 60(26%)
minecraft.picked_up.lime_wool: #2, 740(16%)
minecraft.picked_up.pink_stained_glass_pane: #1, 68(52%)
minecraft.picked_up.magenta_terracotta: #2, 620(30%)
minecraft.picked_up.orange_concrete: #2, 1893(16%)
minecraft.used.pearlescent_froglight: #2, 792(16%)
minecraft.used.gray_wool: #2, 2767(15%)
minecraft.used.jungle_door: #1, 22(25%)
minecraft.mined.stone_stairs: #2, 350(14%)
minecraft.broken.netherite_pickaxe: #1, 4(50%)
minecraft.crafted.mushroom_stew: #1, 61(36%)
minecraft.mined.cyan_shulker_box: #2, 847(12%)
minecraft.picked_up.purple_terracotta: #2, 821(23%)
minecraft.crafted.jungle_stairs: #2, 452(31%)
minecraft.mined.brain_coral_block: #2, 820(29%)
minecraft.picked_up.gray_stained_glass: #2, 291(18%)
minecraft.dropped.cooked_cod: #2, 34(19%)
minecraft.picked_up.light_blue_terracotta: #2, 1141(20%)
minecraft.used.music_disc_relic: #1, 6(60%)
minecraft.mined.gray_concrete: #2, 5467(13%)
minecraft.crafted.loom: #2, 335(18%)
minecraft.picked_up.light_gray_stained_glass_pane: #2, 182(17%)
minecraft.picked_up.cod: #2, 568(15%)
minecraft.mined.sweet_berry_bush: #2, 57(13%)
minecraft.dropped.amethyst_shard: #2, 1210(18%)
minecraft.picked_up.iron_nugget: #2, 7788(9%)
minecraft.used.magenta_concrete_powder: #2, 258(23%)
minecraft.used.lime_concrete: #2, 1947(22%)
