stat, rank, value, (percentage) 
minecraft.picked_up.deepslate_copper_ore: #2, 232(17%)
minecraft.dropped.copper_block: #1, 1240(35%)
minecraft.crafted.lime_stained_glass_pane: #2, 368(19%)
minecraft.dropped.spruce_hanging_sign: #1, 16(70%)
minecraft.mined.cherry_door: #1, 13(52%)
minecraft.crafted.crafting_table: #2, 248(8%)
minecraft.crafted.brown_stained_glass: #2, 1840(34%)
minecraft.dropped.crimson_fence_gate: #1, 13(68%)
minecraft.picked_up.blue_dye: #2, 300(22%)
minecraft.picked_up.shears: #3, 155(14%)
minecraft.mined.lime_wall_banner: #1, 34(68%)
minecraft.picked_up.birch_button: #2, 105(20%)
minecraft.picked_up.deepslate_tile_slab: #2, 533(13%)
minecraft.picked_up.lead: #2, 363(9%)
minecraft.dropped.mangrove_stairs: #1, 4(33%)
minecraft.dropped.green_glazed_terracotta: #1, 623(99%)
minecraft.mined.stripped_jungle_wood: #2, 106(20%)
minecraft.picked_up.decorated_pot: #2, 69(21%)
minecraft.picked_up.enchanted_book: #2, 194(11%)
minecraft.dropped.waxed_weathered_copper: #1, 71(65%)
minecraft.picked_up.cherry_door: #1, 12(39%)
minecraft.picked_up.red_dye: #2, 467(14%)
minecraft.picked_up.flowering_azalea_leaves: #3, 4045(14%)
minecraft.dropped.flowering_azalea_leaves: #2, 282(22%)
minecraft.mined.cherry_wood: #1, 112(93%)
minecraft.used.vine: #2, 148(17%)
minecraft.used.smooth_quartz_slab: #3, 2418(15%)
minecraft.dropped.yellow_wool: #2, 315(22%)
minecraft.picked_up.diorite_wall: #2, 252(20%)
minecraft.mined.lime_banner: #1, 13(93%)
minecraft.crafted.red_concrete_powder: #2, 4712(14%)
minecraft.crafted.waxed_weathered_cut_copper: #1, 164(31%)
minecraft.dropped.waxed_exposed_cut_copper: #1, 8(62%)
minecraft.picked_up.stone_slab: #2, 2070(10%)
minecraft.crafted.smooth_quartz_stairs: #2, 600(18%)
minecraft.used.item_frame: #2, 1031(9%)
minecraft.mined.orange_stained_glass_pane: #1, 26(20%)
minecraft.picked_up.jack_o_lantern: #3, 701(24%)
minecraft.used.diamond_ore: #1, 19(13%)
minecraft.used.brown_bed: #1, 40(59%)
minecraft.used.cherry_stairs: #1, 22(35%)
minecraft.dropped.warped_fence: #2, 12(34%)
minecraft.crafted.acacia_wood: #2, 1224(16%)
minecraft.picked_up.gold_ore: #2, 190(12%)
minecraft.crafted.light_blue_terracotta: #2, 2974(14%)
minecraft.used.acacia_wood: #2, 931(17%)
minecraft.crafted.item_frame: #2, 795(10%)
minecraft.dropped.waxed_oxidized_cut_copper: #1, 4(57%)
minecraft.dropped.torch: #3, 1373(11%)
minecraft.used.diamond_boots: #2, 22(12%)
minecraft.picked_up.apple: #3, 963(13%)
minecraft.crafted.diamond_shovel: #3, 38(12%)
minecraft.picked_up.melon_seeds: #2, 57(13%)
minecraft.killed.sniffer: #1, 5(83%)
minecraft.dropped.weathered_copper: #1, 3(33%)
minecraft.used.light_blue_wool: #3, 1916(16%)
minecraft.mined.birch_sapling: #2, 59(11%)
minecraft.picked_up.quartz_block: #3, 4302(15%)
minecraft.dropped.shulker_box: #2, 115(10%)
minecraft.picked_up.lime_dye: #2, 649(19%)
