stat, rank, value, (percentage) 
minecraft.used.light_weighted_pressure_plate: #6, 15(0%)
minecraft.used.dark_oak_log: #7, 1863(3%)
minecraft.dropped.polished_blackstone_brick_stairs: #6, 1(0%)
minecraft.picked_up.big_dripleaf: #7, 182(4%)
minecraft.picked_up.snowball: #7, 15496(3%)
minecraft.mined.pointed_dripstone: #7, 123(4%)
minecraft.picked_up.prismarine: #7, 453(4%)
minecraft.dropped.oak_fence: #7, 15(5%)
minecraft.picked_up.slime_ball: #7, 1330(4%)
minecraft.used.music_disc_otherside: #7, 7(4%)
minecraft.picked_up.oak_pressure_plate: #7, 3(5%)
minecraft.picked_up.tinted_glass: #7, 260(4%)
minecraft.dropped.terracotta: #7, 106(4%)
minecraft.used.mossy_cobblestone: #7, 612(3%)
minecraft.mined.amethyst_cluster: #7, 739(3%)
minecraft.used.rooted_dirt: #7, 310(4%)
minecraft.mined.clay: #7, 3443(3%)
minecraft.crafted.white_shulker_box: #7, 11(3%)
minecraft.killed_by.phantom: #7, 1(8%)
minecraft.picked_up.orange_concrete: #7, 396(3%)
minecraft.mined.infested_deepslate: #7, 14(4%)
minecraft.dropped.magma_block: #7, 34(3%)
minecraft.dropped.pumpkin_seeds: #7, 857(3%)
minecraft.dropped.rail: #7, 157(3%)
minecraft.mined.calcite: #8, 2716(6%)
minecraft.mined.orange_concrete: #7, 396(3%)
minecraft.dropped.grass: #7, 18(3%)
minecraft.mined.medium_amethyst_bud: #7, 60(3%)
minecraft.mined.yellow_bed: #7, 21(3%)
minecraft.dropped.dark_prismarine: #7, 25(4%)
minecraft.used.clay: #7, 662(2%)
minecraft.mined.yellow_wool: #7, 72(2%)
minecraft.used.green_concrete_powder: #7, 935(2%)
minecraft.dropped.gray_wool: #7, 64(3%)
minecraft.picked_up.brick_stairs: #7, 15(3%)
minecraft.used.rail: #8, 3559(5%)
minecraft.mined.smooth_basalt: #8, 1127(6%)
minecraft.dropped.big_dripleaf: #7, 11(2%)
minecraft.mined.oak_button: #7, 3(3%)
minecraft.crafted.apple: #7, 104(5%)
minecraft.dropped.cooked_chicken: #7, 9(2%)
minecraft.picked_up.oak_fence: #8, 104(5%)
minecraft.crafted.polished_andesite_stairs: #7, 38(2%)
minecraft.crafted.andesite_slab: #7, 150(2%)
minecraft.mined.carved_pumpkin: #7, 240(1%)
minecraft.crafted.cut_copper_slab: #7, 16(2%)
minecraft.crafted.iron_axe: #8, 13(4%)
minecraft.dropped.chiseled_sandstone: #7, 2(3%)
minecraft.used.lime_stained_glass_pane: #7, 40(2%)
minecraft.dropped.potato: #7, 42(1%)
minecraft.picked_up.small_amethyst_bud: #7, 96(1%)
minecraft.picked_up.nether_brick_stairs: #7, 3(2%)
minecraft.picked_up.cyan_wool: #7, 45(1%)
minecraft.used.fletching_table: #7, 5(2%)
minecraft.mined.lava_cauldron: #7, 1(2%)
minecraft.mined.bamboo_block: #7, 8(2%)
minecraft.crafted.wooden_shovel: #7, 32(1%)
minecraft.used.beetroot_seeds: #7, 30(1%)
minecraft.dropped.white_carpet: #7, 13(1%)
minecraft.dropped.birch_log: #8, 142(5%)
minecraft.picked_up.beetroot: #7, 29(1%)
minecraft.mined.cyan_concrete_powder: #7, 6(1%)
minecraft.dropped.cut_copper_stairs: #7, 1(2%)
minecraft.mined.polished_diorite_slab: #7, 2(1%)
minecraft.crafted.beacon: #7, 3(1%)
minecraft.mined.mossy_cobblestone_wall: #7, 1(1%)
minecraft.crafted.slime_block: #7, 288(1%)
minecraft.mined.exposed_cut_copper_slab: #7, 2(1%)
minecraft.used.chiseled_nether_bricks: #7, 1(1%)
minecraft.used.exposed_cut_copper_stairs: #7, 3(1%)
minecraft.used.exposed_cut_copper_slab: #7, 2(1%)
minecraft.picked_up.polished_diorite_slab: #7, 2(1%)
minecraft.dropped.orange_dye: #7, 1(1%)
minecraft.picked_up.exposed_cut_copper_slab: #7, 1(0%)
minecraft.mined.light_blue_concrete_powder: #7, 1(0%)
minecraft.picked_up.light_weighted_pressure_plate: #7, 13(0%)
minecraft.used.waxed_oxidized_cut_copper_stairs: #7, 7(0%)
minecraft.picked_up.lime_bed: #7, 1(0%)
minecraft.dropped.wither_skeleton_skull: #7, 1(0%)
minecraft.crafted.cherry_wood: #7, 3(0%)
minecraft.mined.lime_bed: #7, 1(0%)
minecraft.dropped.blaze_powder: #7, 2(0%)
minecraft.dropped.fire_charge: #7, 2(0%)
minecraft.dropped.cyan_concrete: #7, 1(0%)
minecraft.picked_up.dripstone_block: #8, 610(4%)
minecraft.used.diamond_ore: #8, 10(7%)
minecraft.mined.farmland: #8, 37(4%)
minecraft.crafted.raw_gold_block: #8, 123(4%)
minecraft.crafted.oak_button: #8, 26(4%)
minecraft.mined.black_wool: #8, 83(4%)
minecraft.used.oak_hanging_sign: #8, 6(7%)
minecraft.picked_up.cobweb: #8, 193(4%)
minecraft.mined.moss_block: #8, 3427(2%)
minecraft.used.oak_wood: #8, 191(4%)
minecraft.mined.snow: #8, 15362(2%)
minecraft.picked_up.stripped_dark_oak_log: #8, 194(2%)
