stat, rank, value, (percentage) 
minecraft.dropped.light_blue_wool: #1, 4359(82%)
minecraft.picked_up.totem_of_undying: #1, 445(20%)
minecraft.dropped.green_wool: #1, 4608(93%)
minecraft.picked_up.chest: #1, 4645(19%)
minecraft.dropped.stone_brick_slab: #1, 1893(43%)
minecraft.used.light_blue_bed: #1, 104(54%)
minecraft.crafted.red_concrete: #1, 1296(72%)
minecraft.crafted.end_stone_brick_stairs: #1, 384(71%)
minecraft.killed.pig: #1, 133(23%)
minecraft.crafted.spruce_boat: #1, 92(29%)
minecraft.dropped.warped_wart_block: #1, 3094(37%)
minecraft.used.stone_brick_stairs: #1, 2426(26%)
minecraft.dropped.light_blue_shulker_box: #1, 115(53%)
minecraft.picked_up.lily_pad: #1, 209(35%)
minecraft.used.golden_apple: #1, 84(31%)
minecraft.crafted.stripped_spruce_wood: #1, 726(52%)
minecraft.killed.hoglin: #1, 124(30%)
minecraft.picked_up.glowstone: #1, 3011(23%)
minecraft.mined.chorus_plant: #1, 205(39%)
minecraft.used.bow: #1, 12920(17%)
minecraft.used.brown_candle: #1, 428(88%)
minecraft.mined.purple_concrete: #1, 2914(36%)
minecraft.mined.cracked_polished_blackstone_bricks: #2, 12118(44%)
minecraft.picked_up.iron_axe: #1, 236(27%)
minecraft.used.amethyst_block: #1, 3964(27%)
minecraft.picked_up.light_blue_bed: #1, 93(75%)
minecraft.mined.allium: #1, 188(29%)
minecraft.picked_up.spruce_trapdoor: #2, 1972(22%)
minecraft.mined.chest: #1, 3155(16%)
minecraft.picked_up.spruce_stairs: #1, 1145(20%)
minecraft.used.firework_rocket: #1, 114467(13%)
minecraft.picked_up.red_dye: #1, 936(28%)
minecraft.mined.bell: #1, 107(37%)
minecraft.crafted.purple_stained_glass: #1, 9128(37%)
minecraft.picked_up.candle: #1, 255(31%)
minecraft.crafted.iron_axe: #1, 60(19%)
minecraft.picked_up.chorus_fruit: #2, 2316(21%)
minecraft.picked_up.deepslate_bricks: #1, 4393(20%)
minecraft.picked_up.white_wool: #1, 3862(19%)
minecraft.killed.husk: #1, 67(36%)
minecraft.picked_up.ghast_tear: #1, 136(23%)
minecraft.custom.interact_with_grindstone: #1, 278(20%)
minecraft.dropped.glow_berries: #1, 203(30%)
minecraft.dropped.netherite_sword: #1, 24(41%)
minecraft.mined.azure_bluet: #1, 174(20%)
minecraft.picked_up.netherite_block: #1, 335(63%)
minecraft.picked_up.iron_bars: #1, 1405(22%)
minecraft.crafted.black_banner: #1, 636(44%)
minecraft.mined.hay_block: #1, 843(26%)
minecraft.crafted.cyan_carpet: #1, 870(28%)
minecraft.mined.light_blue_bed: #1, 90(80%)
minecraft.used.purple_concrete_powder: #1, 2721(33%)
minecraft.picked_up.purple_stained_glass: #1, 962(35%)
minecraft.custom.damage_absorbed: #1, 5375(21%)
minecraft.crafted.red_stained_glass: #1, 6200(28%)
