stat, rank, value, (percentage) 
minecraft.used.medium_amethyst_bud: #13, 2(0%)
minecraft.used.birch_wood: #13, 6(0%)
minecraft.used.acacia_slab: #13, 3(0%)
minecraft.dropped.crimson_planks: #13, 1(0%)
minecraft.crafted.black_wool: #13, 32(0%)
minecraft.used.green_carpet: #13, 10(0%)
minecraft.picked_up.green_concrete_powder: #13, 14(0%)
minecraft.used.gray_stained_glass_pane: #13, 2(0%)
minecraft.dropped.brick: #13, 2(0%)
minecraft.dropped.green_dye: #13, 1(0%)
minecraft.crafted.mangrove_planks: #14, 788(3%)
minecraft.dropped.spruce_sign: #14, 7(2%)
minecraft.dropped.iron_pickaxe: #14, 2(2%)
minecraft.crafted.dark_oak_slab: #14, 754(1%)
minecraft.picked_up.sea_pickle: #14, 128(1%)
minecraft.crafted.netherite_pickaxe: #14, 1(2%)
minecraft.used.iron_shovel: #14, 1000(1%)
minecraft.used.grindstone: #14, 16(1%)
minecraft.crafted.spruce_fence_gate: #14, 35(1%)
minecraft.used.spore_blossom: #14, 5(1%)
minecraft.dropped.spruce_slab: #14, 27(1%)
minecraft.mined.dark_oak_sign: #14, 1(1%)
minecraft.picked_up.stripped_dark_oak_log: #14, 67(1%)
minecraft.mined.stripped_dark_oak_log: #14, 67(1%)
minecraft.picked_up.mangrove_slab: #14, 17(1%)
minecraft.used.loom: #14, 7(1%)
minecraft.crafted.cobblestone_stairs: #14, 20(1%)
minecraft.mined.candle: #14, 1(1%)
minecraft.killed.snow_golem: #14, 1(1%)
minecraft.used.snow: #14, 397(1%)
minecraft.mined.soul_lantern: #14, 4(1%)
minecraft.crafted.smooth_sandstone: #14, 64(1%)
minecraft.crafted.light_gray_wool: #14, 44(1%)
minecraft.used.dark_oak_wood: #14, 39(1%)
minecraft.used.birch_leaves: #14, 123(0%)
minecraft.used.cut_copper_stairs: #14, 27(0%)
minecraft.dropped.mud: #14, 5(0%)
minecraft.mined.lime_terracotta: #14, 25(0%)
minecraft.picked_up.charcoal: #14, 22(0%)
minecraft.used.mud_bricks: #14, 31(0%)
minecraft.mined.red_bed: #14, 4(0%)
minecraft.mined.light_gray_concrete: #14, 71(0%)
minecraft.picked_up.light_gray_concrete: #14, 71(0%)
minecraft.used.cyan_bed: #14, 2(0%)
minecraft.crafted.leather_chestplate: #14, 2(0%)
minecraft.mined.red_carpet: #14, 5(0%)
minecraft.mined.spruce_wood: #14, 4(0%)
minecraft.picked_up.gray_concrete_powder: #14, 11(0%)
minecraft.used.waxed_copper_block: #14, 2(0%)
minecraft.dropped.dark_oak_slab: #14, 2(0%)
minecraft.used.small_amethyst_bud: #14, 1(0%)
minecraft.picked_up.blue_concrete_powder: #15, 25(2%)
minecraft.dropped.diamond_helmet: #15, 2(2%)
minecraft.picked_up.snow: #15, 718(1%)
minecraft.broken.iron_shovel: #15, 4(1%)
minecraft.picked_up.dark_oak_sign: #15, 14(1%)
minecraft.picked_up.lantern: #15, 80(1%)
minecraft.mined.spore_blossom: #15, 6(1%)
minecraft.mined.flower_pot: #15, 3(1%)
minecraft.crafted.composter: #15, 54(1%)
minecraft.picked_up.trident: #15, 3(1%)
minecraft.picked_up.spore_blossom: #15, 6(1%)
minecraft.crafted.red_shulker_box: #15, 5(1%)
minecraft.used.stone_brick_wall: #15, 65(1%)
minecraft.mined.crimson_planks: #15, 20(1%)
minecraft.used.deepslate_lapis_ore: #15, 10(1%)
minecraft.crafted.spruce_button: #15, 14(1%)
minecraft.used.spruce_button: #15, 7(1%)
minecraft.dropped.oak_boat: #15, 1(1%)
minecraft.crafted.packed_mud: #15, 208(1%)
minecraft.dropped.flint_and_steel: #15, 1(1%)
minecraft.used.stone_button: #15, 92(0%)
minecraft.mined.snow_block: #15, 471(0%)
minecraft.crafted.soul_lantern: #15, 30(1%)
minecraft.mined.light_blue_shulker_box: #15, 69(0%)
minecraft.used.light_blue_shulker_box: #15, 66(0%)
minecraft.picked_up.mangrove_log: #15, 113(0%)
minecraft.crafted.crimson_trapdoor: #15, 20(0%)
minecraft.picked_up.green_terracotta: #15, 72(0%)
minecraft.picked_up.experience_bottle: #15, 14(0%)
minecraft.used.deepslate_iron_ore: #15, 11(0%)
minecraft.picked_up.mangrove_trapdoor: #15, 7(0%)
minecraft.crafted.cobbled_deepslate_stairs: #15, 8(0%)
minecraft.used.cyan_carpet: #15, 13(0%)
minecraft.crafted.polished_blackstone_slab: #15, 6(0%)
minecraft.picked_up.netherite_axe: #15, 1(0%)
minecraft.used.acacia_trapdoor: #15, 28(0%)
minecraft.used.ice: #15, 83(0%)
minecraft.picked_up.peony: #15, 22(0%)
minecraft.used.light_gray_concrete_powder: #15, 100(0%)
minecraft.crafted.acacia_trapdoor: #15, 26(0%)
minecraft.dropped.acacia_sapling: #15, 1(0%)
minecraft.crafted.red_banner: #15, 4(0%)
minecraft.mined.cyan_carpet: #15, 1(0%)
minecraft.dropped.light_gray_terracotta: #15, 2(0%)
minecraft.dropped.red_dye: #15, 1(0%)
minecraft.dropped.tnt: #15, 4(0%)
minecraft.used.orange_concrete_powder: #15, 1(0%)
minecraft.used.acacia_planks: #15, 1(0%)
minecraft.dropped.diamond_axe: #16, 4(2%)
minecraft.dropped.diamond_boots: #16, 4(2%)
minecraft.dropped.spruce_planks: #16, 75(2%)
minecraft.picked_up.pumpkin_pie: #16, 216(1%)
minecraft.custom.pot_flower: #16, 25(2%)
minecraft.used.flower_pot: #16, 33(2%)
minecraft.picked_up.wooden_pickaxe: #16, 1(2%)
minecraft.picked_up.black_shulker_box: #16, 63(1%)
minecraft.mined.black_shulker_box: #16, 61(1%)
minecraft.dropped.netherite_leggings: #16, 1(2%)
minecraft.used.black_shulker_box: #16, 62(1%)
minecraft.dropped.netherite_boots: #16, 1(1%)
minecraft.mined.red_wool: #16, 56(1%)
minecraft.crafted.polished_andesite: #16, 576(1%)
minecraft.crafted.polished_deepslate: #16, 928(1%)
minecraft.crafted.iron_trapdoor: #16, 55(1%)
minecraft.used.mangrove_slab: #16, 29(1%)
minecraft.crafted.mossy_cobblestone: #16, 220(1%)
minecraft.used.iron_door: #16, 4(1%)
minecraft.dropped.writable_book: #16, 1(1%)
minecraft.used.polished_deepslate_slab: #16, 216(1%)
minecraft.picked_up.light_blue_shulker_box: #16, 68(0%)
minecraft.mined.bamboo_sapling: #16, 1(1%)
minecraft.used.cobblestone_wall: #16, 37(0%)
minecraft.crafted.stone_brick_slab: #16, 120(0%)
minecraft.dropped.oak_leaves: #16, 13(0%)
minecraft.used.granite_slab: #16, 19(0%)
minecraft.picked_up.soul_lantern: #16, 4(0%)
minecraft.crafted.gray_stained_glass_pane: #16, 16(0%)
minecraft.crafted.mud_bricks: #16, 64(0%)
minecraft.picked_up.candle: #16, 3(0%)
minecraft.picked_up.glow_item_frame: #16, 5(0%)
minecraft.picked_up.netherite_helmet: #16, 1(0%)
minecraft.picked_up.netherite_sword: #16, 1(0%)
minecraft.dropped.birch_sign: #16, 2(0%)
minecraft.crafted.green_dye: #16, 64(0%)
minecraft.crafted.snow_block: #16, 324(0%)
minecraft.crafted.red_stained_glass: #16, 64(0%)
minecraft.picked_up.lime_terracotta: #16, 24(0%)
minecraft.crafted.leather_leggings: #16, 2(0%)
minecraft.used.netherite_boots: #16, 1(0%)
minecraft.mined.smooth_quartz_slab: #16, 4(0%)
minecraft.crafted.dark_oak_fence_gate: #16, 5(0%)
minecraft.crafted.stone_brick_wall: #16, 12(0%)
minecraft.crafted.stone_stairs: #16, 16(0%)
minecraft.used.andesite_wall: #16, 20(0%)
minecraft.used.light_gray_wool: #16, 29(0%)
minecraft.dropped.copper_ingot: #16, 1(0%)
minecraft.picked_up.light_gray_bed: #16, 1(0%)
minecraft.picked_up.brick_slab: #16, 1(0%)
minecraft.picked_up.cyan_carpet: #16, 1(0%)
minecraft.used.gray_stained_glass: #16, 7(0%)
minecraft.mined.light_gray_concrete_powder: #16, 1(0%)
minecraft.used.pink_concrete_powder: #16, 1(0%)
minecraft.picked_up.green_carpet: #16, 2(0%)
minecraft.dropped.grass_block: #17, 509(2%)
minecraft.used.snowball: #17, 105(1%)
minecraft.mined.terracotta: #17, 2348(1%)
