stat, rank, value, (percentage) 
minecraft.picked_up.prismarine_stairs: #3, 7(26%)
minecraft.custom.interact_with_furnace: #4, 2779(5%)
minecraft.used.cyan_stained_glass_pane: #3, 74(7%)
minecraft.broken.leather_helmet: #3, 1(25%)
minecraft.mined.white_wool: #4, 520(8%)
minecraft.crafted.oak_fence: #4, 396(7%)
minecraft.picked_up.magenta_stained_glass_pane: #3, 14(12%)
minecraft.dropped.mud: #4, 127(12%)
minecraft.crafted.birch_fence: #4, 474(9%)
minecraft.used.spruce_hanging_sign: #3, 7(12%)
minecraft.dropped.sculk_vein: #3, 42(10%)
minecraft.used.mossy_cobblestone_stairs: #3, 96(6%)
minecraft.mined.azure_bluet: #4, 58(7%)
minecraft.broken.iron_axe: #4, 9(9%)
minecraft.mined.prismarine_stairs: #3, 7(22%)
minecraft.dropped.stone_stairs: #3, 174(7%)
minecraft.mined.oxidized_cut_copper: #4, 49(11%)
minecraft.used.mossy_cobblestone_wall: #4, 94(15%)
minecraft.picked_up.saddle: #4, 29(6%)
minecraft.used.birch_button: #3, 46(5%)
minecraft.killed_by.evoker: #3, 1(10%)
minecraft.crafted.mossy_cobblestone: #4, 2393(8%)
minecraft.dropped.birch_button: #3, 10(9%)
minecraft.used.spruce_button: #4, 82(7%)
minecraft.mined.birch_wood: #3, 9(7%)
minecraft.dropped.polished_diorite_slab: #3, 5(19%)
minecraft.mined.gray_shulker_box: #4, 249(8%)
minecraft.used.chainmail_chestplate: #3, 1(12%)
minecraft.dropped.basalt: #4, 2006(7%)
minecraft.used.mangrove_sign: #4, 46(10%)
minecraft.picked_up.gray_shulker_box: #4, 250(7%)
minecraft.picked_up.lead: #5, 327(8%)
minecraft.used.gray_shulker_box: #4, 252(7%)
minecraft.dropped.stone: #5, 26641(9%)
minecraft.crafted.sentry_armor_trim_smithing_template: #3, 2(17%)
minecraft.used.chiseled_sandstone: #3, 24(5%)
minecraft.used.azalea_leaves: #4, 2539(6%)
minecraft.dropped.oak_trapdoor: #4, 29(11%)
minecraft.dropped.magenta_shulker_box: #3, 1(12%)
minecraft.mined.potted_bamboo: #3, 1(12%)
minecraft.custom.deaths: #5, 377(5%)
minecraft.crafted.oak_door: #4, 12(7%)
minecraft.mined.birch_leaves: #5, 7320(8%)
minecraft.mined.white_bed: #5, 204(9%)
minecraft.used.nether_brick_fence: #3, 161(6%)
minecraft.mined.spruce_sapling: #4, 47(6%)
minecraft.mined.jungle_wood: #3, 6(6%)
minecraft.picked_up.netherite_scrap: #3, 4(7%)
minecraft.broken.iron_shovel: #4, 18(6%)
minecraft.crafted.oxidized_cut_copper: #4, 252(10%)
minecraft.dropped.scaffolding: #4, 909(7%)
minecraft.dropped.acacia_stairs: #3, 2(13%)
minecraft.used.prismarine_stairs: #3, 39(13%)
minecraft.used.granite_wall: #3, 107(5%)
minecraft.used.lingering_potion: #3, 2(5%)
minecraft.used.oak_leaves: #3, 1465(2%)
minecraft.picked_up.iron_horse_armor: #4, 5(10%)
minecraft.dropped.waxed_weathered_copper: #3, 17(15%)
minecraft.crafted.candle: #3, 953(3%)
minecraft.crafted.nether_brick_fence: #3, 162(5%)
