stat, rank, value, (percentage) 
minecraft.crafted.polished_andesite: #21, 100(0%)
minecraft.picked_up.oak_stairs: #21, 5(0%)
minecraft.picked_up.coal_block: #21, 10(0%)
minecraft.crafted.raw_iron: #21, 54(0%)
minecraft.picked_up.spruce_fence_gate: #21, 2(0%)
minecraft.picked_up.bee_nest: #21, 1(0%)
minecraft.used.orange_shulker_box: #21, 5(0%)
minecraft.crafted.stone_shovel: #21, 1(0%)
minecraft.mined.bee_nest: #21, 1(0%)
minecraft.picked_up.smithing_table: #21, 1(0%)
minecraft.picked_up.orange_shulker_box: #21, 4(0%)
minecraft.used.jungle_log: #21, 8(0%)
minecraft.picked_up.glass_bottle: #21, 14(0%)
minecraft.picked_up.nether_gold_ore: #21, 4(0%)
minecraft.used.stone_brick_slab: #21, 18(0%)
minecraft.picked_up.slime_ball: #21, 27(0%)
minecraft.picked_up.charcoal: #21, 6(0%)
minecraft.custom.traded_with_villager: #21, 414(0%)
minecraft.dropped.leather_boots: #21, 1(0%)
minecraft.crafted.stone_brick_slab: #21, 16(0%)
minecraft.mined.warped_stem: #21, 16(0%)
minecraft.used.stripped_dark_oak_log: #21, 2(0%)
minecraft.killed.blaze: #21, 5(0%)
minecraft.picked_up.ochre_froglight: #21, 1(0%)
minecraft.picked_up.prismarine: #21, 1(0%)
minecraft.mined.raw_iron_block: #21, 1(0%)
minecraft.killed.cave_spider: #21, 5(0%)
minecraft.crafted.stick: #22, 6688(2%)
minecraft.used.crafting_table: #22, 132(2%)
minecraft.crafted.diamond_pickaxe: #22, 4(1%)
minecraft.mined.furnace: #22, 21(1%)
minecraft.dropped.iron_shovel: #22, 1(1%)
minecraft.crafted.stone_axe: #22, 1(1%)
minecraft.used.wooden_pickaxe: #22, 3(1%)
minecraft.crafted.ender_chest: #22, 5(0%)
minecraft.crafted.spruce_door: #22, 3(0%)
minecraft.mined.fire: #22, 80(0%)
minecraft.mined.calcite: #22, 191(0%)
minecraft.picked_up.calcite: #22, 189(0%)
minecraft.dropped.stick: #22, 245(0%)
minecraft.mined.spruce_door: #22, 1(0%)
minecraft.crafted.lantern: #22, 34(0%)
minecraft.picked_up.bucket: #22, 5(0%)
minecraft.crafted.coal: #22, 171(0%)
minecraft.picked_up.dark_oak_fence: #22, 11(0%)
minecraft.mined.nether_gold_ore: #22, 20(0%)
minecraft.used.ender_pearl: #22, 13(0%)
minecraft.mined.redstone_torch: #22, 6(0%)
minecraft.crafted.quartz_block: #22, 194(0%)
minecraft.picked_up.blaze_rod: #22, 8(0%)
minecraft.dropped.stone: #22, 387(0%)
minecraft.picked_up.comparator: #22, 6(0%)
minecraft.picked_up.emerald_block: #22, 43(0%)
minecraft.dropped.snowball: #22, 24(0%)
minecraft.crafted.brick: #22, 150(0%)
minecraft.mined.polished_deepslate: #22, 11(0%)
minecraft.picked_up.tropical_fish: #22, 7(0%)
minecraft.crafted.emerald: #22, 531(0%)
minecraft.dropped.deepslate: #22, 74(0%)
minecraft.used.diamond_block: #22, 4(0%)
minecraft.mined.snow_block: #22, 84(0%)
minecraft.picked_up.pearlescent_froglight: #22, 2(0%)
minecraft.picked_up.red_mushroom_block: #22, 42(0%)
minecraft.mined.orange_shulker_box: #22, 3(0%)
minecraft.used.smithing_table: #22, 2(0%)
minecraft.picked_up.crying_obsidian: #22, 4(0%)
minecraft.picked_up.black_stained_glass: #22, 3(0%)
minecraft.crafted.smithing_table: #22, 1(0%)
minecraft.crafted.raw_copper_block: #22, 5(0%)
minecraft.used.deepslate_iron_ore: #22, 1(0%)
minecraft.picked_up.gray_carpet: #22, 7(0%)
minecraft.used.terracotta: #22, 7(0%)
minecraft.picked_up.light_gray_terracotta: #22, 3(0%)
minecraft.picked_up.crimson_stem: #22, 6(0%)
minecraft.used.deepslate_tile_stairs: #22, 2(0%)
minecraft.mined.smooth_stone: #22, 1(0%)
minecraft.used.orange_terracotta: #22, 1(0%)
minecraft.picked_up.raw_iron_block: #22, 1(0%)
minecraft.crafted.glass_bottle: #22, 3(0%)
minecraft.picked_up.raw_iron: #23, 778(1%)
minecraft.picked_up.furnace: #23, 21(1%)
