stat, rank, value, (percentage) 
minecraft.mined.snow_block: #3, 16911(15%)
minecraft.mined.brown_terracotta: #2, 16726(16%)
minecraft.used.light_blue_candle: #1, 51(34%)
minecraft.used.deepslate_tile_wall: #2, 1910(18%)
minecraft.picked_up.granite_slab: #2, 367(22%)
minecraft.crafted.light_gray_concrete_powder: #2, 10752(20%)
minecraft.dropped.stripped_warped_hyphae: #1, 48(68%)
minecraft.crafted.orange_bed: #1, 9(33%)
minecraft.picked_up.gray_bed: #1, 22(29%)
minecraft.used.gray_bed: #1, 31(29%)
minecraft.dropped.chipped_anvil: #1, 6(38%)
minecraft.mined.light_blue_concrete: #2, 657(20%)
minecraft.picked_up.cut_copper_stairs: #2, 92(15%)
minecraft.mined.tripwire_hook: #2, 30(18%)
minecraft.crafted.spruce_fence: #2, 2859(13%)
minecraft.mined.lilac: #2, 78(14%)
minecraft.mined.bamboo_planks: #1, 10(21%)
minecraft.crafted.bricks: #2, 4448(16%)
minecraft.used.azalea: #2, 721(13%)
minecraft.crafted.snow: #2, 7617(20%)
minecraft.picked_up.snow_block: #3, 14510(15%)
minecraft.picked_up.dead_horn_coral_fan: #1, 7(41%)
minecraft.picked_up.spruce_fence: #2, 758(12%)
minecraft.used.iron_trapdoor: #2, 867(15%)
minecraft.picked_up.dark_oak_button: #2, 145(19%)
minecraft.used.acacia_sapling: #2, 2000(23%)
minecraft.picked_up.gray_concrete: #2, 4922(13%)
minecraft.crafted.orange_stained_glass_pane: #2, 464(26%)
minecraft.used.spruce_log: #2, 5153(12%)
minecraft.used.stripped_mangrove_wood: #1, 343(27%)
minecraft.mined.mushroom_stem: #3, 8135(17%)
minecraft.dropped.light_gray_concrete: #2, 640(34%)
minecraft.dropped.diamond_sword: #1, 14(7%)
minecraft.mined.orange_wool: #2, 348(17%)
minecraft.mined.blue_ice: #2, 1956(21%)
minecraft.mined.red_banner: #1, 7(47%)
minecraft.picked_up.spruce_stairs: #2, 646(11%)
minecraft.crafted.waxed_copper_block: #1, 756(33%)
minecraft.mined.potted_torchflower: #1, 10(77%)
minecraft.picked_up.birch_wood: #2, 103(21%)
minecraft.used.cyan_concrete_powder: #3, 5850(20%)
minecraft.picked_up.polished_diorite_slab: #2, 114(37%)
minecraft.dropped.apple: #2, 229(14%)
minecraft.crafted.ladder: #2, 1251(11%)
minecraft.picked_up.dead_brain_coral: #1, 4(44%)
minecraft.used.yellow_wool: #3, 2246(18%)
minecraft.used.white_concrete_powder: #2, 13318(14%)
minecraft.dropped.spruce_log: #2, 1098(12%)
minecraft.mined.red_concrete: #2, 3908(12%)
minecraft.picked_up.dark_oak_slab: #2, 1084(11%)
minecraft.used.poppy: #2, 74(12%)
minecraft.mined.dark_oak_sign: #2, 13(19%)
minecraft.picked_up.torchflower: #2, 85(24%)
minecraft.used.light_blue_concrete: #2, 514(19%)
minecraft.picked_up.mushroom_stem: #3, 8315(18%)
minecraft.mined.sea_pickle: #2, 154(13%)
minecraft.crafted.white_concrete_powder: #2, 13360(15%)
minecraft.used.spruce_fence: #2, 2208(10%)
minecraft.dropped.iron_door: #2, 20(22%)
minecraft.mined.dead_brain_coral: #1, 4(40%)
minecraft.dropped.pink_shulker_box: #1, 4(40%)
minecraft.mined.cut_copper_stairs: #2, 90(17%)
minecraft.used.iron_bars: #2, 2453(11%)
minecraft.dropped.acacia_pressure_plate: #1, 98(99%)
minecraft.mined.dark_oak_wall_sign: #2, 62(14%)
minecraft.crafted.stripped_spruce_wood: #2, 345(25%)
minecraft.picked_up.mangrove_fence: #2, 48(20%)
minecraft.mined.mangrove_fence: #2, 51(23%)
minecraft.dropped.snowball: #3, 3155(13%)
minecraft.mined.dark_oak_trapdoor: #2, 226(10%)
minecraft.dropped.spruce_sapling: #3, 538(16%)
minecraft.dropped.oak_hanging_sign: #1, 8(38%)
minecraft.dropped.pink_bed: #1, 5(62%)
minecraft.crafted.orange_concrete_powder: #2, 4000(22%)
minecraft.dropped.dark_oak_log: #2, 1021(12%)
minecraft.picked_up.stripped_spruce_log: #3, 1796(14%)
minecraft.crafted.magenta_carpet: #2, 318(31%)
minecraft.dropped.polished_granite_slab: #2, 95(25%)
minecraft.picked_up.dead_horn_coral: #1, 3(60%)
minecraft.mined.dead_horn_coral: #1, 3(60%)
minecraft.crafted.brick: #3, 19121(15%)
minecraft.picked_up.blue_stained_glass_pane: #2, 41(21%)
minecraft.picked_up.beef: #3, 2038(13%)
minecraft.mined.stripped_spruce_log: #3, 1721(14%)
minecraft.used.pink_wool: #2, 1627(17%)
minecraft.custom.pot_flower: #2, 156(10%)
minecraft.dropped.birch_wood: #2, 50(31%)
minecraft.mined.orange_wall_banner: #1, 7(88%)
minecraft.used.waxed_cut_copper_slab: #2, 252(34%)
minecraft.mined.brown_mushroom_block: #2, 5308(12%)
minecraft.killed.endermite: #2, 21(16%)
minecraft.used.granite: #3, 3078(12%)
minecraft.mined.dead_horn_coral_wall_fan: #1, 6(86%)
minecraft.dropped.diamond_axe: #2, 17(9%)
minecraft.crafted.torch: #2, 14240(8%)
minecraft.killed_by.hoglin: #1, 2(33%)
minecraft.mined.torchflower: #2, 60(20%)
minecraft.used.stripped_spruce_wood: #3, 680(21%)
minecraft.used.sea_pickle: #2, 307(12%)
minecraft.mined.waxed_cut_copper_stairs: #2, 40(29%)
minecraft.picked_up.acacia_pressure_plate: #1, 6(40%)
