stat, rank, value, (percentage) 
minecraft.killed.endermite: #1, 25(19%)
minecraft.picked_up.mushroom_stew: #1, 43(36%)
minecraft.crafted.raw_gold_block: #2, 594(21%)
minecraft.picked_up.firework_rocket: #2, 60323(10%)
minecraft.used.spruce_chest_boat: #1, 10(45%)
minecraft.dropped.yellow_stained_glass: #1, 256(45%)
minecraft.used.smooth_quartz_stairs: #2, 1571(16%)
minecraft.crafted.chiseled_quartz_block: #2, 293(34%)
minecraft.mined.green_glazed_terracotta: #1, 71(35%)
minecraft.crafted.white_stained_glass_pane: #2, 2026(21%)
minecraft.mined.cyan_concrete_powder: #2, 168(34%)
minecraft.crafted.arrow: #2, 3276(29%)
minecraft.crafted.blast_furnace: #2, 172(21%)
minecraft.crafted.white_concrete: #1, 736(44%)
minecraft.mined.fire: #2, 2745(12%)
minecraft.crafted.lime_dye: #2, 6886(18%)
minecraft.picked_up.purple_stained_glass: #2, 703(25%)
minecraft.crafted.emerald: #1, 64159(12%)
minecraft.crafted.furnace_minecart: #1, 17(22%)
minecraft.used.dark_prismarine_slab: #2, 1343(22%)
minecraft.crafted.barrel: #1, 815(11%)
minecraft.crafted.lectern: #1, 154(13%)
minecraft.used.gravel: #2, 4438(13%)
minecraft.mined.yellow_carpet: #2, 534(29%)
minecraft.crafted.pink_terracotta: #2, 2880(21%)
minecraft.crafted.netherite_helmet: #1, 10(27%)
minecraft.picked_up.raw_gold: #2, 4853(13%)
minecraft.crafted.spruce_boat: #2, 57(18%)
minecraft.mined.polished_blackstone_stairs: #2, 260(23%)
minecraft.picked_up.quartz_slab: #2, 635(19%)
minecraft.picked_up.wither_skeleton_skull: #2, 633(23%)
minecraft.crafted.coal_block: #2, 3926(15%)
minecraft.crafted.yellow_stained_glass: #2, 4520(23%)
minecraft.mined.waxed_cut_copper_stairs: #1, 44(32%)
minecraft.used.waxed_cut_copper_slab: #1, 263(36%)
minecraft.mined.wither_rose: #1, 1101(57%)
minecraft.picked_up.popped_chorus_fruit: #1, 342(71%)
minecraft.used.polished_blackstone_wall: #2, 3030(27%)
minecraft.dropped.slime_ball: #2, 2187(20%)
minecraft.used.black_carpet: #2, 32047(22%)
minecraft.used.deepslate_brick_wall: #2, 1686(19%)
minecraft.crafted.heavy_weighted_pressure_plate: #3, 1066(24%)
minecraft.used.oxidized_cut_copper_stairs: #2, 1004(19%)
minecraft.crafted.dark_prismarine: #1, 6656(28%)
minecraft.picked_up.stripped_warped_stem: #2, 2553(14%)
minecraft.dropped.chiseled_quartz_block: #1, 53(91%)
minecraft.used.bookshelf: #2, 2750(12%)
minecraft.picked_up.echo_shard: #2, 71(41%)
minecraft.used.ender_pearl: #3, 1106(13%)
minecraft.mined.waxed_cut_copper_slab: #2, 125(41%)
minecraft.picked_up.purple_concrete: #2, 1616(22%)
minecraft.mined.coal_ore: #1, 10184(8%)
minecraft.dropped.yellow_concrete_powder: #1, 65(45%)
minecraft.mined.verdant_froglight: #2, 401(19%)
minecraft.crafted.purple_concrete: #1, 808(89%)
