stat, rank, value, (percentage) 
minecraft.picked_up.obsidian: #4, 3971(8%)
minecraft.used.cut_sandstone: #3, 4166(8%)
minecraft.mined.tube_coral_fan: #3, 38(9%)
minecraft.killed_by.creeper: #4, 10(9%)
minecraft.crafted.white_concrete_powder: #4, 10216(12%)
minecraft.used.yellow_wool: #4, 1237(10%)
minecraft.used.pink_stained_glass_pane: #2, 40(6%)
minecraft.picked_up.prismarine_wall: #3, 7(16%)
minecraft.used.candle: #3, 115(7%)
minecraft.mined.horn_coral_fan: #3, 32(9%)
minecraft.used.mangrove_door: #3, 12(10%)
minecraft.picked_up.tadpole_bucket: #3, 11(16%)
minecraft.picked_up.polished_blackstone_brick_stairs: #3, 363(8%)
minecraft.crafted.cherry_stairs: #3, 32(16%)
minecraft.broken.iron_hoe: #2, 11(4%)
minecraft.killed.llama: #2, 1(12%)
minecraft.crafted.spruce_pressure_plate: #4, 69(11%)
minecraft.used.pink_glazed_terracotta: #2, 123(5%)
minecraft.picked_up.pink_petals: #3, 519(6%)
minecraft.crafted.polished_blackstone_brick_stairs: #3, 71(10%)
minecraft.picked_up.chicken: #3, 1859(4%)
minecraft.dropped.axolotl_bucket: #3, 2(13%)
minecraft.mined.spruce_wall_hanging_sign: #3, 2(20%)
minecraft.used.sniffer_egg: #3, 11(8%)
minecraft.crafted.melon: #3, 5206(17%)
minecraft.crafted.green_bed: #3, 4(8%)
minecraft.picked_up.oak_slab: #4, 230(8%)
minecraft.crafted.smooth_stone: #4, 1152(8%)
minecraft.used.stripped_cherry_wood: #2, 9(7%)
minecraft.dropped.cyan_shulker_box: #4, 8(9%)
minecraft.crafted.stripped_cherry_wood: #2, 9(5%)
minecraft.picked_up.wooden_shovel: #3, 13(8%)
minecraft.used.cyan_bed: #3, 46(7%)
minecraft.crafted.lime_dye: #4, 3506(9%)
minecraft.picked_up.friend_pottery_sherd: #3, 2(11%)
minecraft.killed.cod: #3, 61(6%)
minecraft.dropped.vine: #4, 60(15%)
minecraft.crafted.pink_glazed_terracotta: #3, 256(15%)
minecraft.used.sandstone_stairs: #4, 256(17%)
minecraft.used.stone_hoe: #4, 604(10%)
minecraft.used.spruce_trapdoor: #4, 1752(6%)
minecraft.picked_up.spider_eye: #5, 7628(10%)
minecraft.dropped.obsidian: #3, 391(5%)
minecraft.mined.bubble_coral_fan: #3, 35(7%)
minecraft.used.warped_fungus: #3, 349(5%)
