stat, rank, value, (percentage) 
minecraft.picked_up.melon_seeds: #7, 29(7%)
minecraft.dropped.lantern: #6, 40(2%)
minecraft.crafted.golden_apple: #6, 64(2%)
minecraft.crafted.purple_stained_glass_pane: #6, 128(3%)
minecraft.mined.mangrove_pressure_plate: #6, 1(5%)
minecraft.used.acacia_pressure_plate: #6, 1(4%)
minecraft.picked_up.dark_prismarine_slab: #6, 54(2%)
minecraft.mined.potted_flowering_azalea_bush: #6, 1(4%)
minecraft.dropped.mangrove_button: #6, 2(4%)
minecraft.mined.composter: #7, 87(5%)
minecraft.dropped.spore_blossom: #6, 1(3%)
minecraft.used.pumpkin_seeds: #6, 49(1%)
minecraft.mined.cut_copper_stairs: #7, 35(6%)
minecraft.used.stripped_crimson_stem: #7, 56(5%)
minecraft.picked_up.light_gray_carpet: #6, 85(0%)
minecraft.used.magenta_stained_glass: #6, 49(1%)
minecraft.crafted.sponge: #6, 40(1%)
minecraft.mined.birch_fence: #7, 63(5%)
minecraft.crafted.stripped_dark_oak_wood: #6, 9(1%)
minecraft.used.music_disc_far: #6, 1(1%)
minecraft.dropped.wither_skeleton_skull: #6, 4(1%)
minecraft.used.mossy_stone_brick_slab: #6, 11(1%)
minecraft.used.melon: #6, 19(0%)
minecraft.dropped.dark_oak_fence_gate: #6, 1(0%)
minecraft.crafted.cherry_planks: #7, 232(5%)
minecraft.picked_up.dark_prismarine: #7, 174(4%)
minecraft.broken.diamond_helmet: #7, 1(12%)
minecraft.picked_up.dark_oak_button: #7, 35(5%)
minecraft.picked_up.gray_stained_glass: #7, 64(4%)
minecraft.used.stone_hoe: #7, 221(4%)
minecraft.used.diamond_axe: #8, 60341(5%)
minecraft.picked_up.large_amethyst_bud: #7, 51(4%)
minecraft.dropped.apple: #7, 47(3%)
minecraft.crafted.emerald: #8, 35041(6%)
minecraft.picked_up.acacia_boat: #7, 6(4%)
minecraft.dropped.brown_mushroom: #7, 33(3%)
minecraft.used.dark_prismarine: #7, 354(3%)
minecraft.mined.pink_stained_glass: #7, 17(4%)
minecraft.picked_up.experience_bottle: #7, 76(2%)
minecraft.mined.cherry_leaves: #7, 851(3%)
minecraft.used.spruce_planks: #8, 3306(5%)
minecraft.picked_up.allium: #7, 76(2%)
minecraft.picked_up.purple_stained_glass: #7, 78(3%)
minecraft.picked_up.cut_copper_stairs: #8, 37(6%)
minecraft.mined.magenta_stained_glass: #7, 11(2%)
minecraft.crafted.experience_bottle: #7, 2012(3%)
minecraft.mined.azalea: #8, 191(4%)
minecraft.crafted.stone_shovel: #7, 12(1%)
minecraft.picked_up.mangrove_button: #7, 2(4%)
minecraft.mined.sandstone_slab: #7, 33(3%)
minecraft.used.oak_sapling: #7, 424(1%)
minecraft.used.magenta_wool: #7, 101(2%)
minecraft.used.purple_stained_glass_pane: #7, 120(3%)
minecraft.dropped.yellow_wool: #7, 34(2%)
minecraft.dropped.red_mushroom_block: #7, 64(3%)
