stat, rank, value, (percentage) 
minecraft.custom.open_barrel: #24, 1086(1%)
minecraft.used.diamond_pickaxe: #24, 54856(1%)
minecraft.mined.powder_snow: #24, 15(1%)
minecraft.picked_up.water_bucket: #24, 9(1%)
minecraft.picked_up.item_frame: #24, 45(1%)
minecraft.dropped.stone_pickaxe: #24, 1(1%)
minecraft.picked_up.raw_iron: #24, 635(1%)
minecraft.picked_up.lapis_lazuli: #24, 510(1%)
minecraft.custom.inspect_hopper: #24, 243(0%)
minecraft.used.writable_book: #24, 33(0%)
minecraft.mined.stone: #24, 22538(0%)
minecraft.used.barrel: #24, 44(1%)
minecraft.picked_up.stone: #24, 12133(0%)
minecraft.picked_up.coal_ore: #24, 222(0%)
minecraft.crafted.oak_slab: #24, 126(0%)
minecraft.picked_up.oak_trapdoor: #24, 7(0%)
minecraft.mined.oak_slab: #24, 8(0%)
minecraft.picked_up.oak_fence: #24, 8(0%)
minecraft.mined.sunflower: #24, 2(0%)
minecraft.custom.interact_with_stonecutter: #24, 32(0%)
minecraft.picked_up.compass: #24, 10(0%)
minecraft.picked_up.player_head: #24, 61(0%)
minecraft.picked_up.shears: #24, 3(0%)
minecraft.used.oak_boat: #24, 3(0%)
minecraft.used.shulker_box: #24, 166(0%)
minecraft.used.hopper: #24, 93(0%)
minecraft.custom.inspect_dropper: #24, 72(0%)
minecraft.picked_up.shulker_box: #24, 160(0%)
minecraft.used.black_shulker_box: #24, 13(0%)
minecraft.used.netherrack: #24, 410(0%)
minecraft.mined.andesite: #24, 663(0%)
minecraft.mined.shulker_box: #24, 151(0%)
minecraft.picked_up.white_wool: #24, 40(0%)
minecraft.crafted.jukebox: #24, 1(0%)
minecraft.crafted.bow: #24, 9(0%)
minecraft.picked_up.oak_boat: #24, 2(0%)
minecraft.mined.birch_wall_sign: #24, 2(0%)
minecraft.mined.spruce_wall_sign: #24, 1(0%)
minecraft.used.cooked_porkchop: #24, 48(0%)
minecraft.picked_up.jukebox: #24, 1(0%)
minecraft.mined.cyan_terracotta: #24, 22(0%)
minecraft.mined.jukebox: #24, 1(0%)
minecraft.mined.cave_vines_plant: #24, 3(0%)
minecraft.picked_up.deepslate_diamond_ore: #24, 32(0%)
minecraft.used.cooked_beef: #24, 14(0%)
minecraft.mined.spruce_sapling: #24, 1(0%)
minecraft.picked_up.ink_sac: #24, 55(0%)
minecraft.dropped.flowering_azalea: #24, 1(0%)
minecraft.used.iron_ore: #24, 10(0%)
minecraft.dropped.firework_rocket: #24, 229(0%)
minecraft.crafted.smooth_stone: #24, 12(0%)
minecraft.mined.gold_ore: #24, 5(0%)
minecraft.picked_up.string: #24, 59(0%)
minecraft.crafted.stone_button: #24, 19(0%)
minecraft.mined.smooth_stone_slab: #24, 2(0%)
minecraft.dropped.leather_boots: #24, 1(0%)
minecraft.picked_up.stone_brick_stairs: #24, 2(0%)
minecraft.dropped.bone: #24, 12(0%)
minecraft.mined.redstone_block: #24, 5(0%)
minecraft.picked_up.warped_planks: #24, 3(0%)
minecraft.picked_up.gray_concrete: #24, 7(0%)
minecraft.picked_up.light_gray_wool: #24, 2(0%)
minecraft.dropped.basalt: #24, 3(0%)
minecraft.mined.nether_wart: #24, 1(0%)
minecraft.used.nether_wart: #24, 1(0%)
minecraft.picked_up.gray_carpet: #24, 2(0%)
minecraft.dropped.spider_eye: #24, 5(0%)
minecraft.used.mud: #24, 1(0%)
minecraft.crafted.wooden_pickaxe: #25, 1(2%)
minecraft.custom.sneak_time: #25, 665120(0%)
minecraft.mined.iron_ore: #25, 535(1%)
minecraft.custom.aviate_one_cm: #25, 137720943(1%)
minecraft.custom.open_shulker_box: #25, 5358(0%)
minecraft.used.firework_rocket: #25, 4334(0%)
minecraft.custom.open_enderchest: #25, 502(0%)
minecraft.crafted.furnace: #25, 23(1%)
minecraft.crafted.iron_ingot: #25, 3213(1%)
minecraft.custom.damage_taken: #25, 43059(0%)
minecraft.custom.crouch_one_cm: #25, 2162840(0%)
minecraft.used.wooden_pickaxe: #25, 3(1%)
minecraft.mined.deepslate_iron_ore: #25, 82(0%)
minecraft.picked_up.oak_slab: #25, 8(0%)
minecraft.picked_up.phantom_membrane: #25, 3(0%)
minecraft.mined.obsidian: #25, 105(0%)
minecraft.picked_up.iron_ore: #25, 42(0%)
minecraft.picked_up.dark_oak_sign: #25, 2(0%)
minecraft.crafted.barrel: #25, 13(0%)
minecraft.dropped.shulker_box: #25, 2(0%)
minecraft.mined.dispenser: #25, 3(0%)
minecraft.mined.spruce_leaves: #25, 165(0%)
minecraft.crafted.observer: #25, 40(0%)
minecraft.picked_up.hopper: #25, 18(0%)
minecraft.crafted.piston: #25, 42(0%)
minecraft.picked_up.ender_pearl: #25, 350(0%)
minecraft.custom.damage_dealt: #25, 61316(0%)
minecraft.mined.hopper: #25, 10(0%)
minecraft.crafted.campfire: #25, 3(0%)
minecraft.dropped.shears: #25, 1(0%)
minecraft.dropped.gravel: #25, 49(0%)
minecraft.used.deepslate: #25, 119(0%)
minecraft.mined.magma_block: #25, 30(0%)
minecraft.used.end_rod: #25, 4(0%)
minecraft.picked_up.comparator: #25, 3(0%)
minecraft.dropped.andesite: #25, 11(0%)
minecraft.mined.soul_sand: #25, 23(0%)
minecraft.crafted.gray_dye: #25, 16(0%)
minecraft.picked_up.smooth_basalt: #25, 11(0%)
minecraft.picked_up.soul_sand: #25, 24(0%)
minecraft.picked_up.cobblestone_slab: #25, 6(0%)
minecraft.dropped.sand: #25, 14(0%)
minecraft.used.stone_button: #25, 7(0%)
minecraft.killed.squid: #25, 3(0%)
minecraft.used.obsidian: #25, 16(0%)
minecraft.picked_up.basalt: #25, 80(0%)
minecraft.used.stone_stairs: #25, 5(0%)
minecraft.crafted.smithing_table: #25, 1(0%)
minecraft.picked_up.polished_andesite_slab: #25, 2(0%)
minecraft.killed.chicken: #25, 6(0%)
minecraft.used.redstone_block: #25, 6(0%)
minecraft.mined.cobblestone_slab: #25, 2(0%)
minecraft.mined.smooth_basalt: #25, 5(0%)
minecraft.picked_up.spruce_leaves: #25, 16(0%)
minecraft.mined.basalt: #25, 60(0%)
minecraft.picked_up.chicken: #25, 8(0%)
minecraft.picked_up.gray_wool: #25, 2(0%)
minecraft.mined.dripstone_block: #25, 2(0%)
minecraft.picked_up.mud: #25, 11(0%)
minecraft.crafted.comparator: #25, 1(0%)
minecraft.mined.fern: #25, 1(0%)
minecraft.crafted.yellow_dye: #25, 2(0%)
minecraft.picked_up.glow_lichen: #25, 1(0%)
minecraft.mined.gray_concrete: #25, 1(0%)
minecraft.killed.drowned: #25, 10(0%)
minecraft.custom.leave_game: #26, 387(1%)
minecraft.mined.deepslate_lapis_ore: #26, 30(0%)
minecraft.crafted.iron_sword: #26, 1(0%)
minecraft.picked_up.oak_sign: #26, 8(0%)
minecraft.dropped.wheat_seeds: #26, 159(0%)
minecraft.picked_up.obsidian: #26, 111(0%)
minecraft.used.redstone: #26, 190(0%)
minecraft.picked_up.golden_helmet: #26, 1(0%)
minecraft.used.lever: #26, 11(0%)
minecraft.dropped.compass: #26, 5(0%)
minecraft.crafted.redstone: #26, 568(0%)
minecraft.used.ender_chest: #26, 24(0%)
minecraft.mined.lever: #26, 2(0%)
minecraft.dropped.diamond: #26, 9(0%)
minecraft.mined.sticky_piston: #26, 5(0%)
minecraft.mined.copper_ore: #26, 66(0%)
minecraft.used.jukebox: #26, 1(0%)
minecraft.used.granite: #26, 24(0%)
minecraft.used.cyan_shulker_box: #26, 8(0%)
minecraft.picked_up.leather: #26, 20(0%)
minecraft.dropped.grass_block: #26, 25(0%)
minecraft.mined.comparator: #26, 2(0%)
minecraft.picked_up.dispenser: #26, 3(0%)
minecraft.picked_up.magma_block: #26, 23(0%)
minecraft.crafted.item_frame: #26, 4(0%)
minecraft.used.stone_slab: #26, 35(0%)
minecraft.crafted.copper_ingot: #26, 36(0%)
minecraft.mined.netherrack: #26, 681(0%)
minecraft.dropped.potion: #26, 1(0%)
minecraft.mined.glowstone: #26, 3(0%)
minecraft.mined.white_shulker_box: #26, 2(0%)
minecraft.mined.white_terracotta: #26, 9(0%)
minecraft.mined.deepslate_bricks: #26, 4(0%)
minecraft.mined.copper_block: #26, 1(0%)
minecraft.used.deepslate_bricks: #26, 19(0%)
minecraft.mined.warped_roots: #26, 1(0%)
minecraft.mined.mossy_cobblestone: #26, 1(0%)
minecraft.dropped.deepslate: #26, 8(0%)
minecraft.used.glow_lichen: #26, 4(0%)
minecraft.mined.mud: #26, 11(0%)
minecraft.killed.pillager: #26, 1(0%)
minecraft.mined.coal_ore: #27, 939(1%)
minecraft.picked_up.coal: #27, 946(1%)
minecraft.dropped.written_book: #27, 1(1%)
minecraft.used.player_head: #27, 15(0%)
minecraft.custom.drop: #27, 923(0%)
minecraft.picked_up.saddle: #27, 1(0%)
minecraft.picked_up.spruce_door: #27, 1(0%)
minecraft.used.diamond_sword: #27, 1032(0%)
minecraft.used.spruce_sign: #27, 3(0%)
minecraft.dropped.cobblestone: #27, 74(0%)
minecraft.mined.ender_chest: #27, 17(0%)
minecraft.custom.minecart_one_cm: #27, 60368(0%)
minecraft.picked_up.sticky_piston: #27, 5(0%)
minecraft.used.campfire: #27, 3(0%)
minecraft.killed.enderman: #27, 611(0%)
minecraft.picked_up.netherrack: #27, 625(0%)
minecraft.picked_up.green_shulker_box: #27, 2(0%)
minecraft.mined.green_shulker_box: #27, 2(0%)
minecraft.picked_up.iron_nugget: #27, 38(0%)
minecraft.picked_up.enchanted_book: #27, 1(0%)
minecraft.mined.polished_andesite_stairs: #27, 1(0%)
minecraft.used.written_book: #27, 11(0%)
minecraft.picked_up.polished_andesite_stairs: #27, 1(0%)
minecraft.crafted.quartz_block: #27, 36(0%)
minecraft.dropped.stone: #27, 90(0%)
minecraft.picked_up.redstone_block: #27, 7(0%)
minecraft.crafted.repeater: #27, 5(0%)
minecraft.crafted.redstone_torch: #27, 22(0%)
minecraft.dropped.moss_block: #27, 2(0%)
minecraft.picked_up.white_shulker_box: #27, 1(0%)
minecraft.used.white_shulker_box: #27, 1(0%)
minecraft.mined.lime_terracotta: #27, 1(0%)
minecraft.picked_up.copper_block: #27, 1(0%)
minecraft.dropped.egg: #27, 1(0%)
minecraft.used.polished_andesite_stairs: #27, 1(0%)
minecraft.crafted.paper: #27, 18(0%)
minecraft.used.lime_terracotta: #27, 1(0%)
minecraft.picked_up.diamond_boots: #28, 6(1%)
minecraft.picked_up.diamond_leggings: #28, 5(0%)
minecraft.picked_up.diamond_pickaxe: #28, 8(0%)
minecraft.picked_up.redstone: #28, 659(0%)
minecraft.crafted.iron_boots: #28, 1(0%)
minecraft.killed.player: #28, 5(0%)
minecraft.picked_up.carved_pumpkin: #28, 37(0%)
minecraft.used.coal_ore: #28, 49(0%)
minecraft.mined.nether_quartz_ore: #28, 76(0%)
minecraft.picked_up.ender_chest: #28, 16(0%)
minecraft.picked_up.beef: #28, 15(0%)
minecraft.picked_up.sweet_berries: #28, 23(0%)
minecraft.picked_up.raw_copper: #28, 172(0%)
minecraft.picked_up.lever: #28, 3(0%)
minecraft.dropped.cobbled_deepslate: #28, 22(0%)
minecraft.mined.end_rod: #28, 1(0%)
minecraft.used.green_shulker_box: #28, 1(0%)
minecraft.dropped.oak_planks: #28, 1(0%)
minecraft.picked_up.end_rod: #28, 1(0%)
minecraft.picked_up.deepslate_bricks: #28, 4(0%)
minecraft.mined.carved_pumpkin: #28, 2(0%)
minecraft.picked_up.sunflower: #28, 2(0%)
minecraft.dropped.gunpowder: #28, 3(0%)
minecraft.dropped.string: #28, 4(0%)
minecraft.mined.calcite: #28, 2(0%)
minecraft.crafted.redstone_block: #28, 2(0%)
minecraft.used.copper_block: #28, 1(0%)
minecraft.dropped.netherrack: #28, 1(0%)
minecraft.custom.fly_one_cm: #29, 29873770(1%)
minecraft.picked_up.diamond_shovel: #29, 6(1%)
minecraft.picked_up.diamond_sword: #29, 6(0%)
minecraft.picked_up.diamond_helmet: #29, 2(0%)
minecraft.dropped.torch: #29, 39(0%)
minecraft.picked_up.leather_helmet: #29, 1(0%)
minecraft.killed.zombie_villager: #29, 1(0%)
minecraft.mined.deepslate_gold_ore: #29, 41(0%)
minecraft.picked_up.diamond: #29, 77(0%)
minecraft.mined.deepslate_redstone_ore: #29, 64(0%)
minecraft.picked_up.raw_gold: #29, 52(0%)
minecraft.used.sweet_berries: #29, 20(0%)
minecraft.mined.emerald_ore: #29, 1(0%)
minecraft.dropped.player_head: #29, 6(0%)
minecraft.mined.cyan_shulker_box: #29, 3(0%)
minecraft.dropped.glass_bottle: #29, 3(0%)
minecraft.picked_up.glass_bottle: #29, 2(0%)
minecraft.picked_up.pointed_dripstone: #29, 2(0%)
minecraft.picked_up.filled_map: #29, 5(0%)
minecraft.picked_up.diamond_axe: #30, 6(1%)
minecraft.picked_up.elytra: #30, 7(0%)
minecraft.custom.interact_with_lectern: #30, 28(0%)
minecraft.killed_by.ravager: #30, 3(0%)
minecraft.picked_up.spruce_sign: #30, 2(0%)
minecraft.picked_up.quartz: #30, 132(0%)
minecraft.mined.cave_vines: #30, 2(0%)
minecraft.custom.play_record: #30, 1(0%)
minecraft.mined.deepslate_diamond_ore: #30, 18(0%)
minecraft.picked_up.lead: #30, 2(0%)
minecraft.custom.tune_noteblock: #30, 9(0%)
minecraft.custom.mob_kills: #30, 1299(0%)
minecraft.used.diorite: #30, 2(0%)
minecraft.picked_up.calcite: #30, 1(0%)
minecraft.crafted.air: #30, 0(0%)
minecraft.custom.player_kills: #31, 3(0%)
minecraft.custom.deaths: #31, 15(0%)
minecraft.picked_up.totem_of_undying: #31, 1(0%)
minecraft.picked_up.cyan_shulker_box: #31, 3(0%)
minecraft.mined.cobbled_deepslate: #31, 3(0%)
minecraft.dropped.diamond_sword: #32, 1(1%)
minecraft.used.carved_pumpkin: #32, 1(0%)
minecraft.picked_up.firework_rocket: #32, 386(0%)
minecraft.picked_up.diamond_block: #32, 1(0%)
minecraft.used.cobbled_deepslate: #32, 14(0%)
minecraft.mined.light_blue_shulker_box: #32, 1(0%)
minecraft.used.light_blue_shulker_box: #32, 1(0%)
minecraft.picked_up.light_blue_shulker_box: #32, 1(0%)
minecraft.killed_by.player: #33, 3(0%)
minecraft.picked_up.cooked_porkchop: #33, 30(0%)
minecraft.dropped.iron_nugget: #33, 2(0%)
minecraft.custom.time_since_death: #34, 157600(0%)
minecraft.picked_up.paper: #34, 3(0%)
minecraft.custom.damage_resisted: #36, 4(0%)
minecraft.dropped.ender_pearl: #36, 1(0%)
minecraft.dropped.diamond_pickaxe: #38, 1(0%)
minecraft.custom.time_since_rest: #43, 14767(0%)
